菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
快餐简餐,汤否天然椰盅(体育东店),天河区,天河城/体育中心,29,准五星商户,175
快餐简餐,点魔坊DIMCUBE(万菱汇店),天河区,天河城/体育中心,90,四星商户,2389
快餐简餐,廖记棒棒鸡(黄埔大道西店),天河区,天河城/体育中心,33,四星商户,1183
快餐简餐,澤田本家铜锣烧专门店,天河区,天河城/体育中心,15,四星商户,40
快餐简餐,俏凤凰苗家牛肉粉(岗顶店),天河区,天河城/体育中心,29,四星商户,1803
快餐简餐,品南尝北馋猫之旅美食街(正佳广...,天河区,天河城/体育中心,36,四星商户,659
快餐简餐,72街(购书中心店),天河区,天河城/体育中心,31,四星商户,514
快餐简餐,周黑鸭(广州天河又一城店),天河区,天河城/体育中心,25,四星商户,414
快餐简餐,俏凤凰苗家牛肉粉(正佳广场店),天河区,天河城/体育中心,34,四星商户,348
快餐简餐,蜀元外纸上烤鱼,天河区,天河城/体育中心,47,四星商户,116
快餐简餐,大家乐(正佳广场店),天河区,天河城/体育中心,35,准四星商户,1324
快餐简餐,璞园汤品,天河区,天河城/体育中心,31,准四星商户,1265
快餐简餐,翠生生(保利克洛维店),天河区,天河城/体育中心,32,准四星商户,110
快餐简餐,72街(天河南二店),天河区,天河城/体育中心,25,准四星商户,527
快餐简餐,周黑鸭(广州体育西站2店),天河区,天河城/体育中心,25,准四星商户,152
快餐简餐,叹东西,天河区,天河城/体育中心,105,准四星商户,369
快餐简餐,桃源快餐店,天河区,天河城/体育中心,20,准四星商户,15
快餐简餐,Taste Now 今之味南亚厨房(万菱...,天河区,天河城/体育中心,73,准四星商户,957
快餐简餐,西西地简餐(百福广场店),天河区,天河城/体育中心,45,准四星商户,290
快餐简餐,麦当劳(外经贸店),天河区,天河城/体育中心,31,准四星商户,166
快餐简餐,华辉拉肠(体育东路店),天河区,天河城/体育中心,15,准四星商户,254
快餐简餐,真功夫(天河城店),天河区,天河城/体育中心,26,准四星商户,1160
快餐简餐,肯德基(购书中心店),天河区,天河城/体育中心,20,准四星商户,80
快餐简餐,华辉拉肠(天河南店),天河区,天河城/体育中心,15,准四星商户,207
快餐简餐,周黑鸭(广州体育中心站店),天河区,天河城/体育中心,30,准四星商户,101
快餐简餐,麦当劳(正佳广场5楼分店),天河区,天河城/体育中心,23,准四星商户,13
快餐简餐,周黑鸭(广州天河直通车店),天河区,天河城/体育中心,18,准四星商户,132
快餐简餐,独沽一味,天河区,天河城/体育中心,24,准四星商户,19
快餐简餐,在巷子里,天河区,天河城/体育中心,35,准四星商户,450
快餐简餐,麺越(万菱汇店),天河区,天河城/体育中心,61,准四星商户,2054
快餐简餐,喫饭,天河区,天河城/体育中心,45,准四星商户,129
快餐简餐,大家乐(天河城六楼店),天河区,天河城/体育中心,34,准四星商户,1483
快餐简餐,大食代美食广场(太古汇广场店),天河区,天河城/体育中心,50,准四星商户,1849
快餐简餐,肯德基(天河城店),天河区,天河城/体育中心,23,准四星商户,152
快餐简餐,一天一素(太古汇店),天河区,天河城/体育中心,27,准四星商户,48
快餐简餐,肯德基(石牌西店),天河区,天河城/体育中心,23,准四星商户,67
快餐简餐,真功夫(财富广场店),天河区,天河城/体育中心,17,准四星商户,1127
快餐简餐,台妹料理,天河区,天河城/体育中心,29,准四星商户,14
快餐简餐,皇家煎饼(正佳广场店),天河区,天河城/体育中心,13,准四星商户,28
