菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
粤菜,利宝阁,福田区,市中心区,162,准五星商户,12120
粤菜,有机会,福田区,市中心区,164,四星商户,261
粤菜,香格里拉大酒店·香乐园中餐厅,福田区,市中心区,271,四星商户,427
粤菜,金皇廷,福田区,市中心区,99,四星商户,2177
粤菜,四季酒店·卓粤轩,福田区,市中心区,465,四星商户,116
粤菜,全球牛(福中店),福田区,市中心区,75,四星商户,1047
粤菜,唐宫海鲜舫(彩德店),福田区,市中心区,102,四星商户,716
粤菜,苏丝黄(福田购物店),福田区,市中心区,89,四星商户,4351
粤菜,北海渔村(新华店),福田区,市中心区,162,四星商户,1147
粤菜,皇庭荟(深圳店),福田区,市中心区,177,四星商户,809
粤菜,臻品轩酒家,福田区,市中心区,90,四星商户,2873
粤菜,春满园(时代广场店),福田区,市中心区,144,四星商户,575
粤菜,潮江春(大中华店),福田区,市中心区,142,四星商户,1791
粤菜,紫苑茶馆(中心书城店),福田区,市中心区,99,四星商户,559
粤菜,珍汤家园(金中环店),福田区,市中心区,70,四星商户,439
粤菜,菲利红酒音乐汇,福田区,市中心区,56,四星商户,58
粤菜,珍味汤馆(购物公园店),福田区,市中心区,97,四星商户,1354
粤菜,蚝门九式(福田店),福田区,市中心区,217,四星商户,332
粤菜,贵宾楼(江苏大厦店),福田区,市中心区,100,四星商户,840
粤菜,胜记(航天店),福田区,市中心区,162,准四星商户,789
粤菜,喜粤8号,福田区,市中心区,176,准四星商户,37
粤菜,金稻园砂锅粥(福中店),福田区,市中心区,102,准四星商户,896
粤菜,大中华潮宗汇(金田南路店),福田区,市中心区,91,准四星商户,905
粤菜,珍味汤馆(世纪中心店),福田区,市中心区,110,准四星商户,805
粤菜,坝光焗蟹(福田店),福田区,市中心区,91,准四星商户,294
粤菜,佳宁娜贵宾楼(好日子店),福田区,市中心区,151,准四星商户,377
粤菜,丽思卡尔顿酒店星丽中餐厅,福田区,市中心区,390,准四星商户,70
粤菜,和轩,福田区,市中心区,76,准四星商户,1560
