菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
本帮江浙菜,翡翠游龙美食农庄,浦东新区,川沙,121,五星商户,74
本帮江浙菜,上海人家精作坊(汇商店),浦东新区,世纪公园,209,五星商户,2178
本帮江浙菜,是荷.创意融合餐厅(新场店),浦东新区,新场,71,五星商户,328
本帮江浙菜,爱玲EILEEN(环球金融中心店),浦东新区,陆家嘴,321,准五星商户,346
本帮江浙菜,孔乙己尚宴,浦东新区,陆家嘴,505,准五星商户,969
本帮江浙菜,名轩(浦东店),浦东新区,八佰伴,582,准五星商户,510
本帮江浙菜,食庐(浦东嘉里城店),浦东新区,世纪公园,217,准五星商户,464
本帮江浙菜,上海人家精作坊(外高桥店),浦东新区,外高桥,190,准五星商户,2388
本帮江浙菜,雍颐庭,浦东新区,陆家嘴,716,准五星商户,723
本帮江浙菜,麦吉小厨(丁香国际店),浦东新区,世纪公园,126,准五星商户,75
本帮江浙菜,尚席,浦东新区,陆家嘴,592,准五星商户,536
本帮江浙菜,锦江汤臣洲际大酒店东方食苑,浦东新区,八佰伴,310,准五星商户,334
本帮江浙菜,桂满陇-桃花山庄·陌上(八佰伴店...,浦东新区,八佰伴,82,准五星商户,1703
本帮江浙菜,金时代顺风大酒店(川沙百联店),浦东新区,川沙,110,准五星商户,226
本帮江浙菜,溪林小馆(三林店),浦东新区,三林地区,70,准五星商户,1817
本帮江浙菜,上海金茂俱乐部上海餐厅,浦东新区,陆家嘴,595,准五星商户,807
本帮江浙菜,韶梦酒店(南六公路店),浦东新区,惠南镇,130,准五星商户,247
本帮江浙菜,春在,浦东新区,陆家嘴,160,准五星商户,1956
本帮江浙菜,圆苑(金茂时尚广场店),浦东新区,陆家嘴,237,准五星商户,481
本帮江浙菜,蘇小柳点心专门店(康桥店),浦东新区,康桥/周浦,50,准五星商户,3346
本帮江浙菜,绣丽餐厅(八佰伴店),浦东新区,八佰伴,84,准五星商户,4022
本帮江浙菜,成隆行蟹王府(金茂时尚广场店),浦东新区,陆家嘴,457,准五星商户,2769
本帮江浙菜,七欣天品蟹轩(川沙华夏路店),浦东新区,川沙,114,准五星商户,1586
本帮江浙菜,海逸餐厅,浦东新区,张江,84,准五星商户,401
本帮江浙菜,伯爵餐厅,浦东新区,浦东新区,86,准五星商户,194
本帮江浙菜,乐忻皇朝(国金中心商场店),浦东新区,陆家嘴,123,准五星商户,6989
