菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
火锅,叫座儿鲜煲火锅(亚运村店),朝阳区,亚运村,90,五星商户,1311
火锅,就三桌涮肉馆,朝阳区,798/大山子,96,五星商户,407
火锅,珍滋味港式粥火锅(工体店),朝阳区,三里屯,208,五星商户,3079
火锅,海底捞火锅(大屯北路店),朝阳区,亚运村,112,五星商户,2213
火锅,海底捞火锅(红庙店),朝阳区,大望路,111,五星商户,4392
火锅,海底捞火锅(太阳宫店),朝阳区,太阳宫,115,五星商户,2321
火锅,海底捞火锅(劲松店),朝阳区,劲松/潘家园,102,五星商户,6620
火锅,捞王锅物料理(丰联店),朝阳区,朝外大街,135,五星商户,1758
火锅,释·火锅料理(旗舰总店),朝阳区,三里屯,272,五星商户,181
火锅,八月畔酸汤火锅(望京店),朝阳区,望京,129,五星商户,178
火锅,众宜轩老北京铜锅涮肉(传媒大学...,朝阳区,国贸,131,五星商户,157
火锅,比邻小厨私房海鲜,朝阳区,亮马桥/三元桥,156,五星商户,602
火锅,渡娘火锅(健翔桥店),朝阳区,亚运村,101,五星商户,1542
火锅,壹捞百味蘸料火锅(北京常营店),朝阳区,管庄,110,五星商户,186
火锅,牛记皇·鲜牛记精品牛肉火锅(泛...,朝阳区,朝阳公园/团结湖,123,五星商户,202
火锅,芦月轩羊蝎子(劲松店),朝阳区,劲松/潘家园,83,五星商户,244
火锅,银滩金汤酒楼(望馨店),朝阳区,望京,201,五星商户,1202
火锅,四季传锅,朝阳区,望京,93,五星商户,192
火锅,百谱涮肉,朝阳区,青年路,79,五星商户,62
火锅,要德火锅,朝阳区,青年路,72,五星商户,81
火锅,羊王府涮肉,朝阳区,高碑店,84,五星商户,299
火锅,阿荣小镇火锅(望京国际商业中心...,朝阳区,望京,99,五星商户,1048
火锅,满福楼,朝阳区,朝外大街,119,五星商户,17172
火锅,成都一家人火锅(三里屯店),朝阳区,三里屯,143,五星商户,3372
火锅,初色海鲜姿造自助火锅(时代名门...,朝阳区,亚运村,278,五星商户,2046
火锅,者火·善造,朝阳区,青年路,176,五星商户,142
火锅,湊湊.火锅.茶憩(望京西路店),朝阳区,望京,132,五星商户,459
火锅,首尔798·POCHA,朝阳区,望京,89,五星商户,278
火锅,海底捞火锅(白家庄店),朝阳区,十里堡,114,五星商户,4417
火锅,日坛涮肉,朝阳区,朝外大街,136,五星商户,2402
火锅,海底捞火锅(望京国际商业中心店),朝阳区,望京,109,五星商户,4457
火锅,吃肉群众火锅,朝阳区,十里堡,100,五星商户,196
火锅,束河人家(爱琴海购物公园店),朝阳区,太阳宫,132,五星商户,553
火锅,海底捞火锅(望京港旅店),朝阳区,望京,120,五星商户,1196
火锅,者火 和牛涮锅专门店,朝阳区,三里屯,355,五星商户,887
火锅,官也街澳门火锅(新源街店),朝阳区,亮马桥/三元桥,387,五星商户,1049
火锅,日和美炉,朝阳区,大望路,191,五星商户,1389
火锅,御鸭神 干锅▪火锅(望京国际商业...,朝阳区,望京,71,五星商户,117
火锅,镇三关重庆老火锅(工体旗舰店),朝阳区,工人体育场,147,五星商户,695
火锅,蜀一数二,朝阳区,大望路,73,五星商户,91
火锅,鲜牛记潮汕牛肉火锅(潘家园店),朝阳区,劲松/潘家园,125,五星商户,735
火锅,虾吃虾涮虾火锅(双井店),朝阳区,双井,72,五星商户,770
火锅,宋记汕头牛肉火锅(工体店),朝阳区,三里屯,100,五星商户,487
火锅,八品道臺記锅食匯(陆港城店),朝阳区,常营,70,五星商户,103
火锅,渡娘火锅(亚运村店),朝阳区,小营,101,五星商户,3032
火锅,蒙之宝牛火锅全牛料理(三里屯店),朝阳区,三里屯,105,五星商户,432
火锅,椒馨串串香,朝阳区,双井,60,五星商户,88
火锅,汗普士涮肉馆(三里屯店),朝阳区,三里屯,95,五星商户,650
火锅,路小凤海鲜鸡锅,朝阳区,百子湾,115,五星商户,157
火锅,蝎王府(潘家园店),朝阳区,劲松/潘家园,84,五星商户,4290
火锅,虾吃虾涮(十里堡店),朝阳区,十里堡,76,五星商户,1175
火锅,宽坐河鲜馆,朝阳区,安贞,515,五星商户,259
火锅,虾吃虾涮虾火锅(金台路店),朝阳区,朝阳公园/团结湖,92,五星商户,2546
火锅,花园老北京铜锅涮肉,朝阳区,望京,98,五星商户,318
火锅,渔状元火锅(金台路店),朝阳区,朝阳公园/团结湖,94,五星商户,3311
火锅,四品府涮肉(望京路店),朝阳区,望京,88,五星商户,464
火锅,土炮李记火锅*烧烤季(总店),朝阳区,霄云路,109,五星商户,162
火锅,芦月轩羊蝎子(管庄店),朝阳区,管庄,79,五星商户,2204
火锅,澳味十足澳门精品火锅餐厅,朝阳区,双井,113,五星商户,92
火锅,蝎梁府(左家庄店),朝阳区,左家庄,79,五星商户,581
火锅,呼伦贝尔品质火锅,朝阳区,四惠,85,五星商户,305
火锅,锦牛潮汕鲜牛肉火锅,朝阳区,劲松/潘家园,78,五星商户,481
火锅,非辣道川味火锅(北苑店),朝阳区,北苑家园,94,五星商户,86
火锅,誉满楼姿造火锅,朝阳区,朝外大街,141,五星商户,353
火锅,芦月轩羊蝎子(杨闸店),朝阳区,管庄,82,五星商户,509
火锅,汕头荣记鲜牛肉火锅,朝阳区,十八里店,87,五星商户,209
火锅,阿田大虾(北苑路店),朝阳区,亚运村,77,五星商户,576
火锅,粤悦香港式海鲜肥牛火锅(朝外大...,朝阳区,朝外大街,94,五星商户,358
火锅,鲜厨坊麻辣鱼火锅,朝阳区,双井,111,五星商户,1285
火锅,伊豆野菜村(金地中心店),朝阳区,大望路,146,五星商户,5215
火锅,海边蟹逅肉蟹煲,朝阳区,亚运村,60,五星商户,273
火锅,今捞猪肚鸡椰子鸡锅物料理,朝阳区,蓝色港湾,128,五星商户,3904
火锅,铜景大院老北京铜锅涮肉,朝阳区,双井,95,五星商户,178
火锅,KKC口口串(太阳宫店),朝阳区,太阳宫,75,五星商户,109
