菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
粤菜,杨家将麻辣海鲜(丽日广场店),禅城区,季华六路沿线,64,五星商户,63
粤菜,黄祥华养生堂,禅城区,祖庙/岭南天地,67,准五星商户,660
粤菜,陶醉馆·文化餐饮(南风古灶店),禅城区,石湾,155,准五星商户,146
粤菜,美鸽天下(魁奇店),禅城区,丽日玫瑰,81,准五星商户,931
粤菜,老佛椰素荟,禅城区,祖庙/岭南天地,81,准五星商户,1950
粤菜,鱼意吉祥,禅城区,岭南大道沿线,64,准五星商户,105
粤菜,君临餐厅,禅城区,东方广场,39,准五星商户,99
粤菜,烧作牛肉海鲜炭舍(恒福国际店),禅城区,季华六路沿线,104,四星商户,510
粤菜,如轩砂锅粥(文华里店),禅城区,文华北路沿线,69,四星商户,1055
粤菜,小山正梨屋简意私厨,禅城区,季华六路沿线,104,四星商户,105
粤菜,汤臣(恒福国际店),禅城区,季华六路沿线,67,四星商户,2486
粤菜,安哥轻奢餐,禅城区,祖庙/岭南天地,55,四星商户,567
粤菜,春夏秋冬和食酒场,禅城区,祖庙/岭南天地,93,四星商户,430
粤菜,渔醉鲜风尚体验餐馆,禅城区,禅城其他,68,四星商户,37
粤菜,稻里美厨,禅城区,丽日玫瑰,57,四星商户,531
粤菜,天海酒家,禅城区,东方广场,36,四星商户,181
粤菜,后街唐厨(岭南天地店),禅城区,祖庙/岭南天地,79,四星商户,3165
粤菜,如轩砂锅粥(绿景店),禅城区,季华园,63,四星商户,968
粤菜,立春音乐餐吧,禅城区,文华北路沿线,90,四星商户,230
粤菜,佛山皇冠假日酒店,禅城区,祖庙/岭南天地,169,四星商户,44
粤菜,如轩砂锅粥(粤荣店),禅城区,普君新城/市政府,61,四星商户,1281
粤菜,古桥客家食府(张槎店),禅城区,张槎,81,四星商户,308
粤菜,董李味觉粤创意料理(文华荟广场...,禅城区,禅城区,70,四星商户,33
粤菜,吉源海鲜舫,禅城区,普君新城/市政府,66,四星商户,489
粤菜,猪腰一家,禅城区,季华园,61,四星商户,136
粤菜,潮仁食府,禅城区,季华园,90,四星商户,357
粤菜,彩福酒家(星海岸店),禅城区,岭南大道沿线,51,四星商户,618
粤菜,得心斋(文华北路店),禅城区,文华北路沿线,36,四星商户,133
粤菜,海叔卜卜贝,禅城区,张槎,34,四星商户,77
粤菜,水锅锅海鲜蒸汽料理(岭南天地店),禅城区,祖庙/岭南天地,148,四星商户,349
粤菜,演厨汇,禅城区,祖庙/岭南天地,62,四星商户,1647
粤菜,有记餐厅(金鱼街店),禅城区,普君新城/市政府,43,四星商户,287
粤菜,恒安瑞士大酒店御明轩食府,禅城区,祖庙/岭南天地,101,四星商户,792
粤菜,新记玫瑰酒楼,禅城区,禅城区,49,四星商户,87
粤菜,鸡鸣谷,禅城区,禅城区,49,四星商户,19
粤菜,旋宫酒店金海轩中餐厅,禅城区,祖庙/岭南天地,53,四星商户,66
粤菜,海逸海鲜酒家(佛山店),禅城区,祖庙/岭南天地,129,四星商户,870
粤菜,餸朝蒸神(文华里店),禅城区,文华北路沿线,71,四星商户,129
粤菜,丰谷酒家(鹏瑞利季华广场店),禅城区,季华六路沿线,51,四星商户,720
粤菜,御海湾大酒楼,禅城区,同济路,61,四星商户,107
粤菜,沙口生态园,禅城区,禅城区,61,四星商户,37
粤菜,福禧汇燕窝专家(华美达店),禅城区,季华六路沿线,138,四星商户,19
粤菜,华仔乡村美食,禅城区,禅城区,65,四星商户,8
粤菜,行运楼(岭南天地店),禅城区,祖庙/岭南天地,97,准四星商户,2397
粤菜,粥缘,禅城区,禅城区,61,准四星商户,144
粤菜,点旨一笼(兆阳广场店),禅城区,丽日玫瑰,51,准四星商户,777
粤菜,点心情(东方新天地店),禅城区,禅城区,47,准四星商户,42
粤菜,汉莎厨房,禅城区,季华六路沿线,76,准四星商户,226
