菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
小吃快餐,王贵仁砂锅麻辣烫(太平南路店),秦淮区,常府街/长白街,23,五星商户,1429
小吃快餐,卤社,秦淮区,新街口地区,26,五星商户,315
小吃快餐,王炸美式炸鸡(文昌巷店),秦淮区,常府街/长白街,17,五星商户,124
小吃快餐,骆家鸡,秦淮区,常府街/长白街,55,准五星商户,89
小吃快餐,永沾沾龙虾花园餐厅(新街口店),秦淮区,新街口地区,113,准五星商户,759
小吃快餐,吃货椰子铺(南京总店),秦淮区,秦虹村/中华门,32,准五星商户,4628
小吃快餐,刘佬大香蛙馆,秦淮区,升州路/集庆路,105,准五星商户,565
小吃快餐,每味每客(茂业店),秦淮区,夫子庙地区,26,准五星商户,331
小吃快餐,Soboru苏菠萝炸鸡,秦淮区,新街口地区,58,准五星商户,2183
小吃快餐,小兜老爸水饺(解放路店),秦淮区,瑞金路沿线,17,准五星商户,275
小吃快餐,出烫麻辣料理,秦淮区,新街口地区,23,准五星商户,1243
小吃快餐,周黑鸭(江苏南京新街口站1店),秦淮区,新街口地区,38,准五星商户,1449
小吃快餐,紫砂烤梨(新街口友谊广场店),秦淮区,新街口地区,15,准五星商户,615
小吃快餐,大叻越南风味餐厅(艾尚天地店),秦淮区,新街口地区,87,准五星商户,10603
小吃快餐,走街串巷(丰富路店),秦淮区,新街口地区,63,准五星商户,1703
小吃快餐,在巷子里螺蛳粉(新街口总店),秦淮区,新街口地区,52,准五星商户,431
小吃快餐,田螺大大,秦淮区,新街口地区,29,准五星商户,225
小吃快餐,和风食堂(新街口店),秦淮区,新街口地区,45,准五星商户,2995
小吃快餐,和风食堂(水游城店),秦淮区,夫子庙地区,42,准五星商户,1174
小吃快餐,程福记面馆,秦淮区,新街口地区,24,准五星商户,142
小吃快餐,渔庭仙湘派小锅鱼粉,秦淮区,夫子庙地区,22,准五星商户,134
小吃快餐,卤人甲(新街口店),秦淮区,新街口地区,20,准五星商户,1074
小吃快餐,艾喝汤馆(熙南里店),秦淮区,升州路/集庆路,37,准五星商户,948
小吃快餐,南京第一冰糖蜜汁藕(瑞金路店),秦淮区,瑞金路沿线,18,准五星商户,2388
小吃快餐,达康司机蛙掘鸡专门店,秦淮区,夫子庙地区,41,准五星商户,32
小吃快餐,紫砂烤梨(夫子庙店),秦淮区,夫子庙地区,16,准五星商户,1857
小吃快餐,我茶时嚐(茂业店),秦淮区,夫子庙地区,43,准五星商户,89
小吃快餐,榴芒范儿,秦淮区,新街口地区,16,准五星商户,151
小吃快餐,老盛庆,秦淮区,夫子庙地区,31,准五星商户,62
小吃快餐,南京蜜汁藕(三七八巷店),秦淮区,夫子庙地区,15,准五星商户,1258
小吃快餐,Popaholic珀.赫丽爆米花,秦淮区,新街口地区,29,准五星商户,156
小吃快餐,你好鸭(新街口1店),秦淮区,新街口地区,24,准五星商户,75
小吃快餐,西娘娘青春酿皮,秦淮区,新街口地区,29,准五星商户,266
小吃快餐,藏椒(大洋百货新街口店),秦淮区,新街口地区,56,准五星商户,1620
小吃快餐,朵佐和风便当(丰富路店),秦淮区,新街口地区,38,准五星商户,1148
小吃快餐,品腐记·豆腐王朝(老门东总店),秦淮区,秦虹村/中华门,15,准五星商户,357
小吃快餐,小杨生煎(南京太平商场),秦淮区,新街口地区,22,准五星商户,233
小吃快餐,周黑鸭(江苏南京新街口3店),秦淮区,新街口地区,38,准五星商户,78
小吃快餐,云尚鲜五谷渔粉,秦淮区,新街口地区,14,准五星商户,54
小吃快餐,小贾家汤包店,秦淮区,新街口地区,19,准五星商户,266
小吃快餐,弹丸滋地(水平方店),秦淮区,夫子庙地区,15,准五星商户,1421
小吃快餐,阿拉提羊肉串大王(水游城店),秦淮区,夫子庙地区,17,准五星商户,229
小吃快餐,粤潮砂锅粥店(丰富路店),秦淮区,新街口地区,68,准五星商户,740
小吃快餐,那丝家的店(蓝旗街店),秦淮区,瑞金路沿线,27,准五星商户,233
小吃快餐,陶记辣卤牛蛙(明瓦廊总店),秦淮区,新街口地区,18,准五星商户,2291
小吃快餐,美人制造烤猪蹄(三条巷店),秦淮区,常府街/长白街,16,准五星商户,47
小吃快餐,stealily沈田家餐吧,秦淮区,新街口地区,71,准五星商户,147
小吃快餐,老乡老香香酥鸡柳(明瓦廊店),秦淮区,新街口地区,13,准五星商户,105
小吃快餐,刘记梅干菜扣肉饼,秦淮区,新街口地区,6,准五星商户,123
小吃快餐,御膳饼,秦淮区,新街口地区,15,准五星商户,81
小吃快餐,小象麻辣烫(总店),秦淮区,新街口地区,26,准五星商户,677
小吃快餐,和府捞面(南京金融中心店),秦淮区,新街口地区,41,准五星商户,1265
小吃快餐,小鲜鲜抄手(白下路总店),秦淮区,新街口地区,22,准五星商户,2450
小吃快餐,嗨皮儿(水平方店),秦淮区,夫子庙地区,19,准五星商户,367
小吃快餐,常熟炒浇面馆(五福街店),秦淮区,升州路/集庆路,24,准五星商户,1003
小吃快餐,肚子里有料(石鼓路店),秦淮区,新街口地区,8,准五星商户,534
小吃快餐,雲尚混搭酸菜鱼盆面,秦淮区,瑞金路沿线,24,准五星商户,168
小吃快餐,大牌冒菜(新街口店),秦淮区,新街口地区,29,准五星商户,143
小吃快餐,桥头排骨(羊皮巷店),秦淮区,新街口地区,15,准五星商户,3527
小吃快餐,三村米线,秦淮区,新街口地区,19,准五星商户,530
小吃快餐,大城小巷串串香(三条巷店),秦淮区,秦淮区,43,准五星商户,53
小吃快餐,遇见咖喱,秦淮区,新街口地区,18,准五星商户,85
小吃快餐,龙门飞爪(新街口店),秦淮区,新街口地区,12,准五星商户,359
小吃快餐,国足臭豆腐,秦淮区,新街口地区,11,准五星商户,1861
小吃快餐,南京第一冰糖蜜汁藕(升州路店),秦淮区,升州路/集庆路,17,准五星商户,240
小吃快餐,伏底鲜女皇砂锅,秦淮区,常府街/长白街,18,准五星商户,87
小吃快餐,贺记肉夹馍,秦淮区,升州路/集庆路,10,准五星商户,158
小吃快餐,大牌冒菜(小火瓦巷店),秦淮区,秦淮区,25,准五星商户,41
小吃快餐,嗨皮儿(新街口店),秦淮区,新街口地区,17,准五星商户,45
小吃快餐,丸龟制面(新街口金鹰店),秦淮区,新街口地区,35,准五星商户,4131
小吃快餐,许阿姨糕团店,秦淮区,常府街/长白街,14,准五星商户,374
小吃快餐,金宏兴鸭子店(清真),秦淮区,新街口地区,33,准五星商户,658
小吃快餐,中洲豚骨拉面,秦淮区,新街口地区,52,准五星商户,458
小吃快餐,朱记小郑酥烧饼(建康路170号店),秦淮区,夫子庙地区,8,准五星商户,893
小吃快餐,大宝麻辣烫(文昌巷店),秦淮区,新街口地区,20,准五星商户,813
小吃快餐,周黑鸭(江苏南京水游城店),秦淮区,夫子庙地区,43,准五星商户,877
小吃快餐,张记卤菜馆,秦淮区,常府街/长白街,25,准五星商户,140
小吃快餐,品腐记·豆腐王朝(新街口店),秦淮区,新街口地区,12,准五星商户,968
小吃快餐,大个子蒸饭,秦淮区,新街口地区,7,准五星商户,106
小吃快餐,6度辣冒菜,秦淮区,新街口地区,35,准五星商户,131
小吃快餐,好又来酸辣粉,秦淮区,新街口地区,10,准五星商户,34
小吃快餐,N多寿司(悦荟广场店),秦淮区,新街口地区,21,准五星商户,249
小吃快餐,贝尼泰迪de炸鱼薯条(中央商场店),秦淮区,新街口地区,19,准五星商户,2584
小吃快餐,庙东排骨(马道街店),秦淮区,夫子庙地区,17,准五星商户,533
小吃快餐,韶叨家,秦淮区,新街口地区,30,准五星商户,115
小吃快餐,肚子里有料,秦淮区,升州路/集庆路,8,准五星商户,112
小吃快餐,杨国福麻辣烫(夫子庙店),秦淮区,夫子庙地区,25,准五星商户,814
小吃快餐,天尝喱脊肉串(新街口地铁站B30店...,秦淮区,新街口地区,10,准五星商户,192
小吃快餐,李记龙门花甲,秦淮区,常府街/长白街,11,准五星商户,38
小吃快餐,二两盅盅面,秦淮区,新街口地区,26,准五星商户,248
小吃快餐,冒牌火锅菜(新街口店),秦淮区,新街口地区,20,准五星商户,3098
小吃快餐,粒粒香滑蛋饭,秦淮区,常府街/长白街,20,准五星商户,530
小吃快餐,N多寿司(瑞金路店),秦淮区,常府街/长白街,19,准五星商户,334
小吃快餐,贺记肉夹馍,秦淮区,新街口地区,9,准五星商户,50
小吃快餐,龙门飞爪(长乐路店),秦淮区,夫子庙地区,21,准五星商户,279
小吃快餐,南京蜜汁藕(华侨路店),秦淮区,新街口地区,12,准五星商户,663
小吃快餐,壹树轻食 空中花园小馆,秦淮区,新街口地区,44,准五星商户,368
小吃快餐,陈老湿的辣油馄饨(金轮店),秦淮区,新街口地区,13,四星商户,90
小吃快餐,又卷烧饼(新街口店),秦淮区,秦淮区,12,四星商户,33
小吃快餐,小鲜鲜(科巷店),秦淮区,常府街/长白街,21,四星商户,1076
小吃快餐,山之巅云南过桥米线,秦淮区,夫子庙地区,19,四星商户,696
小吃快餐,卤人甲(瑞阳街店),秦淮区,瑞金路沿线,20,四星商户,387
小吃快餐,叁養參鸡汤,秦淮区,新街口地区,37,四星商户,35
小吃快餐,鼎致捞面,秦淮区,新街口地区,24,四星商户,93
小吃快餐,麦当劳(南京紫金华联店),秦淮区,苜蓿园,26,四星商户,933
小吃快餐,瑾怀香金鱼小馄饨,秦淮区,常府街/长白街,14,四星商户,58
小吃快餐,麻辣煮题麻辣烫(东方福来德店),秦淮区,新街口地区,31,四星商户,188
小吃快餐,老门东美食街,秦淮区,秦虹村/中华门,23,四星商户,182
小吃快餐,曹家馄炖,秦淮区,秦淮区,5,四星商户,30
小吃快餐,武汉热干面,秦淮区,新街口地区,13,四星商户,537
小吃快餐,阿婆五香蛋,秦淮区,夫子庙地区,3,四星商户,668
小吃快餐,依依回螺蛳粉,秦淮区,常府街/长白街,16,四星商户,100
小吃快餐,黄记桂林米线,秦淮区,升州路/集庆路,18,四星商户,196
小吃快餐,大邱里披萨炸鸡(三条巷店),秦淮区,常府街/长白街,53,四星商户,63
小吃快餐,洋葱咖喱(大洋百货店),秦淮区,新街口地区,52,四星商户,2648
小吃快餐,鸭得堡老鸭汤鸭血粉丝(丰富路店),秦淮区,新街口地区,24,四星商户,4937
小吃快餐,汉堡王(南京新街口2店),秦淮区,新街口地区,33,四星商户,3253
小吃快餐,文泉记澳门粥面庄(德基广场店),秦淮区,新街口地区,56,四星商户,5140
小吃快餐,朱记小郑酥烧饼(老门东店),秦淮区,秦虹村/中华门,9,四星商户,2259
小吃快餐,鸭得堡老鸭汤鸭血粉丝(抄纸巷店),秦淮区,新街口地区,22,四星商户,4042
小吃快餐,柳州螺蛳粉,秦淮区,新街口地区,19,四星商户,583
小吃快餐,章云板鸭店,秦淮区,新街口地区,40,四星商户,1134
小吃快餐,香酥鸡蛋灌饼,秦淮区,新街口地区,6,四星商户,809
小吃快餐,禾记芒果虾球饭(金轮新天地店),秦淮区,新街口地区,31,四星商户,1915
小吃快餐,江南小镇无锡小笼包(中央商场店),秦淮区,新街口地区,16,四星商户,1374
小吃快餐,朱记小郑酥烧饼(姚家巷店),秦淮区,夫子庙地区,6,四星商户,207
小吃快餐,老叶哨子面(石鼓路店),秦淮区,新街口地区,23,四星商户,183
小吃快餐,鸡鸣汤包(明瓦廊店),秦淮区,新街口地区,21,四星商户,139
小吃快餐,刘一碗鸭血粉丝汤,秦淮区,新街口地区,18,四星商户,1802
小吃快餐,丰茂烧烤韩国料理,秦淮区,新街口地区,52,四星商户,173
小吃快餐,安妮泰迪de炸鱼薯条(水平方店),秦淮区,夫子庙地区,11,四星商户,45
小吃快餐,尚汤八珍面(新街口店),秦淮区,新街口地区,17,四星商户,287
小吃快餐,目轶先,秦淮区,新街口地区,18,四星商户,28
小吃快餐,徐州老味道羊汤馆(明瓦廊店),秦淮区,新街口地区,21,四星商户,53
小吃快餐,开心猫,秦淮区,新街口地区,26,四星商户,118
小吃快餐,开心猫(南京1店),秦淮区,新街口地区,25,四星商户,98
小吃快餐,Hey Juice茶桔便(夫子庙店),秦淮区,升州路/集庆路,17,四星商户,29
小吃快餐,何记花甲(乐业村店),秦淮区,新街口地区,17,四星商户,276
小吃快餐,超级鸡车(升州路店),秦淮区,秦淮区,15,四星商户,335
小吃快餐,鼎好特色砂锅店(光华门店),秦淮区,秦虹村/中华门,17,四星商户,161
小吃快餐,龙门飞爪(夫子庙店),秦淮区,夫子庙地区,18,四星商户,183
小吃快餐,正新鸡排(中山东路店),秦淮区,新街口地区,10,四星商户,24
小吃快餐,沃洛克美式爆米花(茂业天地),秦淮区,夫子庙地区,25,四星商户,64
小吃快餐,大师兄便当,秦淮区,常府街/长白街,18,四星商户,61
小吃快餐,座上客(00107东方商城店),秦淮区,新街口地区,40,四星商户,393
小吃快餐,悠仙美地(金鹰直营店),秦淮区,新街口地区,49,四星商户,2119
小吃快餐,何记花甲(秦淮店),秦淮区,新街口地区,18,四星商户,1091
小吃快餐,朱记小眼镜蒸饭,秦淮区,新街口地区,12,四星商户,555
小吃快餐,在巷子里螺蛳粉(夫子庙一店),秦淮区,夫子庙地区,20,四星商户,214
小吃快餐,和府捞面(南京水游城店),秦淮区,夫子庙地区,42,四星商户,1232
小吃快餐,百粥坊(王府大街店),秦淮区,新街口地区,45,四星商户,1905
小吃快餐,汪家馄饨(金粟庵店),秦淮区,升州路/集庆路,9,四星商户,1272
小吃快餐,开心猫(南京1店),秦淮区,新街口地区,27,四星商户,285
小吃快餐,回味鸭血粉丝汤(金轮店),秦淮区,新街口地区,19,四星商户,1200
小吃快餐,咻一咻徐州擀面皮(陆家巷店),秦淮区,新街口地区,9,四星商户,44
小吃快餐,那丝家的店,秦淮区,常府街/长白街,32,四星商户,47
小吃快餐,麦当劳(南京五龙店),秦淮区,瑞金路沿线,25,四星商户,811
小吃快餐,1973继光香香鸡,秦淮区,新街口地区,18,四星商户,114
小吃快餐,谷田稻香(大洋店),秦淮区,新街口地区,35,四星商户,64
小吃快餐,嘿!有家小冒菜(夫子庙店),秦淮区,夫子庙地区,36,四星商户,94
小吃快餐,开心猫(夫子庙店),秦淮区,夫子庙地区,18,四星商户,47
小吃快餐,祈福喜宝炒饭专家(洪武路店),秦淮区,新街口地区,21,四星商户,96
小吃快餐,贝尼泰迪de炸鱼薯条(水游城店),秦淮区,夫子庙地区,18,四星商户,4026
小吃快餐,重庆名小吃,秦淮区,瑞金路沿线,15,四星商户,66
小吃快餐,王倩面皮(莱迪店),秦淮区,新街口地区,9,四星商户,69
小吃快餐,金陵覆兴园(长白街店),秦淮区,常府街/长白街,22,四星商户,276
小吃快餐,鼎沸九鲜面(新街口店),秦淮区,新街口地区,17,四星商户,639
小吃快餐,麦当劳(张府园地铁站店),秦淮区,常府街/长白街,32,四星商户,65
小吃快餐,邹记崽儿重庆小面,秦淮区,夫子庙地区,14,四星商户,691
小吃快餐,小象麻辣烫(小火瓦巷店),秦淮区,常府街/长白街,22,四星商户,141
小吃快餐,你好鸭(新街口5店),秦淮区,新街口地区,11,四星商户,36
小吃快餐,天尝喱脊肉串(新街口地铁站C26店...,秦淮区,新街口地区,9,四星商户,483
小吃快餐,全品炸鸡,秦淮区,升州路/集庆路,13,四星商户,40
小吃快餐,鸡鸣汤包(夫子庙店),秦淮区,夫子庙地区,21,四星商户,1678
小吃快餐,晓春光(茂业店),秦淮区,夫子庙地区,46,四星商户,509
小吃快餐,洋葱咖喱(德基广场店),秦淮区,新街口地区,49,四星商户,3542
小吃快餐,和府捞面(南京新百店),秦淮区,新街口地区,40,四星商户,249
小吃快餐,小杨生煎(大洋百货店),秦淮区,新街口地区,20,四星商户,997
小吃快餐,又卷烧饼(新街口直营国金店),秦淮区,新街口地区,17,四星商户,229
小吃快餐,一嘉面点(科巷店),秦淮区,常府街/长白街,16,四星商户,169
小吃快餐,薄荷烫捞(水游城店),秦淮区,夫子庙地区,26,四星商户,155
小吃快餐,津津咖喱(金轮新天地店),秦淮区,新街口地区,26,四星商户,3290
小吃快餐,尹氏汤包(莫愁路总店),秦淮区,新街口地区,18,四星商户,2191
小吃快餐,张果佬,秦淮区,常府街/长白街,30,四星商户,1927
小吃快餐,回味鸭血粉丝汤(银龙花园店),秦淮区,苜蓿园,18,四星商户,154
小吃快餐,笑笑凉皮(莱迪店),秦淮区,新街口地区,8,四星商户,2200
小吃快餐,鸡鸣汤包,秦淮区,秦虹村/中华门,22,四星商户,36
小吃快餐,和米堂(水游城购物中心店),秦淮区,夫子庙地区,16,四星商户,1048
小吃快餐,芮卡甜品,秦淮区,新街口地区,48,四星商户,1190
小吃快餐,西施馄饨面,秦淮区,夫子庙地区,14,四星商户,742
小吃快餐,航天馒头(瞻园路店),秦淮区,夫子庙地区,4,四星商户,531
小吃快餐,强烨大排档,秦淮区,常府街/长白街,86,四星商户,446
小吃快餐,奥灶馆,秦淮区,升州路/集庆路,32,四星商户,118
小吃快餐,源香潮汕粥(中山东路店),秦淮区,新街口地区,75,四星商户,691
小吃快餐,麦当劳(水游城购物中心店),秦淮区,夫子庙地区,24,四星商户,289
小吃快餐,杨国福麻辣烫(新街口店),秦淮区,新街口地区,28,四星商户,898
小吃快餐,怪好恰锅盔,秦淮区,新街口地区,4,四星商户,113
小吃快餐,潘老板脆皮炸鸡(淮海路店),秦淮区,新街口地区,7,四星商户,967
小吃快餐,尚汤八珍面(瑞金路店),秦淮区,瑞金路沿线,18,四星商户,197
