菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
小吃快餐,姚掌柜螺蛳粉(天桃店),青秀区,新民七星,17,准五星商户,90
小吃快餐,维尼猪扒包(东葛永凯店),青秀区,青秀区,12,准五星商户,53
小吃快餐,源味,青秀区,民族大道,14,四星商户,31
小吃快餐,麦当劳(南宁民族大道一店),青秀区,万象城,14,四星商户,96
小吃快餐,米越(民族影城店),青秀区,盛天地,15,四星商户,93
小吃快餐,冬梅自助水饺,青秀区,东盟商务区,24,四星商户,48
小吃快餐,锦湘源小饭桌,青秀区,东葛望园,8,四星商户,16
小吃快餐,中山夜市小吃,青秀区,万达,72,四星商户,151
小吃快餐,麦当劳(金湖店),青秀区,金湖广场,25,四星商户,112
小吃快餐,霞姐老牌瓦煲饭,青秀区,万达,17,四星商户,93
小吃快餐,大食惠传统美食,青秀区,青秀区,13,四星商户,40
小吃快餐,毋米粥(金浦路店),青秀区,民歌湖,102,四星商户,176
小吃快餐,米味,青秀区,盛天地,11,四星商户,27
小吃快餐,虾米家卤味,青秀区,青秀区,9,四星商户,47
小吃快餐,益牛堂,青秀区,青秀区,8,四星商户,27
小吃快餐,汉堡王(南宁万象店),青秀区,万象城,31,准四星商户,271
小吃快餐,天福香生料老友粉,青秀区,青秀区,9,准四星商户,87
小吃快餐,乐多多炸鸡(万象店),青秀区,万象城,16,准四星商户,3
小吃快餐,细弟街坊粉面,青秀区,青秀区,9,准四星商户,25
小吃快餐,第1佳大鸡排,青秀区,茶花园路,14,准四星商户,4
小吃快餐,舒记老友粉(七星路店),青秀区,民族广场,10,准四星商户,967
小吃快餐,老太婆摊摊面(万象城店),青秀区,万象城,20,准四星商户,659
小吃快餐,义门白家手工酸辣粉(万象店),青秀区,万象城,19,准四星商户,55
小吃快餐,赛百味SUBWAY(航洋国际广场店),青秀区,航洋国际,19,准四星商户,65
小吃快餐,汤老椰,青秀区,盛天地,18,准四星商户,22
小吃快餐,品悦天汁饺子(新梦店),青秀区,东葛古城,12,准四星商户,168
小吃快餐,柳州廖哥螺蛳粉,青秀区,葛村路,10,准四星商户,31
小吃快餐,品凡食尚·粥,青秀区,七星路,11,准四星商户,14
小吃快餐,韦叔煎饼,青秀区,青秀区,9,准四星商户,17
小吃快餐,乐多多炸鸡(建政店),青秀区,民主路,19,准四星商户,128
小吃快餐,三品王(桃源路店),青秀区,桃源天桃路口,14,准四星商户,39
小吃快餐,老北京炸酱面,青秀区,青秀区,15,准四星商户,2
小吃快餐,牛一把汉堡炸鸡(仙葫店),青秀区,青秀区,13,准四星商户,3
小吃快餐,贝妈妈厨房(总店),青秀区,青秀区,13,准四星商户,7
小吃快餐,啊哟寿司,青秀区,青秀区,10,准四星商户,4
小吃快餐,绝味鸭脖(开泰路店),青秀区,仙葫,18,准四星商户,6
小吃快餐,鸡皮果卷筒粉,青秀区,青秀区,9,准四星商户,24
小吃快餐,蓉李记(万象城店),青秀区,万象城,31,准四星商户,362
小吃快餐,晏家生料王(平湖店),青秀区,长湖路,10,准四星商户,62
小吃快餐,三品王(万象城店),青秀区,万象城,11,准四星商户,216
小吃快餐,港宁生滚王,青秀区,桃源天桃路口,11,准四星商户,35
小吃快餐,石记桂林米粉(青林路店),青秀区,青秀区,10,准四星商户,6
小吃快餐,生辉烧卤(琅西店),青秀区,琅西,18,准四星商户,41
小吃快餐,杨裕興(青秀万达广场店),青秀区,青秀万达,27,准四星商户,74
小吃快餐,螺公堂(莱茵直营店),青秀区,凤岭南,10,准四星商户,15
小吃快餐,古记老牌卷筒粉,青秀区,东葛园湖,5,准四星商户,22
小吃快餐,螺公堂(东葛望园店),青秀区,青秀区,9,准四星商户,35
小吃快餐,小橙都冒菜(琅西店),青秀区,琅西,29,准四星商户,8
小吃快餐,邹家老扁宾阳酸粉(园湖店),青秀区,园湖路,10,准四星商户,4
小吃快餐,一品鲜粥(仙葫店),青秀区,仙葫,19,准四星商户,19
