菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
小吃快餐,老闵田螺馆,东湖区,胜利路,54,四星商户,1862
小吃快餐,格格奶酪,东湖区,胜利路,8,四星商户,663
小吃快餐,小林煎饼(中山路天虹店),东湖区,中山路,18,四星商户,1241
小吃快餐,闽南古早味,东湖区,胜利路,49,四星商户,71
小吃快餐,煌上煌(东湖店),东湖区,叠山路,44,四星商户,622
小吃快餐,奇之味卤肉卷(Qzwlrj),东湖区,八一广场/省府,6,四星商户,180
小吃快餐,绝味水煮(洪都总店),东湖区,胜利路,19,四星商户,413
小吃快餐,味工坊,东湖区,东湖区,22,四星商户,22
小吃快餐,半城轻餐(象山北路店),东湖区,东湖区,68,四星商户,95
小吃快餐,撸串(民德路店),东湖区,百花洲,63,四星商户,811
小吃快餐,七西烤冷面,东湖区,中山路,8,四星商户,259
小吃快餐,胡记老南昌啤酒鸭拌粉,东湖区,南京西路,15,四星商户,37
小吃快餐,将君排骨,东湖区,胜利路,17,四星商户,510
小吃快餐,哈尔滨大水饺(蛤蟆街店),东湖区,胜利路,33,四星商户,148
小吃快餐,可丽小屋(原不二鸡蛋仔),东湖区,中山路,19,四星商户,209
小吃快餐,煌上煌(贤士路店),东湖区,南京西路,30,四星商户,286
小吃快餐,九号粥品,东湖区,百花洲,66,四星商户,640
小吃快餐,英嫂小吃(蛤蟆街总店),东湖区,八一桥,35,四星商户,100
小吃快餐,德克士(青山南路店),东湖区,青山路沿线,56,四星商户,358
小吃快餐,华莱士(象山北路店),东湖区,叠山路,32,四星商户,495
小吃快餐,正新鸡排(昌盛店),东湖区,叠山路,10,四星商户,291
小吃快餐,武大郎烧饼(中山路店),东湖区,百花洲,10,四星商户,14
小吃快餐,南京老鸭汤粉丝,东湖区,中山路,14,四星商户,99
小吃快餐,紫燕百味鸡(环湖路店),东湖区,百花洲,16,四星商户,78
小吃快餐,绝味(象山北路店),东湖区,墩子塘,17,四星商户,313
小吃快餐,煌上煌(上海路店),东湖区,叠山路,36,四星商户,370
小吃快餐,绝味鸭脖(广场东路店),东湖区,八一广场/省府,25,四星商户,408
小吃快餐,正新鸡排(大雄店),东湖区,胜利路,11,四星商户,197
小吃快餐,正新鸡排(八一公园店),东湖区,百花洲,10,四星商户,32
小吃快餐,正新鸡排(开拓者店),东湖区,八一广场/省府,10,四星商户,75
小吃快餐,老胜利路镇江汤包馆,东湖区,胜利路,19,四星商户,83
小吃快餐,友情花甲粉(胜利路店),东湖区,叠山路,16,四星商户,38
小吃快餐,小程烧饼店,东湖区,胜利路,4,准四星商户,494
小吃快餐,六朝门(中山路百盛店),东湖区,百花洲,19,准四星商户,421
小吃快餐,华莱士(老师大店),东湖区,北京西路,20,准四星商户,474
小吃快餐,紫燕百味鸡(贤士湖路店),东湖区,青山路沿线,29,准四星商户,72
小吃快餐,MissSophie韩国炸鸡啤酒吧(火神...,东湖区,百花洲,49,准四星商户,29
小吃快餐,至尊虾皇(羊子街店),东湖区,中山路,68,准四星商户,227
