菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
小吃快餐,大塊排骨锅(思北店),思明区,中山路/轮渡,70,五星商户,818
小吃快餐,福合埕潮汕牛肉火锅(明发店),思明区,火车站,93,五星商户,5134
小吃快餐,福合埕潮汕牛肉火锅(中华城店),思明区,中山路/轮渡,93,五星商户,262
小吃快餐,牛巴达|超好吃的台湾汉堡(曾厝垵...,思明区,曾厝垵,41,五星商户,165
小吃快餐,珍珍珍拉面(巴黎春天店),思明区,中山路/轮渡,42,五星商户,272
小吃快餐,老纳酸奶(民族路店),思明区,厦门大学,21,五星商户,538
小吃快餐,鹭仁甲当茶遇见鲜花饼(4号店),思明区,曾厝垵,83,五星商户,465
小吃快餐,再临厦门·海鲜粥,思明区,曾厝垵,32,准五星商户,1885
小吃快餐,舊浬1958,思明区,环岛路沿线,76,准五星商户,1438
小吃快餐,拳骨面线(为一碗面线而来),思明区,曾厝垵,22,准五星商户,732
小吃快餐,老纳酸奶(沙坡尾店),思明区,厦门大学,22,准五星商户,307
小吃快餐,黄远堂凤梨酥(中山路六店),思明区,中山路/轮渡,69,准五星商户,1246
小吃快餐,黄远堂凤梨酥(中山路五店),思明区,中山路/轮渡,71,准五星商户,923
小吃快餐,黑白鲁,思明区,厦门大学,26,准五星商户,443
小吃快餐,黄远堂凤梨酥(中山路五店),思明区,中山路/轮渡,79,准五星商户,1421
小吃快餐,五兰沙茶面,思明区,曾厝垵,24,准五星商户,1616
小吃快餐,老四沙茶面(厦大店),思明区,厦门大学,30,准五星商户,2123
小吃快餐,真馍坊西安小吃(文灶店),思明区,火车站,18,准五星商户,106
小吃快餐,南光餐厅,思明区,厦门大学,7,准五星商户,89
小吃快餐,鹭仁甲当茶遇见鲜花饼(1号店),思明区,曾厝垵,69,准五星商户,701
小吃快餐,渔夫猫仔粥,思明区,厦门大学,30,准五星商户,219
小吃快餐,吴厝沙茶面,思明区,曾厝垵,17,准五星商户,230
小吃快餐,灌顶姜母鸭,思明区,厦门大学,39,准五星商户,525
小吃快餐,一绝马鲛羹,思明区,黄厝,31,准五星商户,415
小吃快餐,老四沙茶面(曾厝垵店),思明区,曾厝垵,24,准五星商户,113
小吃快餐,渔船海蛎煎老厦门的味道,思明区,曾厝垵,17,准五星商户,156
小吃快餐,小马哥起司马铃薯(曾厝垵社店),思明区,曾厝垵,21,准五星商户,2320
小吃快餐,正宗乌冬面,思明区,松柏,52,准五星商户,214
小吃快餐,舌尖尖(中闽梧村店),思明区,火车站,33,准五星商户,224
小吃快餐,正番·姜母鸭专门店,思明区,体育路,42,准五星商户,196
小吃快餐,黄远堂凤梨酥(中山路一店),思明区,中山路/轮渡,71,准五星商户,2678
小吃快餐,魔菇传奇(教堂路店),思明区,曾厝垵,23,准五星商户,1975
小吃快餐,禾湟记海鲜面.海鲜粥(厦禾老店),思明区,中山路/轮渡,63,准五星商户,2879
小吃快餐,骆家鸡,思明区,火车站,59,准五星商户,146
小吃快餐,金字烧腊工厂,思明区,禾祥西路,27,准五星商户,143
小吃快餐,剑狮埕老台南小吃,思明区,中山路/轮渡,28,准五星商户,240
小吃快餐,包同学水煎包轻餐厅,思明区,火车站,18,准五星商户,157
小吃快餐,台湾酵素臭豆腐,思明区,曾厝垵,14,准五星商户,188
小吃快餐,邵福记·梅菜扣肉饼,思明区,曾厝垵,10,准五星商户,44
小吃快餐,真馍坊西安小吃(局口店),思明区,中山路/轮渡,20,准五星商户,85
小吃快餐,同婆婆|同安香骨鸡腿(总店),思明区,火车站,11,准五星商户,178
小吃快餐,八婆婆烧仙草(曾厝垵一店),思明区,曾厝垵,11,准五星商户,406
小吃快餐,鑫朝刘汤包(磐基店),思明区,莲坂,23,准五星商户,131
小吃快餐,趣喂土笋冻,思明区,厦门大学,13,准五星商户,57
小吃快餐,厦门老牌档(罗宾森购物广场店),思明区,火车站,44,四星商户,932
小吃快餐,凉房,思明区,厦门大学,35,四星商户,194
小吃快餐,黄金豆腐袋(中山路店),思明区,中山路/轮渡,9,四星商户,657
小吃快餐,苏小糖(四号店),思明区,中山路/轮渡,132,四星商户,464
小吃快餐,面馍 陕西小吃店,思明区,前埔/软件园,23,四星商户,158
小吃快餐,友生风味小吃,思明区,中山路/轮渡,17,四星商户,197
小吃快餐,陈罐西式茶货铺(中山路3店),思明区,中山路/轮渡,108,四星商户,490
小吃快餐,厝味灶脚,思明区,厦门大学,28,四星商户,68
小吃快餐,八婆婆,思明区,曾厝垵,12,四星商户,467
小吃快餐,珍珍珍拉面(SM二期购物广场店),思明区,仙岳路沿线,45,四星商户,1164
小吃快餐,巧媳妇卤肉饭,思明区,松柏,31,四星商户,287
小吃快餐,亲爱的麻辣烫（厦大店）(厦大店),思明区,厦门大学,20,四星商户,68
小吃快餐,珍珍海蛎煎·台南卤肉饭,思明区,中山路/轮渡,20,四星商户,365
小吃快餐,旦宝中华鲁肉饭,思明区,中山路/轮渡,25,四星商户,141
小吃快餐,孙氏手工麻糍,思明区,中山路/轮渡,18,四星商户,297
小吃快餐,古月斋遵义羊肉粉(明发商业广场...,思明区,莲坂,18,四星商户,132
小吃快餐,台湾拳骨面线(前铺店),思明区,前埔/软件园,21,四星商户,155
小吃快餐,巷深扁食店｜老厦门小吃,思明区,曾厝垵,17,四星商户,285
小吃快餐,吉吉酸汤鱼面,思明区,厦门大学,26,四星商户,31
小吃快餐,黄胜记,思明区,莲坂,68,四星商户,581
小吃快餐,红七疯韩国泡菜小火锅,思明区,中山路/轮渡,39,四星商户,189
小吃快餐,真馍坊西安小吃(后江埭店),思明区,嘉禾路,20,四星商户,84
小吃快餐,黄家御膳鸡,思明区,莲坂,57,四星商户,59
小吃快餐,你好！云哥,思明区,曾厝垵,39,四星商户,1419
小吃快餐,鼎泰丰(磐基店),思明区,莲坂,130,四星商户,724
小吃快餐,鸡珍香地表最香的炸鸡,思明区,中山路/轮渡,13,四星商户,168
小吃快餐,四里沙茶面(后江埭路店),思明区,禾祥西路,16,四星商户,692
小吃快餐,四里沙茶面(湖滨四里店),思明区,白鹭洲公园,17,四星商户,1086
小吃快餐,庆君汤包,思明区,火车站,25,四星商户,671
