菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
小吃快餐,墨斗家面,蜀山区,蜀山区,15,五星商户,109
小吃快餐,乐大嘴零食公园(乐城生活广场店),蜀山区,中科大,58,准五星商户,635
小吃快餐,高红玲油茶铺,蜀山区,青阳路,12,准五星商户,133
小吃快餐,巴弟鸡排(之心城店),蜀山区,三里庵,13,准五星商户,1468
小吃快餐,千品捞火锅(IFC店),蜀山区,三里庵,80,准五星商户,413
小吃快餐,汉堡王(合肥欢乐颂店),蜀山区,亳州路,43,准五星商户,10794
小吃快餐,小馋嘴特色爆米花,蜀山区,三里庵,8,准五星商户,789
小吃快餐,炎嗆,蜀山区,1912街区,17,准五星商户,225
小吃快餐,汉堡王(合肥之心城店),蜀山区,三里庵,28,准五星商户,1388
小吃快餐,和米堂(之心城店),蜀山区,三里庵,15,准五星商户,2696
小吃快餐,好七擀面皮,蜀山区,长江西路华联,6,准五星商户,230
小吃快餐,王仁和米线(大润发店),蜀山区,清溪路大润发,19,准五星商户,360
小吃快餐,黯然销魂面,蜀山区,三里庵,12,准五星商户,727
小吃快餐,大脸鸡排(官亭路店),蜀山区,蜀山区,16,准五星商户,436
小吃快餐,澜记.老香港茶点(百脑汇店),蜀山区,百脑汇,30,四星商户,33
小吃快餐,the frypan(韩国炸鸡&啤酒),蜀山区,三里庵,58,四星商户,2695
小吃快餐,江南小镇无锡汤包(之心城店),蜀山区,三里庵,19,四星商户,1561
小吃快餐,安少爷米线(天鹅湖万达店),蜀山区,蜀山区,14,四星商户,119
小吃快餐,三马六鲜炒饭(天鹅湖万达店),蜀山区,蜀山区,16,四星商户,76
小吃快餐,烫乐麻辣烫(华润五彩城店),蜀山区,华润五彩城,23,四星商户,154
小吃快餐,国记 淮南牛肉汤,蜀山区,三里庵,10,四星商户,320
小吃快餐,食悦天美食广场(华润万象城店),蜀山区,蜀山区,40,四星商户,795
小吃快餐,懒汉杂粮粉(华联店),蜀山区,长江西路华联,4,四星商户,411
小吃快餐,牛排杯RODA BEEF(天鹅湖万达店),蜀山区,蜀山区,21,四星商户,97
小吃快餐,杨国福麻辣烫(官亭路店),蜀山区,三里庵,19,四星商户,82
小吃快餐,淘品小栈(国购广场店),蜀山区,三里庵,38,四星商户,416
小吃快餐,贺掌柜纯手工凉皮(天鹅湖万达店),蜀山区,蜀山区,16,四星商户,41
小吃快餐,鼎泰兴蟹黄汤包馆,蜀山区,蜀山区,24,四星商户,60
小吃快餐,麦当劳(合肥之心城店),蜀山区,三里庵,27,四星商户,233
小吃快餐,粥之道粥馆(肥西路店),蜀山区,南七里站,57,四星商户,227
小吃快餐,来西口陕西名吃(南七店),蜀山区,南七里站,19,四星商户,760
小吃快餐,懒汉杂粮粉,蜀山区,三里庵,12,四星商户,141
小吃快餐,谷子地烤冷面,蜀山区,三里庵,7,四星商户,118
小吃快餐,线上花甲(之心城店),蜀山区,三里庵,15,四星商户,40
小吃快餐,荣面馆(港汇店),蜀山区,黄望潜,14,四星商户,444
小吃快餐,紫燕百味鸡(淠河路店),蜀山区,三里庵,15,四星商户,312
小吃快餐,正新鸡排(大溪地店),蜀山区,1912街区,12,四星商户,70
小吃快餐,煌上煌(淠河路店),蜀山区,青阳路,33,四星商户,290
小吃快餐,张亮麻辣烫(安大店),蜀山区,三里庵,11,四星商户,79
小吃快餐,思味花甲(官亭路店),蜀山区,蜀山区,15,四星商户,22
小吃快餐,粒上皇(合肥淠河路店),蜀山区,三里庵,17,四星商户,39
小吃快餐,逢甲黄金右腿(原豪大大鸡排),蜀山区,蜀山区,18,四星商户,281
小吃快餐,烧饼部落,蜀山区,蜀山区,13,四星商户,60
小吃快餐,薛家老店(之心城店),蜀山区,三里庵,17,四星商户,742
小吃快餐,阿三生煎(之心城店),蜀山区,三里庵,17,四星商户,902
小吃快餐,大树蜀黍(安粮店),蜀山区,蜀山区,12,四星商户,24
小吃快餐,鹅良鱼粉,蜀山区,蜀山区,15,四星商户,111
小吃快餐,祖奶奶萧县美食体验店(官亭路店),蜀山区,蜀山区,10,四星商户,28
小吃快餐,王仁和米线(大溪地店),蜀山区,黄望潜,20,四星商户,279
