菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
内蒙菜,格日勒阿妈(东影北街店),赛罕区,摩尔城,74,准五星商户,404
内蒙菜,格日勒阿妈(金桥店),赛罕区,金桥,59,准五星商户,77
内蒙菜,格日勒阿妈(中海店),赛罕区,摩尔城,92,四星商户,397
内蒙菜,格日勒阿妈(巨海店),赛罕区,摩尔城,73,四星商户,183
内蒙菜,格日勒阿妈(桥华世纪村店),赛罕区,桥华,67,四星商户,188
内蒙菜,元青文院餐饮会所,赛罕区,乌兰察布东街,85,四星商户,28
内蒙菜,巴盟人家,赛罕区,桥华,72,四星商户,52
内蒙菜,浩翔098(098),赛罕区,长乐宫,49,四星商户,28
内蒙菜,老绥元烧麦(如意店),赛罕区,赛罕区,41,准四星商户,105
内蒙菜,阿伦高娃蒙餐,赛罕区,内大,37,准四星商户,8
内蒙菜,女神(会展店),赛罕区,金隅时代城,80,准四星商户,11
内蒙菜,老崔包子馆,赛罕区,发展小区,19,准四星商户,30
内蒙菜,蒙亨餐饮·蒙古包·亲情时尚餐厅...,赛罕区,金隅时代城,80,准四星商户,81
内蒙菜,那日拉格蒙餐,赛罕区,师大,45,准四星商户,19
内蒙菜,伊克奈尔宫,赛罕区,仕奇公园,60,准四星商户,14
内蒙菜,塔邻阿度沁奶茶馆,赛罕区,赛罕区,51,准四星商户,2
内蒙菜,浩翔餐饮(乌兰察布路店),赛罕区,乌兰察布东街,62,准四星商户,45
内蒙菜,老绥元烧麦(中海店),赛罕区,桥华,42,准四星商户,48
内蒙菜,老阿妈奶茶馆(桥华店),赛罕区,桥华,34,准四星商户,12
内蒙菜,巴盟烩菜,赛罕区,内大,30,准四星商户,7
内蒙菜,巴音浩日娲(维力斯店),赛罕区,摩尔城,131,准四星商户,7
内蒙菜,内蒙古乌澜大酒店浩翔餐饮,赛罕区,金隅时代城,140,准四星商户,24
内蒙菜,蒙元素啡常火餐吧,赛罕区,乌兰察布东街,80,准四星商户,16
内蒙菜,浩翔(东方维也纳店),赛罕区,赛罕区,55,准四星商户,15
内蒙菜,女神贵宾楼,赛罕区,乌兰察布东街,116,准四星商户,35
内蒙菜,君王铁帽烤肉(总店),赛罕区,凯德MALL,53,准四星商户,10
