菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
烧烤,旺旌烧肉(老北京炙子烤肉),南岗区,哈工大,77,五星商户,1002
烧烤,辛氏火炉(嵩山路店),南岗区,开发区,131,五星商户,817
烧烤,金刚山烧烤(中山路店),南岗区,革新街,54,五星商户,5957
烧烤,杀猪天(总店),南岗区,哈工大,74,五星商户,1290
烧烤,围炉夜话炭火烤肉(李范五店),南岗区,革新街,100,五星商户,384
烧烤,隐炉和牛烧肉店,南岗区,南岗区,131,五星商户,35
烧烤,金刚山烧烤(红旗大街店),南岗区,开发区,51,五星商户,2501
烧烤,朋友来烤肉(自兴街店),南岗区,学府路,75,五星商户,829
烧烤,将军牛排(宣化街餐厅),南岗区,芦家街/宣化街,61,五星商户,2058
烧烤,胡同里京味烤肉(泰山路店),南岗区,国际会展中心,71,五星商户,816
烧烤,食牛间炭烤,南岗区,哈西大街,79,五星商户,118
烧烤,小蜜蜂烤翅吧,南岗区,秋林,58,五星商户,1220
烧烤,牛匠·纯木炭烹肉,南岗区,哈工大,114,五星商户,478
烧烤,炭之家烤肉(花园街店),南岗区,秋林,65,五星商户,1358
烧烤,炭之家烤肉(龙江街店),南岗区,秋林,55,五星商户,848
烧烤,新罗炭火烤肉(汉阳街店),南岗区,哈工大,67,五星商户,243
烧烤,通海俄式烧烤,南岗区,国际会展中心,74,准五星商户,212
烧烤,顾佳五分熟电烤,南岗区,芦家街/宣化街,57,准五星商户,364
烧烤,1981只是一家串店(宣化街总店),南岗区,芦家街/宣化街,72,准五星商户,1091
烧烤,小山烧烤(泰山店),南岗区,军工院,57,准五星商户,80
烧烤,重庆久村烤脑花(哈尔滨总店),南岗区,秋林,70,准五星商户,903
烧烤,大阪烧肉,南岗区,哈工大,94,准五星商户,450
烧烤,尚雅铁板料理(万达店),南岗区,开发区,102,准五星商户,885
烧烤,1981只是一家串店(花园街店),南岗区,秋林,71,准五星商户,224
烧烤,悦花隐·怀石牛排烧肉(哈西店),南岗区,哈西大街,86,准五星商户,204
烧烤,老宋烧肉馆,南岗区,哈工大,68,准五星商户,251
烧烤,韩盛炭火自助烤肉(服装城店),南岗区,服装城,57,准五星商户,986
烧烤,千纸鹤嫩汁烤肉(林大店),南岗区,和兴路沿线,45,准五星商户,1105
烧烤,千纸鹤嫩汁烤肉(西大直街店),南岗区,哈工大,46,准五星商户,1017
烧烤,秋森炭火烤肉店,南岗区,国际会展中心,95,准五星商户,100
烧烤,烤肉张,南岗区,哈工大,69,准五星商户,234
烧烤,韩盛自助烤肉(会展红博店),南岗区,国际会展中心,57,准五星商户,215
烧烤,吹牛啤万国啤酒串烧工厂,南岗区,和兴路沿线,99,准五星商户,751
烧烤,鑫海汇海鲜烤肉自助(建设街店),南岗区,秋林,59,准五星商户,790
烧烤,9毛小串,南岗区,南岗区,63,准五星商户,92
