菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
小吃快餐,忆从黔牛肉粉,中山区,港湾广场,23,五星商户,95
小吃快餐,船歌鱼水饺(安乐街店),中山区,天津街/人民路,62,五星商户,2385
小吃快餐,义门白家重庆手工酸辣粉,中山区,天津街/人民路,15,五星商户,100
小吃快餐,玛卡玛卡滋蛋仔(柏威年购物广场...,中山区,青泥洼桥,25,准五星商户,265
小吃快餐,喜鼎海胆水饺,中山区,青泥洼桥,100,准五星商户,1973
小吃快餐,H.CAFE(凯丹广场店),中山区,港湾广场,27,准五星商户,609
小吃快餐,开口笑海鲜饺子(百年城店),中山区,青泥洼桥,61,准五星商户,1472
小吃快餐,郑文琪龙虾盖浇饭(二七店),中山区,二七广场,33,准五星商户,327
小吃快餐,水一方(三八广场店),中山区,三八广场,77,准五星商户,1048
小吃快餐,中街兴隆记 QQ鸡架 炸串,中山区,青泥洼桥,22,准五星商户,43
小吃快餐,开口笑海鲜饺子(柏威年店),中山区,青泥洼桥,59,准五星商户,1825
小吃快餐,汉堡王(大连柏威年餐厅店),中山区,青泥洼桥,36,准五星商户,319
小吃快餐,志峰咱家饺子,中山区,二七广场,43,准五星商户,553
小吃快餐,多鲜炸串,中山区,青泥洼桥,23,准五星商户,99
小吃快餐,侯哥蒸肠粉,中山区,天津街/人民路,11,准五星商户,214
小吃快餐,无限创作鸡肉饭专门店(胜利广场...,中山区,青泥洼桥,29,准五星商户,375
小吃快餐,Cornery爆米花画廊(柏威年购物广...,中山区,青泥洼桥,25,准五星商户,630
小吃快餐,吴小姐炒酸奶(胜利广场店),中山区,中山区,19,准五星商户,238
小吃快餐,御多幸日本料理(香洲大饭店),中山区,人民广场/新开路,80,准五星商户,957
小吃快餐,好汤好饭(三八店),中山区,三八广场,47,准五星商户,716
小吃快餐,阿得的店(友谊商城人民路店),中山区,中山广场/延安路,44,准五星商户,62
小吃快餐,四云楼烤鸡店,中山区,天津街/人民路,34,准五星商户,364
小吃快餐,Ichi Hot Dogs爱吃热狗,中山区,天津街/人民路,22,准五星商户,36
