菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
烧烤,二十四桥,和平区,五大道,902,五星商户,43
烧烤,五十番日本料理,和平区,鞍山道沿线,114,五星商户,700
烧烤,鲸岚·烧肉夜食,和平区,五大道,145,五星商户,1338
烧烤,这些年羊腿汤深夜食堂(曲阜道店),和平区,小白楼,58,五星商户,1349
烧烤,炉石六本目串烧海鲜炉端烧专门店,和平区,鞍山道沿线,153,五星商户,336
烧烤,鲸岚·烧肉夜食(南市店),和平区,南市,135,五星商户,184
烧烤,姥爷烤羊排(五大道店),和平区,五大道,108,五星商户,183
烧烤,御徒町日式烤肉 烤活章鱼专门店,和平区,滨江道,146,五星商户,304
烧烤,章鱼杰克韩式水煎肉(友谊新天地...,和平区,滨江道,60,五星商户,375
烧烤,韩时烤肉,和平区,滨江道,81,五星商户,249
烧烤,姜虎东白丁韩国烤肉(米莱欧百货...,和平区,滨江道,102,五星商户,6236
烧烤,炙热青春怀旧主题餐厅,和平区,五大道,80,五星商户,5070
烧烤,热度52纸上烧烤·酒馆(南京路店),和平区,滨江道,80,五星商户,1196
烧烤,牛の达人日式烤肉(民园店),和平区,五大道,141,五星商户,2300
烧烤,牛牛七轮烧肉酒场,和平区,五大道,172,五星商户,421
烧烤,七番地·炙宴(日式烧肉专门店),和平区,五大道,142,五星商户,2213
烧烤,烧煮一番,和平区,滨江道,135,五星商户,688
烧烤,鸟内会(里庭河北路串烧店),和平区,五大道,131,五星商户,239
烧烤,一目町日式烧肉店,和平区,五大道,150,五星商户,1045
烧烤,有洸·锦华本店(日本料理),和平区,滨江道,151,五星商户,274
烧烤,梧桐法式铁板烧(天河城店),和平区,和平路,84,五星商户,89
烧烤,DJ City Farm 城市农场,和平区,五大道,107,五星商户,532
烧烤,火火炭火烤肉,和平区,和平路,95,五星商户,127
烧烤,纸此一家纸上烤肉,和平区,南市,80,准五星商户,2947
烧烤,兄弟联烤翅-秘制烤翅专营店,和平区,和平路,44,准五星商户,1295
烧烤,同来顺餐厅,和平区,滨江道,23,准五星商户,67
烧烤,炭匠炉端烧·酒(和平大悦城店),和平区,滨江道,152,准五星商户,240
烧烤,靓煮小海鲜自助火锅(国际商场店),和平区,滨江道,66,准五星商户,9801
烧烤,天空厨房·铁板烧,和平区,南市,78,准五星商户,61
烧烤,新烤宴“烤”味境界(和平马场道...,和平区,西康路沿线,89,准五星商户,444
烧烤,九田家果木烤肉(吉利大厦店),和平区,五大道,88,准五星商户,150
烧烤,肥猫烤翅(锦州道店),和平区,滨江道,60,准五星商户,7629
烧烤,新石器烤肉(恒隆广场店),和平区,和平路,72,准五星商户,1727
烧烤,辣尚仙焖锅火锅烤串炒海鲜,和平区,滨江道,62,准五星商户,486
烧烤,羊之味,和平区,南市,64,准五星商户,120
烧烤,冰城串吧(荣业大街店),和平区,南市,72,准五星商户,1633
烧烤,川西火盆烧烤,和平区,五大道,85,准五星商户,24
烧烤,星星草原火锅烤肉自助(天津滨江...,和平区,滨江道,55,准五星商户,5579
烧烤,亮剑抗日主题餐厅(和平店),和平区,南市,83,准五星商户,1774
烧烤,炙子革命—老北京烤肉(和平店),和平区,鞍山道沿线,76,准五星商户,2603
烧烤,鸟内会(长沙路店),和平区,五大道,112,准五星商户,305
烧烤,学義堂·牛蛙海鲜烧烤店,和平区,鞍山道沿线,52,准五星商户,20
烧烤,黄家花园大胡子烧烤(荣安大街店),和平区,南市,72,准五星商户,2544
烧烤,一烤食上自助烤肉(滨江道店),和平区,和平路,56,准五星商户,6877
烧烤,大渔铁板烧(天津国贸购物中心店),和平区,小白楼,229,四星商户,1204
烧烤,鸟内会(烧极的铁板烧店),和平区,五大道,109,四星商户,619
烧烤,比尔烤肉(福安大街店),和平区,和平路,59,四星商户,9628
烧烤,韩舍纸上自助烤肉,和平区,滨江道,53,四星商户,15826
烧烤,江一湖炭烤羊腿(津湾店),和平区,和平路,99,四星商户,1100
烧烤,卡奇玛·一米大串(乐宾百货店),和平区,滨江道,79,四星商户,343
烧烤,大胡子海鲜烧烤(黄家花园总店),和平区,滨江道,74,四星商户,2607
烧烤,moma摩麦融合餐厅(恒华店),和平区,下瓦房,56,四星商户,44
烧烤,韩罗苑(大悦城店),和平区,大悦城,89,四星商户,4994
烧烤,木屋烧烤(和平大悦城店),和平区,滨江道,69,四星商户,240
烧烤,韩罗苑(乐宾店),和平区,滨江道,76,四星商户,9005
烧烤,鸣记烤鱼-蒸汽海鲜,和平区,和平路,95,四星商户,1035
烧烤,大胡子海鲜烧烤大排档(哈尔滨道...,和平区,滨江道,73,四星商户,154
烧烤,木屋烧烤(海光寺店),和平区,鞍山道沿线,75,四星商户,4579
烧烤,瑞兆日式居酒屋,和平区,滨江道,71,四星商户,28
烧烤,郭靖烤全羊(小白楼店),和平区,五大道,136,四星商户,5
烧烤,小海羊肉串,和平区,五大道,63,四星商户,61
烧烤,贰师兄叉烧饭,和平区,和平路,18,四星商户,72
烧烤,PANKOO釜山料理(天津大悦城店),和平区,大悦城,93,四星商户,112
烧烤,kura铁板烧,和平区,五大道,194,四星商户,29
烧烤,八色烤肉(天河城店),和平区,和平路,92,准四星商户,56
烧烤,小魏铁板烧,和平区,小白楼,11,准四星商户,11
烧烤,老船吧(南京路教堂店),和平区,滨江道,67,准四星商户,1257
烧烤,大个麻辣烧烤,和平区,小白楼,29,准四星商户,21
烧烤,鸟内会(炭烤肉店),和平区,五大道,153,准四星商户,97
烧烤,鸟内会(里庭店),和平区,五大道,115,准四星商户,8
烧烤,延成苑韩式烤肉店(长春道店),和平区,滨江道,53,准四星商户,1095
烧烤,汉棠烤肉,和平区,和平区,74,准四星商户,52
烧烤,海丽红麻辣烫烧烤(清真),和平区,和平路,15,准四星商户,33
烧烤,韩香居(天佑城店),和平区,天佑城/西南角,61,准四星商户,932
烧烤,烤动力(欧乐店),和平区,和平路,81,准四星商户,65
烧烤,美时美客重庆火锅全季烤肉自助(...,和平区,滨江道,52,准四星商户,4660
烧烤,三哥烫菜坊,和平区,西康路沿线,50,准四星商户,5
烧烤,大渔铁板烧(伊势丹南京路店),和平区,滨江道,187,准四星商户,3435
烧烤,炭宝贝烤肉自助,和平区,和平区,58,准四星商户,57
烧烤,汉拿山(乐宾店),和平区,滨江道,89,准四星商户,4
烧烤,尚品厨房烤肉饭和森木炸鸡,和平区,小白楼,14,准四星商户,150
烧烤,日馋翅吧(荣安大街店),和平区,南市,61,准四星商户,60
烧烤,老电车烧烤,和平区,滨江道,48,准四星商户,3
烧烤,麻辣烤串,和平区,和平路,12,准四星商户,6
烧烤,小叼羊烧烤,和平区,和平路,38,准四星商户,75
烧烤,金权道韩式自助烤肉,和平区,和平路,49,准四星商户,1
烧烤,六合烤翅,和平区,滨江道,72,准四星商户,16
烧烤,闻香烧烤,和平区,滨江道,16,准四星商户,6
烧烤,土耳其烤肉卷,和平区,和平路,8,准四星商户,15
烧烤,日馋(荣安大街店),和平区,南市,53,三星商户,5
烧烤,韩津城韩式自助烧烤,和平区,和平路,41,三星商户,1119
烧烤,韩时烤肉,和平区,和平区,87,该商户暂无星级,4
火锅,前进火锅,和平区,西康路沿线,67,五星商户,153
火锅,大吉利潮汕牛肉火锅(和平店),和平区,滨江道,76,五星商户,3286
火锅,海底捞火锅(吉利大厦店),和平区,滨江道,107,五星商户,8777
火锅,花田居酒屋,和平区,滨江道,152,五星商户,735
火锅,刀叉遇上筷子餐厅.宵夜(和平店),和平区,西康路沿线,84,五星商户,3910
火锅,真牛哇·香辣汽锅蛙(天河城店),和平区,和平路,64,五星商户,387
火锅,悦辣川派火锅(大悦城店),和平区,南市,83,五星商户,474
火锅,语华食年糕火锅(总店),和平区,滨江道,54,五星商户,1223
火锅,哏鱼头-津门首创石煮鱼头(泰安道...,和平区,小白楼,96,五星商户,1153
火锅,虾士(和平大悦城店),和平区,滨江道,89,五星商户,318
火锅,味蜀吾老火锅(和平店),和平区,鞍山道沿线,124,五星商户,2322
火锅,啪啪火锅市集&串椒火辣,和平区,五大道,104,五星商户,251
火锅,厨司令重庆美蛙鱼头·牛蛙火锅,和平区,和平路,97,五星商户,225
火锅,董家湾重庆老火锅(滨江道店),和平区,滨江道,103,五星商户,5381
火锅,跳跳鱼遇上蹦蹦虾,和平区,滨江道,54,五星商户,631
火锅,滇草香(恒隆广场店),和平区,和平路,151,五星商户,2773
火锅,川府老妈时尚火锅(恒隆广场店),和平区,和平路,92,五星商户,184
火锅,草原牧羊火锅餐厅(滨江道店),和平区,滨江道,58,五星商户,193
火锅,热辣壹号(五大道店),和平区,五大道,118,五星商户,4865
火锅,古牛香云南铜瓢火锅,和平区,滨江道,69,五星商户,83
火锅,陈记顺和潮汕牛肉火锅(南市食品...,和平区,南市,88,五星商户,707
火锅,香家火锅(天河城店),和平区,和平路,98,准五星商户,316
火锅,铁真刨冰王红焖羊肉(正宗老店),和平区,西康路沿线,21,准五星商户,2793
火锅,羴兄弟·羊肉专门店·夜宵烧烤,和平区,南市,89,准五星商户,291
火锅,呷哺呷哺(天津捌伍捌店),和平区,滨江道,42,准五星商户,1567
火锅,老六涮羊肉火锅店(辽宁路店),和平区,和平路,66,准五星商户,684
火锅,靓煮小海鲜自助火锅(国际商场店),和平区,滨江道,66,准五星商户,9801
火锅,懂事儿涮肉,和平区,和平区,74,准五星商户,115
火锅,黄记煌三汁焖锅(乐宾店),和平区,滨江道,95,准五星商户,4031
火锅,2号别墅豆捞坊,和平区,小白楼,163,准五星商户,1065
火锅,呷哺呷哺(天津友谊新天地店),和平区,滨江道,46,准五星商户,639
火锅,渝味晓宇重庆火锅（舌尖上的美食...,和平区,五大道,111,准五星商户,2382
火锅,嗨小锅(世纪都会店),和平区,滨江道,66,准五星商户,1227
火锅,沸腾地带升降火锅,和平区,滨江道,60,准五星商户,52
火锅,高丽亚娜芝士肋排年糕火锅料理店,和平区,滨江道,48,准五星商户,101
火锅,井格老灶火锅(凯德国贸店),和平区,小白楼,111,准五星商户,1047
火锅,呷哺呷哺(天津劝业场店),和平区,和平路,47,准五星商户,946
火锅,李二鲜鱼火锅活鱼现杀(天河城店),和平区,和平路,65,准五星商户,305
火锅,高小松·椰子鸡火锅(滨江道店),和平区,滨江道,75,准五星商户,751
火锅,新辣道鱼火锅(大悦城店),和平区,大悦城,105,准五星商户,4538
火锅,新辣道鱼火锅(乐宾百货店),和平区,滨江道,97,准五星商户,3825
火锅,黄记煌三汁焖锅(恒隆广场店),和平区,和平路,92,准五星商户,2860
火锅,呷哺呷哺(天津朗香街店),和平区,小白楼,49,准五星商户,115
火锅,东来顺,和平区,南市,80,准五星商户,527
火锅,呷哺呷哺(中原麦购时代广场店),和平区,南市,49,准五星商户,416
火锅,蒸融海货(奥林匹克店),和平区,西康路沿线,128,准五星商户,1077
火锅,红兴餐厅,和平区,西康路沿线,62,准五星商户,177
