菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
小吃快餐,友达面馆,小店区,小店区,33,准五星商户,53
小吃快餐,凤凰情苗家牛肉粉(亲贤街店),小店区,亲贤街,20,准五星商户,141
小吃快餐,湘尚粉馆,小店区,亲贤街,20,准五星商户,42
小吃快餐,粉囧鱼粉,小店区,体育路,28,四星商户,58
小吃快餐,正豪大大鸡排(北美新天地中心店),小店区,长风街,23,四星商户,577
小吃快餐,姐弟俩土豆粉,小店区,长风街,20,四星商户,64
小吃快餐,汉堡王(太原北美新天地店),小店区,长风街,36,四星商户,98
小吃快餐,1973继光香香鸡(北美N1店),小店区,小店区,19,四星商户,33
小吃快餐,顺溜削面(山大店),小店区,坞城路,23,四星商户,762
小吃快餐,麦当劳(太原坞城路店),小店区,省体育中心,29,四星商户,37
小吃快餐,麦当劳(太原平阳路店),小店区,省体育中心,30,四星商户,52
小吃快餐,晋心面生活馆,小店区,省体育中心,21,四星商户,124
小吃快餐,来趣黑椒厨房,小店区,小店区,31,四星商户,27
小吃快餐,米集盒(和信店),小店区,长风街,20,四星商户,26
小吃快餐,川町太郎,小店区,体育路,20,四星商户,25
小吃快餐,顺溜削面(平阳路店),小店区,省体育中心,19,四星商户,489
小吃快餐,顺溜削面(长风街店),小店区,长风街,20,四星商户,645
小吃快餐,台湾乌贼烧(茂业天地店),小店区,亲贤街,17,四星商户,150
小吃快餐,凤凰情湘西牛肉粉,小店区,长风街,23,四星商户,34
小吃快餐,广福排挡,小店区,长治路,79,四星商户,21
小吃快餐,顺溜削面(居然之家店),小店区,长治路,15,四星商户,265
小吃快餐,冠云牛肉面馆,小店区,并州路,24,四星商户,49
小吃快餐,顺溜削面(小马店),小店区,高新科技产业区,18,四星商户,240
小吃快餐,旗鼓村米线,小店区,长风街,24,四星商户,17
小吃快餐,米集盒(长治路店),小店区,长治路,25,四星商户,6
小吃快餐,哈哈镜鸭脖(亲贤总店),小店区,亲贤街,34,准四星商户,157
小吃快餐,贝尼泰迪de炸鱼薯条,小店区,小店区,24,准四星商户,29
小吃快餐,正豪大大鸡排(茂业天地店),小店区,亲贤街,20,准四星商户,31
小吃快餐,王萍面皮(亲贤北街店),小店区,亲贤街,13,准四星商户,11
小吃快餐,串串叔叔(昌盛街店),小店区,昌盛西街,30,准四星商户,246
小吃快餐,小哥猪蹄,小店区,南中环街,20,准四星商户,3
