菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
自助餐,比卡亚巴西烧烤餐厅,海曙区,天一广场,148,五星商户,932
自助餐,宁波阳光豪生大酒店豪生咖啡厅,海曙区,海曙区,138,准五星商户,1020
自助餐,南苑饭店汀兰居,海曙区,月湖公园,144,准五星商户,2387
自助餐,烤食汇自助烧烤火锅(天一店),海曙区,天一广场,70,准五星商户,1839
自助餐,欢乐牧场烧烤涮自助餐厅,海曙区,天一广场,70,准五星商户,407
自助餐,名羊天下自助火锅烧烤(镇明路店),海曙区,月湖公园,65,准五星商户,2780
自助餐,加勒比主题-海鲜自助餐厅(莱迪店...,海曙区,城隍庙,105,四星商户,3841
自助餐,威斯汀酒店·知味国际美食自助餐...,海曙区,天一广场,192,四星商户,1053
自助餐,华侨豪生西餐厅,海曙区,月湖公园,240,四星商户,1142
自助餐,华侨豪生大酒店大堂吧,海曙区,月湖公园,86,四星商户,120
自助餐,华侨豪生咖啡厅自助餐,海曙区,月湖公园,184,四星商户,1838
自助餐,海宴蒸汽海鲜自助餐厅,海曙区,海曙区,79,四星商户,74
自助餐,上井精致料理(和义大道店),海曙区,和义大道,281,四星商户,982
自助餐,万豪咖啡厅,海曙区,鼓楼,106,四星商户,55
自助餐,尚品宫韩式自助烧烤(联丰店),海曙区,联丰路沿线,55,四星商户,91
自助餐,华侨豪生大酒店中式零点自助餐厅,海曙区,月湖公园,176,四星商户,227
自助餐,海曙天港禧悦酒店浩全日餐厅,海曙区,海曙区,114,准四星商户,40
自助餐,金三顺韩国料理,海曙区,月湖公园,16,准四星商户,10
面包甜点,香港十三座(天一店),海曙区,天一广场,18,五星商户,246
面包甜点,墨界冰淇淋,海曙区,鼓楼,28,准五星商户,94
面包甜点,茶风(莱迪店),海曙区,天一广场,16,准五星商户,1369
面包甜点,可莎蜜兒(新华联商厦店),海曙区,天一广场,36,准五星商户,1332
面包甜点,大通冰室(天一店),海曙区,天一广场,15,准五星商户,2580
面包甜点,O2(第二百货店),海曙区,天一广场,12,准五星商户,1295
面包甜点,CoCo都可茶饮(第二百货店),海曙区,天一广场,10,准五星商户,783
面包甜点,O2(天一苏宁店),海曙区,天一广场,13,准五星商户,1517
面包甜点,可莎蜜兒(翠柏店),海曙区,翠柏路沿线,29,准五星商户,574
面包甜点,royaltea皇茶(鼓楼店),海曙区,海曙区,15,准五星商户,222
面包甜点,蛋糕爆炸,海曙区,月湖公园,64,准五星商户,540
面包甜点,欧文西点工坊(日新街店),海曙区,天一广场,31,准五星商户,4482
面包甜点,CoCo都可茶饮(鼓楼店),海曙区,鼓楼,9,准五星商户,641
面包甜点,港记老香港手工蛋糕,海曙区,鼓楼,20,准五星商户,1165
面包甜点,Godiva(宁波天一广场店),海曙区,天一广场,66,准五星商户,66
面包甜点,茶风(1844店),海曙区,和义大道,15,准五星商户,182
面包甜点,blue cake,海曙区,鼓楼,28,准五星商户,96
面包甜点,英皇鱼乐ROYAL.Y.L(魚乐茶饮),海曙区,天一广场,17,准五星商户,970
面包甜点,欧文西点工坊(青林湾店),海曙区,青林湾,22,准五星商户,896
面包甜点,凯伦斯老香港纯手工蛋糕,海曙区,鼓楼,15,准五星商户,306
面包甜点,欧文西点工坊(鼓楼店),海曙区,鼓楼,33,准五星商户,2411
面包甜点,茶风(马园路店),海曙区,翠柏路沿线,17,准五星商户,128
面包甜点,泰芒了(宁波总店),海曙区,海曙区,24,准五星商户,95
面包甜点,大通冰室(城隍庙店),海曙区,天一广场,11,准五星商户,861
面包甜点,CoCo都可茶饮(大来店),海曙区,天一广场,10,准五星商户,563
面包甜点,CoCo都可茶饮(世贸店),海曙区,天一广场,10,准五星商户,453
面包甜点,一鸣真鲜奶吧(莱迪广场店),海曙区,天一广场,10,准五星商户,469
面包甜点,O2(鼓楼二店),海曙区,鼓楼,14,准五星商户,348
面包甜点,一鸣真鲜奶吧(蓝天路店),海曙区,西门口,15,准五星商户,436
面包甜点,凉先绅coolhitto(天一广场店),海曙区,海曙区,23,准五星商户,83
面包甜点,弥茶(天一广场店),海曙区,海曙区,17,准五星商户,39
面包甜点,1點點奶茶(鼓楼店),海曙区,鼓楼,13,准五星商户,278
面包甜点,乾隆酥饼(鼓楼店),海曙区,鼓楼,19,准五星商户,251
面包甜点,大通冰室(翠柏店),海曙区,翠柏路沿线,12,准五星商户,698
面包甜点,司丹尔西饼(欧尚店),海曙区,翠柏路沿线,20,准五星商户,663
面包甜点,一鸣真鲜奶吧(东渡店),海曙区,天一广场,12,准五星商户,660
面包甜点,大保健（城隍庙店）,海曙区,城隍庙,20,准五星商户,240
面包甜点,初壹日式抹茶,海曙区,天一广场,37,准五星商户,261
面包甜点,Regiustea天御皇茶(天一广场店),海曙区,天一广场,18,准五星商户,231
面包甜点,栀枝烘焙,海曙区,南塘老街,38,准五星商户,44
面包甜点,司丹尔(南苑街店),海曙区,汽车南站,19,准五星商户,399
面包甜点,O2(鼓楼一店),海曙区,鼓楼,13,准五星商户,705
面包甜点,阿姨奶茶专卖城隍庙店(宁波总店),海曙区,城隍庙,9,准五星商户,1778
面包甜点,鲜芋仙(天一店),海曙区,天一广场,20,四星商户,3715
面包甜点,厝內小眷村(1844店),海曙区,海曙区,12,四星商户,403
面包甜点,La Rêveuse 爱做梦的少女·英式...,海曙区,月湖公园,115,四星商户,123
面包甜点,Breaker·抹茶(宁波店),海曙区,天一广场,32,四星商户,54
面包甜点,弥茶(天一店),海曙区,海曙区,18,四星商户,64
面包甜点,麋鹿森林,海曙区,海曙区,60,四星商户,121
面包甜点,下雪的村庄(天一旗舰店),海曙区,天一广场,38,四星商户,730
面包甜点,1點點(天一世贸大楼店),海曙区,天一广场,12,四星商户,88
面包甜点,乘零,海曙区,海曙区,18,四星商户,25
面包甜点,面包新语(高鑫广场店),海曙区,海曙区,19,四星商户,145
面包甜点,快乐柠檬happylemon(鼓楼店),海曙区,鼓楼,12,四星商户,112
面包甜点,贝儿思咪西点工坊(青林湾店),海曙区,青林湾,27,四星商户,181
面包甜点,贝儿思咪西点工坊(大卿桥店),海曙区,翠柏路沿线,32,四星商户,391
面包甜点,意杯鲜饮(鼓楼店),海曙区,鼓楼,9,四星商户,369
面包甜点,乔治派克.光的乳酪(东门银泰店),海曙区,天一广场,34,四星商户,1388
面包甜点,CoCo都可茶饮(鼓楼二店),海曙区,鼓楼,10,四星商户,431
面包甜点,一萬•果茶(城隍庙店),海曙区,城隍庙,17,四星商户,53
面包甜点,糖纸甜品(天一广场店),海曙区,天一广场,26,四星商户,187
面包甜点,莓兽(第二百货店),海曙区,天一广场,16,四星商户,57
面包甜点,RAVI巴黎奔奔,海曙区,海曙区,23,四星商户,127
面包甜点,一麦酥糕饼铺(鼓楼店),海曙区,海曙区,15,四星商户,72
面包甜点,尼积咖啡(公园路店),海曙区,鼓楼,13,四星商户,697
面包甜点,艾菲蛋糕,海曙区,西门口,147,四星商户,335
面包甜点,卜菲力牛排杯(鼓楼店),海曙区,鼓楼,23,四星商户,96
面包甜点,面包新语(天一广场店),海曙区,天一广场,18,四星商户,131
面包甜点,大通冰室(恒一广场店),海曙区,海曙欧尚,10,四星商户,51
面包甜点,泰芒了(天封塔店),海曙区,海曙区,18,四星商户,75
面包甜点,四云奶盖贡茶(城隍庙店),海曙区,海曙区,14,四星商户,48
面包甜点,可莎蜜兒(鼓楼店),海曙区,西门口,29,四星商户,500
面包甜点,快乐柠檬茶饮连锁(天一开明街店),海曙区,天一广场,12,四星商户,95
面包甜点,一鸣真鲜奶吧(丽园北路店),海曙区,联丰路沿线,11,四星商户,333
面包甜点,無邪日式甜品(天一店),海曙区,海曙区,40,四星商户,1372
