菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
小吃快餐,蓉城十三香黑砂串串,武侯区,高新区,64,五星商户,90
小吃快餐,有料·焖烤羊肉串,武侯区,九眼桥,60,五星商户,486
小吃快餐,蒙小妹豚骨米线,武侯区,桐梓林,24,准五星商户,111
小吃快餐,愚小面(航空店),武侯区,桐梓林,25,准五星商户,141
小吃快餐,吴记怪味面(三十年老店 双楠店),武侯区,双楠,13,准五星商户,159
小吃快餐,友记功夫香.双流老妈兔头,武侯区,红牌楼,64,准五星商户,256
小吃快餐,花笺洋果日式小食(大悦城店),武侯区,武侯区,19,准五星商户,342
小吃快餐,花笺洋果日式小食(来福士店),武侯区,跳伞塔,16,准五星商户,819
小吃快餐,柏sir捞面(桐梓林店),武侯区,桐梓林,18,准五星商户,108
小吃快餐,Bite me匠心料理,武侯区,高新区,31,准五星商户,33
小吃快餐,席罐罐罐饭(奥克斯广场店),武侯区,高新区,28,准五星商户,1549
小吃快餐,花斓蔓,武侯区,桐梓林,17,准五星商户,110
小吃快餐,王氏牛筋面(成都旗舰总店),武侯区,高新区,14,准五星商户,117
小吃快餐,王妈手撕烤兔(玉林店),武侯区,玉林,49,四星商户,2488
小吃快餐,老陕味道(棕北店),武侯区,武侯区,33,四星商户,124
小吃快餐,红星兔丁(武侯祠店),武侯区,武侯祠,24,四星商户,683
小吃快餐,席罐罐罐饭(新世纪环球中心店),武侯区,高新区,33,四星商户,985
小吃快餐,沙拉啦啦(银泰城店),武侯区,高新区,30,四星商户,66
小吃快餐,廖记棒棒鸡 锦里,武侯区,武侯祠,26,四星商户,48
小吃快餐,乐山牛华绿缘麻辣烫(新南门店),武侯区,磨子桥,50,四星商户,232
小吃快餐,三顾冒菜(体院店),武侯区,高升桥,22,四星商户,94
小吃快餐,马路边边麻辣烫(致民路店),武侯区,磨子桥,65,四星商户,924
小吃快餐,帽牌货冒菜(肖家河店),武侯区,高升桥,22,四星商户,536
小吃快餐,第一佳大鸡排(复城国际店),武侯区,高新区,13,四星商户,822
小吃快餐,叶婆婆钵钵鸡,武侯区,玉林,46,四星商户,1043
小吃快餐,海棠乐山传统小吃,武侯区,武侯区,9,四星商户,30
小吃快餐,小小叶锡纸花甲米线(龙湖.金楠天...,武侯区,龙湖金楠天街,16,四星商户,74
小吃快餐,黄伞肺片(郭家桥店),武侯区,科华北路,23,四星商户,278
小吃快餐,谭家,武侯区,玉林,27,四星商户,37
小吃快餐,王记狼牙土豆,武侯区,高升桥,8,四星商户,54
小吃快餐,小倔先生·驴肉火烧(清凤时代城...,武侯区,高新区,13,四星商户,126
小吃快餐,京城特号饺子馆(棕北店),武侯区,科华北路,37,四星商户,269
小吃快餐,漠魂西北面,武侯区,红牌楼,26,四星商户,71
小吃快餐,老盐边羊肉米线,武侯区,武侯祠,11,四星商户,21
小吃快餐,十秒到过桥米线(泛悦国际店),武侯区,武侯区,26,四星商户,164
小吃快餐,大小喜吃匠心集(in99店),武侯区,高新区,72,四星商户,526
小吃快餐,学街秀兰麻辣烫(科华店),武侯区,科华北路,66,四星商户,465
小吃快餐,廖记挞面王(银泰中心in99店),武侯区,高新区,20,四星商户,79
小吃快餐,汉堡王(成都大悦城店),武侯区,中粮大悦城,26,四星商户,139
小吃快餐,真香过桥米线(凯德·天府店),武侯区,高新区,23,四星商户,703
小吃快餐,如意鸡汤,武侯区,高新区,32,四星商户,179
