菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
火锅,老成都胡涂串串(小花园店),五华区,五华区,78,准五星商户,97
火锅,海底捞火锅(金鹰广场店),五华区,翠湖公园,117,准五星商户,68
火锅,成都巴色鱼捞(顺城店),五华区,五华区,73,准五星商户,51
火锅,一品·柠檬鱼(正义坊店),五华区,五华区,60,四星商户,35
火锅,城市花园(翠湖店),五华区,翠湖公园,84,四星商户,362
火锅,登文·城市花园(经典店),五华区,高新区,71,四星商户,621
火锅,一叶知秋椰子鸡火锅,五华区,五华区,47,四星商户,39
火锅,听牧牛庄(同仁店),五华区,南屏片区,161,四星商户,143
火锅,小天鹅火锅(顺城购物中心店),五华区,南屏片区,83,四星商户,224
火锅,野菌王火锅(五华区店),五华区,南屏片区,72,四星商户,466
火锅,潮牛明星潮汕牛肉火锅,五华区,五华区,97,四星商户,84
火锅,雨林小筑傣味酸汤火锅(新西南店),五华区,小花园,75,四星商户,310
火锅,昆明市五华区城市花园咖啡店(正...,五华区,南屏片区,79,四星商户,561
火锅,老房老舍重庆传统火锅(护国路店),五华区,五华区,86,四星商户,88
火锅,雨林小筑(高新店),五华区,五华区,65,四星商户,21
火锅,莱莎公爵泰国海鲜火锅,五华区,小花园,89,四星商户,215
火锅,小天鹅火锅(正义坊店),五华区,南屏片区,72,四星商户,357
火锅,重庆桥头火锅(昆都店),五华区,昆都,72,四星商户,321
火锅,金五门秘制时尚火锅,五华区,五华区,55,四星商户,18
火锅,潮辣矿泉水火锅(右营店),五华区,月牙塘,62,四星商户,190
火锅,成都小郡肝串串(正义坊总店),五华区,五华区,72,四星商户,24
火锅,厚道野生菌火锅,五华区,五华区,76,四星商户,18
火锅,老成都胡涂串串(M60店),五华区,黄土坡,77,四星商户,54
火锅,彝乡野生菌三锅(普吉路店),五华区,黄土坡,72,四星商户,69
火锅,味蜀吾(正义坊店),五华区,翠湖公园,101,四星商户,189
火锅,九如我家黑鱼馆(正义坊店),五华区,南屏片区,93,四星商户,177
火锅,小肥羊火锅餐厅(建设路店),五华区,五华区,70,四星商户,50
火锅,甲猜泰式火锅(顺城店),五华区,南屏片区,61,四星商户,155
火锅,小妙手重庆老火锅(翠园店),五华区,虹山/建设路,91,四星商户,90
火锅,小天鹅火锅(金鹰店),五华区,小花园,81,四星商户,195
火锅,重庆临江门鱼烙哆火锅自助餐,五华区,虹山/建设路,56,四星商户,30
火锅,花田煮.臻牛火锅(正义坊店),五华区,南屏片区,88,四星商户,72
火锅,紫悦轩(柏联广场店),五华区,南屏片区,98,四星商户,100
火锅,滇昭源.龚小哥昭通天麻竹荪鸡(总...,五华区,虹山/建设路,34,四星商户,22
火锅,高记生鱼(和谐店),五华区,五华区,63,四星商户,53
火锅,丽江土司火塘,五华区,高新区,27,四星商户,5
火锅,牛牛潮汕牛肉火锅,五华区,五华区,69,准四星商户,10
火锅,樨行纪,五华区,小花园,19,准四星商户,517
火锅,茗茗火锅自助涮烤(金碧店),五华区,金马碧鸡坊片区,40,准四星商户,543
火锅,杨小淞重庆火锅·干锅(霖雨路店),五华区,虹山/建设路,86,准四星商户,116
火锅,仟和骨头王火锅(金碧店),五华区,南屏片区,80,准四星商户,547
火锅,憨石匠鲜菜土火锅昆都店,五华区,昆都,65,准四星商户,62
火锅,大脸猴新派豆皮涮牛肚,五华区,五华区,57,准四星商户,20
火锅,甲猜泰式火锅(美辰百货店),五华区,小西门,60,准四星商户,55
火锅,福润肥牛(昌源路店),五华区,高新区,54,准四星商户,22
火锅,嘉州河鲜生态自助鱼火锅(昆明店),五华区,嘉年华购物广场,61,准四星商户,76
火锅,闰祥釜●福润肥牛(月牙塘分店),五华区,月牙塘,100,准四星商户,43
火锅,花溪清汤鹅(高新店),五华区,黄土坡,39,准四星商户,20
火锅,乐唐渣精老火锅,五华区,月牙塘,59,准四星商户,47
火锅,香村老汉木桶鱼(北市区店),五华区,月牙塘,51,准四星商户,45
火锅,詹记会泽壮羊馆(右营店),五华区,和谐世纪,55,准四星商户,6
火锅,昆鹏缘-生态肥牛,五华区,嘉年华购物广场,73,准四星商户,10
火锅,西雅居臻味火锅餐厅,五华区,黄土坡,38,准四星商户,5
火锅,中和巷5号庭院餐厅,五华区,翠湖公园,93,准四星商户,50
