菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
自助餐,大隐清心素食自助餐厅,西湖区,灵隐,25,五星商户,281
自助餐,西湖国宾馆8号楼咖啡厅,西湖区,龙井/虎跑,301,准五星商户,1287
自助餐,云天阁自助餐厅,西湖区,西湖北线/黄龙,233,准五星商户,1336
自助餐,杭州西溪宾馆 松露西餐厅,西湖区,西溪,196,四星商户,1091
自助餐,春暖花开(万塘店),西湖区,高新文教区,73,四星商户,14385
自助餐,西溪喜来登盛宴标帜餐厅,西湖区,西溪,300,四星商户,568
自助餐,杭州西子湖四季酒店大堂酒廊,西湖区,西湖北线/黄龙,243,四星商户,211
自助餐,萤火虫烧烤自助餐厅,西湖区,转塘,74,四星商户,911
自助餐,韩千炉海鲜自助烤肉(文三店),西湖区,高新文教区,54,四星商户,4728
自助餐,黄龙饭店D'cafe自助餐,西湖区,西湖北线/黄龙,349,四星商户,1181
自助餐,香格里拉饭店咖啡苑,西湖区,西湖北线/黄龙,192,四星商户,1191
自助餐,悦榕庄湖光阁,西湖区,古墩路沿线,350,四星商户,386
自助餐,伊美大酒店.四季餐厅,西湖区,高新文教区,80,四星商户,796
自助餐,深海800米(城西银泰城店),西湖区,城西银泰,162,准四星商户,518
自助餐,醉乾楼自助餐厅(五洲国际店),西湖区,古墩路沿线,64,准四星商户,205
自助餐,oakwood奥克伍德自助餐厅,西湖区,高新文教区,189,准四星商户,327
自助餐,舌上美味自助烧烤(三墩店),西湖区,三墩镇,53,准四星商户,888
自助餐,水岸山居大酒店西餐厅,西湖区,转塘,46,准四星商户,65
自助餐,文华大酒店咖啡阁,西湖区,高新文教区,89,准四星商户,243
自助餐,韩金阁自助烤肉火锅,西湖区,小和山,40,准四星商户,12
自助餐,凤凰艺馆酒店自助餐厅,西湖区,转塘,100,准四星商户,15
自助餐,金溪山庄香雪轩咖啡苑,西湖区,龙井/虎跑,75,准四星商户,16
自助餐,金汉亭韩式自助烤肉(望月店),西湖区,三墩镇,44,准四星商户,8
自助餐,渝留香自助火锅(古墩路店),西湖区,古墩路沿线,50,准四星商户,268
自助餐,五行缺肉自助吧,西湖区,小和山,43,准四星商户,7
自助餐,京成一品欢乐烤场(转塘店),西湖区,转塘,70,准四星商户,108
自助餐,幺妹自助火锅(转塘店),西湖区,转塘,49,准四星商户,124
自助餐,巴西烤肉(工大分店),西湖区,小和山,65,准四星商户,1
