菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
小吃快餐,周黑鸭(武昌站店),武昌区,武昌火车站,36,五星商户,648
小吃快餐,周黑鸭(中南一店),武昌区,中南路,22,准五星商户,830
小吃快餐,紫燕百味鸡(盘龙店),武昌区,丁字桥,27,准五星商户,933
小吃快餐,熊太婆原汤水饺,武昌区,司门口,11,准五星商户,356
小吃快餐,U鼎冒菜(南国昙华林店),武昌区,积玉桥,25,准五星商户,44
小吃快餐,紫燕百味鸡(水果湖店),武昌区,水果湖,21,准五星商户,1127
小吃快餐,紫燕百味鸡(胭脂路店),武昌区,司门口,17,准五星商户,917
小吃快餐,紫燕百味鸡(沃尔玛店),武昌区,徐东大街,20,准五星商户,1574
小吃快餐,周黑鸭(武大店),武昌区,珞珈山,30,准五星商户,435
小吃快餐,大连铁板鲜鱿鱼,武昌区,大东门/小东门,12,准五星商户,162
小吃快餐,紫燕百味鸡(民主路店),武昌区,大东门/小东门,24,准五星商户,733
小吃快餐,紫燕百味鸡(余家头店),武昌区,余家头,26,准五星商户,626
小吃快餐,紫燕百味鸡(丁字桥店),武昌区,中南路,24,准五星商户,731
小吃快餐,紫燕百味鸡(首义路店),武昌区,阅马场,16,准五星商户,311
小吃快餐,紫燕百味鸡(水陆街店),武昌区,丁字桥,18,准五星商户,566
小吃快餐,周黑鸭(地铁洪山站店),武昌区,中南路,31,准五星商户,432
小吃快餐,义气羊肉粉,武昌区,水果湖,28,准五星商户,557
小吃快餐,矮子馅饼(大成路店),武昌区,司门口,12,准五星商户,882
小吃快餐,周黑鸭(南湖广场店),武昌区,丁字桥,23,准五星商户,536
小吃快餐,紫燕百味鸡(团结店),武昌区,徐东大街,19,准五星商户,607
小吃快餐,紫燕百味鸡(街道口店),武昌区,珞珈山,23,准五星商户,501
小吃快餐,紫燕百味鸡(锦绣店),武昌区,水果湖,29,准五星商户,412
小吃快餐,周黑鸭(销品茂店),武昌区,徐东大街,31,准五星商户,496
小吃快餐,廖记棒棒鸡(中商广场店),武昌区,中南路,30,准五星商户,824
小吃快餐,紫燕百味鸡(烽火店),武昌区,丁字桥,21,准五星商户,425
小吃快餐,紫燕百味鸡(大成店),武昌区,司门口,20,准五星商户,652
小吃快餐,紫燕百味鸡(积玉桥店),武昌区,积玉桥,20,准五星商户,588
小吃快餐,天天红油赵师傅热干面,武昌区,司门口,12,准五星商户,1359
小吃快餐,大米先生(新世界百货店),武昌区,徐东大街,20,准五星商户,1330
小吃快餐,私房手工雪媚娘,武昌区,徐东大街,23,准五星商户,62
小吃快餐,正新鸡排(中南天紫广场店),武昌区,中南路,10,准五星商户,51
小吃快餐,张亮麻辣烫(湖大店),武昌区,积玉桥,15,准五星商户,201
小吃快餐,紫燕百味鸡(楚善店),武昌区,阅马场,23,准五星商户,444
小吃快餐,周黑鸭(武昌火车站店),武昌区,武昌火车站,35,准五星商户,591
小吃快餐,紫燕百味鸡(华府店),武昌区,武昌区,21,准五星商户,307
小吃快餐,锦禾巷(凯德广场.1818店),武昌区,楚河汉街,26,四星商户,1667
小吃快餐,周黑鸭(福客茂店),武昌区,徐东大街,31,四星商户,290
小吃快餐,紫燕百味鸡(才盛店),武昌区,武昌区,19,四星商户,491
小吃快餐,成明记一根排骨(户部巷总店),武昌区,司门口,12,四星商户,801
小吃快餐,疯狂炸弹(南国昙华林店),武昌区,积玉桥,16,四星商户,82
小吃快餐,陋室汤包(张之洞路店),武昌区,阅马场,16,四星商户,192
小吃快餐,顶屋咖喱(武大店),武昌区,武昌区,22,四星商户,92
小吃快餐,潇记盖码饭(汉街店),武昌区,楚河汉街,37,四星商户,83
小吃快餐,周黑鸭(汉街万达店),武昌区,楚河汉街,37,四星商户,644
小吃快餐,淮南牛肉汤(湖北大学店),武昌区,徐东大街,10,四星商户,108
小吃快餐,老陕面道(铁机路店),武昌区,余家头,18,四星商户,339
小吃快餐,胖哥饺子馆,武昌区,珞珈山,18,四星商户,492
小吃快餐,周黑鸭(司门口店),武昌区,司门口,21,四星商户,348
小吃快餐,廖记棒棒鸡(销品茂店),武昌区,徐东大街,22,四星商户,678
小吃快餐,紫燕百味鸡(秦园店),武昌区,武昌区,19,四星商户,300
小吃快餐,华莱士(洪山家乐福店),武昌区,水果湖,18,四星商户,593
小吃快餐,尝山牛肉粉(南国昙华林店),武昌区,积玉桥,23,四星商户,69
小吃快餐,满有味,武昌区,徐东大街,19,四星商户,248
小吃快餐,四美包子(中南店),武昌区,中南路,9,四星商户,940
小吃快餐,清真刘记牛肉小包,武昌区,丁字桥,7,四星商户,68
小吃快餐,周黑鸭(梨园店),武昌区,徐东大街,66,四星商户,217
小吃快餐,山阿妹神农架炕小土豆(户部巷全...,武昌区,司门口,6,四星商户,207
小吃快餐,郑麻婆汤包,武昌区,司门口,20,四星商户,113
小吃快餐,户部巷老帅爷王灌汤臭豆腐,武昌区,司门口,6,四星商户,105
小吃快餐,开心猫(武大店),武昌区,珞珈山,18,四星商户,85
小吃快餐,周黑鸭(中华路店),武昌区,司门口,29,四星商户,275
小吃快餐,黑旗肉脯(中南店),武昌区,武昌区,18,四星商户,84
小吃快餐,小胡鸭(武昌火车站店),武昌区,武昌火车站,24,四星商户,748
小吃快餐,周黑鸭(湖北大学店),武昌区,徐东大街,32,四星商户,284
小吃快餐,拍碗热干面,武昌区,水果湖,12,四星商户,153
