菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
烧烤,味家烤肉―牛排 • 鳗鱼(西塔店),和平区,西塔,93,五星商户,238
烧烤,韩都·黑牛的店(领事馆店),和平区,南市/马路湾,170,五星商户,504
烧烤,火炉家黑牛专门店(长白店),和平区,长白,116,五星商户,887
烧烤,火炉家黑牛专门店(西塔店),和平区,西塔,139,五星商户,650
烧烤,元爱本家正宗韩式烧烤店(新世界...,和平区,五里河,105,五星商户,159
烧烤,川康韩式烧烤,和平区,西塔,85,五星商户,1213
烧烤,枣玛露炭火烧烤,和平区,和平区,73,五星商户,249
烧烤,鳗之家碳烤鳗鱼,和平区,西塔,144,五星商户,606
烧烤,韩都·黑牛的店(华润万象城店),和平区,五里河,156,五星商户,530
烧烤,三一小厨私房煎肉,和平区,南市/马路湾,82,五星商户,419
烧烤,清潭洞韩式料理烤肉店(图门路店),和平区,西塔,94,五星商户,1277
烧烤,爱尚蝦塘,和平区,南市/马路湾,93,五星商户,125
烧烤,炑羊香烤全羊(长白岛店),和平区,五里河,194,五星商户,68
烧烤,奉天烤鳗鱼,和平区,西塔,121,五星商户,647
烧烤,牛郎烧烤店,和平区,长白,58,五星商户,75
烧烤,云龙炭火烧烤专门店(西塔店),和平区,西塔,97,五星商户,705
烧烤,韩阳王石板烤肉,和平区,西塔,91,五星商户,609
烧烤,大双喜私房串道,和平区,南市/马路湾,59,五星商户,26
烧烤,武侍烧肉酒场,和平区,和平区,155,五星商户,118
烧烤,野人串吧(和平店),和平区,新华广场,70,五星商户,255
烧烤,李家牛太郎木炭烧肉(和平店),和平区,南市/马路湾,82,五星商户,436
烧烤,知乐香辣蟹爬爬虾,和平区,太原街,78,准五星商户,394
烧烤,韩盛古法烤肉(太原街万达店),和平区,太原街,79,准五星商户,2783
烧烤,老友记串吧,和平区,新华广场,66,准五星商户,32
烧烤,花牛家韩式烤肉店,和平区,西塔,65,准五星商户,46
烧烤,韩星自助烤肉(太原街店),和平区,太原街,62,准五星商户,3370
烧烤,岩烧火山石烧烤专营店,和平区,南市/马路湾,75,准五星商户,481
烧烤,西塔五陆岛鳗鱼(1号店),和平区,西塔,87,准五星商户,942
烧烤,宣吉炭火烤肉,和平区,新华广场,78,准五星商户,1175
烧烤,辉泰炭火烤肉(一部),和平区,西塔,77,准五星商户,419
烧烤,胡同烧烤(马路湾店),和平区,南市/马路湾,77,准五星商户,97
烧烤,金龙海鲜烧烤,和平区,西塔,83,准五星商户,811
烧烤,探鱼(华润万象城店),和平区,五里河,92,准五星商户,2257
烧烤,小猪小牛章鱼水煎肉(太原街万达...,和平区,太原街,65,准五星商户,1797
烧烤,鸭爪侠·Hi锅(太原街万达店),和平区,太原街,59,准五星商户,801
烧烤,大舜鼎膳烤全羊,和平区,和平区,140,准五星商户,26
烧烤,老北京烤羊蝎子羊汤馆,和平区,砂山,58,准五星商户,463
烧烤,鸭爪侠·Hi锅(西塔店),和平区,西塔,78,准五星商户,436
烧烤,龙头山烤肉(兴隆一百步行街店),和平区,太原街,51,准五星商户,697
烧烤,一顿烧烤,和平区,长白,60,准五星商户,147
烧烤,西牛铁板烧(华润万象城店),和平区,五里河,69,准五星商户,125
烧烤,牛角日式木炭烧烤肉(总店),和平区,西塔,73,准五星商户,498
烧烤,高丽家烤肉,和平区,太原街,47,准五星商户,361
烧烤,韩都烧烤(太原南街店),和平区,新华广场,65,准五星商户,336
烧烤,申记串道(长白西三街店),和平区,长白,74,准五星商户,95
烧烤,千炉·缘自助烤肉(太原街万达店),和平区,太原街,61,准五星商户,553
烧烤,遛酒串店(十四纬路店),和平区,南市/马路湾,83,准五星商户,97
烧烤,金家烤鳗鱼二部,和平区,西塔,123,准五星商户,438
烧烤,树椒坊(南京南街店),和平区,新华广场,60,准五星商户,84
烧烤,Beer time世界啤酒体验馆,和平区,西塔,104,准五星商户,64
烧烤,韩盛自助烤肉(华联商厦店),和平区,南湖公园/三好街,70,准五星商户,1642
烧烤,松炭屋碳烤肉专门店,和平区,长白,77,准五星商户,772
烧烤,三韩食代炭火烤肉专门店,和平区,南市/马路湾,57,准五星商户,44
烧烤,同福小馆(和平店),和平区,南市/马路湾,103,准五星商户,122
烧烤,遛酒串店(五里河店),和平区,五里河,84,准五星商户,205
烧烤,奚记串吧(南一马路店),和平区,太原街,60,准五星商户,442
烧烤,本色道烤串(朝鲜族风味自动烤串),和平区,长白,56,准五星商户,44
烧烤,倍滋客铁板烧肉(太原街万达店),和平区,太原街,59,准五星商户,3579
烧烤,斗牛家烧烤(春河里彩塔街店),和平区,五里河,73,准五星商户,134
烧烤,金家烤鳗鱼,和平区,西塔,152,四星商户,765
烧烤,57℃湘铁板烧(万达广场店),和平区,太原街,82,四星商户,133
烧烤,汉釜宫自助烤肉火锅餐厅(萃兮优...,和平区,北市场,50,四星商户,97
烧烤,清浦炭火烤肉,和平区,西塔,72,四星商户,237
烧烤,聚堆音乐餐厅,和平区,长白,86,四星商户,26
烧烤,皇朝万鑫万豪御门铁板烧,和平区,五里河,789,四星商户,151
烧烤,普罗旺斯法式铁板烧,和平区,太原街,210,四星商户,205
烧烤,元爱本家正宗韩式烧烤店(西塔店),和平区,西塔,134,四星商户,195
烧烤,牛友炭火烧烤屋(南一马路店),和平区,太原街,61,四星商户,38
烧烤,匠牛炭火烤肉(中海店),和平区,长白,65,四星商户,125
烧烤,牛友炭火烧烤屋(西塔店),和平区,西塔,69,四星商户,48
烧烤,延边白玉串城(西塔总店),和平区,西塔,72,四星商户,848
烧烤,爆烤鸡头王(全国连锁总店),和平区,奉天街沿线,71,四星商户,471
烧烤,鸭爪侠·Hi锅(长白万科店),和平区,长白,65,四星商户,303
烧烤,三丁目炭火烧肉(西塔店),和平区,西塔,51,四星商户,570
烧烤,贝贝龙虾欢乐串吧,和平区,北市场,50,四星商户,52
烧烤,熙道韩式烧烤,和平区,西塔,44,四星商户,279
烧烤,奚记串吧(领事馆店),和平区,南湖公园/三好街,84,四星商户,763
烧烤,松明烤肉馆,和平区,南市/马路湾,76,四星商户,337
烧烤,淡水河铁板烧,和平区,五里河,409,四星商户,95
烧烤,韩都自助烤肉(中兴商业大厦店),和平区,太原街,56,四星商户,1843
烧烤,太白山烧烤(二部安图店),和平区,西塔,73,四星商户,532
烧烤,三国传说(太原街店),和平区,太原街,57,四星商户,1163
烧烤,蜀山烤鱼,和平区,长白,80,四星商户,384
烧烤,西塔斗牛家烧烤(长白店),和平区,长白,76,四星商户,241
烧烤,济州岛火炉火烤肉,和平区,西塔,65,四星商户,900
烧烤,崔食坊烤肉海鲜面,和平区,长白,49,四星商户,89
烧烤,川江美味巫山烤全鱼(东大店),和平区,南湖公园/三好街,59,四星商户,120
烧烤,玉勇泥炉烧烤,和平区,北市场,52,四星商户,35
烧烤,宁记串吧,和平区,太原街,53,四星商户,432
烧烤,万福家量贩式烤肉(西塔店),和平区,西塔,79,四星商户,162
烧烤,My house,和平区,南湖公园/三好街,77,四星商户,139
烧烤,蔡鸟铁板烧炉端烧,和平区,长白,296,四星商户,36
烧烤,酱牛肉店,和平区,西塔,35,四星商户,249
烧烤,初心,和平区,北市场,71,四星商户,62
烧烤,126板烧肉串,和平区,南市/马路湾,31,四星商户,330
烧烤,撸舍(三部),和平区,南市/马路湾,79,四星商户,137
烧烤,老神仙元气烤肉,和平区,南湖公园/三好街,81,四星商户,206
烧烤,春天小龙虾特色串吧,和平区,长白,68,四星商户,33
