菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
自助餐,川骄自助火锅(浦西万达店),丰泽区,浦西万达广场,141,准五星商户,1718
自助餐,悦华酒店,丰泽区,刺桐路,219,四星商户,166
自助餐,尚锅演义(中骏世界店),丰泽区,中骏世界城,69,四星商户,312
自助餐,烧客自助炭火烤肉(领show店),丰泽区,中心客运站商圈,87,四星商户,889
自助餐,转转乐涮涮锅(温陵店),丰泽区,温陵路,38,四星商户,384
自助餐,香港翁宴酒楼(环球店),丰泽区,国贸商城,98,四星商户,290
自助餐,万达文华酒店品珍中餐厅,丰泽区,浦西万达广场,80,准四星商户,80
自助餐,泉州万达文华酒店美食汇,丰泽区,浦西万达广场,192,准四星商户,278
自助餐,牛太郎烧烤城(丰泽广场店),丰泽区,丰泽广场,66,准四星商户,521
自助餐,迎宾馆中餐厅,丰泽区,东海,99,准四星商户,51
自助餐,天荷菜根(侨乡体育馆店),丰泽区,侨乡体育馆,32,准四星商户,146
自助餐,心莲心素食自助餐厅,丰泽区,中骏世界城,32,准四星商户,99
自助餐,广和缘自助营养素食(东湖店),丰泽区,侨乡体育馆,20,准四星商户,294
自助餐,烤尚瘾韩式自助纸上烤肉(中骏世...,丰泽区,丰泽广场,42,准四星商户,86
自助餐,韩古风自助烤肉火锅(东海湾店),丰泽区,东海,61,三星商户,132
面包甜点,KOI Thé(泉州浦西万达店),丰泽区,浦西万达广场,20,准五星商户,840
面包甜点,Beebe,丰泽区,六灌路,40,准五星商户,56
面包甜点,BusBakery 巴士软欧包(万达店),丰泽区,浦西万达广场,21,准五星商户,500
面包甜点,無邪日式甜品,丰泽区,浦西万达广场,38,准五星商户,95
面包甜点,鲜疯水果实验室(浦西万达店),丰泽区,浦西万达广场,16,准五星商户,259
面包甜点,枫多士(泉州万达店),丰泽区,浦西万达广场,71,准五星商户,940
面包甜点,KOI Thé(泉州丰泽店),丰泽区,丰泽街,18,四星商户,292
面包甜点,BusBakery 巴士软欧包(泉秀店),丰泽区,泉秀路,23,四星商户,127
面包甜点,莓超疯CHA+(浦西万达店),丰泽区,浦西万达广场,23,四星商户,669
面包甜点,莓超疯CHA+(泉秀店),丰泽区,泉秀路,22,四星商户,120
面包甜点,意淇港式下午茶(百源店),丰泽区,文庙,23,四星商户,323
面包甜点,莓超疯CHA+(中骏世界城店),丰泽区,中骏世界城,19,四星商户,320
面包甜点,意淇港式下午茶(浦西万达店),丰泽区,浦西万达广场,29,四星商户,615
面包甜点,鲜疯水果实验室(圣湖店),丰泽区,丰泽街,14,四星商户,38
面包甜点,铁男台式美食(泉州浦西万达店),丰泽区,浦西万达广场,22,四星商户,168
面包甜点,克洛普斯音乐餐吧,丰泽区,泉秀路,28,四星商户,14
面包甜点,五谷日记,丰泽区,田安路,22,四星商户,17
面包甜点,麦珊尼,丰泽区,浦西万达广场,16,四星商户,108
面包甜点,如你法式西点,丰泽区,中骏世界城,20,四星商户,15
面包甜点,即可烘焙(中骏世界城店),丰泽区,丰泽区,27,四星商户,42
面包甜点,伍氏特香包(田安店),丰泽区,田安路,20,四星商户,328
面包甜点,MALTOAST麦都(圣湖店),丰泽区,丰泽街,14,四星商户,227
面包甜点,禾康家西点咖啡简餐,丰泽区,泉秀路,33,四星商户,7
面包甜点,鲜疯水果实验室(中骏世界城店),丰泽区,中骏世界城,15,四星商户,75
面包甜点,莓超疯茶咖生活(美食街店),丰泽区,丰泽区,21,四星商户,153
面包甜点,爱台客,丰泽区,浦西万达广场,16,四星商户,20
面包甜点,royaltea东御皇茶(泉州万达旗舰...,丰泽区,浦西万达广场,17,四星商户,103
面包甜点,四云奶盖贡茶(漾漾好贡茶),丰泽区,浦西万达广场,20,四星商户,107
面包甜点,伍氏特香包(泉秀店),丰泽区,泉秀路,10,四星商户,366
面包甜点,快乐柠檬(万达店),丰泽区,浦西万达广场,14,四星商户,163
面包甜点,澳泽烘焙(东涂店),丰泽区,刺桐路,13,四星商户,21
面包甜点,好滋味饼坊(洛江万安店),丰泽区,中骏世界城,35,四星商户,624
面包甜点,一心冰品,丰泽区,六灌路,25,四星商户,96
面包甜点,视觉蛋糕,丰泽区,领SHOW天地,55,四星商户,1606
面包甜点,（樂）乐堂私房茶(浦西万达店),丰泽区,浦西万达广场,18,四星商户,35
面包甜点,辛发亭台湾甜品世家(浦西万达店),丰泽区,浦西万达广场,17,四星商户,42
面包甜点,意淇港式下午茶(六灌路店),丰泽区,六灌路,24,四星商户,260
面包甜点,意淇港式下午茶(中骏店),丰泽区,中骏世界城,35,四星商户,96
面包甜点,意淇港式下午茶(圣湖店),丰泽区,丰泽街,23,四星商户,239
面包甜点,面包新语(丰泽小区店),丰泽区,田安路,11,四星商户,173
面包甜点,浦西瑶(浦西店),丰泽区,宝洲路,16,四星商户,521
面包甜点,Torce(大洋百货店),丰泽区,大洋百货,15,四星商户,12
面包甜点,金龙船(圣湖店),丰泽区,丰泽街,13,四星商户,344
面包甜点,伍氏特香包(鸿泉店),丰泽区,泉秀路,11,四星商户,7
面包甜点,莓超疯CHA+(丰泽街店),丰泽区,丰泽街,20,四星商户,47
面包甜点,DQ(中骏世界城店),丰泽区,中骏世界城,25,四星商户,34
面包甜点,伍氏特香包(湖心苑店),丰泽区,侨乡体育馆,11,四星商户,25
面包甜点,雅岛英皇茶,丰泽区,丰泽街,15,四星商户,12
面包甜点,丰泽区猫山王甜品店(浦西万达店),丰泽区,浦西万达广场,38,准四星商户,73
面包甜点,台湾艾斯布朗(毅达店),丰泽区,中心客运站商圈,21,准四星商户,112
面包甜点,黑龙茶(浦西万达店),丰泽区,浦西万达广场,16,准四星商户,66
面包甜点,小小白甜甜圈·咖啡,丰泽区,中骏世界城,15,准四星商户,28
面包甜点,金龙船(西湖店),丰泽区,北峰,29,准四星商户,324
面包甜点,伍氏特香包(仁凤店),丰泽区,丰泽区,34,准四星商户,40
面包甜点,伍氏特香包(北峰工业店),丰泽区,北峰,11,准四星商户,36
面包甜点,伍氏特香包(东美店),丰泽区,中心客运站商圈,11,准四星商户,6
面包甜点,和胜记牛奶甜品专家,丰泽区,六灌路,21,准四星商户,134
面包甜点,85度C(泉秀店),丰泽区,中心客运站商圈,18,准四星商户,35
面包甜点,麦珊尼,丰泽区,浦西万达广场,15,准四星商户,30
面包甜点,KOI Thé(泉秀路店),丰泽区,中心客运站商圈,19,准四星商户,12
面包甜点,木谷仁烘焙(东海湾店),丰泽区,东海,47,准四星商户,41
面包甜点,西树泡芙(万达店),丰泽区,浦西万达广场,15,准四星商户,75
面包甜点,零度炒酸奶(浦西万达店),丰泽区,浦西万达广场,16,准四星商户,68
面包甜点,意淇港式下午茶(东海店),丰泽区,东海,17,准四星商户,45
面包甜点,意淇港式下午茶(金帝店),丰泽区,泉秀路,25,准四星商户,114
面包甜点,意淇港式下午茶(领袖店),丰泽区,领SHOW天地,20,准四星商户,61
面包甜点,85度C(大洋店),丰泽区,大洋百货,20,准四星商户,36
面包甜点,我爱榴芒,丰泽区,宝洲路,20,准四星商户,19
面包甜点,面包新语(圣湖店),丰泽区,丰泽街,25,准四星商户,164
面包甜点,全芳面包花园(花园总店),丰泽区,六灌路,17,准四星商户,335
面包甜点,每日鲜维现榨果汁(前坂店),丰泽区,六灌路,13,准四星商户,18
面包甜点,love蜜,丰泽区,中骏世界城,14,准四星商户,17
面包甜点,全芳面包花园(东方明珠店),丰泽区,丰泽街,13,准四星商户,14
面包甜点,巧芋工坊(麦德龙环球城店),丰泽区,国贸商城,19,准四星商户,54
面包甜点,金龙船(田安2店),丰泽区,田安路,18,准四星商户,214
面包甜点,乐万,丰泽区,泉秀路,10,准四星商户,8
面包甜点,全芳面包花园(泉秀店),丰泽区,大洋百货,14,准四星商户,28
面包甜点,伍氏特香包(武夷店),丰泽区,丰泽区,18,准四星商户,190
面包甜点,Coffee咖匠,丰泽区,中心客运站商圈,18,准四星商户,6
面包甜点,伍氏特香包(金帝花园店),丰泽区,中心客运站商圈,33,准四星商户,219
面包甜点,初代宇治抹茶,丰泽区,浦西万达广场,43,准四星商户,73
面包甜点,酵s+(酵素生活),丰泽区,浦西万达广场,20,准四星商户,10
面包甜点,哈根达斯(泉州万达店),丰泽区,宝洲路,88,准四星商户,100
面包甜点,澳泽烘焙,丰泽区,中骏世界城,14,准四星商户,5
面包甜点,思慕甜品,丰泽区,中骏世界城,17,准四星商户,34
面包甜点,love me蛋糕会所(泉州万达店),丰泽区,浦西万达广场,27,准四星商户,195
面包甜点,方糖甜品,丰泽区,中心客运站商圈,22,准四星商户,44
面包甜点,巴黎名点,丰泽区,田安路,12,准四星商户,6
面包甜点,仙果芋(六灌路店),丰泽区,六灌路,14,准四星商户,20
面包甜点,杏记甜品(浦西万达店),丰泽区,浦西万达广场,19,准四星商户,54
面包甜点,85度c(泉州泉秀2店),丰泽区,泉秀路,18,准四星商户,17
面包甜点,放牛斑(泉秀店),丰泽区,大洋百货,15,准四星商户,146
面包甜点,老塞咖啡(泉州中心站店),丰泽区,中心客运站商圈,12,准四星商户,42
面包甜点,黑龙茶(前坂店),丰泽区,六灌路,11,准四星商户,14
面包甜点,契茶屋,丰泽区,泉秀路,18,准四星商户,4
面包甜点,老塞咖啡(泉州圣湖店),丰泽区,丰泽广场,16,准四星商户,29
面包甜点,老塞咖啡(泉州太古店),丰泽区,东海,12,准四星商户,48
面包甜点,伍氏特香包(福新店),丰泽区,丰泽街,15,准四星商户,160
面包甜点,巧芋工坊(浦西万达店),丰泽区,宝洲路,26,准四星商户,127
面包甜点,泰芒了,丰泽区,丰泽街,15,准四星商户,16
面包甜点,全芳面包花园(湖心店),丰泽区,侨乡体育馆,12,准四星商户,71
面包甜点,全芳面包花园(时代店),丰泽区,六灌路,14,准四星商户,47
面包甜点,御贡茶,丰泽区,中心客运站商圈,15,准四星商户,6
面包甜点,伍氏特香包(津淮店),丰泽区,六灌路,8,准四星商户,92
面包甜点,白洋淀网咖,丰泽区,中心客运站商圈,15,准四星商户,6
面包甜点,U吸,丰泽区,东海,10,准四星商户,22
面包甜点,大茶杯(泉州信息学院店),丰泽区,北峰,7,准四星商户,63
面包甜点,向阳坊(丰盛店),丰泽区,泉秀路,13,准四星商户,31
面包甜点,金龙船(裕景湾店),丰泽区,丰泽区,20,准四星商户,47
面包甜点,伍氏特香包(金山店),丰泽区,现代广场,11,准四星商户,65
面包甜点,全芳面包花园(星城店),丰泽区,丰泽街,11,准四星商户,90
面包甜点,全芳面包花园(钻石店),丰泽区,国贸商城,14,准四星商户,20
面包甜点,多纳滋面包坊,丰泽区,中骏世界城,15,准四星商户,8
面包甜点,张姐烤肉拌饭脆皮鸡饭(泉州总店),丰泽区,田安路,19,准四星商户,26
面包甜点,金龙船(圣墓店),丰泽区,侨乡体育馆,16,准四星商户,60
面包甜点,伍氏特香包(天妃店),丰泽区,大洋百货,16,准四星商户,60
面包甜点,teastar皇茶,丰泽区,丰泽街,15,准四星商户,4
面包甜点,杨小贤(中骏店),丰泽区,中骏世界城,22,准四星商户,82
面包甜点,潘达芝士挞(万达店),丰泽区,浦西万达广场,17,准四星商户,33
面包甜点,斯利美(东海店),丰泽区,东海,18,准四星商户,52
面包甜点,MEET寓见(万达广场店),丰泽区,浦西万达广场,41,准四星商户,187
面包甜点,楽茶會,丰泽区,浦西万达广场,15,准四星商户,10
面包甜点,膨膨冰韩式烧烤火锅,丰泽区,丰泽区,39,准四星商户,48
面包甜点,85度C(泉州中骏店),丰泽区,中骏世界城,21,准四星商户,25
面包甜点,秉正堂(万达店),丰泽区,浦西万达广场,14,准四星商户,179
面包甜点,HALOHALO,丰泽区,中骏世界城,20,准四星商户,24
面包甜点,秉正堂(圣湖店),丰泽区,丰泽广场,16,准四星商户,48
面包甜点,瑞可爷爷的店(中骏店),丰泽区,中骏世界城,34,准四星商户,21
面包甜点,万达文华酒店面包店,丰泽区,浦西万达广场,40,准四星商户,29
面包甜点,澳泽烘培(煌星店),丰泽区,田安路,11,准四星商户,12
面包甜点,全芳面包花园(万达店),丰泽区,浦西万达广场,16,准四星商户,104
面包甜点,御质贡茶,丰泽区,田安路,15,准四星商户,9
面包甜点,徐其修凉茶,丰泽区,文庙,10,准四星商户,27
面包甜点,VQ鲜榨果汁(泉州浦西万达店),丰泽区,浦西万达广场,10,准四星商户,15
面包甜点,松枝记·猫由,丰泽区,丰泽区,12,准四星商户,4
面包甜点,领先食材,丰泽区,丰泽街,42,准四星商户,4
面包甜点,遇见鸡排,丰泽区,宝洲路,17,准四星商户,17
面包甜点,卡豆屋(美食街店),丰泽区,美食街,31,准四星商户,114
面包甜点,伍氏特香包(国际星城店),丰泽区,侨乡体育馆,24,准四星商户,62
面包甜点,大茶杯(电力店),丰泽区,丰泽区,6,准四星商户,54
面包甜点,金龙船(武夷花园店),丰泽区,侨乡体育馆,18,准四星商户,5
面包甜点,全芳面包花园(龙宫店),丰泽区,文庙,14,准四星商户,22
面包甜点,原地果茶饮品坊,丰泽区,丰泽区,10,准四星商户,2
面包甜点,香吉之家,丰泽区,东海,13,准四星商户,33
面包甜点,浦西瑶(师院三餐店),丰泽区,东海,9,准四星商户,45
面包甜点,久茶食研室(圣湖1店),丰泽区,丰泽街,19,准四星商户,43
面包甜点,LeTea Salon(浦西万达店),丰泽区,浦西万达广场,27,准四星商户,28
面包甜点,一心冰品(圣湖店),丰泽区,丰泽街,23,准四星商户,15
面包甜点,冰雪怪,丰泽区,浦西万达广场,24,准四星商户,10
面包甜点,（樂）乐堂私房茶(美食街店),丰泽区,丰泽街,15,准四星商户,10
面包甜点,依摩多可丽饼(泉州万达店),丰泽区,浦西万达广场,14,准四星商户,40
面包甜点,森海物语,丰泽区,田安路,21,准四星商户,11
面包甜点,miss  tata,丰泽区,丰泽区,20,准四星商户,8
面包甜点,la vie每天咖啡(星光不夜城店),丰泽区,泉秀路,17,准四星商户,24
面包甜点,向阳坊(祥远路店),丰泽区,刺桐路,13,准四星商户,29
面包甜点,蜜先生港式甜品(领show店),丰泽区,领SHOW天地,29,准四星商户,92
面包甜点,老爱甜点店,丰泽区,泉秀路,9,准四星商户,18
面包甜点,品淉(中骏世界城店),丰泽区,中骏世界城,21,准四星商户,29
面包甜点,澳漫烘焙(经典店),丰泽区,丰泽区,18,准四星商户,5
面包甜点,金龙船(东海店),丰泽区,东海,17,准四星商户,98
面包甜点,贡茶,丰泽区,中骏世界城,16,准四星商户,5
面包甜点,美芙西点,丰泽区,大洋百货,10,准四星商户,11
面包甜点,全芳面包花园(仁凤店),丰泽区,丰泽区,14,准四星商户,37
面包甜点,CHESSCA骑士茶,丰泽区,中骏世界城,14,准四星商户,39
面包甜点,染布头cafe(师院店),丰泽区,东海,18,准四星商户,25
面包甜点,全芳面包花园(瑞士花园店),丰泽区,国贸商城,14,准四星商户,5
面包甜点,金龙船(南丰新城店),丰泽区,宝洲路,18,准四星商户,14
面包甜点,全芳面包花园(田安店),丰泽区,田安路,14,准四星商户,18
面包甜点,日理万鸡(美食街店),丰泽区,丰泽区,13,准四星商户,23
面包甜点,果时光,丰泽区,浦西万达广场,15,准四星商户,11
面包甜点,三点一刻下午茶,丰泽区,丰泽区,16,准四星商户,8
面包甜点,royalstyle御喜皇茶,丰泽区,丰泽区,14,准四星商户,12
面包甜点,寻蜜休闲吧,丰泽区,东海,17,准四星商户,2
面包甜点,三味工坊(三味工坊),丰泽区,大洋百货,21,准四星商户,9
面包甜点,金龙船(湖心店),丰泽区,侨乡体育馆,12,准四星商户,58
面包甜点,泰爽休闲吧,丰泽区,中心客运站商圈,12,准四星商户,39
面包甜点,雪儿贝贝高级法式甜品餐厅,丰泽区,田安路,55,准四星商户,15
面包甜点,小佐家的咖啡,丰泽区,浦西万达广场,15,准四星商户,5
面包甜点,许留山(泉州中骏世界城店),丰泽区,中骏世界城,36,准四星商户,19
面包甜点,澳漫烘焙(刺桐店),丰泽区,刺桐路,13,准四星商户,13
面包甜点,巧芋工坊(东海店),丰泽区,东海,16,准四星商户,60
面包甜点,贡茶,丰泽区,田安路,15,准四星商户,3
面包甜点,罗蒂爸爸,丰泽区,中骏世界城,14,准四星商户,15
面包甜点,乐堂私房茶(客运中心店),丰泽区,中心客运站商圈,14,准四星商户,8
