菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
小吃快餐,玉鱼鲜浓鱼汤粉,历下区,泉城广场,21,准五星商户,332
小吃快餐,豆豆炒酸奶,历下区,大明湖,12,准五星商户,128
小吃快餐,成都周记面馆,历下区,解放路,23,准五星商户,941
小吃快餐,船歌鱼水饺(银座商城玉函店),历下区,体育中心,54,准五星商户,1527
小吃快餐,北京稻香村(文化东路店),历下区,山师地区,47,准五星商户,219
小吃快餐,晋老抠山西面馆(历山路店),历下区,解放路,30,准五星商户,1752
小吃快餐,楼兰香西域抓饭,历下区,大明湖,27,准五星商户,145
小吃快餐,潮霸天潮汕牛肉火锅,历下区,泉城广场,90,四星商户,316
小吃快餐,国足臭豆腐(泉城路店),历下区,泉城广场,10,四星商户,643
小吃快餐,紫燕百味鸡(朝山街店),历下区,泉城广场,25,四星商户,414
小吃快餐,粤味轩(明湖店),历下区,大明湖,26,四星商户,455
小吃快餐,大小姐的面,历下区,历下区,32,四星商户,70
小吃快餐,晋老抠山西面馆(山大路店),历下区,解放路,35,四星商户,844
小吃快餐,鼎盛重庆鸡公煲(山师东路店),历下区,山师地区,22,四星商户,259
小吃快餐,柒玖捌,历下区,泉城广场,13,四星商户,1185
小吃快餐,云晓馆-羊肉米线与酒,历下区,历下区,21,四星商户,65
小吃快餐,花溪巷牛肉粉,历下区,解放路,13,四星商户,181
小吃快餐,芙蓉泉烤鸡爪(总店),历下区,泉城广场,12,四星商户,112
小吃快餐,头一锅单县羊肉汤(丁豪店),历下区,历下区,24,四星商户,34
小吃快餐,潜水艇热狗(山师店),历下区,山师地区,17,四星商户,868
小吃快餐,沙凤记油炸羊肉串(环山店),历下区,千佛山公园,24,四星商户,136
小吃快餐,汉堡王(世茂店),历下区,泉城广场,33,四星商户,2255
小吃快餐,咖喱虎(宽厚里店),历下区,历下区,18,四星商户,61
小吃快餐,提起来餐厅(优品汇奥特莱斯店),历下区,文化东/西路,41,四星商户,756
小吃快餐,老西关黄老太牛肉烧饼,历下区,泉城广场,7,四星商户,112
小吃快餐,肯德基(山大路店),历下区,解放路,14,四星商户,287
小吃快餐,泉味轩豆腐脑(优品汇奥特莱斯店),历下区,解放路,16,四星商户,41
小吃快餐,品和棠水饺(CC PARK店),历下区,文化东/西路,29,四星商户,218
小吃快餐,和味谷汉秦记油泼面(佛山苑店),历下区,泉城广场,16,四星商户,921
小吃快餐,鲁味斋(文化西路店),历下区,山师地区,46,四星商户,349
小吃快餐,美石记石锅拌饭,历下区,历下区,19,四星商户,35
小吃快餐,六乃喜(文化东路店),历下区,山师地区,31,四星商户,677
小吃快餐,品聚书吧(恒隆广场店),历下区,恒隆广场,79,四星商户,256
小吃快餐,咱家药膳把子肉,历下区,大明湖,16,四星商户,238
小吃快餐,原粮粥店(佛山路店),历下区,泉城广场,48,四星商户,520
小吃快餐,哈尔滨春饼(泺文店),历下区,泉城广场,38,四星商户,167
小吃快餐,正宗陕西汉中凉皮,历下区,燕山地区,10,四星商户,31
小吃快餐,爱上又见面,历下区,文化东/西路,26,四星商户,29
小吃快餐,好一家牛肉粉(文化东路店),历下区,山师地区,13,四星商户,662
小吃快餐,TAMA YAKI 弹丸滋地(世茂店),历下区,泉城广场,12,四星商户,1373
小吃快餐,肯德基(济南佛山苑店),历下区,泉城广场,24,四星商户,272
小吃快餐,正新鸡排(宽厚里店),历下区,历下区,10,四星商户,26
小吃快餐,大尾巴猫鱼面,历下区,历下区,37,四星商户,269
小吃快餐,辣么辣,历下区,文化东/西路,29,四星商户,228
小吃快餐,我为猪狂主题餐厅(芙蓉街店),历下区,历下区,40,四星商户,34
小吃快餐,桥头排骨(宽厚里店),历下区,历下区,15,四星商户,100
小吃快餐,齐状元粥(千佛山店),历下区,千佛山公园,40,四星商户,324
小吃快餐,汉堡王(CCPARK店),历下区,文化东/西路,34,四星商户,314
