菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
自助餐,海口丽思卡尔顿酒店意坊全日餐厅,龙华区,龙华区,364,四星商户,16
自助餐,海口希尔顿酒店-味·全日餐厅,龙华区,金龙路/国贸大道,245,四星商户,176
自助餐,海口朗廷酒店廷廊餐厅,龙华区,龙华区,165,四星商户,46
自助餐,圣琼美食百汇自助餐厅(国贸店),龙华区,金龙路/国贸大道,54,准四星商户,626
自助餐,黄金海景大酒店旋转餐厅,龙华区,滨海大道东段,149,准四星商户,313
自助餐,观澜湖酒店西餐厅,龙华区,金龙路/国贸大道,264,准四星商户,94
自助餐,君华海逸酒店海逸阁西餐厅,龙华区,滨海大道东段,116,准四星商户,49
自助餐,宝发胜意酒店西餐厅,龙华区,龙华区,30,准四星商户,12
自助餐,滋味天下海鲜小火锅自助餐厅(万...,龙华区,龙华区,79,准四星商户,403
自助餐,隐泉の源,龙华区,金龙路/国贸大道,178,准四星商户,173
自助餐,牛皇叔全国自助烧烤连锁,龙华区,南亚广场,58,准四星商户,298
自助餐,福德素食自助餐厅,龙华区,龙华区,21,准四星商户,10
自助餐,宝华海景大酒店咖啡厅,龙华区,滨海大道东段,105,准四星商户,44
自助餐,瑞华海鲜酒楼,龙华区,滨海大道东段,112,准四星商户,38
自助餐,绿佳源商务酒店西餐厅,龙华区,滨海大道东段,43,准四星商户,7
自助餐,圣琼美食百汇自助餐厅(金丽城店),龙华区,龙华区,52,准四星商户,106
自助餐,印象豆捞自助烤肉火锅,龙华区,解放西/泰龙城,73,准四星商户,281
自助餐,烤尚宫韩式自助餐厅(解放西店),龙华区,解放西/泰龙城,54,准四星商户,67
自助餐,爱尚客韩式烤肉自助餐厅,龙华区,龙华区,56,三星商户,108
自助餐,yoyo回转火锅.烤肉自助餐厅(海师...,龙华区,金牛岭公园,38,三星商户,3
自助餐,聚福轩,龙华区,南站/南海大道,53,三星商户,7
自助餐,爱斯米牛排自助,龙华区,龙华区,62,三星商户,29
自助餐,yoyo回转火锅·烤肉自助餐厅(泰...,龙华区,解放西/泰龙城,33,三星商户,25
海鲜,阿浪海鲜(丁村万人海鲜广场店),龙华区,龙华区,95,五星商户,64
海鲜,顺拾蒸海鲜蒸汽料理(南沙路店),龙华区,南沙路,103,准五星商户,465
海鲜,顺拾蒸海鲜蒸汽料理(京华城店),龙华区,京华城,122,准五星商户,537
海鲜,七欣天品蟹轩(西沙路店),龙华区,龙昆北路,98,四星商户,96
海鲜,琼菜王美食村,龙华区,金牛岭公园,123,四星商户,1223
海鲜,顺拾蒸海鲜蒸汽料理(新城吾悦店),龙华区,龙华区,107,四星商户,64
海鲜,面朝大海鲜,龙华区,龙华区,85,四星商户,24
海鲜,顺拾蒸海鲜蒸汽料理(上邦店),龙华区,上邦百汇城,82,准四星商户,44
海鲜,渔家海鲜粥面馆,龙华区,龙华区,16,准四星商户,50
海鲜,小美海鲜(丁村万人海鲜广场店),龙华区,龙华区,72,准四星商户,13
海鲜,岑记海鲜粥粉店,龙华区,万国大都会,17,准四星商户,3
海鲜,豪发海鲜店,龙华区,金牛岭公园,30,准四星商户,8
海鲜,滋味天下海鲜小火锅自助餐厅(万...,龙华区,龙华区,79,准四星商户,403
海鲜,胖帅肉蟹煲,龙华区,上邦百汇城,44,准四星商户,18
海鲜,名羊天虾,龙华区,金牛岭公园,100,准四星商户,3
海鲜,瑞华海鲜酒楼,龙华区,滨海大道东段,112,准四星商户,38
海鲜,鼎品鲜,龙华区,滨海大道东段,155,准四星商户,78
海鲜,鲜道美食料理店,龙华区,龙昆北路,156,准四星商户,12
海鲜,香辣跳跳蛙,龙华区,龙华区,50,准四星商户,11
海鲜,馋胖肉蟹煲,龙华区,龙华区,60,准四星商户,15
海鲜,和乐海鲜酒店,龙华区,金牛岭公园,28,准四星商户,1
海鲜,新海老字号,龙华区,滨海大道东段,123,准四星商户,18
海鲜,十五姐马鲛鱼,龙华区,南沙路,135,准四星商户,1
海鲜,潭门海鲜坊,龙华区,京华城,35,三星商户,3
海鲜,伍角船板蒸汽海鲜(领市馆店),龙华区,滨海大道东段,100,三星商户,22
海鲜,海岸恒昌海鲜园,龙华区,滨海大道东段,107,三星商户,21
海鲜,三回头海鲜大排档,龙华区,龙华区,75,三星商户,12
海南菜,东就鸭饭店(西沙店),龙华区,龙昆北路,54,准五星商户,282
海南菜,琼菜王美食村,龙华区,金牛岭公园,123,四星商户,1223
海南菜,海南第一家炳霖猪肚包鸡(新华南...,龙华区,东湖,44,四星商户,64
海南菜,拾味馆(嘉陵大厦店),龙华区,金龙路/国贸大道,71,四星商户,371
海南菜,海南第一家炳霖猪肚包鸡(金盘分...,龙华区,金牛岭公园,55,四星商户,43
海南菜,琼菜王(南海店),龙华区,金牛岭公园,118,四星商户,323
海南菜,阿二靓汤,龙华区,龙昆北路,93,准四星商户,75
海南菜,满福隆酒楼,龙华区,宜欣广场,59,准四星商户,692
海南菜,拾味馆(上邦百汇城店),龙华区,金龙路/国贸大道,62,准四星商户,363
海南菜,詹记抱罗粉,龙华区,龙华区,16,准四星商户,11
海南菜,海口沿江饭店,龙华区,龙昆北路,53,准四星商户,15
海南菜,黎妈酸粉(国贸店),龙华区,金龙路/国贸大道,15,准四星商户,42
海南菜,海润四季椰子鸡,龙华区,南沙路,119,准四星商户,148
海南菜,海南第一家炳霖猪肚包鸡(坡博分...,龙华区,南沙路,41,准四星商户,14
海南菜,琼菜坊(华侨店),龙华区,解放西/泰龙城,62,准四星商户,151
海南菜,螺姨海鲜店,龙华区,龙华区,71,准四星商户,29
海南菜,黄记斋菜煲,龙华区,龙华区,51,准四星商户,18
海南菜,福盈门(国贸店),龙华区,金龙路/国贸大道,110,准四星商户,17
海南菜,富乐鸡饭店(国贸店),龙华区,金龙路/国贸大道,51,准四星商户,187
海南菜,拾味馆(和信广场店),龙华区,金牛岭公园,48,准四星商户,42
海南菜,红椰子,龙华区,滨海大道东段,7,准四星商户,39
海南菜,鑫嘉客乞丐鸡盐焗鸡,龙华区,解放西/泰龙城,20,准四星商户,12
海南菜,龙泉人家乡味椰子鸡(大同店),龙华区,万国大都会,73,准四星商户,82
海南菜,拾味馆(宜欣店),龙华区,宜欣广场,64,准四星商户,110
海南菜,假日一品海鲜酒楼(上邦店),龙华区,金龙路/国贸大道,50,准四星商户,123
海南菜,新海府粥城(义龙西路店),龙华区,龙华区,69,准四星商户,35
海南菜,海南第一家炳霖猪肚包鸡(秀垦店),龙华区,金牛岭公园,70,准四星商户,33
海南菜,云河鸡饭店(龙华路店),龙华区,人民公园,87,准四星商户,52
海南菜,东路基(国贸店),龙华区,金龙路/国贸大道,72,准四星商户,28
海南菜,毛哥老鸭汤(南沙路店),龙华区,南沙路,47,准四星商户,41
海南菜,御品轩猪肚包鸡(金盘店),龙华区,滨海大道东段,34,准四星商户,8
海南菜,阿尾美食园,龙华区,南沙路,31,准四星商户,19
海南菜,南江鸡饭店,龙华区,人民公园,53,准四星商户,33
海南菜,龙泉人椰子鸡汤(滨海大道店),龙华区,解放西/泰龙城,63,准四星商户,67
海南菜,立平野菜谷(国贸店),龙华区,金龙路/国贸大道,68,准四星商户,24
海南菜,隆仔鸡饭店,龙华区,东湖,52,准四星商户,32
海南菜,厨房好味(南沙路店),龙华区,南沙路,69,准四星商户,20
海南菜,琼宴楼,龙华区,龙华区,45,准四星商户,13
海南菜,龙哥抱罗粉(义龙西路店),龙华区,龙华区,20,准四星商户,5
海南菜,富乐鸡饭店(五指山路店),龙华区,东湖,49,准四星商户,51
海南菜,金稻源椰子鸡,龙华区,京华城,68,准四星商户,207
海南菜,秦淮人家酒楼,龙华区,金龙路/国贸大道,60,准四星商户,9
海南菜,金羊城五香羊肉馆,龙华区,金盘,45,准四星商户,5
海南菜,金银龙琼味酒楼,龙华区,龙华区,30,准四星商户,4
海南菜,御上品盐焗文昌鸡(义龙路店),龙华区,龙昆北路,24,准四星商户,37
海南菜,海南小吃,龙华区,解放西/泰龙城,12,准四星商户,23
海南菜,壅羊公社大食堂,龙华区,龙华区,60,准四星商户,1
海南菜,新标榜荷风塘养生食府,龙华区,金龙路/国贸大道,48,准四星商户,8
海南菜,天然居茶艺馆,龙华区,金山广场,37,准四星商户,7
海南菜,华香酒楼,龙华区,解放西/泰龙城,38,准四星商户,9
海南菜,盐焗文昌鸡主题餐厅,龙华区,金牛岭公园,20,准四星商户,5
海南菜,梁庄琼味酒楼,龙华区,滨海大道东段,76,准四星商户,24
海南菜,隆仔鸡饭店(龙华路店),龙华区,解放西/泰龙城,54,准四星商户,41
海南菜,聚盛宴,龙华区,龙昆北路,67,准四星商户,8
海南菜,东路基(海德店),龙华区,龙华区,116,三星商户,29
海南菜,本味主义·椰子鸡(解放西金棕榈...,龙华区,解放西/泰龙城,51,三星商户,19
海南菜,林记天机抱罗粉,龙华区,龙华区,30,三星商户,3
海南菜,民生饭庄,龙华区,金牛岭公园,30,三星商户,4
海南菜,味道家(金恳店),龙华区,金牛岭公园,53,三星商户,1
海南菜,明光国际大酒店锦和坊,龙华区,南站/南海大道,225,三星商户,23
海南菜,文昌鸡餐厅,龙华区,金牛岭公园,27,三星商户,11
海南菜,定安野菜筒骨汤,龙华区,金盘,24,三星商户,2
海南菜,阿福嫂抱罗粉餐厅(国贸大道店),龙华区,宜欣广场,13,三星商户,34
海南菜,鸡饭兴饭店,龙华区,东湖,46,三星商户,30
海南菜,全牛庄,龙华区,金牛岭公园,55,三星商户,12
海南菜,海口宾馆椰风堂酒楼,龙华区,东湖,50,三星商户,19
海南菜,立平野菜谷(龙昆南路店),龙华区,龙昆北路,57,三星商户,9
火锅,海底捞火锅(明珠路店),龙华区,宜欣广场,111,五星商户,294
火锅,顺拾蒸海鲜蒸汽料理(南沙路店),龙华区,南沙路,103,准五星商户,465
火锅,木叔麻辣料理馆(龙华店),龙华区,龙华区,50,准五星商户,314
火锅,捞友记猪肚煲鸡,龙华区,京华城,77,四星商户,347
火锅,七欣天品蟹轩(西沙路店),龙华区,龙昆北路,98,四星商户,96
火锅,椰子不语(宜欣店),龙华区,宜欣广场,90,四星商户,179
