菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
粤菜,金悅軒海鮮酒家(拱北店),香洲区,拱北,162,五星商户,2764
粤菜,金苑海鲜火锅酒家(拱北店),香洲区,拱北,142,准五星商户,249
粤菜,Refill悦府,香洲区,富华里,98,四星商户,1859
粤菜,益健美食大广场,香洲区,摩尔广场,77,四星商户,488
粤菜,老强记湛江鸡饭店(吉大店),香洲区,吉大,53,四星商户,290
粤菜,明达农庄,香洲区,唐家湾,55,四星商户,52
粤菜,如轩砂锅粥(迎宾南路店),香洲区,拱北,72,四星商户,1110
粤菜,和记菜馆,香洲区,唐家湾,49,四星商户,455
粤菜,潮阳老七牛肉火锅(珠海总店),香洲区,香洲,78,四星商户,317
粤菜,鸽鸽叫食馆,香洲区,柠溪,50,四星商户,17
粤菜,鹅天下第一饭庄,香洲区,香洲,51,四星商户,157
粤菜,阳江渔港(前山店),香洲区,前山,75,四星商户,700
粤菜,横琴公社餐厅(原横琴蚝生态园),香洲区,横琴,121,四星商户,394
粤菜,西南饭店,香洲区,香洲,67,四星商户,188
粤菜,龙发海鲜城,香洲区,吉大,146,四星商户,96
粤菜,悦鑫好客家(珠海店),香洲区,九洲城,72,四星商户,622
粤菜,米芝莲(吉大店),香洲区,九洲城,12,四星商户,462
粤菜,海湾壹品,香洲区,拱北,124,四星商户,279
粤菜,四季佳景酒家,香洲区,华发商都,124,四星商户,1294
粤菜,龙宝轩海鲜火锅酒家,香洲区,新香洲,72,四星商户,314
粤菜,食盈碗仔翅(拱北店),香洲区,拱北,43,四星商户,30
粤菜,赵记神庙烧鸡,香洲区,愚园,54,四星商户,62
粤菜,江海一品,香洲区,香洲区,74,四星商户,63
粤菜,味缘磨磨香土菜馆(富华里店),香洲区,富华里,67,四星商户,428
粤菜,味之林(景山店),香洲区,吉大,57,四星商户,439
粤菜,三福潮州砂锅粥,香洲区,夏湾,61,四星商户,16
粤菜,财庙烧鸡●大盘私房菜,香洲区,九洲城,51,四星商户,40
粤菜,万悦酒店·万悦轩中餐厅,香洲区,拱北,122,四星商户,153
粤菜,仙庙烧鸡(南屏店),香洲区,南屏,72,四星商户,86
粤菜,湛记大排档(横琴新区店),香洲区,横琴,120,四星商户,1197
粤菜,果度大排档(横琴店),香洲区,横琴,87,四星商户,654
粤菜,客语(珠海/华发商都),香洲区,华发商都,67,四星商户,746
粤菜,品鼎记酒楼●平价海鲜餐厅,香洲区,香洲,44,四星商户,26
粤菜,龙轩怡庭宴会海鲜酒家,香洲区,拱北,109,四星商户,102
粤菜,香山小厨,香洲区,湾仔,104,四星商户,108
粤菜,茂湛食府,香洲区,夏湾,40,四星商户,6
粤菜,粤语美食·传说 海里鲜餐厅,香洲区,九洲城,85,准四星商户,195
