菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
小吃快餐,喜识嘎嘣脆抹茶炒酸奶(北国超市...,长安区,运河桥客运站,11,四星商户,281
小吃快餐,德克士(永辉店),长安区,省博物馆,24,四星商户,1967
小吃快餐,德克士(紫光都店),长安区,长安区,21,四星商户,1369
小吃快餐,阿上阿上(先天下广场店),长安区,中山东路,19,四星商户,502
小吃快餐,喜识嘎嘣脆抹茶炒酸奶(建华店),长安区,省博物馆,9,四星商户,266
小吃快餐,轰炸大鱿鱼(勒泰庄里街店),长安区,勒泰中心,15,四星商户,791
小吃快餐,喜识嘎嘣脆抹茶炒酸奶(中和轩店),长安区,省博物馆,9,四星商户,366
小吃快餐,喜识嘎嘣脆抹茶炒酸奶(益中店),长安区,谈固,11,四星商户,92
小吃快餐,一碗兰(勒泰店),长安区,勒泰中心,14,四星商户,777
小吃快餐,阿上阿上(北国商城店),长安区,北国商城,21,四星商户,413
小吃快餐,小磊铁锅焖面(东尚店),长安区,北国东尚,28,四星商户,378
小吃快餐,妙巧屋章鱼小丸子(勒泰店),长安区,勒泰中心,11,四星商户,419
小吃快餐,锅品面吧·饭,长安区,北国商城,22,四星商户,541
小吃快餐,真功夫(乐汇城),长安区,中山东路,25,四星商户,362
小吃快餐,喜识嘎嘣脆抹茶炒酸奶(图大店),长安区,北国商城,11,四星商户,441
小吃快餐,阿上阿上麻辣骨汤串(美东国际店),长安区,省博物馆,18,四星商户,514
小吃快餐,你好我是(勒泰店),长安区,勒泰中心,10,四星商户,190
小吃快餐,汉堡王(石家庄嘉和广场店),长安区,谈固,38,四星商户,68
小吃快餐,阿三生煎(先天下广场店),长安区,中山东路,19,四星商户,291
小吃快餐,DQ冰淇淋(石家庄东胜店),长安区,长安区,29,四星商户,24
小吃快餐,第一佳大鸡排(嘉和店),长安区,长安区,10,四星商户,5
小吃快餐,八佰碗,长安区,中山东路,19,准四星商户,191
小吃快餐,棉三炸鸡店,长安区,省博物馆,17,准四星商户,62
小吃快餐,黄金粥港式早晚茶(西美店),长安区,中山东路,35,准四星商户,166
小吃快餐,喜识嘎嘣脆抹茶炒酸奶(千品府店),长安区,省博物馆,8,准四星商户,135
小吃快餐,谷连天八宝粥(广安店),长安区,中山东路,18,准四星商户,104
小吃快餐,壹早壹碗豆腐脑(鑫水园店),长安区,建华百货,12,准四星商户,17
小吃快餐,阿上阿上(东胜店),长安区,谈固,21,准四星商户,21
小吃快餐,一碗兰(汽贸园店),长安区,盛世长安,20,准四星商户,44
小吃快餐,滇峰米线(丰收路店),长安区,长安区,20,准四星商户,3
小吃快餐,亚米荟盐酥鸡(东胜广场店),长安区,长安区,10,准四星商户,19
小吃快餐,酸辣粉锅魁,长安区,长安区,10,准四星商户,10
小吃快餐,第1佳大鸡排(十二中店),长安区,北国东尚,15,准四星商户,12
小吃快餐,汤火功夫麻辣烫,长安区,北国东尚,10,准四星商户,5
小吃快餐,正港御林大鸡排(北城国际店),长安区,运河桥客运站,12,准四星商户,153
小吃快餐,周大嘴黑鸭(省博物馆店),长安区,北国东尚,17,准四星商户,304
小吃快餐,鲜竹家板凳面(北宋路店),长安区,中山东路,10,准四星商户,2
小吃快餐,御品德重庆鸡公煲,长安区,先天下,27,准四星商户,3
小吃快餐,豫香道口鸡,长安区,中山东路,18,准四星商户,29
小吃快餐,邢家炒栗,长安区,北国东尚,18,准四星商户,11
小吃快餐,幸福大锅菜老家过喜事的味道(广...,长安区,长安区,12,准四星商户,24
小吃快餐,肯德基(翟营店),长安区,长安区,23,准四星商户,29
小吃快餐,骨汤面焖面,长安区,省博物馆,10,准四星商户,3
小吃快餐,味小煲(东胜店),长安区,谈固,38,准四星商户,156
小吃快餐,壹早壹碗豆腐脑(国瑞城店),长安区,长安区,13,准四星商户,10
小吃快餐,苏达咖喱,长安区,北国东尚,18,准四星商户,27
小吃快餐,阿三生煎(嘉和店),长安区,长安区,15,准四星商户,40
小吃快餐,十三太煲武侠主题餐厅,长安区,长安区,15,准四星商户,22
小吃快餐,老陕北抿节,长安区,北国东尚,16,准四星商户,19
小吃快餐,弟兄俩土豆粉(图书大厦店),长安区,北国商城,10,准四星商户,8
小吃快餐,叫只羊抓饭,长安区,北国东尚,10,准四星商户,25
小吃快餐,台湾饭团,长安区,北国东尚,8,准四星商户,97
小吃快餐,龙格格(和平路店),长安区,盛世长安,31,准四星商户,17
小吃快餐,陈小树生煎,长安区,白佛,11,准四星商户,47
小吃快餐,金银来豆皮涮牛肚,长安区,盛世长安,28,准四星商户,65
小吃快餐,咕咕哒炸鸡,长安区,中山东路,15,准四星商户,31
小吃快餐,脆皮烤猪蹄(建华店),长安区,长安区,10,准四星商户,4
小吃快餐,沙县小吃,长安区,中山东路,11,准四星商户,10
小吃快餐,百客家(嘉和广场店),长安区,长安区,38,准四星商户,6
小吃快餐,盖冒儿川府冒菜馆(谈北路店),长安区,省博物馆,19,准四星商户,21
小吃快餐,食尚晋老头(先天下广场店),长安区,中山东路,17,准四星商户,122
小吃快餐,刘记酸辣粉锅魁,长安区,长安区,10,准四星商户,20
小吃快餐,第一佳大鸡排(东胜旗舰店),长安区,谈固,10,准四星商户,13
小吃快餐,筷客酸辣粉锅魁,长安区,盛世长安,10,准四星商户,2
小吃快餐,古乡居铁锅焖面,长安区,北国东尚,23,准四星商户,212
小吃快餐,古骨肉排骨米饭(嘉和店),长安区,长安区,10,准四星商户,4
小吃快餐,无极饸饹(饸饹张),长安区,谈固,12,准四星商户,95
小吃快餐,百味佳·大香港鸡蛋仔,长安区,谈固,10,准四星商户,7
小吃快餐,珍品轩肉夹馍(先天下店),长安区,先天下,18,准四星商户,290
小吃快餐,红太阳鲜香饺子,长安区,运河桥客运站,15,准四星商户,12
小吃快餐,龙格格·现包肉丁水饺,长安区,长安区,30,准四星商户,5
小吃快餐,喜识嘎嘣脆抹茶炒酸奶(东尚店),长安区,中山东路,9,准四星商户,105
小吃快餐,抢手王麻辣烫,长安区,谈固,13,准四星商户,79
小吃快餐,第一佳大鸡排(紫晶悦城店),长安区,长安区,10,准四星商户,4
小吃快餐,重庆鸡公煲(东胜店),长安区,谈固,20,准四星商户,5
小吃快餐,爱尚炒酸奶,长安区,建华百货,9,准四星商户,64
小吃快餐,翟师傅羊肉泡馍,长安区,建华百货,16,准四星商户,145
小吃快餐,福仔卤鹅(瑞城店),长安区,长安区,11,准四星商户,6
小吃快餐,食益轩腊汁肉夹馍(翟营店),长安区,长安区,15,准四星商户,6
小吃快餐,周记黑鸭(广安店),长安区,省博物馆,12,准四星商户,15
小吃快餐,健康煮麻辣烫(东胜店),长安区,谈固,14,准四星商户,20
小吃快餐,重庆李小面,长安区,白佛,13,准四星商户,10
小吃快餐,周大嘴黑鸭(广安大街店),长安区,盛世长安,13,准四星商户,35
小吃快餐,黄记一味生煎(谈北路店),长安区,省博物馆,15,准四星商户,8
小吃快餐,谷连天八宝粥(丰收店),长安区,长安区,29,准四星商户,23
小吃快餐,必胜客宅急送(翟营店),长安区,长安区,46,准四星商户,60
小吃快餐,肯德基(广安店),长安区,中山东路,28,准四星商户,33
小吃快餐,柳螺香(奥北公元店),长安区,中山东路,12,准四星商户,20
小吃快餐,过桥米线(范光胡同),长安区,中山东路,20,准四星商户,10
小吃快餐,保定驴肉火烧,长安区,谈固,14,准四星商户,31
小吃快餐,刘锅魁酸辣粉,长安区,中山东路,11,准四星商户,136
小吃快餐,刁四藤椒麻辣烫(裕彤店),长安区,长安区,15,准四星商户,8
小吃快餐,赵记驴肉火烧,长安区,谈固,13,准四星商户,31
小吃快餐,益家羊汤,长安区,长安区,37,准四星商户,11
小吃快餐,李先生加州牛肉面大王(石家庄医...,长安区,北国商城,19,准四星商户,94
小吃快餐,张亮麻辣烫(省博物馆店),长安区,长安区,12,准四星商户,6
小吃快餐,鲜卤家(中山路店),长安区,中山东路,15,准四星商户,17
小吃快餐,禾合美中式快餐(天客隆店),长安区,先天下,19,准四星商户,14
小吃快餐,香满园过桥米线(紫晶悦城),长安区,中山东路,15,准四星商户,17
小吃快餐,盛祥面馆,长安区,中山东路,11,准四星商户,8
小吃快餐,56道疯味,长安区,省博物馆,15,准四星商户,8
