菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
火锅,海底捞火锅(苏雅路店),工业园区,左岸商业街,121,五星商户,1689
火锅,捞王锅物料理(新光天地店),工业园区,博览中心,140,五星商户,2097
火锅,太和·红火锅料理,工业园区,博览中心,662,五星商户,318
火锅,捞王锅物料理(李公堤店),工业园区,李公堤,131,五星商户,7193
火锅,蜀天下火锅,工业园区,跨塘,65,五星商户,88
火锅,左庭右院鲜牛肉火锅(印象城现代...,工业园区,左岸商业街,116,五星商户,3135
火锅,暹罗•菩提风味火锅,工业园区,李公堤,173,五星商户,4056
火锅,有家酸菜鱼(园区店),工业园区,湖东邻里中心,63,五星商户,4036
火锅,重庆德庄火锅直营店(李公堤店),工业园区,李公堤,109,五星商户,4638
火锅,熬八年台湾火锅(环球188店),工业园区,左岸商业街,133,五星商户,2416
火锅,红老蜀美蛙鱼头,工业园区,斜塘老街,76,五星商户,168
火锅,有家酸菜鱼(娄葑店),工业园区,娄葑镇,62,五星商户,2909
火锅,有家酸菜鱼(玲珑湾店),工业园区,博览中心,64,五星商户,2306
火锅,重庆德庄火锅直营店(娄葑店),工业园区,娄葑镇,94,五星商户,4493
火锅,重庆德庄火锅直营店(永旺梦乐城...,工业园区,永旺梦乐城,112,准五星商户,1892
火锅,成都钢管厂五区小郡肝串串香(苏...,工业园区,独墅湖大学城,71,准五星商户,178
火锅,鼎牛锅物料理(圆融星座店),工业园区,圆融时代广场,107,准五星商户,3299
火锅,禅日式火锅,工业园区,左岸商业街,122,准五星商户,892
火锅,釜乐轩,工业园区,圆融时代广场,85,准五星商户,1280
火锅,七欣天品蟹轩(园区融安街店),工业园区,湖东邻里中心,103,准五星商户,402
火锅,秦记水佬坊源自香港火锅料理,工业园区,左岸商业街,151,准五星商户,510
火锅,锅府火锅(印象城现代大道店),工业园区,左岸商业街,131,准五星商户,1210
火锅,旺府火锅,工业园区,斜塘老街,110,准五星商户,1775
火锅,杨平醒酒汤(最正宗韩式料理),工业园区,博览中心,57,准五星商户,154
火锅,韩屋韩国料理(凤凰书城店),工业园区,左岸商业街,41,准五星商户,1742
火锅,熬八年台湾火锅(诚品店),工业园区,博览中心,127,准五星商户,1955
火锅,腔调精品涮肉龙虾馆,工业园区,博览中心,99,准五星商户,104
火锅,陈记顺河牛肉店(万科美好广场店),工业园区,万科美好广场,103,准五星商户,1136
火锅,万怡酒店MOMO Cafe,工业园区,左岸商业街,165,准五星商户,1822
火锅,熬恬香火锅(双湖广场店),工业园区,娄葑镇,84,准五星商户,275
火锅,斗鱼·鱼羊鲜·酸菜鱼火锅(金鸡...,工业园区,金鸡湖商业广场,74,准五星商户,608
火锅,重庆刘一手毛肚火锅(邻瑞广场店),工业园区,李公堤,104,准五星商户,1970
火锅,七欣天品蟹轩(园区尼盛广场店),工业园区,左岸商业街,112,准五星商户,1504
火锅,郭鼎记铜锅涮肉烧烤(九华路店),工业园区,博览中心,96,准五星商户,294
火锅,湾捞王·锅物料理(斜塘老街店),工业园区,斜塘老街,99,准五星商户,165
火锅,湾捞王·锅物料理(金鸡湖商业广...,工业园区,金鸡湖商业广场,105,准五星商户,269
火锅,重庆德庄火锅(锦丰广场店),工业园区,跨塘,89,准五星商户,171
火锅,我家石锅鱼(金象城店),工业园区,娄葑镇,54,准五星商户,1016
火锅,宽窄巷子成都串串香(园区店),工业园区,左岸商业街,54,准五星商户,532
火锅,原味道烧肉●火锅●精致料理(园...,工业园区,左岸商业街,123,准五星商户,2582
火锅,四川香天下火锅(万科美好广场店),工业园区,万科美好广场,107,准五星商户,3324
火锅,有家酸菜鱼(圆融星座店),工业园区,博览中心,68,准五星商户,435
火锅,辣魅冷锅串串,工业园区,永旺梦乐城,45,准五星商户,161
火锅,阿潘骨头汤(东环店),工业园区,娄葑镇,72,准五星商户,1727
火锅,辣府(苏悦广场店),工业园区,金鸡湖商业广场,134,准五星商户,535
火锅,四川香天下火锅(苏州旗舰店),工业园区,金鸡湖商业广场,122,准五星商户,7989
火锅,羊虾将(斜塘老街店),工业园区,斜塘老街,150,准五星商户,1104
火锅,屋头串串香(钟慧路店),工业园区,湖东邻里中心,48,准五星商户,59
火锅,大渝火锅(久光超级店),工业园区,圆融时代广场,122,准五星商户,1924
火锅,菲渔海鲜火锅,工业园区,左岸商业街,201,准五星商户,281
火锅,白甘蔗健康时尚火锅(天虹店),工业园区,左岸商业街,84,准五星商户,425
火锅,抓鱼吃(景城邻里中心店),工业园区,景城邻里中心,59,四星商户,447
火锅,百盛·鱼小漾(印象城现代大道店),工业园区,左岸商业街,73,四星商户,1326
火锅,石锅渔乡(永旺梦乐城工业园店),工业园区,永旺梦乐城,84,四星商户,1408
火锅,百盛·鱼小漾(邻瑞店),工业园区,李公堤,74,四星商户,1383
火锅,王氏藏书羊肉,工业园区,博览中心,45,四星商户,306
火锅,蜀锦香成都厕所串串(苏州旗舰店),工业园区,金鸡湖商业广场,56,四星商户,374
火锅,川西部落·成都老火锅(斜塘店),工业园区,斜塘老街,87,四星商户,1408
火锅,壹鼎旺冷锅香串串·烧烤,工业园区,斜塘老街,52,四星商户,542
火锅,泰好吃芝士年糕火锅(独墅湖店),工业园区,独墅湖大学城,56,四星商户,376
火锅,添福捞(津梁街店),工业园区,湖东邻里中心,96,四星商户,118
火锅,六年二班串串(娄葑校区店),工业园区,娄葑镇,41,四星商户,95
火锅,郭鼎记铜锅涮肉烧烤(玲珑湾店),工业园区,博览中心,113,四星商户,141
火锅,三生小筑火锅(东沙湖店),工业园区,湖东邻里中心,94,四星商户,369
火锅,金猪家韩式料理·石板烤肉(独墅...,工业园区,独墅湖大学城,72,四星商户,167
火锅,新潮牛鲜鱼火锅,工业园区,湖东邻里中心,79,四星商户,65
火锅,天天牛事汇潮汕牛肉火锅(娄葑店),工业园区,娄葑镇,144,四星商户,416
火锅,潮牛吴老幺老火锅,工业园区,左岸商业街,127,四星商户,557
火锅,红蜻蜓美蛙鱼头（总店）·火锅,工业园区,博览中心,110,四星商户,726
火锅,黄记煌三汁焖锅(圆融时代广场店),工业园区,博览中心,96,四星商户,6633
