菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
火锅,曰Yue.火锅(交大店),碑林区,碑林区,86,五星商户,88
火锅,海底捞火锅(金花路店),碑林区,金花路沿线,90,五星商户,1186
火锅,二串壹系马桩田螺王老锅串串,碑林区,含光路,51,五星商户,118
火锅,有才叔的鱼(顺城巷店),碑林区,钟楼/鼓楼,90,五星商户,348
火锅,清真叁少野涮锅烧烤,碑林区,民乐园,85,五星商户,2520
火锅,曼谷小象泰式海鲜火锅,碑林区,钟楼/鼓楼,124,五星商户,1238
火锅,串先森的店(李家村店),碑林区,李家村,55,五星商户,140
火锅,古城好一锅羊蝎子养生火锅(清真),碑林区,钟楼/鼓楼,75,五星商户,413
火锅,齐祺渔锅,碑林区,碑林区,52,五星商户,73
火锅,东来顺(金花南路店),碑林区,金花路沿线,86,五星商户,7131
火锅,五叔家串串老火锅(交大店),碑林区,西安交大东校区,50,五星商户,947
火锅,火锅和你,碑林区,李家村,66,五星商户,650
火锅,朝阳门涮肉·烤肉,碑林区,长乐坊,79,五星商户,481
火锅,重庆袁老四火锅概念店,碑林区,南院门,76,五星商户,671
火锅,三味渔府(小雁塔店),碑林区,小雁塔,107,五星商户,280
火锅,曰yue火锅(中贸店),碑林区,碑林区,85,五星商户,57
火锅,木均新派火锅,碑林区,钟楼/鼓楼,103,五星商户,617
火锅,我要牛市鲜牛火锅(劳动南路店),碑林区,西北大/西工大,79,五星商户,761
火锅,涮海百姓海鲜火锅(劳动路店),碑林区,西北大/西工大,77,五星商户,479
火锅,有才叔未末小馆(粉巷里店),碑林区,钟楼/鼓楼,91,准五星商户,1589
火锅,辣宴火锅(含光门店),碑林区,钟楼/鼓楼,87,准五星商户,3443
火锅,嗲串串火锅,碑林区,和平门/建国门,68,准五星商户,130
火锅,熊先生火锅,碑林区,钟楼/鼓楼,65,准五星商户,78
火锅,有才叔的小馆(省体育场店),碑林区,省体育场,87,准五星商户,815
火锅,锦翔炝锅城(劳动南路店),碑林区,西北大/西工大,54,准五星商户,3471
火锅,锦官会(世纪金花珠江时代店),碑林区,钟楼/鼓楼,150,准五星商户,1312
火锅,花田煮·臻牛(钟楼众汇店),碑林区,钟楼/鼓楼,69,准五星商户,1607
火锅,中国重庆老版火锅(粉巷店),碑林区,钟楼/鼓楼,91,准五星商户,78
火锅,中国重庆老版火锅(建西街店),碑林区,和平门/建国门,88,准五星商户,715
火锅,麻辣空间(粉巷店),碑林区,钟楼/鼓楼,104,准五星商户,287
火锅,大圣老火锅,碑林区,何家村,75,准五星商户,173
火锅,玲珑 美蛙鱼头,碑林区,朱雀门,87,准五星商户,52
火锅,一尊皇牛(文艺路店),碑林区,文艺路,84,准五星商户,1650
火锅,青年火锅店,碑林区,东关正街,67,准五星商户,144
火锅,老成串串香,碑林区,省体育场,53,准五星商户,66
火锅,重庆正宗新派火锅(妞妞私房馆),碑林区,省体育场,92,准五星商户,146
火锅,饿狼串说老火锅(粉巷店),碑林区,钟楼/鼓楼,85,准五星商户,464
