菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
贵州菜,丝恋红汤丝娃娃(鸿通城店),南明区,鸿通城,51,五星商户,263
贵州菜,树厨地道黔菜餐厅(花果园左藏三...,南明区,南明区,76,准五星商户,855
贵州菜,丝恋红汤丝娃娃(国贸逸天城店),南明区,市南路,55,准五星商户,465
贵州菜,老凯俚酸汤鱼(鸿通城店),南明区,鸿通城,94,四星商户,1254
贵州菜,丝恋红汤丝娃娃(花果园店),南明区,花果园,44,四星商户,388
贵州菜,丝恋红汤丝娃娃(星力广场富水南...,南明区,大南门,46,四星商户,239
贵州菜,老凯俚酸汤鱼(民俗村店),南明区,多彩贵州城,123,四星商户,230
贵州菜,杨姨妈丝娃娃(花果园店),南明区,花果园,24,四星商户,270
贵州菜,田螺大叔(花果园店),南明区,花果园,53,四星商户,188
贵州菜,都市新大新豆米火锅(花果园店),南明区,花果园,60,四星商户,119
贵州菜,05餐酷,南明区,南明区,28,四星商户,20
贵州菜,贵阳亮欢寨酸汤鱼(沙冲路店),南明区,沙冲南路,97,四星商户,223
贵州菜,都市新大新豆米火锅(鸿通城店),南明区,鸿通城,51,四星商户,59
贵州菜,丝恋miss红汤丝娃娃(小十字银座...,南明区,南明区,48,四星商户,24
贵州菜,滋滋有味酸汤丝娃娃,南明区,花果园,27,四星商户,14
贵州菜,小雅家常菜(鸿通城店),南明区,鸿通城,57,准四星商户,138
贵州菜,小雅家常菜(亨特国际广场店),南明区,亨特City Mall,63,准四星商户,29
贵州菜,一起回家吃饭餐厅(花果园店),南明区,花果园,60,准四星商户,42
贵州菜,龙大哥辣子鸡(龙洞堡店一分店),南明区,南明区,65,准四星商户,40
贵州菜,胡子哥餐厅,南明区,亨特City Mall,65,准四星商户,21
贵州菜,卫城王马儿辣子鸡,南明区,水口寺,44,准四星商户,16
贵州菜,开心花甲(原四川巷老店),南明区,花果园,16,准四星商户,8
贵州菜,朋友圈时尚餐厅,南明区,花果园,40,准四星商户,8
贵州菜,新侗家食府(蟠桃宫店),南明区,水口寺,84,准四星商户,117
贵州菜,都市新大新豆米火锅(中港店),南明区,都司路,60,准四星商户,245
贵州菜,忆黔味,南明区,水口寺,40,准四星商户,9
贵州菜,潘潘小厨,南明区,油榨街,67,准四星商户,33
贵州菜,水家传說酸汤鱼,南明区,市南路,25,准四星商户,12
贵州菜,兰桂酒楼,南明区,贵阳站/解放路,122,准四星商户,16
贵州菜,马雲武(清真)黔味牛肉火锅,南明区,南明区,55,准四星商户,17
贵州菜,荷廷觅肴,南明区,水口寺,97,准四星商户,7
贵州菜,志金大锅洋芋,南明区,大南门,40,准四星商户,16
贵州菜,钟幺爷土司菜,南明区,河滨公园,62,准四星商户,61
贵州菜,妈妈菜私房会所,南明区,南明区,15,准四星商户,3
贵州菜,鼎罐城(龙洞堡店),南明区,多彩贵州城,71,准四星商户,78
贵州菜,李氏息烽阳郎鸡,南明区,亨特City Mall,53,准四星商户,76
贵州菜,林城万宜酒店,南明区,遵义路,90,准四星商户,4
贵州菜,机场宾馆餐厅,南明区,南明区,54,准四星商户,10
贵州菜,西凯利.观光餐厅,南明区,都司路,82,准四星商户,27
贵州菜,黄家老糯食店,南明区,亨特City Mall,18,准四星商户,10
贵州菜,仔仔热汤丝娃娃,南明区,亨特City Mall,20,准四星商户,245
贵州菜,百事得私房菜会馆,南明区,南明区,30,准四星商户,1
贵州菜,贵州龙(甲秀店),南明区,亨特City Mall,17,准四星商户,43
贵州菜,贵州龙(花果园店),南明区,花果园,25,准四星商户,74
贵州菜,香辣园酒楼(水口寺店),南明区,南明区,60,准四星商户,3
贵州菜,花楸树下,南明区,甲秀楼,70,准四星商户,31
贵州菜,小院坝花园餐厅,南明区,油榨街,65,准四星商户,17
贵州菜,安顺味吃货铺,南明区,南明区,18,准四星商户,13
贵州菜,香满园菜馆(花果园店),南明区,花果园,43,准四星商户,24
贵州菜,凯里老街坊酸汤鱼,南明区,箭道街,47,准四星商户,29
贵州菜,都市新大新豆米火锅(逸天城店),南明区,市南路,78,准四星商户,36
贵州菜,金芦笙小镇(宝山南路店),南明区,水口寺,122,准四星商户,52
贵州菜,半山乌江鱼,南明区,箭道街,99,准四星商户,45
贵州菜,奇香园,南明区,多彩贵州城,59,准四星商户,26
贵州菜,小瑞厨房,南明区,亨特City Mall,53,准四星商户,2
贵州菜,罐罐香,南明区,花果园,25,准四星商户,1
贵州菜,百鸡宴·宴会广场,南明区,油榨街,110,准四星商户,55
贵州菜,中都佳源,南明区,都司路,113,准四星商户,1
贵州菜,家馨苑,南明区,箭道街,45,准四星商户,14
贵州菜,遵义尝回头羊肉粉馆(八达巷店),南明区,贵阳站/解放路,14,准四星商户,14
贵州菜,全林酒店餐厅,南明区,大南门,40,准四星商户,4
贵州菜,下饭菜食味坊,南明区,南明区,100,准四星商户,2
贵州菜,贵州龙(蓝波湾店),南明区,博爱路,18,准四星商户,24
贵州菜,毛哥老鸭汤(南明店),南明区,南明区,39,准四星商户,1
贵州菜,悦宾大酒楼(望城坡店),南明区,沙冲中路,88,准四星商户,11
贵州菜,筑里香土菜馆(油榨街店),南明区,油榨街,52,准四星商户,10
贵州菜,采蝶轩(花果园店),南明区,花果园,85,准四星商户,47
贵州菜,鲜花小厨,南明区,南明区,157,准四星商户,26
贵州菜,茴香新概念餐厅,南明区,亨特City Mall,47,准四星商户,24
贵州菜,万福酒楼,南明区,南明区,62,准四星商户,3
贵州菜,贵州民族大酒店(黔膳阁),南明区,箭道街,140,准四星商户,5
贵州菜,筑里香土菜馆(文化路店),南明区,河滨公园,49,准四星商户,5
贵州菜,龙大哥辣子鸡(车水路店),南明区,南明区,48,准四星商户,3
贵州菜,小慧住家菜(宝山南路店),南明区,水口寺,53,准四星商户,36
贵州菜,新做牛排火锅,南明区,亨特City Mall,64,准四星商户,57
贵州菜,小慧住家菜(全林店),南明区,亨特City Mall,44,准四星商户,20
贵州菜,杨阿姨豆花饭,南明区,油榨街,20,准四星商户,5
贵州菜,雅湘食园,南明区,南明区,60,准四星商户,1
贵州菜,武岳酒店餐厅(餐饮部),南明区,南明区,111,准四星商户,1
贵州菜,盛隆食坊,南明区,南明区,55,准四星商户,2
贵州菜,绍兴大酒店天意餐厅(餐饮部),南明区,新华路,125,准四星商户,4
贵州菜,林家豆米火锅,南明区,亨特City Mall,46,准四星商户,8
贵州菜,香满园菜馆(金品店),南明区,沙冲中路,40,准四星商户,3
贵州菜,钟大娃烤鸭食府,南明区,南明区,69,准四星商户,10
贵州菜,家馨苑食府,南明区,亨特城市广场,45,准四星商户,4
贵州菜,逸豪园酒楼,南明区,南明区,50,准四星商户,1
贵州菜,金顶山夏家清水烫(美树阳光店),南明区,沙冲南路,20,准四星商户,6
贵州菜,温莎迷你公寓,南明区,花果园,76,准四星商户,6
贵州菜,门庭院(鸿通城店),南明区,鸿通城,49,准四星商户,35
贵州菜,阿杜炒蟹(青云路店),南明区,贵阳站/解放路,97,准四星商户,59
贵州菜,大掌柜黔味坊(嘉润路店),南明区,市南路,56,准四星商户,175
贵州菜,曼克食府【原6号小厨店】,南明区,南明区,56,准四星商户,2
贵州菜,汤氏食府土菜馆,南明区,新华路,40,准四星商户,5
贵州菜,宽坐,南明区,南明区,100,准四星商户,21
贵州菜,拐角楼食府,南明区,亨特City Mall,53,准四星商户,26
贵州菜,鸭说老鸭汤(鸿通城店),南明区,鸿通城,37,准四星商户,9
贵州菜,凯里苗王快活林酸汤鱼,南明区,亨特City Mall,45,准四星商户,13
贵州菜,李记息烽阳朗辣子鸡店,南明区,南明区,15,准四星商户,3
贵州菜,食尚味坊,南明区,花果园,21,准四星商户,3
贵州菜,家常炒菜馆,南明区,亨特城市广场,26,准四星商户,4
贵州菜,余庆乡村地道味剔骨鸭,南明区,南明区,25,准四星商户,5
贵州菜,大城小苑,南明区,油榨街,52,准四星商户,7
贵州菜,阿杜玖号菜,南明区,南明区,40,准四星商户,2
贵州菜,一人一口,南明区,南明区,33,准四星商户,1
贵州菜,周姨妈丝娃娃,南明区,博爱路,26,准四星商户,3
贵州菜,大家丝事贵阳小吃,南明区,亨特城市广场,41,准四星商户,60
贵州菜,黔语 民菜堂(浙江商城店),南明区,南明区,35,准四星商户,6
贵州菜,花溪风味辣子鸡,南明区,南明区,30,准四星商户,1
贵州菜,大富南酒楼,南明区,花果园,136,准四星商户,5
贵州菜,能辉酒店餐厅,南明区,南明区,120,准四星商户,12
贵州菜,云天酒楼(水口寺店),南明区,水口寺,74,准四星商户,1
贵州菜,竹园春食府,南明区,南明区,30,准四星商户,2
贵州菜,大仟纳园酒楼,南明区,南明区,57,准四星商户,18
贵州菜,憨包豆私房菜会所,南明区,花果园,30,准四星商户,1
贵州菜,品味居务川野生大脚菇,南明区,水口寺,43,准四星商户,3
贵州菜,方圆酒家,南明区,沙冲南路,34,准四星商户,4
贵州菜,黔味道(鸿通城店),南明区,鸿通城,72,三星商户,70
贵州菜,赖师傅贵州乡村菜(亨特国际广场...,南明区,亨特City Mall,54,三星商户,54
贵州菜,百益食府,南明区,河滨公园,145,三星商户,1
贵州菜,富源宾悦酒店(品悦餐厅),南明区,南明区,68,三星商户,2
贵州菜,满群食府,南明区,都司路,68,三星商户,4
贵州菜,梅子食坊(特色干锅马肉 兔肉 肥...,南明区,河滨公园,40,三星商户,1
贵州菜,都匀兄弟酸汤鱼,南明区,亨特City Mall,37,三星商户,3
贵州菜,制味至美,南明区,南明区,68,三星商户,9
贵州菜,半碗菜,南明区,贵阳站/解放路,45,三星商户,82
贵州菜,苗乐缘,南明区,新华路,30,三星商户,2
贵州菜,丁姨妈特色烙锅,南明区,大南门,34,三星商户,24
贵州菜,一家菜,南明区,南明区,40,三星商户,2
贵州菜,结巴凯里苗寨酸汤鱼,南明区,亨特City Mall,49,三星商户,11
贵州菜,范氏酸汤鱼,南明区,水口寺,99,三星商户,3
贵州菜,天外天渔城,南明区,都司路,37,三星商户,8
贵州菜,聚龙园(松山店),南明区,花果园,82,三星商户,6
贵州菜,黔外婆(都司店),南明区,都司路,69,三星商户,157
贵州菜,拾麦老汤丝娃娃(亨特店),南明区,亨特City Mall,39,三星商户,74
贵州菜,温莎花蜜,南明区,箭道街,55,三星商户,66
贵州菜,黄山名门食府,南明区,亨特City Mall,64,三星商户,21
贵州菜,六谷坊食府,南明区,南明区,70,三星商户,1
贵州菜,蘑菇头(国贸逸天城店),南明区,市南路,35,三星商户,25
贵州菜,冠洲宾馆,南明区,市南路,50,三星商户,3
贵州菜,杨阿姨丝娃娃店(都司路店),南明区,博爱路,31,三星商户,35
贵州菜,大掌柜黔味坊,南明区,南明区,56,三星商户,11
火锅,煮意潮牛鲜牛肉火锅(南浦路店),南明区,市南路,80,准五星商户,191
火锅,煮意潮牛鲜牛肉火锅(都司路店),南明区,南明区,91,准五星商户,374
火锅,吴铭怀旧火锅(鸿通城店),南明区,南明区,74,四星商户,83
火锅,亮欢寨酸汤鱼快活林(曹状元街店),南明区,大南门,69,四星商户,129
火锅,雷山鱼酱酸汤鱼(花果园购物中心...,南明区,南明区,35,四星商户,15
火锅,状元三宝牛肉,南明区,大南门,98,四星商户,60
火锅,昨日重现(黔牛),南明区,南明区,58,四星商户,8
火锅,迷尚豆捞(花果园店),南明区,花果园,101,四星商户,401
火锅,黔味牛魔王靓汤坊(花果园店),南明区,南明区,50,四星商户,4
火锅,苗岭侗寨酸汤鱼,南明区,花果园,120,四星商户,188
火锅,民国风重庆老火锅之穿越民国(大...,南明区,中华南路,50,准四星商户,11
火锅,苗佬记百年老酸,南明区,水口寺,38,准四星商户,2
火锅,清镇特色豆豉火锅,南明区,花果园,19,准四星商户,5
火锅,南粥北面(纪念塔店),南明区,市南路,62,准四星商户,139
火锅,黄记煌三汁焖锅(花果园店),南明区,花果园,67,准四星商户,357
火锅,鼎牛潮汕牛肉火锅,南明区,南明区,82,准四星商户,34
火锅,凯老街酸汤鱼,南明区,南明区,62,准四星商户,23
火锅,明嘉业潮汕牛肉火锅城(花果园店),南明区,南明区,50,准四星商户,19
火锅,薪宴美味捞自助火锅升级店(护国...,南明区,亨特City Mall,60,准四星商户,111
火锅,尝鹅故事,南明区,南明区,29,准四星商户,3
火锅,清水江鱼庄,南明区,甲秀楼,46,准四星商户,6
火锅,K1涮锅达人(花果园店),南明区,花果园,32,准四星商户,917
火锅,清镇豆豉火锅(花果园分店),南明区,花果园,27,准四星商户,16
火锅,胡子哥餐厅黔南酸汤牛胸肌火锅,南明区,南明区,30,准四星商户,2
