菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
火锅,巴奴毛肚火锅(曼哈顿店),金水区,曼哈顿/英协路,111,五星商户,311
火锅,豆捞坊(大卫城店),金水区,大卫城,108,五星商户,1583
火锅,海底捞火锅(天旺路店),金水区,天旺广场,84,五星商户,378
火锅,臻火锅,金水区,熙地港/王府井,75,五星商户,60
火锅,海底捞火锅(国贸大厦店),金水区,经三路沿线,88,五星商户,769
火锅,巴奴毛肚火锅(商城路店),金水区,紫荆山,87,五星商户,969
火锅,巴奴毛肚火锅(农科路店),金水区,国贸,103,五星商户,259
火锅,百年老妈火锅(玉凤路店),金水区,曼哈顿/英协路,81,五星商户,1481
火锅,巴奴毛肚火锅(经七路店),金水区,国贸,89,五星商户,444
火锅,巴奴毛肚火锅(二七路店),金水区,大卫城,97,准五星商户,483
火锅,海底捞火锅(郑汴路凯德店),金水区,凯德广场,93,准五星商户,380
火锅,杨翔豆皮涮牛肚(大卫城店),金水区,大卫城,62,准五星商户,2845
火锅,豆捞坊(国贸360广场店),金水区,国贸,104,准五星商户,168
火锅,汕锦记潮汕生鲜牛肉馆(政七街店),金水区,金水路/省政府,83,准五星商户,336
火锅,说原牛潮汕鲜牛肉火锅(聚源路店),金水区,金水区,101,准五星商户,91
火锅,巴奴毛肚火锅(农业路店),金水区,丰业生活广场,89,准五星商户,216
火锅,潮辣矿泉水火锅(农科路店),金水区,金水区,72,准五星商户,138
火锅,花田煮·臻牛(兰德中心店),金水区,国贸,61,准五星商户,326
火锅,汕锦记潮汕生鲜牛肉馆(天明路店),金水区,金水路/省政府,77,准五星商户,341
火锅,鼎鼎红火锅(英协路店),金水区,曼哈顿/英协路,157,准五星商户,680
火锅,小扁担串串香火锅(丰产路店),金水区,经三路沿线,47,准五星商户,94
火锅,重庆朝天门火锅(郑州旗舰店),金水区,科技市场,79,准五星商户,437
火锅,姐夫的小火锅,金水区,国贸,58,准五星商户,427
火锅,额尔敦传统涮(七里河南路总店),金水区,金水区,107,准五星商户,221
火锅,东来顺(经三路店),金水区,经三路沿线,88,准五星商户,644
火锅,杨翔豆皮涮牛肚(经七路店),金水区,建文新世界,45,准五星商户,1552
火锅,云鼎汇砂(凯德广场店),金水区,凯德广场,54,准五星商户,555
火锅,陈记顺河牛肉店(惠济万达店),金水区,北大学城,69,准五星商户,186
火锅,正好·火锅馆(经七路店),金水区,国贸,69,准五星商户,249
火锅,汕锦记潮汕生鲜牛肉馆(东风路店),金水区,科技市场,82,准五星商户,145
火锅,云南天祥石锅鱼(纬一路店),金水区,建文新世界,57,准五星商户,491
火锅,鼎鼎红火锅(黄河路店),金水区,经三路沿线,83,准五星商户,454
火锅,临溪而渔·鱼火锅,金水区,国贸,64,准五星商户,131
火锅,巴奴毛肚火锅(正弘旗店),金水区,经三路沿线,86,准五星商户,240
火锅,重庆锅巴饮年代火锅(国基路店),金水区,普罗旺世/庙里,61,准五星商户,480
火锅,波波与大鸟冷锅串,金水区,国贸,29,四星商户,36
火锅,虾吃虾涮虾火锅(大商新玛特店),金水区,国贸,102,四星商户,341
火锅,豆捞坊(熙地港店),金水区,熙地港/王府井,106,四星商户,64
火锅,蜀九香火锅,金水区,科技市场,103,四星商户,203
火锅,川到官美蛙鱼头火锅(大卫城店),金水区,大卫城,61,四星商户,292
火锅,如一坊(东风路店),金水区,经三路沿线,85,四星商户,268
火锅,潮吉牛●牛肉火锅(农科路店),金水区,金水区,60,四星商户,23
火锅,重庆锅巴饮年代火锅(农科路店),金水区,国贸,79,四星商户,482
火锅,何鲜菇火锅(郑州旗舰店),金水区,柳林刘庄,89,四星商户,50
火锅,德宝·御香苑(经六路店),金水区,建文新世界,88,四星商户,235
火锅,火麒麟老灶火锅,金水区,柳林刘庄,25,四星商户,16
火锅,东城火锅店,金水区,曼哈顿/英协路,76,四星商户,191
火锅,府苑美食,金水区,金水路/省政府,45,四星商户,526
火锅,小南国小山城火锅(经三路店),金水区,经三路沿线,64,四星商户,484
火锅,茂鑫泰冰煮羊郑州总店,金水区,天旺广场,59,四星商户,416
火锅,重庆仔新派火锅(经七路店),金水区,建文新世界,37,四星商户,301
火锅,巴辣巴火时尚火锅(大卫城店),金水区,大卫城,81,四星商户,700
火锅,毋米粥开煲(农科路店),金水区,国贸,78,四星商户,428
火锅,京馆涮(大卫城店),金水区,大卫城,75,四星商户,1353
火锅,汕锦记潮汕生鲜牛肉馆(凯德广场...,金水区,曼哈顿/英协路,76,四星商户,98
火锅,荷塘码头黑鱼馆(兰德中心店),金水区,国贸,64,四星商户,109
火锅,说原牛潮汕鲜牛肉火锅(曼哈顿店),金水区,曼哈顿/英协路,78,四星商户,149
火锅,寻鲜纪火锅(经三路店),金水区,经三路沿线,91,四星商户,39
火锅,锅大侠火锅(凯隆小商品城店),金水区,科技市场,30,四星商户,280
火锅,二人锅(熙地港店),金水区,熙地港/王府井,81,四星商户,151
火锅,大龙燚火锅(经三路店),金水区,经三路沿线,115,四星商户,599
火锅,小胖说手提串串·厕所串串,金水区,大石桥/体育场,36,四星商户,603
火锅,百岁鱼(东明路店),金水区,经三路沿线,45,四星商户,668
火锅,巴奴毛肚火锅(文化路店),金水区,省电视台,90,四星商户,435
火锅,超凡大师牛油火锅,金水区,科技市场,54,四星商户,27
火锅,無间老友记养生打边炉(丰产路经...,金水区,经三路沿线,52,四星商户,316
火锅,小锅仙森,金水区,大石桥/体育场,63,四星商户,59
火锅,锅大侠火锅(东风路店),金水区,科技市场,32,四星商户,512
火锅,毋米粥开煲(英协路店),金水区,曼哈顿/英协路,92,四星商户,446
火锅,舒来喜鱼锅(东明路店),金水区,经三路沿线,53,四星商户,1108
火锅,一茶一炉,金水区,天旺广场,25,四星商户,75
火锅,香天下传承火锅(天旺旗舰店),金水区,天旺广场,83,四星商户,946
火锅,汕锦记潮汕生鲜牛肉馆(丰庆路店),金水区,天旺广场,70,四星商户,153
火锅,小背篓菌汤火锅(聚源路店),金水区,金水区,118,四星商户,46
火锅,我是你的菜(丹尼斯百货花园路店),金水区,国贸,26,四星商户,49
火锅,喜虾客(大商新玛特店),金水区,金水区,48,四星商户,19
火锅,没名儿串串火锅,金水区,金水区,41,四星商户,8
火锅,臻品涮肉,金水区,经三路沿线,79,四星商户,190
火锅,黔一味酸汤牛肉火锅,金水区,金水区,30,四星商户,7
火锅,傣妹火锅(北大学城店),金水区,北大学城,36,四星商户,92
火锅,额尔敦传统涮(金水万达店),金水区,科技市场,99,四星商户,106
火锅,漫口潮汕牛肉火锅,金水区,金水区,82,四星商户,48
火锅,益品球球虾馆(宏图街店),金水区,金水区,35,四星商户,12
火锅,袁记串串香(蓝堡湾店),金水区,科技市场,43,四星商户,41
火锅,巴奴毛肚火锅(惠济万达店),金水区,北大学城,105,四星商户,17
火锅,欧啦自助火锅,金水区,天旺广场,38,四星商户,615
火锅,黄记煌(惠济万达店),金水区,北大学城,50,四星商户,14
火锅,小肥羊(黄河路店),金水区,金水路/省政府,64,四星商户,95
火锅,大口妹肉蟹煲(瀚海北金店),金水区,陈砦,54,四星商户,210
火锅,潮汕鼎记生鲜牛肉火锅(优胜北路...,金水区,大石桥/体育场,63,四星商户,120
火锅,食玖火锅,金水区,科技市场,47,四星商户,8
火锅,佰人王串串香火锅(国基路店),金水区,金水区,33,四星商户,17
火锅,潮汕鼎记生鲜牛肉火锅(红专路店),金水区,金水区,71,四星商户,99
火锅,丰乐斑鱼庄(丰乐路店),金水区,天旺广场,49,四星商户,200
火锅,王婆大虾(兰德中心店),金水区,国贸,55,四星商户,23
火锅,鲜香阁火锅,金水区,张家村,46,四星商户,11
火锅,火盆景麻辣鱼,金水区,金水区,21,四星商户,4
火锅,咕咚hot pot Cafe私房火锅,金水区,国贸,83,四星商户,62
火锅,京馆涮(丹尼斯百货花园路店),金水区,国贸,68,四星商户,40
火锅,麻辣森林(丰产路店),金水区,建文新世界,44,四星商户,101
火锅,大宅门串串火锅(政七街店),金水区,国贸,74,四星商户,114
火锅,王婆大虾(经三路店),金水区,金水区,38,四星商户,4
火锅,渔跃时尚烤鱼(祭城店),金水区,金水区,34,四星商户,4
火锅,王婆大虾(建文店),金水区,建文新世界,41,四星商户,189
火锅,王婆大虾(千盛广场店),金水区,千盛广场,36,四星商户,27
火锅,我和你欢乐火锅(文化路店),金水区,国贸,38,四星商户,524
火锅,天天养生火锅,金水区,金水区,57,四星商户,2
火锅,鱼库秘制烤鱼,金水区,科技市场,45,四星商户,7
火锅,小龙坎老火锅(国贸店),金水区,国贸,88,准四星商户,195
火锅,川豫堂砂锅串串,金水区,经三路沿线,70,准四星商户,131
火锅,华阳串根香,金水区,金水区,72,准四星商户,45
火锅,重庆赖火锅(凤台路店),金水区,曼哈顿/英协路,54,准四星商户,15
火锅,小芭蕉泰式火锅(曼哈顿店),金水区,曼哈顿/英协路,44,准四星商户,6
火锅,鸿茂斋(经七路店),金水区,建文新世界,65,准四星商户,295
火锅,麻辣森林(大石桥),金水区,大石桥/体育场,50,准四星商户,36
火锅,重庆颜氏双江清水鱼,金水区,金水区,53,准四星商户,4
火锅,守柴炉烤鸭,金水区,金水区,56,准四星商户,26
火锅,寻鲜纪火锅(东明路店),金水区,经三路沿线,85,准四星商户,27
火锅,上水·王婆大虾(大石桥总店),金水区,大石桥/体育场,31,准四星商户,208
火锅,313羊庄,金水区,曼哈顿/英协路,70,准四星商户,6
火锅,河南泓元大酒店(餐饮部),金水区,金水区,85,准四星商户,98
火锅,乐多火锅,金水区,金水区,64,准四星商户,11
火锅,王婆大虾(生产路店),金水区,千盛广场,30,准四星商户,11
火锅,上水·王婆大虾(东风路总店),金水区,大石桥/体育场,76,准四星商户,98
火锅,王子爱上虾(索凌路店),金水区,普罗旺世/庙里,57,准四星商户,26
火锅,《0058》香辣虾(蓝堡湾店),金水区,科技市场,33,准四星商户,25
火锅,京途鲜羊涮·羊蝎子·烧烤(福元...,金水区,曼哈顿/英协路,64,准四星商户,33
火锅,严厨老坛酸菜鱼(心怡路店),金水区,金水区,48,准四星商户,26
火锅,焄焄串串(大卫城店),金水区,大卫城,26,准四星商户,67
火锅,东来顺(金水路店),金水区,经三路沿线,117,准四星商户,62
火锅,寻鲜纪火锅(经一路店),金水区,金水路/省政府,50,准四星商户,14
火锅,小肥羊(经三路店),金水区,经三路沿线,63,准四星商户,19
火锅,佰人王串串香火锅(东风路店),金水区,金水区,37,准四星商户,12
火锅,重庆朝天门火锅(文化路店),金水区,陈砦,54,准四星商户,154
火锅,京味府涮锅(黄河路店),金水区,金水区,77,准四星商户,18
火锅,潮汕鼎记生鲜牛肉火锅(渠东路店),金水区,金水区,62,准四星商户,2
火锅,喜虾客(天旺广场店),金水区,天旺广场,31,准四星商户,34
火锅,上水·王婆大虾(东风路南阳路六...,金水区,金水区,52,准四星商户,103
火锅,王婆大虾(沙口路店),金水区,大石桥/体育场,33,准四星商户,23
火锅,王婆大虾(北大学城总店),金水区,北大学城,42,准四星商户,114
火锅,王婆大虾(天伦路店),金水区,柳林刘庄,34,准四星商户,15
火锅,老饕大虾(金水万达店),金水区,科技市场,37,准四星商户,16
火锅,《0058》香辣虾(经三路店),金水区,经三路沿线,49,准四星商户,158
火锅,优乐烤涮海鲜自助餐厅(东风店),金水区,省电视台,43,准四星商户,554
火锅,王婆大虾(任寨北街店),金水区,金水区,69,准四星商户,75
火锅,上水王婆大虾(十里铺店),金水区,金水区,30,准四星商户,6
火锅,上水·王婆大虾(轻工业学院店),金水区,科技市场,41,准四星商户,18
火锅,仟禧王婆大虾(十里铺店),金水区,金水区,14,准四星商户,7
火锅,私房秀火锅,金水区,曼哈顿/英协路,35,准四星商户,9
火锅,虾吃鱼涮,金水区,科技市场,40,准四星商户,10
火锅,胡涂印象老串串(南阳路店),金水区,大石桥/体育场,56,准四星商户,121
火锅,呷哺呷哺(郑州国贸360餐厅店),金水区,国贸,58,准四星商户,74
火锅,巴记四个涮肉,金水区,国贸,28,准四星商户,42
火锅,土炮李记串串火锅烧烤记,金水区,曼哈顿/英协路,47,准四星商户,28
火锅,如一坊(金水路店),金水区,曼哈顿/英协路,106,准四星商户,80
火锅,潮商和记潮汕鲜切牛肉火锅(玉凤...,金水区,曼哈顿/英协路,53,准四星商户,7
火锅,小肥羊(红专路店),金水区,丰业生活广场,66,准四星商户,275
火锅,佰人王串串香火锅·香辣虾(十里...,金水区,曼哈顿/英协路,15,准四星商户,21
火锅,冰熔火锅(经七路店),金水区,建文新世界,60,准四星商户,121
火锅,和福记老广州打边炉,金水区,经三路沿线,65,准四星商户,151
火锅,老北京涮锅,金水区,天旺广场,40,准四星商户,9
火锅,椒享乐鱼火锅,金水区,普罗旺世/庙里,46,准四星商户,58
火锅,恋虾火锅(心怡路店),金水区,金水区,32,准四星商户,19
火锅,来鱼庄,金水区,建文新世界,43,准四星商户,72
火锅,王婆大虾(北环店),金水区,普罗旺世/庙里,44,准四星商户,51
火锅,傣妹火锅(西硅谷广场店),金水区,科技市场,41,准四星商户,9
火锅,仲锅鲜火锅(玉凤路店),金水区,曼哈顿/英协路,58,准四星商户,29
火锅,刘妞乌江鱼,金水区,陈砦,23,准四星商户,27
火锅,重庆的小板凳老火锅,金水区,国贸,49,准四星商户,135
火锅,阳坊胜利涮羊肉(博颂路店),金水区,张家村,50,准四星商户,53
火锅,馋嘴虾火锅,金水区,北大学城,35,准四星商户,8
火锅,农家大盘鸡,金水区,金水区,36,准四星商户,4
火锅,荣笙记炭火打边炉,金水区,金水区,39,准四星商户,46
火锅,重庆·渝味晓宇火锅(郑州店),金水区,曼哈顿/英协路,100,准四星商户,111
火锅,舒来喜鱼锅(大卫城店),金水区,大卫城,79,准四星商户,884
火锅,皇宫大酒店,金水区,国贸,199,准四星商户,537
火锅,王婆大虾(博颂路店),金水区,金水区,57,准四星商户,113
火锅,杨翔豆皮涮牛肚(天旺广场店),金水区,天旺广场,54,准四星商户,53
火锅,呷哺呷哺(郑州普罗旺世华联店),金水区,普罗旺世/庙里,49,准四星商户,54
火锅,鸿茂斋(优胜路店),金水区,大石桥/体育场,70,准四星商户,177
火锅,老洛阳牛肚王,金水区,金水区,44,准四星商户,6
火锅,汕锦记潮汕生鲜牛肉馆(沙口路店),金水区,大石桥/体育场,75,准四星商户,10
火锅,严厨老坛酸菜鱼（惠济店）(惠济...,金水区,北大学城,61,准四星商户,14
火锅,川江毛肚火锅,金水区,普罗旺世/庙里,92,准四星商户,185
火锅,德宝·御香苑(普庆路店),金水区,普罗旺世/庙里,64,准四星商户,110
火锅,王婆大虾(南阳路总店),金水区,大石桥/体育场,44,准四星商户,100
火锅,王婆大虾(国基路店),金水区,张家村,41,准四星商户,106
火锅,西平王婆大虾(祭城店),金水区,金水区,44,准四星商户,37
火锅,大草原羊架子(红旗路店),金水区,金水区,30,准四星商户,5
火锅,重庆刘一手火锅(经三路财富广场...,金水区,经三路沿线,54,准四星商户,588
火锅,热波特火锅(惠济万达店),金水区,北大学城,46,准四星商户,11
火锅,上合宴鱼馆,金水区,金水区,40,准四星商户,3
火锅,百鱼季木桶鱼火锅,金水区,科技市场,54,准四星商户,34
火锅,大铜锅四季涮肉,金水区,陈砦,64,准四星商户,40
火锅,台生鸭虾爪干锅(双铺路总店),金水区,科技市场,35,准四星商户,8
火锅,豫缘王婆大虾(十里铺店),金水区,金水区,41,准四星商户,17
火锅,重庆朝天门火锅(北大学城店),金水区,北大学城,55,准四星商户,59
火锅,小姜蛙宝记,金水区,国贸,67,准四星商户,48
火锅,范记老北京羊蝎子火锅,金水区,大石桥/体育场,30,准四星商户,15
火锅,冬道煮·海鲜大咖,金水区,大石桥/体育场,61,准四星商户,24
火锅,石器食代云南蒸汽石锅鱼加盟总店...,金水区,金水路/省政府,78,准四星商户,117
火锅,上水·王婆大虾(翰海北金店),金水区,陈砦,38,准四星商户,60
火锅,子非鱼鱼火锅(清真店),金水区,金水区,35,准四星商户,2
火锅,阿伟家炖锅(国基路店),金水区,张家村,34,准四星商户,42
火锅,久聚香铁锅炖,金水区,陈砦,39,准四星商户,11
火锅,牛蛙爱上虾(北大学城店),金水区,北大学城,39,准四星商户,296
火锅,福宁圆海鲜餐厅,金水区,曼哈顿/英协路,52,准四星商户,9
火锅,三鼎铜锅涮羊肉,金水区,金水区,57,准四星商户,18
火锅,二斋涮锅(玉凤路旗舰店),金水区,曼哈顿/英协路,108,准四星商户,14
火锅,老北京四和涮锅(琉璃寺店),金水区,张家村,56,准四星商户,31
火锅,葛武火锅鱼麻辣鱼,金水区,千盛广场,40,准四星商户,20
火锅,祥和记小馆子(原国基路牛骨头老...,金水区,普罗旺世/庙里,39,准四星商户,13
火锅,仲锅味(经三路店),金水区,经三路沿线,67,准四星商户,84
火锅,百年涮肥羊火锅,金水区,金水区,42,准四星商户,4
火锅,重庆葫芦老灶火锅,金水区,大石桥/体育场,80,准四星商户,114
火锅,新派养生火锅(刘庄店),金水区,柳林刘庄,33,准四星商户,8
火锅,秘制大虾啤酒鸭,金水区,柳林刘庄,25,准四星商户,10
火锅,老北京涮肉(清真独家老店),金水区,金水路/省政府,59,准四星商户,160
火锅,重庆赖火锅(石化路店),金水区,紫荆山,53,准四星商户,43
火锅,川香渔歌(南阳路店),金水区,丰业生活广场,58,准四星商户,21
火锅,汕头八合里傻宝牛肉火锅馆,金水区,金水区,108,准四星商户,16
火锅,糊辣鱼,金水区,金水区,43,准四星商户,6
火锅,潮汕鼎记生鲜牛肉火锅(白庄街店),金水区,金水区,60,准四星商户,9
火锅,京味羊蝎子涮羊肉火锅,金水区,大石桥/体育场,43,准四星商户,42
火锅,五洲俱乐部(餐饮部),金水区,天旺广场,86,准四星商户,93
火锅,鑫福华风味小火锅,金水区,天旺广场,61,准四星商户,23
火锅,传统北京涮羊肉火锅(纬四路店),金水区,金水路/省政府,34,准四星商户,17
火锅,正宗潮汕牛肉丸火锅(花园路店),金水区,国贸,46,准四星商户,13
火锅,姥家大锅台(宏达路店),金水区,陈砦,29,准四星商户,54
火锅,豫缘王婆大虾(国贸店),金水区,国贸,42,准四星商户,16
火锅,重庆鸡公煲(关虎屯店),金水区,金水区,22,准四星商户,24
火锅,丫丫的花园小火锅,金水区,金水区,39,准四星商户,24
火锅,韦亮记鸡公虾婆,金水区,经三路沿线,37,准四星商户,6
火锅,孙记香辣炒鸡老店,金水区,紫荆山,25,准四星商户,4
火锅,犇鱻火锅,金水区,国贸,40,准四星商户,8
火锅,地锅年代(三全路店),金水区,陈砦,40,准四星商户,124
火锅,三秒鱼火锅(郑州店),金水区,紫荆山,63,准四星商户,52
火锅,王婆大虾(林科路店),金水区,金水区,31,准四星商户,39
火锅,大河锦江饭店餐厅,金水区,国贸,239,准四星商户,35
火锅,鱼道,金水区,大石桥/体育场,63,准四星商户,21
火锅,呷哺呷哺(郑州花园路丹尼斯店),金水区,国贸,42,准四星商户,39
火锅,云鼎汇砂(普罗旺世店),金水区,普罗旺世/庙里,93,准四星商户,114
火锅,焄焄串串(惠济万达店),金水区,北大学城,22,准四星商户,3
火锅,俏鱼坊(索凌路店),金水区,普罗旺世/庙里,33,准四星商户,6
火锅,重庆锅巴饮年代火锅(福元路),金水区,曼哈顿/英协路,74,准四星商户,120
火锅,渝辣记火锅米线,金水区,金水路/省政府,18,准四星商户,10
火锅,鱼季木桶鱼(金水路旗舰店),金水区,金水区,78,准四星商户,73
火锅,妙趣58铜锅涮,金水区,金水区,45,准四星商户,4
火锅,粤来粤牛潮汕鲜切牛肉火锅,金水区,经三路沿线,70,准四星商户,26
火锅,如意捞火锅,金水区,金水区,37,准四星商户,5
火锅,0058香辣虾(姚桥店),金水区,金水区,41,准四星商户,11
火锅,巴蜀鱼火锅(天明路店),金水区,金水区,47,准四星商户,9
火锅,上水·王婆大虾(国贸360店),金水区,金水区,26,准四星商户,7
火锅,焄焄串串(硅谷广场店),金水区,科技市场,22,准四星商户,2
火锅,汕头辉记生鲜牛肉火锅(国基路店),金水区,普罗旺世/庙里,55,准四星商户,10
火锅,王婆大虾(双铺路店),金水区,科技市场,44,准四星商户,12
火锅,京顺斋涮锅(百福街店),金水区,曼哈顿/英协路,54,准四星商户,14
火锅,沸腾吧肥牛火锅老店,金水区,金水区,54,准四星商户,2
火锅,和福记老广州菜馆(旗舰店),金水区,金水路/省政府,50,准四星商户,19
火锅,二力涮锅(百福街店),金水区,金水路/省政府,75,准四星商户,14
火锅,王婆大虾(青年路店),金水区,金水区,44,准四星商户,1
火锅,徐妹串串香,金水区,科技市场,52,准四星商户,8
火锅,锅家乐专业火锅超市,金水区,金水路/省政府,23,准四星商户,3
火锅,重庆巴蜀风清油火锅,金水区,陈砦,75,准四星商户,51
火锅,潮阿牛生鲜牛肉火锅(熙地港店),金水区,熙地港/王府井,82,准四星商户,25
火锅,0058香辣虾(曼哈顿店),金水区,曼哈顿/英协路,51,准四星商户,67
火锅,杨翔豆皮涮牛肚(丹尼斯百货花园...,金水区,国贸,57,准四星商户,35
火锅,耗儿捞扒皮鱼火锅,金水区,金水区,72,准四星商户,178
火锅,福隆斑鱼庄,金水区,金水区,105,准四星商户,35
火锅,佰人王串串香,金水区,曼哈顿/英协路,35,准四星商户,3
火锅,王婆大虾(百福街店),金水区,金水区,72,准四星商户,57
火锅,重庆锅巴饮年代火锅(丰庆路店),金水区,天旺广场,40,准四星商户,13
火锅,醉巴鲜烤鱼(国贸二店),金水区,国贸,56,准四星商户,12
火锅,王婆大虾(东明路店),金水区,金水区,43,准四星商户,26
火锅,东方丹妮喜宴楼,金水区,紫荆山,82,准四星商户,189
火锅,小芭蕉泰式私房火锅,金水区,曼哈顿/英协路,30,准四星商户,5
火锅,小小河边鱼(丰庆路店),金水区,张家村,63,准四星商户,6
火锅,重庆森林,金水区,金水路/省政府,31,准四星商户,10
火锅,合伙人焖炒鸡,金水区,金水区,20,准四星商户,10
火锅,啊噗啊噗涮涮锅(曼哈顿广场店),金水区,曼哈顿/英协路,51,准四星商户,155
火锅,三味鱼坊(丰庆路店),金水区,天旺广场,56,准四星商户,305
火锅,进源美食汇,金水区,经三路沿线,65,准四星商户,61
火锅,满江红串串香,金水区,陈砦,13,准四星商户,23
火锅,虾吃虾涮虾火锅(三全路柳林店),金水区,柳林刘庄,50,准四星商户,35
火锅,鲜虾食客·火锅,金水区,金水区,38,准四星商户,8
火锅,京都涮羊肉,金水区,金水区,54,准四星商户,17
火锅,食尚鱼码头主题餐厅,金水区,千盛广场,51,准四星商户,43
火锅,御锅苑涮锅(丰乐路店),金水区,金水区,40,准四星商户,3
火锅,香辣坊烤鱼大虾火锅,金水区,大石桥/体育场,30,准四星商户,17
火锅,兴荣鱼面馆,金水区,金水区,35,准四星商户,7
火锅,王婆大虾,金水区,金水区,32,准四星商户,2
火锅,重庆辣妹子火锅,金水区,金水区,50,准四星商户,10
火锅,久久一品大虾(姚夏街店),金水区,金水区,44,准四星商户,5
火锅,王老实筋头巴脑锅里壮(花园路店),金水区,省电视台,31,准四星商户,21
火锅,柔时的小板凳吧式火锅(北大学城...,金水区,北大学城,48,准四星商户,34
火锅,豫缘王婆大虾(渠东路店),金水区,金水区,52,准四星商户,7
火锅,锅便利(普罗旺世店),金水区,普罗旺世/庙里,65,准四星商户,7
火锅,锅便利(政七街店),金水区,国贸,48,准四星商户,35
火锅,萤火虫概念火锅,金水区,曼哈顿/英协路,66,准四星商户,10
火锅,一站式自选火锅,金水区,金水区,30,准四星商户,1
火锅,御辇曾成宗牛肉馆,金水区,曼哈顿/英协路,45,准四星商户,3
火锅,虾先生香辣虾火锅,金水区,陈砦,30,准四星商户,2
火锅,张亮鱼火锅,金水区,北大学城,30,准四星商户,3
火锅,重庆沈家洪城老火锅,金水区,金水区,39,准四星商户,38
火锅,呱呱牛牛蛙煲(中方园路店),金水区,陈砦,39,准四星商户,8
火锅,丹氏羊肉鲜汤馆,金水区,建文新世界,25,准四星商户,3
火锅,东北地锅炖斗鸡,金水区,金水区,35,准四星商户,5
火锅,锡蒙火锅(郑州总店),金水区,金水路/省政府,37,准四星商户,14
火锅,说原牛潮汕鲜牛肉火锅(熙地港店),金水区,熙地港/王府井,85,准四星商户,44
火锅,潮汕记生鲜牛肉火锅(索凌路店),金水区,普罗旺世/庙里,51,准四星商户,15
火锅,天府捞火锅城(三全路店),金水区,国贸,50,准四星商户,73
