菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
火锅,木巷火锅,渝中区,解放碑,86,五星商户,369
火锅,不过如此火锅(枇杷山总店),渝中区,两路口,66,五星商户,564
火锅,火尧火锅·安(解放碑和平路店),渝中区,解放碑,84,五星商户,283
火锅,穿樾老火锅(一号桥直营店),渝中区,七星岗,80,五星商户,1194
火锅,刘友吃老火锅(重庆总店),渝中区,临江门,77,五星商户,70
火锅,八十春老火锅,渝中区,七星岗,78,五星商户,142
火锅,壶灶老火锅(一号桥亮点店),渝中区,七星岗,71,五星商户,286
火锅,纸盐河码头火锅(洪崖洞店),渝中区,洪崖洞,116,五星商户,5779
火锅,巴九门老火锅,渝中区,解放碑,80,五星商户,391
火锅,笙泰式风情小火锅,渝中区,大坪,111,五星商户,189
火锅,夜宴老火锅,渝中区,大坪,63,五星商户,56
火锅,香老坎火锅(大坪石油路店),渝中区,大坪,67,五星商户,395
火锅,千源老火锅(新华路店),渝中区,解放碑,77,准五星商户,560
火锅,红九格老火锅(日月光店),渝中区,解放碑,63,准五星商户,158
火锅,火尧火锅.源(解放碑临江门店),渝中区,解放碑,74,准五星商户,93
火锅,锅首老火锅(国泰广场店),渝中区,解放碑,89,准五星商户,1138
火锅,大井巷秀孃串串香(大同路店),渝中区,解放碑,41,准五星商户,225
火锅,嘿火串串火锅,渝中区,解放碑,44,准五星商户,123
火锅,储奇门鳝鱼火锅,渝中区,解放碑,61,准五星商户,225
火锅,独雅老火锅,渝中区,较场口,72,准五星商户,448
火锅,越光宝盒.火锅小咖(重庆总店),渝中区,大坪,104,准五星商户,2872
火锅,二哥老火锅(解放碑店),渝中区,解放碑,76,准五星商户,430
火锅,九门传统老派火锅(解放碑店),渝中区,较场口,76,准五星商户,1159
火锅,厨匠火锅(解放碑店),渝中区,解放碑,80,准五星商户,108
火锅,顺水鱼馆(解放碑店),渝中区,解放碑,69,准五星商户,1228
火锅,上串下跳,渝中区,大坪,39,准五星商户,157
火锅,老来福汤锅(凯旋路店),渝中区,解放碑,71,准五星商户,360
火锅,乾矿老火锅(通远门店),渝中区,七星岗,77,准五星商户,74
火锅,香榭老街耗儿鱼(时代天街店),渝中区,大坪,77,准五星商户,259
火锅,藕然间(大坪英利大融城店),渝中区,大坪,60,准五星商户,131
火锅,鲁西肥牛(81PLAZA店),渝中区,解放碑,64,准五星商户,356
火锅,渝水情老火锅,渝中区,解放碑,73,准五星商户,66
火锅,大队长主题火锅(解放碑店),渝中区,解放碑,87,准五星商户,481
火锅,解放碑威斯汀酒店锦肴轩特色餐厅,渝中区,解放碑,469,准五星商户,178
火锅,印象泰式海鲜火锅(大坪店),渝中区,渝中区,92,准五星商户,28
火锅,烧哥肥肠鱼,渝中区,大坪,60,准五星商户,248
火锅,重庆秦妈火锅(得意店),渝中区,解放碑,80,准五星商户,86
火锅,船城码头老火锅,渝中区,大坪,59,准五星商户,141
火锅,蛙蛙爱上鸡,渝中区,两路口,70,准五星商户,79
火锅,泰莲语冬阴功海鲜小火锅,渝中区,大坪,127,准五星商户,54
