菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
湘菜,炊烟时代(五一华府店),芙蓉区,五一广场,69,准五星商户,4276
湘菜,好食上(八一路店),芙蓉区,袁家岭,77,准五星商户,60
湘菜,壹盏灯饭庄,芙蓉区,五一广场,66,准五星商户,1311
湘菜,青和苑茶餐会馆,芙蓉区,火车站,79,准五星商户,251
湘菜,炊烟时代(东庆街店),芙蓉区,定王台,56,准五星商户,955
湘菜,蛙来哒(7UP店),芙蓉区,五一广场,69,准五星商户,2007
湘菜,江南公社(东牌楼店),芙蓉区,五一广场,53,准五星商户,1683
湘菜,亲青菜缘食尚餐厅,芙蓉区,德政园,54,准五星商户,44
湘菜,壹盏灯(乐和城店),芙蓉区,五一广场,62,准五星商户,344
湘菜,铁坨跳跳蛙,芙蓉区,马王堆,57,准五星商户,564
湘菜,锦绣红楼(芙蓉中路店),芙蓉区,定王台,115,准五星商户,658
湘菜,郋园,芙蓉区,定王台,66,四星商户,112
湘菜,大鸽饭(马王堆店),芙蓉区,马王堆,62,四星商户,60
湘菜,麓湘小镇(乐和城店),芙蓉区,中山亭,77,四星商户,1444
湘菜,君庭中餐馆(晚报大道店),芙蓉区,袁家岭,196,四星商户,144
湘菜,玉楼东(五一路店),芙蓉区,袁家岭,79,四星商户,4291
湘菜,大碗厨(王府井店),芙蓉区,五一广场,59,四星商户,5044
湘菜,德天顺盖码饭(人民西路店),芙蓉区,黄兴路步行街,32,四星商户,326
湘菜,老牌坊.湘菜根,芙蓉区,五一广场,46,四星商户,149
湘菜,老街鱼嘴巴(解放西路店),芙蓉区,解放西路,72,四星商户,1364
湘菜,枫林红了(7up店),芙蓉区,五一广场,63,四星商户,489
湘菜,龙锦人家1403私房菜(乐和城店),芙蓉区,五一广场,61,四星商户,66
湘菜,龚得包(朝阳店),芙蓉区,朝阳路,48,四星商户,591
湘菜,库爱艺术餐厅,芙蓉区,人民中路,97,四星商户,478
湘菜,火焰醉鹅,芙蓉区,五里牌,52,四星商户,56
湘菜,龙锦人家私房菜(五一店),芙蓉区,五一广场,67,四星商户,170
湘菜,彭厨(八一路店),芙蓉区,袁家岭,71,四星商户,598
湘菜,益华家菜馆,芙蓉区,袁家岭,49,四星商户,168
湘菜,相约回家吃饭(7UP店),芙蓉区,五一广场,66,四星商户,2017
湘菜,天上人间旋转餐厅(友谊宾馆),芙蓉区,五一广场,63,四星商户,66
湘菜,江南公社(迎宾路店),芙蓉区,八一桥,47,四星商户,474
湘菜,老街鱼嘴巴(远大路店),芙蓉区,马王堆,60,四星商户,437
湘菜,粟厨(药王街店),芙蓉区,五一广场,59,四星商户,298
湘菜,饭时候(五一店),芙蓉区,袁家岭,71,四星商户,589
湘菜,姐弟俩土豆粉(药王街店),芙蓉区,五一广场,19,四星商户,182
湘菜,鱼飞鱼时尚湘菜,芙蓉区,袁家岭,58,四星商户,1327
湘菜,韩姐驾到,芙蓉区,韭菜园,100,四星商户,107
湘菜,大碗厨(万家丽路店),芙蓉区,马王堆,47,四星商户,683
湘菜,好食上(宇成店),芙蓉区,杨家山,65,四星商户,21
湘菜,大碗厨(平和堂店),芙蓉区,五一广场,56,四星商户,1946
湘菜,老街流水席(湘湖路店),芙蓉区,梦泽园,51,四星商户,82
湘菜,龚得包(电影城店),芙蓉区,人民中路,57,四星商户,698
湘菜,彭厨(东站店),芙蓉区,汽车东站,55,四星商户,371
湘菜,牛牛cates酱爆虾蟹馆,芙蓉区,定王台,68,四星商户,37
湘菜,海世盛楼,芙蓉区,芙蓉区,50,四星商户,22
湘菜,家宝湘菜(步行街店),芙蓉区,黄兴路步行街,46,四星商户,125
湘菜,君庭•山里小厨,芙蓉区,古曲路/浏阳河婚庆文化园,113,四星商户,170
湘菜,时间仓(浏阳河畔店),芙蓉区,浏阳河风光带,81,四星商户,533
湘菜,回娘家湘味馆(八一路店),芙蓉区,袁家岭,58,四星商户,338
湘菜,嘿老码头,芙蓉区,火车站,91,四星商户,137
湘菜,食不可挡,芙蓉区,袁家岭,56,四星商户,301
湘菜,粟厨地道家常菜(解放路店),芙蓉区,司门口,53,四星商户,152
湘菜,两湖三鲜龙虾馆,芙蓉区,人民中路,40,四星商户,21
湘菜,升斗小厨,芙蓉区,人民中路,54,四星商户,1095
湘菜,春日时尚餐厅,芙蓉区,火车站,48,四星商户,532
湘菜,颂宴,芙蓉区,芙蓉区,63,四星商户,15
湘菜,新长福(中国城店),芙蓉区,火车站,219,四星商户,63
湘菜,熟客餐厅,芙蓉区,五一广场,46,四星商户,411
湘菜,帅鲜E族,芙蓉区,芙蓉广场,62,四星商户,215
湘菜,碗间欣闻时尚餐厅,芙蓉区,湖南农业大学,40,四星商户,30
湘菜,潭城靓灶,芙蓉区,芙蓉区,50,四星商户,22
湘菜,吴记钱粮湖土鸭馆(八一桥店),芙蓉区,韭菜园,63,四星商户,100
湘菜,胡桃里音乐酒馆,芙蓉区,司门口,116,四星商户,354
湘菜,湘爵士(王府井百货五一店),芙蓉区,五一广场,84,四星商户,2357
湘菜,兰庭叙私厨(长沙晚报店),芙蓉区,马王堆,32,四星商户,46
湘菜,海哥常德肠子馆(五一广场店),芙蓉区,五一广场,45,四星商户,38
湘菜,刘记老店跳跳蛙(步行街店),芙蓉区,黄兴路步行街,48,四星商户,42
湘菜,金味老饭铺,芙蓉区,芙蓉区,64,四星商户,60
湘菜,老豆下厨,芙蓉区,八一路,52,四星商户,367
湘菜,麦稻源酒文化主题餐厅,芙蓉区,马王堆,45,四星商户,3
湘菜,快快酒家,芙蓉区,五里牌,115,准四星商户,251
湘菜,芙蓉国温德姆至尊豪廷大酒店芙中...,芙蓉区,定王台,159,准四星商户,121
湘菜,冰火楼(解放东总店),芙蓉区,袁家岭,105,准四星商户,311
湘菜,大碗厨(火星店),芙蓉区,马王堆,44,准四星商户,432
湘菜,曹大勺口味湘菜(湘湖路店),芙蓉区,袁家岭,45,准四星商户,130
湘菜,口粮时尚餐厅,芙蓉区,袁家岭,56,准四星商户,156
湘菜,昱龙大盆牛蛙馆,芙蓉区,解放西路,85,准四星商户,574
湘菜,白果园31号公馆,芙蓉区,黄兴路步行街,305,准四星商户,137
湘菜,辣椒树(万家丽mall店),芙蓉区,古曲路/浏阳河婚庆文化园,54,准四星商户,146
湘菜,椒香(表妹出品),芙蓉区,定王台,49,准四星商户,74
湘菜,粟厨(文艺 路口店),芙蓉区,袁家岭,53,准四星商户,148
湘菜,时间仓(韶山北路店),芙蓉区,袁家岭,66,准四星商户,292
湘菜,虾稿,芙蓉区,古曲路/浏阳河婚庆文化园,39,准四星商户,42
湘菜,小火楼(文艺路店),芙蓉区,袁家岭,45,准四星商户,325
湘菜,财鱼三呷餐馆,芙蓉区,韭菜园,52,准四星商户,22
湘菜,南景饭店(旺德府店),芙蓉区,杨家山,96,准四星商户,41
湘菜,回头食客(车站北路店),芙蓉区,五里牌,52,准四星商户,53
湘菜,益品湘厨,芙蓉区,五里牌,43,准四星商户,61
湘菜,家感新厨(长星店),芙蓉区,湖南农业大学,44,准四星商户,27
湘菜,曹大勺(袁家岭店),芙蓉区,袁家岭,41,准四星商户,101
湘菜,芙蓉尚食堂,芙蓉区,韭菜园,44,准四星商户,75
湘菜,皇冠假日酒店中餐厅皇朝食府,芙蓉区,五一广场,168,准四星商户,127
湘菜,南郡中餐馆,芙蓉区,八一桥,74,准四星商户,43
湘菜,家和世厨,芙蓉区,定王台,67,准四星商户,17
湘菜,小时代小湘菜,芙蓉区,人民中路,41,准四星商户,226
湘菜,栖凤渡鱼粉私房菜,芙蓉区,马王堆,17,准四星商户,15
