菜系分类,商家名称,下辖区,商圈,人均消费,星级,评价人数
小吃快餐,刚好遇见你木桶鱼,市南区,火车站/团岛,79,五星商户,122
小吃快餐,开海红岛海鲜虾水饺(江西路店),市南区,香港中路沿线,167,五星商户,4334
小吃快餐,一捞鲜海鲜面(八大关店),市南区,香港中路沿线,42,五星商户,273
小吃快餐,妈妈家面馆,市南区,香港中路沿线,25,五星商户,388
小吃快餐,丁丁猫重庆小面,市南区,市南区,26,五星商户,215
小吃快餐,邓记一品生煎(新田路店),市南区,浮山所,14,五星商户,849
小吃快餐,私味牛肉面(一中店),市南区,火车站/团岛,19,准五星商户,1142
小吃快餐,大君手擀面,市南区,火车站/团岛,22,准五星商户,86
小吃快餐,继光香香鸡(爱购店),市南区,香港中路沿线,17,准五星商户,96
小吃快餐,隆喜元鱼汤包(中联广场店),市南区,浮山所,83,准五星商户,4159
小吃快餐,万和春排骨砂锅米饭(火车站店),市南区,火车站/团岛,28,准五星商户,275
小吃快餐,食夫家(家乐福银座店),市南区,香港中路沿线,12,准五星商户,242
小吃快餐,豫尚面手擀面,市南区,香港中路沿线,26,准五星商户,555
小吃快餐,牛犇牛牛肉粉,市南区,市南区,16,准五星商户,303
小吃快餐,啵啵吉,市南区,市南区,77,准五星商户,83
小吃快餐,无非馄饨,市南区,市南区,20,准五星商户,72
小吃快餐,叔叔家老炸串,市南区,浮山所,24,准五星商户,91
小吃快餐,小灶(江西路店),市南区,香港中路沿线,76,准五星商户,912
小吃快餐,赛百味(燕儿岛路店),市南区,香港中路沿线,27,准五星商户,1103
小吃快餐,麦多和馅饼(远洋广场店),市南区,香港中路沿线,9,准五星商户,299
小吃快餐,老渔家鲜水饺,市南区,香港中路沿线,75,准五星商户,234
小吃快餐,董记面馆,市南区,市南区,25,准五星商户,65
小吃快餐,西镇臭豆腐(总店),市南区,火车站/团岛,10,准五星商户,1042
小吃快餐,如意香辣鸡架(总店),市南区,火车站/团岛,32,准五星商户,389
小吃快餐,壹哆砂锅老炸串,市南区,浮山所,32,准五星商户,303
小吃快餐,好美味砂锅馄饨,市南区,宁夏路大润发,19,准五星商户,27
小吃快餐,海平馄饨,市南区,浮山所,26,准五星商户,129
小吃快餐,肖像面馆,市南区,火车站/团岛,31,准五星商户,98
小吃快餐,老狼大盘鸡,市南区,市南区,37,准五星商户,170
小吃快餐,食夫家(徐州路店),市南区,浮山所,14,准五星商户,491
小吃快餐,邓记一品生煎,市南区,市南区,12,准五星商户,455
小吃快餐,印象桂林传统卤菜米粉(百米食巷...,市南区,市南区,20,准五星商户,383
小吃快餐,食夫家(漳州二路店),市南区,香港中路沿线,13,准五星商户,460
小吃快餐,小面张特色面馆,市南区,香港中路沿线,25,准五星商户,607
小吃快餐,面对面面馆,市南区,火车站/团岛,20,准五星商户,334
小吃快餐,金麦园快餐食品,市南区,火车站/团岛,10,准五星商户,126
小吃快餐,一捞鲜海鲜面(香港中路店),市南区,香港中路沿线,34,准五星商户,49
小吃快餐,叫了个虾,市南区,浮山所,26,准五星商户,61
小吃快餐,小倩倩馄饨(江西路店),市南区,浮山所,18,准五星商户,495
小吃快餐,秦上秦(青岛闽江路店),市南区,香港中路沿线,27,准五星商户,954
小吃快餐,扶小风的面,市南区,火车站/团岛,22,准五星商户,416
