商家,区域,商圈,星级,服务,价格,销量
温莎KTV（国贸店）,朝阳区,国贸/建外,5.0,时段2选1欢唱+胃爱高歌商务套餐1套,38,4395
钱柜（惠新店）,朝阳区,对外经贸,5.0,白天档/晚餐档/午夜档欢唱3选1,60,3517
亿好声音量贩KTV（朝阳北路店）,朝阳区,八里庄,5.0,时段4选1欢唱+美食超市套餐,36,3483
音乐之声KTV,朝阳区,朝外大街/世贸天阶,5.0,周日至周四包夜畅饮套餐,219,3151
玻璃樽KTV,朝阳区,望京,4.1,周一至周日4/3小时欢唱,18.8,3078
天赐情缘KTV（立水桥店）,朝阳区,朝阳区,4.5,下午场5小时欢唱券,9.9,3035
芒果派对ktv,朝阳区,亚运村,4.8,周一至周日5小时+小吃欢唱套餐,19.9,2682
正兴KTV（慈云寺店）,朝阳区,团结湖/朝阳公园,3.8,周一至周日小房/中房欢唱券,15.8,2478
夏日情旗舰店（朝阳北路欧尚店）,朝阳区,朝阳区,4.3,周一至周日下午场/夜猫档欢唱券,6.6,1919
同乐迪量贩KTV（望京店）,朝阳区,望京,4.8,周一到周日黄金场/午夜场房费欢唱券,30,1824
忘归酒店量贩式KTV,朝阳区,十八里店,4.8,欢唱3小时+啤酒饮料套餐,99,1360
IBIZA伊贝莎风尚主题KTV（三里屯soho店）,朝阳区,三里屯/工体,5.0,迎新春4小时欢唱+美食购物券,25,1299
炫音全自助KTV,朝阳区,管庄,4.8,3小时欢唱套餐,49,1143
友乐汇（东直门店）,朝阳区,三里屯/工体,5.0,全天激情欢唱券,32,938
秘宅KTV（西坝河店）,朝阳区,对外经贸,4.8,全天激情欢唱券,45,894
好乐迪KTV（东三环南路店）,朝阳区,劲松,4.8,周一至周日下午／夜猫档欢唱,39,860
乐界KTV（亚运村店）,朝阳区,亚运村,4.9,乐界周年庆小中房1小时欢唱券,10,829
大望辉煌量贩式KTV,朝阳区,百子湾,4.5,清凉一夏酒水欢唱套餐,158,598
酷姿时尚主题KTV（望京总店）,朝阳区,望京,5.0,周六周日阳光档3小时欢唱+下午茶套餐,188,551
酷姿时尚主题KTV（三里屯旗舰店）,朝阳区,三里屯/工体,5.0,周六周日阳光档3小时欢唱+下午茶套餐,188,551
多佐KTV,朝阳区,双井,5.0,欢唱美食通兑券,39,516
金晔四纪KTV,朝阳区,传媒大学,4.5,周一至周日多时段欢唱+酒水套餐,68,488
麦哆KTV（金泉广场店）,朝阳区,大屯,5.0,雪花勇闯天涯啤酒12支套餐,60,374
奥辉启航台球厅.KTV,朝阳区,传媒大学,5.0,普台畅打3小时,42,365
天唱-就是一家可以唱歌的串吧,朝阳区,亚运村,3.6,萨米族古法烤鸡排骨1份，包间免费,17,274
天上天音乐会所（酒仙桥店）,朝阳区,酒仙桥,4.3,下午场小/中房4小时激情欢唱券,88,225
江南汇ktv,朝阳区,管庄,3.8,下午场6小时激情欢唱券,9.9,183
麦乐迪（国贸中服大厦店）,朝阳区,国贸/建外,4.8,标准房美食套餐4选1,288,168
麦乐迪（双井富力城店）,朝阳区,朝阳区,5.0,标准房美食套餐4选1,288,168
美景林量贩式ktv,朝阳区,朝阳区,4.2,小房下午档欢唱6小时+酒水套餐,50,162
金永KTV,朝阳区,望京,5.0,欢唱抵用券一张,29,135
5号坊,朝阳区,常营,4.2,周一至周日3/5小时欢唱券,35,125
蓝黛时空汇,朝阳区,立水桥/北苑家园,5.0,白天欢唱套餐,38,108
赛乐堡量贩KTV（北苑店）,朝阳区,北苑家园,4.5,阳光档/黄金档/夜猫档欢唱券,39,103
糖果录音棚（劲松店）,朝阳区,劲松,5.0,30分钟录歌体验套餐,49.9,86
金都世纪ktv,朝阳区,十八里店,5.0,周一至周日小房5小时欢唱套餐A,98,83
七彩汇KTV,朝阳区,朝阳大悦城,3.9,下午场欢唱券,15.8,32
七星岛8号国标台球俱乐部（望京店）,朝阳区,望京,4.0,KTV大包欢唱3小时,198,30
七星岛8号台球俱乐部（朝北店）,朝阳区,朝阳区,4.0,KTV大包欢唱3小时,198,30
懒虫音乐录音棚,朝阳区,立水桥/北苑家园,3.7,专业录音套餐,528,18
角石录音棚,朝阳区,对外经贸,4.1,solo录音间单曲贴唱套餐,180,17
盛声国际录音棚,朝阳区,三元桥,4.0,录音60分钟经典套系,240,12
mio米藕录音棚,朝阳区,望京,4.9,单人100分钟录音,298,3
大陆桥声音工作室,朝阳区,鸟巢/水立方,4.5,90分钟多人合唱录音套餐,468,1
东方帝豪,朝阳区,双桥,3.5,下午场5小时欢唱券,9.9,0
唱吧麦颂量贩式KTV（世纪金源店）,海淀区,远大路,5.0,周一至周日全时段欢唱套餐,45,3555
流金岁月音乐广场,海淀区,五棵松,3.3,欢乐券,30,3349
爱麦量贩式KTV,海淀区,上地,5.0,周一至周四全天档1小时欢唱券,9,3121
正达KTV,海淀区,牡丹园/北太平庄,4.6,小包酒水套餐,169,2619
赛乐堡量贩KTV（五道口店）,海淀区,五道口,4.5,多时段欢唱券+饮品套餐,49,2297
同乐迪量贩KTV（公主坟店）,海淀区,公主坟/万寿路,5.0,下午场欢唱券,19.9,2038
糖潮量贩式KTV（中关村店）,海淀区,魏公村,4.7,时段三选一+美食套餐,39,2020
完美风暴娱乐会所,海淀区,上地,4.6,1小时欢唱券,9.9,1866
金嘉丽音乐广场,海淀区,五棵松,4.2,小包4.5小时欢唱套餐A,29,1849
尚艺墅KTV（清河店）,海淀区,西三旗,5.0,3小时黄金时段欢唱套餐,198,1797
帝凯乐互动式氧吧KTV,海淀区,双榆树,5.0,时段3选1激情欢唱券,42,1716
梦想之音KTV,海淀区,清河,5.0,3小时欢唱+酒水小吃套餐,58,1416
佳飞录音棚,海淀区,北京西站/军博,5.0,单人录音棚专业录音套餐,150,1282
山彦量贩KTV（语言大学店）,海淀区,五道口,4.0,下午场4小时/晚场4小时2选1欢唱券,30,1215
美丽神话KTV,海淀区,北下关,3.4,欢唱时段4选1,38,983
乐府（We Live）量贩式KTV,海淀区,上地,5.0,周一至周日时段2选1欢唱+饮料套餐,68,972
17英里KTV,海淀区,中关村,4.5,周一至周日11：00-20：00激情欢唱券,30,638
江南春KTV（木樨地）,海淀区,北京西站/军博,3.8,周一至周日晚上3小时欢唱,29.9,504
世纪金柜量贩KTV,海淀区,大钟寺,4.6,下午档/黄金档/夜猫档3选1纯欢唱套餐,39,403
糖潮量贩式KTV（西直门佰金店）,海淀区,北下关,5.0,激情欢唱券,38,307
凯乐尔KTV,海淀区,上地,3.0,白天档欢唱5小时+小吃套餐,28,295
朗丽兹King's party量贩式 KTV（朗丽兹西山花园酒店）,海淀区,海淀区,5.0,周一至周四黄金场3小时欢唱券,238,292
鑫源主题式量贩KTV,海淀区,四季青,5.0,下午场1小时欢唱券,9.9,284
友乐汇（航天桥店）,海淀区,航天桥,5.0,时段2选1欢唱3小时+美食套餐2选1,258,284
糖潮量贩式KTV（华润五彩城购物中心店）,海淀区,清河,5.0,单人欢唱券,19.9,280
舵手量贩式ktv,海淀区,清河,4.7,小包黄金档夜猫档欢唱3小时+啤酒套餐,198,140
上地e族ktv,海淀区,上地,3.5,小包黄金档欢唱3小时+酒水套餐,188,92
云水谣KTV,丰台区,北京南站/开阳里,4.4,周一至周日全时段5/3小时欢唱,10,439
天秤座量贩式ktv（丰台万达广场店）,丰台区,世界公园,5.0,周一至周日欢唱券,19.9,416
金色风华ktv,丰台区,北京西站/六里桥,5.0,周一至周日下午场小包5小时欢唱,59,408
柠檬汇主题量贩KTV,丰台区,南苑/东高地,5.0,店庆特惠周日至周五19:00-24:00欢唱1小时,7,265
华尔顿酒店KTV,丰台区,北京西站/六里桥,4.8,欢唱时段2选1+酒水套餐,198,213
金钻之星量贩式KTV,丰台区,刘家窑/宋家庄,5.0,下午场5小时欢唱,29.9,143
紫蘭荟KTV,丰台区,北京西站/六里桥,3.5,黄金场欢唱券,19.9,125
宝山KTV,丰台区,方庄/蒲黄榆,4.7,下午场/黄金场欢唱券,15.8,111
金磨坊量贩式KTV,丰台区,方庄/蒲黄榆,4.6,大房白天档黄金档欢唱券+酒水套餐,198,63
胜泽都俱乐部,丰台区,夏家胡同/纪家庙,3.7,白天档3小时欢唱券,80,34
五岳山ktv,丰台区,刘家窑/宋家庄,4.6,4小时欢唱,9.9,32
五号公馆量贩ktv,丰台区,青塔,4.2,下午场小房茶水欢唱套餐,68,3
五色辉煌ktv,丰台区,刘家窑/宋家庄,5.0,欢聚房时段6小时2选1欢唱+酒水套餐2选1,288,3
