商家,区域,商圈,星级,服务,价格,销量
时尚派对KTV,越秀区,北京路商业区,4.6,单人周一至周日13:30-20:00任选3小时欢唱券,10,73494
新朝歌量贩式KTV,越秀区,动物园南门,4.8,单人周一至周日白天档任选3小时欢唱+下午茶套餐,19.9,6587
堂会（缤缤店）,越秀区,海珠广场,5.0,周一至周日欢唱3小时+自助餐单人券,72,5776
堂会（区庄店）,越秀区,黄花岗,5.0,周一至周日欢唱3小时+自助餐单人券,72,5776
百威CEO量贩KTV,越秀区,麓湖公园周边,5.0,单人全周13:30-20:00欢唱6小时＋美食套餐,30,2787
W3酒吧,越秀区,沿江路沿线/二沙岛,5.0,大厅专属散台2-4人洋酒+小吃套餐,298,598
P-PASS KTV,越秀区,沿江路沿线/二沙岛,4.6,单人周一至周日17:00-21:00欢唱4小时＋美食套餐,36,495
mc酒吧,越秀区,环市东路/区庄,3.9,啤酒套餐,188,233
活力无限KTV（中华广场店）,越秀区,中山二三路/东山口,5.0,单人周一至周日11:00-20:00任选3小时欢唱＋下午茶,42,142
陌陌club酒吧（小北店）,越秀区,东风中路/越秀公园,3.5,2-4人优惠洋酒+果盘和小吃套餐,368,81
GN78酒吧（天河店）,越秀区,沿江路沿线/二沙岛,3.6,2-4人百威啤酒+果盘和小吃套餐,299,23
V Club,越秀区,沿江路沿线/二沙岛,3.2,2-4人优惠洋酒套餐,298,14
晚装酒吧（岗贝路口店）,越秀区,越秀区,3.3,2-4人休闲优惠洋酒套餐,398,10
D8演艺会,越秀区,沿江路沿线/二沙岛,3.4,2-4人酒水套组,228,5
玩嘢王桌游（大南路2店）,越秀区,北京路商业区,4.0,玩嘢王轰趴馆 KTV包间（1小时）,90,0
佰音KTV,天河区,跑马场,5.0,单人周一到周日午市/晚市3小时欢唱+自助餐,45,247830
天龙歌汇量贩式KTV（体育中心店）,天河区,体育中心,5.0,单人3小时欢唱+可乐一罐,9.9,63920
凯乐会量贩KTV（国防大厦总店）,天河区,石牌/百脑汇,5.0,单人周一至周五11:00-20:00任选4小时欢唱＋自助餐,45.8,50377
匣子KBOX KTV（珠江新城店）,天河区,花城汇/高德置地,5.0,单人周末及节假日3小时欢唱商务套餐,49,35838
K歌王（天河东路店）,天河区,体育中心,4.8,周一至周日 11:00-20:30单人欢唱3小时+自助餐,46,33914
盛歌KTV（优托邦店）,天河区,天河客运站,4.8,单人下午茶自助套餐,28,25020
皇港丽音量贩式ktv,天河区,东圃,4.7,单人11:00-20:00任选4小时欢唱+自助餐,36.9,18870
喜聚PTV,天河区,天河北/广州东站,5.0,周一至周五庆功团聚单人3小时聚餐,59,17750
金畅量贩式KTV（棠下店）,天河区,棠下,4.6,单人11：00-19:00任选5小时欢唱+商务餐,19.9,17085
高高量贩式KTV（车陂店）,天河区,车陂,4.8,周一至周五14:00-19:00欢唱5小时套餐,8,12734
咏歌汇量贩式KTV,天河区,兴盛路/猎德,5.0,单人下午限量特价4小时欢唱套餐+饮品,19,11160
拉阔音乐氧吧PTV,天河区,龙洞,4.7,单人周六/周日10:00-20:30任选4小时欢唱+自助餐,46.9,10829
金畅主题量版式ktv（东圃店）,天河区,东圃,5.0,单人11：00-19:00任选5小时欢唱+商务餐,19.9,8831
潮派KTV,天河区,棠下,4.6,11：00-20:30时段任选4小时欢唱+单人自助餐,33,8761
香月量贩式KTV,天河区,东圃,4.8,超值欢唱5小时套餐,39,7497
堂会（天河店）,天河区,体育中心,5.0,周一至周日欢唱3小时+自助餐单人券,72,5776
帝壹国际量贩式ktv,天河区,车陂,4.8,单人周六至周日11:00-20:00任选5小时欢唱+商务套餐,21.9,5414
爱尚量贩ktv（东圃店）,天河区,东圃,5.0,单人周一至周日13：00~19：00任选4小时欢唱券,21.8,4562
All IN KTV CLUB（傲音KTV）,天河区,岗顶/龙口,5.0,单人周一至周日14:00-20:00欢唱3小时+特饮小食套餐,29,4468
河棠月色Ktv,天河区,棠下,4.6,单人11:00-20:00任选4小时欢唱+免费开水,10,4468
郁金香量贩式ktv,天河区,东圃,5.0,单人下午茶套餐+任选4小时欢唱,15.9,4421
声工场量贩式ktv,天河区,岗顶/龙口,5.0,周一至周日13：00-20:00任选4小时欢唱+单人下午茶,28,2999
龙会酒店ktv,天河区,龙洞,4.1,周一至周五单人4小时欢唱+茶水套餐,19,2547
广乐纯K新概念KTV,天河区,东圃,4.5,周一至周四12:00-19:00果汁套餐+7小时欢唱,9.9,2439
金座量贩式KTV,天河区,棠下,4.7,13：:00-19:30一小时欢唱券,9.9,1988
乐馆会KTV,天河区,东圃,4.7,周一至周日19:00-02:00时段7小时欢唱+酒水套餐,158,1929
棠会KTV（吉山店）,天河区,东圃,4.3,周一至周日欢唱4小时+爆米花,28.8,1687
非凡绽放KTV,天河区,岗顶/龙口,5.0,周一到周日20:00--01:00 任选4小时欢唱+酒水套餐,228,1502
超级大快活KTV,天河区,石牌/百脑汇,5.0,12：00-20:00任选3小时欢唱,15,1406
歌荟PTV（龙洞店）,天河区,龙洞,4.7,周六日任选4小时欢唱＋海鲜自助餐+燕窝美食券,46.9,1377
Crystal鹭音朋主题KTV（索菲特大酒店）,天河区,体育中心,5.0,单人周一至周五13:00-19:00欢唱4小时+下午茶套餐,29.9,959
畅响KTV,天河区,华景新城,5.0,周一至周五12:00-20:00任选4小时欢唱+热饮套餐,9.9,796
休闲聚会烧烤通宵轰趴馆,天河区,龙洞,5.0,单人主题轰趴别墅体验1天,58,123
金之声-家庭式ktv,天河区,棠下,3.4,3小时欢唱18:00-06:00,88,56
新力KTV,天河区,龙洞,5.0,19：30-02:00欢唱6个半小时+酒水套餐,418,55
乐仕酒吧luxe,天河区,兴盛路/猎德,4.2,2-4人的优惠洋酒加果盘和小吃套餐,338,41
鸿峰量贩式ktv,天河区,岑村/火炉山,3.0,19:00-03:00欢唱8小时+百威新锐套餐,358,18
fashiontv酒吧（天河珠江新城店）,天河区,花城汇/高德置地,3.4,4-7人的优惠洋酒加果盘和小吃套餐,598,16
歌魅量贩ktv,天河区,岑村/火炉山,3.4,小房周一至周五13:00-19:00时段6小时欢唱+下午茶,68,16
棠会KTV（棠下店）,天河区,棠下,3.0,通宵欢唱6小时+酒水套餐,199,4
魔方ktv,番禺区,长隆/南村/万达,4.8,周一至周日11:00-15:00欢唱3小时,10,1173
宝乐迪KTV,番禺区,大石,4.7,周一至周日白天场欢唱4小时+点心饮料套餐,13.8,901
爱尚KTV（市桥店）,番禺区,市桥南,4.8,周日至周四20:00-凌晨02:00欢唱4小时+酒水套餐,128,594
活力无限KTV（大石店）,番禺区,大石,5.0,周一至周五欢唱4小时/周六周日欢唱3小时+下午茶套餐,29,528
新派KTV（北亭广场店）,番禺区,大学城,4.5,周六周日13:00-17:00欢唱4小时+饮品套餐,16.8,495
汉景银矿湾国际水疗会,番禺区,钟村,5.0,豪华KTV套餐,489,423
劲派KTV,番禺区,钟村,4.7,周一至周日14:00-18:00欢唱4小时+茶水套餐,9.9,253
音皇量贩式KTV,番禺区,市桥,4.5,周一至周日18:30-次日06:00欢唱6小时+饮品套餐,168,238
盈点V-BOX KTV,番禺区,大学城,5.0,周日至周四11:00-凌晨02:00欢唱4小时+酒水套餐,120,197
五线谱量贩式KTV,番禺区,大石,4.3,周一至周日黄金档7小时欢唱+酒水套餐,168,103
365乐蒲量贩式ktv,番禺区,洛溪,3.7,周一至周日小房18:00-凌晨02:00欢唱8小时+酒水套餐,258,66
一号别墅豪华泳池KTV聚会轰趴馆（番禺长隆店）,番禺区,钟村,4.5,代金券,399,18
8号公馆（豪泰ktv）,番禺区,钟村,4.1,蓝带啤酒3打（使用时间为19：30至02：30）（十张卷起）,79.8,17
乐派公馆,番禺区,洛溪,3.8,嗨玩清吧厅大号台＋酒水套餐（1~8人）,498,0
金矿食唱,海珠区,东晓南路沿线,5.0,周一至周五3小时欢唱时段2选1+单人星级自助餐,66,28293
星歌会量贩式KTV,海珠区,客村/赤岗,4.7,周一至周日12:00-18:00欢唱6小时单人套餐,13.9,16249
新聚点量贩KTV,海珠区,东晓南路沿线,4.8,单人12:00-16:30任选4小时欢唱+小吃套餐,21,15332
潮派量版ktv（南洲店）,海珠区,海珠区,4.5,周一至周日12:00-18:00时段6小时单人欢唱券,9.9,10971
堂会（海印店）,海珠区,东晓南路沿线,5.0,周一至周日欢唱3小时+自助餐单人券,72,5776
TOP星派对KTV（广州店）,海珠区,客村/赤岗,5.0,单人周一至周日17：00--20：30欢唱3个半小时+美食券,49,4527
猪笼城寨量贩式ktv,海珠区,江南大道沿线,4.5,周一至周日10:30-19:00任选4小时单人欢唱+饮品,9.9,3299
名星会量贩式KTV（盈熙广场店）,海珠区,工业大道沿线,5.0,周一至周日19:30-次日02:30欢唱7小时+酒水小吃套餐,398,2588
敦皇ktv,海珠区,海珠区,4.4,周一到周日14:00-20:00欢唱3小时+单人下午茶套餐,33,1342
kk新时尚量贩式ktv,海珠区,客村/赤岗,5.0,周一至周日13:00-18:00任选3小时欢唱+单人商务套餐,32,1237
蓝色康园会所KTV,海珠区,滨江路沿线,4.3,单人欢唱6小时/12小时时段2选1,1,783
KPARTY量贩式KTV（赤岗店）,海珠区,海珠区,4.8,单人周六日10:30-16:30欢唱3小时+自助午餐,52,738
劲派KTV,海珠区,东晓南路沿线,4.8,晚场欢唱4小时+酒水套餐,222,333
丽影盛会KTV,海珠区,客村/赤岗,3.8,小房周日至周四黄金时段欢唱酒水套餐,188,324
畅响ktv（石溪店）,海珠区,海珠区,5.0,周一至周日12:00-18:00欢唱6小时+小吃套餐,58,207
糖果KTV（前进路店）,海珠区,海珠区,4.4,单人三楼全周13:30-21:00自选欢唱4小时,13,192
酷点KTV,海珠区,琶洲,4.5,中房周一到周日19:00~02:00欢唱6小时+酒水套餐,298,148
索马里星红酒吧（二沙岛店）,海珠区,江南大道沿线,4.8,2-4人洋酒或者啤酒2选1+小吃套餐,298,31
老虎狗We aRe轰趴,海珠区,工业大道沿线,5.0,VR新手游戏体验,10,22
必爱歌量贩KTV,海珠区,东晓南路沿线,4.3,周一至周日中房19:00欢唱至营业结束+酒水套餐,469,19
歌荟PTV（南华店）,海珠区,滨江路沿线,4.0,周六日自助餐+火锅自助餐+欢唱4小时+电影票,81.9,11
华容道酒吧,海珠区,工业大道沿线,3.5,蓝带啤酒套餐,368,4
歌利亚KTV,白云区,钟落潭,5.0,周一至周日下午场欢唱3小时+单人饮料,10.9,79777
佰乐汇KTV（原咏乐汇佰乐店）,白云区,三元里,4.5,黄金档16:00-21:00任选4小时欢唱＋单人自助餐套餐,39.9,27909
爱琴海量贩式ktv（梅花园店）,白云区,同和/京溪,4.8,单人周一至周日11:00-19:00时段任选4小时连续欢唱,15,21158
零距离量贩KTV,白云区,同和/京溪,4.6,周一至周日19：00~营业结束欢唱9小时+酒水套餐,599,20230
胜龙汇量贩式ktv,白云区,黄边,5.0,单人下午场欢唱5小时,8.8,19423
音乐汇量贩KTV,白云区,黄边,5.0,20:00~02:00欢唱6小时+酒水美食套餐,458,16711
金博KTV,白云区,新市,4.8,周一至周日14:00-20:00欢唱6小时+自助餐单人券,42.9,14289
蓝色派对KTV,白云区,新市,5.0,周一到周五17:00-20:00欢唱3小时+单人龙虾自助餐,84,13596
咏乐汇量贩KTV（白宫旗舰店）,白云区,白云大道沿线,4.7,周一至周日19:00-次日04:00欢唱9小时,59.9,13233
尚酷量贩式KTV,白云区,均禾,4.7,单人4小时欢唱+自助餐,39,9672
卡卡量贩KTV,白云区,同和/京溪,5.0,周一至周五17:00-20:00欢唱3小时＋单人自助餐券,39,8327
时畅K吧,白云区,三元里,5.0,周一至周日12:00-16:00欢唱4小时单人价,16,7875
堂会（白云店）,白云区,五号停机坪,5.0,周一至周日欢唱3小时+自助餐单人券,72,5776
天空公馆KTV,白云区,江高,4.7,小房欢唱套餐,68,5644
音为爱ktv,白云区,同和/京溪,4.8,周一至周日下午档6小时欢唱+单人点心饮料套餐,28,5528
ABC量贩式KTV（松南店）,白云区,罗冲围/金沙洲,4.8,单人周一至周日11:00-17:00欢唱5小时+美食套餐,19.8,5400
K+ 全国连锁KTV（白云绿地中心店）,白云区,白云绿地中心,5.0,单人周一至周五11:00-16:00任选3小时欢唱+自助餐,65,4736
零距离量贩式KTV,白云区,罗冲围/金沙洲,4.7,下午场5小时单人欢唱券,9.9,4230
新歌快线KTV,白云区,新市,3.9,周一至周日19:00-次日03:00欢唱8小时+酒水套餐,168,4186
齐乐量贩KTV（新市墟店）,白云区,新市,4.3,周一至周日20:00-02:00时段6小时欢唱+酒水券,168,3560
金大钟KTV,白云区,钟落潭,5.0,周五至周日下午场四个半小时单人欢唱券,13.5,3366
喜歌量贩式KTV,白云区,新市,5.0,周一至周日19:00-04:00连续欢唱7小时+酒水套餐,288,2718
来PTV,白云区,黄石,5.0,周一至周日晚场7小时欢唱+酒水套餐,268,2487
城市生活量贩PTV（白云旗舰店）,白云区,江高,4.4,周一至周日白天场欢唱5小时＋饮品套餐,11.88,2485
咏乐汇量贩KTV（广园店）,白云区,广园新村,5.0,周一至周日18:00-21:00欢唱3小时+单人套餐,19.9,2467
同悦汇ktv,白云区,永泰,4.7,下午档6小时欢唱＋单人饮料,15.8,2401
唛王KTV,白云区,嘉禾/人和,4.0,周一至周日18:00-3:00欢唱9小时+酒水套餐,166,2293
乐王量贩式ktv,白云区,太和镇,4.1,5小时欢唱（周一到周日）套餐,19,2256
歌聚量贩式KTV,白云区,永泰,4.3,白天场周一至周日12:00~18:30欢唱6小时,9.9,1999
世纪歌潮量贩KTV,白云区,嘉禾/人和,5.0,周一至周日14:00-19:00任选3小时欢唱+单人饮品,10,1826
茗荟-量贩式KTV,白云区,罗冲围/金沙洲,4.2,全周11:00-21:00欢唱4小时+肥牛海鲜自助餐,43.9,1658
夜小猫量贩式PTV,白云区,白云大道沿线,4.7,周一至周日下午5小时欢唱,8.8,1374
欢乐畅量贩式KTV,白云区,机场路沿线,4.8,周一至周日下午场5小时欢唱,6,1019
金座量贩式KTV（三元里店）,白云区,机场路沿线,4.3,周一至周日12:00-18:00欢唱6小时+商务套餐,23,858
潮一潮KTV（原激情度ktv）,白云区,嘉禾/人和,5.0,周一至周日欢唱6小时欢唱＋单人饮品套餐,18,843
通恒量贩式KTV,白云区,均禾,3.2,周一至周日14:00-19:00连续欢唱3小时单人套餐,9,813
K歌荟量贩式KTV,白云区,白云区,3.6,周一至周日12:00-18:00 任选4小时欢唱单人价,9.9,716
月夜零距离ktv,白云区,均禾,4.2,周一至周日19:00~次日2:00小房欢唱7小时+酒水套餐,188,700
天星KTV（石井店）,白云区,石井,3.9,周一至周日19:00-02:00欢唱7小时啤酒套餐,88,670
99量贩式KTV（金骊城店）,白云区,永泰,4.5,单人周一至周日13:00~20:00任选5小时欢唱,9.9,584
糖之果量贩式KTV,白云区,太和镇,3.8,周一至周日17：00-次日04:00欢唱4小时+酒水套餐,386,581
齐富国际KTV,白云区,新市,5.0,周一至周日19:30-3:30欢唱6小时黄金档酒水套餐,298,530
下一站酒吧KTV,白云区,嘉禾/人和,5.0,全周黄金档7小时欢唱+酒水套餐,118,474
歌霸量贩式KTV,白云区,均禾,5.0,周一-周四晚场/周五-周日黄金场欢唱4小时+酒水小吃套餐,218,458
潮尚量贩式KTV（天河客运站店）,白云区,同和/京溪,5.0,周一至周日19:00-次日02:00欢唱7小时+酒水套餐,218,436
爱琴海KTV（永泰店）,白云区,永泰,4.8,周一至周日19:00至次日03:00任选4小时欢唱+酒水套餐,298,413
嘉锦ktv,白云区,嘉禾/人和,4.6,周一至周日13:00-17:00欢唱4小时+商务房套餐,88,330
大都会KTV,白云区,白云区,4.5,周一至周日19:00-2:00欢唱7小时+啤酒套餐,168,297
卡迪量贩式KTV,白云区,永泰,5.0,12:00～18:00欢唱6小时+养生套餐,58,275
名馆酒吧KTV,白云区,嘉禾/人和,4.4,周一至周日19:30-2:00欢唱6小时30分+酒水套餐,158,264
靓声量贩式KTV（庆丰财智广场店）,白云区,石井,4.7,周一至周日19:00-2:00欢唱7小时+酒水套餐,398,236
顺景量贩式KTV,白云区,机场路沿线,5.0,白天商务套餐单人价,26,230
蓝钻酒吧  Blue Diamong club,白云区,黄边,5.0,洋酒2-3人套餐,288,221
唱唱mini K吧 双人式 KTV,白云区,同和/京溪,4.8,周一至周日12:00～02：00欢唱2小时＋饮料双人套餐,68,161
大咖酒吧ktv,白云区,均禾,5.0,周一至周日19:00-22:00欢唱3小时+酒水套餐,88,158
金畅量贩式KTV（白云店）,白云区,嘉禾/人和,5.0,周一至周日黄金档5小时欢唱券+酒水套餐,168,149
亮声KTV（万民广场店）,白云区,石井,4.2,周一至周日19:00-次日02:00任选5小时欢唱+酒水套餐,398,147
新英皇量贩KTV（白云旗舰店）,白云区,嘉禾/人和,4.8,超值啤酒套餐,6,136
皇家丽声量贩式ktv,白云区,新市,5.0,周一至周日19:30-4:00欢唱8小时30分+酒水套餐,388,129
凯撒皇宫风轰趴馆,白云区,白云区,4.6,单人主题轰趴别墅体验1天,58,123
好歌量贩KTV,荔湾区,上下九商业区,4.3,全周13:00-21:00欢唱4小时＋饮料＋主食套餐,25,5233
823量贩KTV,荔湾区,中山七八路,5.0,黄金欢唱7小时酒水套餐,398,1817
歌乐量贩式KTV（荔湾区旗舰店）,荔湾区,荔湾区,4.8,单人周一至周日12:00-19:00任选4小时欢唱套餐,9.9,831
猫王一号轰趴KTV烧烤别墅（KTV烧烤）,荔湾区,荔湾区,5.0,单人时尚工业风主题轰趴别墅体验1天,58,45
碎月俱乐部,荔湾区,中山七八路,5.0,碎月酒吧下午包场聚会轰趴套餐含酒水,380,37
会聚KTV,荔湾区,芳村,3.8,主题大房欢唱5小时+酒水套餐,720,3
畅想国度黄埔旗舰店,黄埔区,大沙地,5.0,白天场6小时/晚场3小时欢唱+酒水/饮品,12.9,31760
020量贩式KTV,黄埔区,生活区/南岗,5.0,单人周五至周日16:30-19:30欢唱3小时+自助餐,45,11135
星客乐,黄埔区,开发区东区,5.0,周一至周日12:00-18:00欢唱6小时+酒水套餐,48,2662
伽蓝氧吧量版式ktv,黄埔区,开发区东区,5.0,周一至周日下午档6小时欢唱券+饮料套餐,58,2125
歌乐会KTV,黄埔区,开发区东区,4.3,周一至周日18:00~02:00任意欢唱3小时+酒水套餐,168,483
景福会馆.fun肆轰趴馆,黄埔区,黄埔区,3.5,特价抢购通宵轰趴娱乐体验一天,1580,1
KING PARTY量贩式KTV（富盈店）,增城市,增城,5.0,单人下午茶休闲套餐,9.9,15905
畅想国度（新塘店）,增城市,太阳城/凯旋门,4.5,特惠包房套餐,28,2825
K-PARTY量贩式KTV（东汇城店）,增城市,东汇城/人人乐,4.7,7小时欢唱套餐,49.9,2357
糖潮量贩式KTV（原万达大歌星KTV）,增城市,万达广场,5.0,18:00-02:00黄金场4小时欢唱+特饮套餐,29,1250
温莎KTV,增城市,太阳城/凯旋门,5.0,周一至周五19:00-02:00欢唱3小时+套餐2选1,98,966
魅力派对量贩式KTV（新塘店）,增城市,新塘大润发/新好景,5.0,周一至周五12:00-18:00欢唱6小时+下午茶套餐,38,835
丰乐影唛荟KTV,增城市,新塘大润发/新好景,4.2,时段2选1欢唱+酒水饮品套餐,98,572
凯乐汇KTV量贩式,增城市,增城,3.9,周一至周日19:30-2:00小房欢唱6小时30分+酒水套餐,228,238
半岛KTV,增城市,太阳城/凯旋门,4.4,周一至周日晚场欢唱7小时+美食酒水套餐,180,195
金碧辉煌KTV,增城市,新塘大润发/新好景,4.2,豪华中房套餐,328,189
乐麦量贩式ktv（朱村店）,增城市,朱村镇,4.6,阳光场欢唱+饮品套餐,39.9,159
巢汇K-PARTY量贩式KTV,增城市,增城,5.0,周一至周日19:00-02:00欢唱7小时+青岛崂山啤酒套餐,168,41
MR.K主题量贩式KTV（1978店）,增城市,荔城挂绿/泰富广场,4.1,周一至周日23:00-03:00欢唱4小时+夜猫套餐,98,35
雨林轩（KTV）中西餐厅,增城市,太阳城/凯旋门,4.1,KTV中房套餐，建议9-15人使用,368,5
好乐迪KTV（花都店）,花都区,北站/建设路,4.7,11:00~20:00包段5小时欢唱+单人自助餐,43,71232
尚辰量贩式KTV（花都店）,花都区,大润发,5.0,周一至周五13:00-19:00单人6小时欢唱,11,56084
星光恋歌KTV（星光汇店）,花都区,建设北路,4.8,周一至周日16:00~21:00欢唱4小时+单人晚餐自助餐,43.9,51324
畅乐迪KTV-花都新华店,花都区,花都广场,5.0,周一至周日下午场(12:00-18:00)任选6小时欢唱,9.9,11714
畅乐迪KTV（狮岭店）,花都区,狮岭,4.7,下午场13:00-18:30欢唱套餐+小吃套餐,9.9,8107
99金柜量贩式KTV,花都区,花都体育场,4.8,下午场/黄金场5小时欢唱时段2选1+单人自助餐,40,8047
欧之诺时尚派对KTV（狮岭店）,花都区,狮岭,4.5,周一至周末13：00~19：00任选4小时单人欢唱券,12,3942
星城ktv,花都区,狮岭,5.0,晚场欢唱7小时+酒水套餐,178,3518
好声音量贩KTV（大剧院店）,花都区,新世纪广场,5.0,19:00-次日02:00欢唱时段2选1+酒水套餐,288,2058
金畅量贩式ktv,花都区,花都,5.0,周一至周日晚档7小时欢唱+酒水套餐,348,422
宝乐迪量贩KTV,花都区,白云国际机场,5.0,周六周日下午场欢唱5小时+美食套餐,88,338
