商家,区域,商圈,星级,服务,价格,销量
上海歌城（金桥国际广场店）,浦东新区,金桥商业广场,4.2,4小时欢唱券,59,36873
超级玛丽KTV（高桥店）,浦东新区,外高桥,5.0,周一至周日6:00-18:00三小时欢唱套餐,19.9,16602
扬歌视听歌城（昌里店）,浦东新区,世博园,4.7,周一至周日全天档欢唱套餐,55,12423
上海歌城（万嘉商业广场店）,浦东新区,高行,4.8,周一至周五白天档4小时欢唱券,39,12377
麦炫KTV,浦东新区,世博园,5.0,周一至周日全时段欢唱套餐,39,8652
超级玛丽KTV（周浦店）,浦东新区,迪士尼,4.7,周一至周日全时间段3小时欢唱,33,8399
水晶奇缘量贩式主题KTV,浦东新区,迪士尼,4.9,周一至周日全时段欢唱券,28,6998
宝乐迪量贩式ktv（上海金桥大拇指广场店）,浦东新区,金桥,5.0,周一至周日时间段（3选1）欢唱,45,6914
欢歌天天量贩式KTV（惠南店）,浦东新区,野生动物园外围,5.0,周一至周日全时段欢唱券,35,6020
欢歌天天量贩式KTV（奉城店）,浦东新区,迪士尼,4.7,周一至周日白天档夜猫档欢唱套餐,10,4692
K歌达人量贩式KTV（龙阳广场店）,浦东新区,浦东新区,5.0,周一至周日12:00-18:00三小时欢唱券,39,4074
K歌达人量贩式KTV（高行店）,浦东新区,金桥,5.0,周一至周日12:00-18:00三小时欢唱券,39,4074
K歌达人量贩式KTV（张江店）,浦东新区,张江,4.9,周一至周日12:00-18:00三小时欢唱券,39,4074
爱琴鸟时尚量贩KTV,浦东新区,迪士尼,5.0,下午档欢唱8小时/深夜档欢唱7小时2选1套餐,19,3990
欢歌天天量贩式KTV（高东店）,浦东新区,高东/杨园,4.9,欢歌量贩式KTV欢唱时段,21,3905
乐圣迪量贩式KTV（祝桥店）,浦东新区,浦东新区,4.5,周一至周日全时段欢唱套餐,30,3718
蓝乐光量贩ktv（禹州商业广场店）,浦东新区,野生动物园外围,5.0,周一至周日任选时段欢唱套餐,19.9,2988
上海秀麦量贩KTV（张江商业广场店）,浦东新区,张江,5.0,周一至周日阳光档欢唱4小时套餐,28,2934
唛达人量贩式KTV（三灶店）,浦东新区,野生动物园,5.0,10:00~18:00欢唱5小时,29,1415
民浩歌城,浦东新区,金桥,5.0,黄金档消中小包3小时欢唱,20,1411
K-SHOW量贩ktv（文峰广场张杨北路店）,浦东新区,金桥商业广场,5.0,周一至周日全时段欢唱券,49,1402
海上歌友（南祝路店）,浦东新区,野生动物园外围,5.0,周一至周日阳光档/黄金档欢唱套餐,30,1281
麦乐仕K歌城堡（唐镇店）,浦东新区,浦东新区,5.0,周一至周五白天档3小时欢唱,58,1149
上海乐江南纯K,浦东新区,外高桥,5.0,周一至周日欢唱套餐,18.8,1076
超乐迪量贩式KTV,浦东新区,迪士尼,4.4,周一至周四18;00-23;00欢唱券,18,1030
融汇时尚量贩KTV（北蔡店）,浦东新区,北蔡,4.7,周一至日白天档夜猫档（2选一）,38,989
新大陆纯K,浦东新区,浦东新区,5.0,周一至周日19；00-00；00欢唱套餐,86,873
好乐迪（正大店）,浦东新区,陆家嘴,5.0,周一至周五白天档套餐,19.9,757
好乐迪（八佰伴店）,浦东新区,陆家嘴,5.0,周一至周五白天档套餐,19.9,757
好乐迪（张杨路店）,浦东新区,浦东新区,5.0,周一至周五白天档套餐,19.9,757
好乐迪（大拇指广场店）,浦东新区,浦东新区,4.9,周一至周五白天档套餐,19.9,757
高歌纯K,浦东新区,张江,5.0,周一至周日阳光档/夜猫档小包3小时券+茶水套餐,29,710
尚南歌城量贩式ktv,浦东新区,浦东新区,4.4,全天档优惠欢唱券,25.8,708
秀麦Showmine量贩KTV（恒越生活广场店）,浦东新区,迪士尼,5.0,阳光档欢唱券,25,585
上海秀麦量贩KTV（川沙店）,浦东新区,迪士尼,5.0,周一至周日阳光档4小时欢唱套餐,28,518
上海歌城（96广场店）,浦东新区,八佰伴,4.2,周一至周五4小时欢唱券,69,463
k+时尚歌城,浦东新区,世博园,5.0,周一至周日欢唱套餐,35,436
迪亚士KTV（川沙店）,浦东新区,迪士尼,5.0,周一至周日全时段3小时欢唱+酒水小吃套餐,158,402
圣地亚歌量贩式KTV（川黄路店）,浦东新区,迪士尼,5.0,周一至周日欢唱套餐,28,363
浦京纯K（高桥店）,浦东新区,外高桥,5.0,周一至周四黄金档3小时+10瓶啤酒超值欢唱套餐,199,353
超级玛丽KTV（川沙店）,浦东新区,迪士尼,4.7,白天档3小时欢唱+茶水套餐,29.8,265
爱琴鸟时尚量贩KTV,浦东新区,新场,5.0,23:00~06:00欢唱7小时,39,245
歌神量贩式ktv（三林店）,浦东新区,世博园,4.9,周一到周日全时段欢唱券,39,245
悠乐纯k,浦东新区,迪士尼,5.0,阳光档单小时欢唱套餐,9.9,225
上海歌城（昌里路店）,浦东新区,世博园,4.7,周一至周日全时段欢唱套餐,49,215
宝乐迪量贩式ktv（川沙百联店）,浦东新区,迪士尼,5.0,白天档3小时欢唱+茶水,29.9,188
梦幻之旅主题量贩ktv,浦东新区,陆家嘴,4.7,周日至周四18:00-24:00欢唱3小时券,99,119
宝乐迪量贩KTV（原超歌量贩）,浦东新区,曹路,4.7,周一至周日白天档欢唱套餐,58,118
东宫量贩式KTV,浦东新区,浦东新区,4.1,周一至周四白天档3小时欢唱,39.9,98
唛动纯K（周浦店）,浦东新区,迪士尼,5.0,周一至周日全时段欢唱3小时+酒水套餐,188,96
K98派对时尚量版KTV（弘基广场店）,浦东新区,野生动物园外围,4.4,周一至周日白天夜猫档,9.9,75
K98派对时尚量版KTV,浦东新区,野生动物园外围,5.0,超值酒水套餐2,158,82
丰歌主题量贩ktv,浦东新区,浦东新区,5.0,全时段欢唱套餐,58,80
音尚量贩k歌,浦东新区,迪士尼,4.2,黄金档 夜猫档欢唱套餐,19.9,61
欢歌天天量贩式KTV（三林店）,浦东新区,世博园,5.0,周一至周日白天档欢唱,45,41
爱琴鸟时尚量贩KTV（泥城店）,浦东新区,临港新城/泥城,5.0,周一至周四白天档欢唱套餐,38,42
魅力纯K,浦东新区,航头,4.9,周六周五周日黄金档中包4小时欢唱,158,28
米乐星世界KTV（汇智国际店）,浦东新区,张江,5.0,平日白天档小包学生专属券,78,27
音乐栈主题量贩式KTV（外高桥店）,浦东新区,外高桥,5.0,周一至周五白天档欢唱套餐,58,22
宝乐迪量贩ktv,浦东新区,航头,4.9,周五至周日阳光档小包3小时欢唱券,60,22
扬歌量贩式KTV（天钥桥路店）,徐汇区,徐家汇,4.9,周一至周日全天档欢唱套餐,45,12619
唛动歌城（田林路店）,徐汇区,漕河泾/田林,4.9,周一至周日全天档欢唱套餐,49.9,1417
好乐迪（田林店）,徐汇区,漕河泾/田林,5.0,周一至周五白天档套餐,19.9,757
好乐迪（美罗店）,徐汇区,徐家汇,5.0,周一至周五白天档套餐,19.9,757
百乐迪量贩KTV,徐汇区,上海南站,4.7,周一-周五12:00-18:00欢唱6小时套餐,68.8,530
