商家,区域,商圈,星级,服务,价格,销量
酷党量贩KTV（格兰云天店）,福田区,华强北,4.9,白天档（12:00-19:00）7小时欢唱套餐,11,195253
阿1量贩式KTV,福田区,车公庙,5.0,7小时欢唱+酒水饮品套餐,98,15852
加州红颂歌量贩式KTV（皇岗店）,福田区,皇岗/水围,4.7,双时段2选1超值欢唱套餐,9.9,13335
欢乐盛KTV音乐会所（泰然店）,福田区,车公庙,5.0,单人周日至周四黄金档3小时欢唱券+自助美食,59,13318
乐宴KTV（大中华店）,福田区,CBD中心区,5.0,欢唱7小时套餐,11,11238
优力锋KTV,福田区,华强北,4.7,全周12:00-21:00欢唱7小时+饮料美食套餐,10,8180
欢乐驿站量贩式KTV,福田区,梅林,5.0,周一至周日12:00-19:00欢唱7小时+饮料套餐,39.99,7071
歌声会量贩式KTV,福田区,车公庙,5.0,白天档4小时 欢唱,18,5234
瑞莱斯KTV,福田区,华强南,4.7,全周双时段欢唱2选1+酒水美食套餐,98,3003
K时代量贩式KTV,福田区,新洲/石厦,5.0,周一至周日白天场6小时欢唱套餐,18,2234
99量贩KTV,福田区,梅林,4.3,欢唱6.5小时欢唱,39,1954
皇马纯K（景田店）,福田区,景田,5.0,白天场6小时欢唱券+饮品美食套餐,48,1513
畅k量贩式ktv,福田区,皇岗/水围,4.8,黄金档周日至周四7小时/周五六3小时欢唱+酒水小吃套餐,228,1376
好声音量贩KTV,福田区,华强南,4.5,周日至周五下午场6小时欢唱,58,1010
K时尚量贩式KTV,福田区,新洲/石厦,4.7,周一至周日12:00-18:30欢唱6小时,28,965
钱柜音乐会所（福田店）,福田区,新城市广场,5.0,周一至周日5小时欢唱+啤酒半打美食套餐,178,753
乐宴KTV（华强北九方店）,福田区,福田区,5.0,晚场3小时欢唱+酒水美食套餐,258,554
歌神量贩式KTV,福田区,车公庙,4.7,下午场/黄金场包段欢唱2选1+美食酒水套餐,88,406
尊尚音乐会所,福田区,华强南,5.0,小房、中房全周黄金档8小时欢唱+酒水美食,99,399
最美主题KTV,福田区,新洲/石厦,5.0,全天5小时欢唱券+酒水套餐,488,385
天籁村量贩KTV（梅林店）,福田区,梅林,4.7,夜猫档欢唱5小时全周通用,58,357
DJ娱乐无限KTV,福田区,华强北,4.5,白天场小包欢唱6小时,8,338
畅想国度KTV（华强旗舰店）,福田区,华强北,5.0,周日至周四7小时/下午场包段欢唱2选1+酒水套餐,198,287
佳棋会音乐会所,福田区,梅林,5.0,白天场中房/豪中/大房6小时欢唱+饮品美食套餐,100,247
朗琴音乐会所,福田区,八卦岭/园岭,5.0,周一至周日19:00-04:00任选4小时欢唱+雪花7度套餐,258,214
深航国际酒店红庐坊,福田区,车公庙,5.0,红庐坊周一至周日17:00-24:00任选3小时欢唱套餐,665,213
