商家,区域,商圈,星级,服务,价格,销量
奈瑞儿塑身美颜（IFC店）,朝阳区,国贸/建外,5.0,面部保湿+肩颈放松双宠套餐,128,50138
奈瑞儿塑身美颜（百子湾店）,朝阳区,百子湾,5.0,面部保湿+肩颈放松双宠套餐,128,50138
奈瑞儿塑身美颜（国贸店）,朝阳区,国贸/建外,5.0,面部保湿+肩颈放松双宠套餐,128,50138
奈瑞儿塑身美颜（太阳宫店）,朝阳区,太阳宫,5.0,面部保湿+肩颈放松双宠套餐,128,50138
奈瑞儿塑身美颜（燕莎店）,朝阳区,三元桥,5.0,面部保湿+肩颈放松双宠套餐,128,50138
奈瑞儿塑身美颜（滨河花园店）,朝阳区,酒仙桥,4.7,面部保湿+肩颈放松双宠套餐,128,50138
奈瑞儿塑身美颜（十里河店）,朝阳区,十里河,5.0,面部保湿+肩颈放松双宠套餐,128,50138
奈瑞儿塑身美颜（亚运村店）,朝阳区,亚运村,5.0,面部保湿+肩颈放松双宠套餐,128,50138
静逸堂功夫肩颈（翌芙莱国际店）,朝阳区,常营,3.0,单人功夫肩颈一次,88,16969
静逸堂功夫肩颈（天姿天鹅湾商务特区店）,朝阳区,朝阳大悦城,3.5,单人功夫肩颈一次,88,16969
静逸堂功夫肩颈（远洋公馆店）,朝阳区,霄云路,3.0,单人功夫肩颈一次,88,16969
君兰坊（东直门店）,朝阳区,三里屯/工体,3.5,单人功夫肩颈一次,88,16969
静逸堂功夫肩颈（茗芳格建国路店）,朝阳区,大望路,4.0,单人功夫肩颈一次,88,16969
朋朋修脚（管庄店）,朝阳区,双桥,4.4,单人足部护理套餐,33.9,15528
朋朋修脚（常青藤店）,朝阳区,东坝,3.5,单人足部护理套餐,33.9,15528
美丽田园（蓝色港湾店）,朝阳区,蓝色港湾,5.0,单人美白/保养/紧致/保湿SPA套餐四选一,268,13511
美丽田园（国贸店）,朝阳区,国贸/建外,4.6,单人美白/保养/紧致/保湿SPA套餐四选一,268,13511
美丽田园（长楹天街购物中心店）,朝阳区,常营,4.6,单人美白/保养/紧致/保湿SPA套餐四选一,268,13511
美丽田园（财富购物中心店）,朝阳区,朝外大街/世贸天阶,4.2,单人美白/保养/紧致/保湿SPA套餐四选一,268,13511
美丽田园（朝阳大悦城店）,朝阳区,朝阳大悦城,4.2,单人美白/保养/紧致/保湿SPA套餐四选一,268,13511
美丽田园（华贸建国路店）,朝阳区,大望路,5.0,单人美白/保养/紧致/保湿SPA套餐四选一,268,13511
北派修脚（松榆南路店）,朝阳区,潘家园,4.0,单人北派足部套餐,28,12506
北派修脚（西大望路店）,朝阳区,朝阳区,4.4,单人北派足部套餐,28,12506
北派修脚（朝阳路店）,朝阳区,朝阳区,4.3,单人北派足部套餐,28,12506
北派修脚（红庙店）,朝阳区,朝阳区,4.2,单人北派足部套餐,28,12506
北派修脚（传媒大学店）,朝阳区,朝阳区,4.2,单人北派足部套餐,28,12506
华夏良子（北京三里屯店）,朝阳区,三里屯/工体,5.0,代金券,75,10993
华夏良子（北京国贸店）,朝阳区,国贸/建外,5.0,代金券,75,10993
华夏良子（西大望路店）,朝阳区,朝阳区,5.0,代金券,75,10993
华夏良子（北京工体店）,朝阳区,朝外大街/世贸天阶,5.0,代金券,75,10993
华夏良子（北京朝阳公园店）,朝阳区,朝阳公园,5.0,代金券,75,10993
华夏良子（北京东直门店）,朝阳区,三里屯/工体,5.0,代金券,75,10993
华夏良子（北京双井店）,朝阳区,双井,5.0,代金券,75,10993
华夏良子（北京广顺北大街店）,朝阳区,望京,5.0,代金券,75,10993
华夏良子（北京鸟巢店）,朝阳区,亚运村,5.0,代金券,75,10993
圣梦亲体美肤生活馆（嘉铭桐城店）,朝阳区,小营,3.7,单人美容美体项目3选1套餐,58,10501
