商家,区域,商圈,星级,服务,价格,销量
奈瑞儿塑身美颜（东峻店）,越秀区,东风东/杨箕,5.0,面部保湿+肩颈放松双宠套餐,128,50138
奈瑞儿塑身美颜（光明广场店）,越秀区,北京路商业区,5.0,面部保湿+肩颈放松双宠套餐,128,50138
奈瑞儿塑身美颜（中华广场店）,越秀区,中山二三路/东山口,5.0,面部保湿+肩颈放松双宠套餐,128,50138
奈瑞儿塑身美颜（中旅商业城店）,越秀区,北京路商业区,5.0,面部保湿+肩颈放松双宠套餐,128,50138
晶奕空间专业脱毛连锁机构（广州五月花广场店）,越秀区,越秀区,5.0,单人晶奕空间专业绝毛连锁机构双腋下无限次绝毛,68,26820
知足常乐·粤新沐足,越秀区,越秀区,4.9,知足常乐沐足休闲中心推拿/沐足套餐2选1,88,14619
毛丢丢永久无痛脱毛嫩肤连锁机构（北京路店）,越秀区,北京路商业区,5.0,单人双腋下或上唇2选1冰爽体验1次,1,14124
毛丢丢永久无痛脱毛嫩肤连锁机构（世贸店）,越秀区,淘金,5.0,单人双腋下或上唇2选1冰爽体验1次,1,14124
美丽田园（友谊商店店）,越秀区,淘金,3.8,单人美白/保养/紧致/保湿SPA套餐四选一,268,13511
圣梦亲体美肤生活馆（五羊新城店）,越秀区,五羊新城,4.2,单人美容美体项目3选1套餐,58,10501
咪咪专业脱毛连锁机构（世贸雅致店）,越秀区,淘金,5.0,单人双腋下脱毛年卡+赠送比基尼上/侧/造型脱毛单次体验,99,8914
秀域科技美容（五羊店）,越秀区,五羊新城,4.6,单人夏日冰点净脱,88,7228
足采堂,越秀区,中山六路,5.0,单人实力沐足1次,49,5755
风吕足道休闲中心,越秀区,北京路商业区,5.0,单人休闲沐足套餐,78,5144
美肌工坊皮肤管理（越秀捷登都会店）,越秀区,越秀区,5.0,单人超微气泡去螨虫去黑头深层清洁,79.8,4900
苗方清颜·专业祛痘祛斑全国连锁（越秀店）,越秀区,中山二三路/东山口,5.0,单人痘肌护理3次（5选1）/去黑头2次（2选1）,38,4395
雅悦沐足阁,越秀区,黄花岗,5.0,单人古典沐足＋肩颈按摩套餐,78,3973
华宴足道（中旅商业城店）,越秀区,北京路商业区,5.0,单人按摩沐足2选1,78,3601
聚脚点（光塔路店）,越秀区,中山六路,5.0,单人黄金时段套餐,80,3531
足满堂（广联店）,越秀区,东风东/杨箕,3.8,中式沐足/推拿按摩二选一套餐,79.9,2951
健足养生馆,越秀区,北京路商业区,5.0,单人中式推拿,68,2844
按麽易（小北店）,越秀区,越秀区,5.0,单人全身按摩1次,39,2678
娇莉芙（应元店）,越秀区,东风中路/越秀公园,3.5,单人绿鱼子面部抗氧+全身通络护理套餐,208,2430
娇莉芙（中华广场店）,越秀区,中山二三路/东山口,3.5,单人绿鱼子面部抗氧+全身通络护理套餐,208,2430
清颜堂专业祛痘（公园前店）,越秀区,北京路商业区,5.0,单人健康清痘护理2次体验套餐,10,2412
清颜堂专业祛痘（中华广场店）,越秀区,中山二三路/东山口,4.9,单人健康清痘护理2次体验套餐,10,2412
健康人休闲会所（中山一路店）,越秀区,东风东/杨箕,4.2,沐足单人体验套餐,68,2258
富源休闲会所,越秀区,麓湖公园周边,4.9,单人皇式沐足套餐,98,1997
蝴蝶谷美容中心（蝶轩美容中心）,越秀区,中山二三路/东山口,5.0,单人沉香悦肩颈腰背轻奢按摩/精华特护+经典油推,49,1984
瑶芳专业祛痘（文明店）,越秀区,北京路商业区,5.0,单人水光补水套餐2次,38,1666
美致专业脱毛中心（光明广场分店）,越秀区,北京路商业区,5.0,单人腋下／小腿／前臂／上臂／比基尼脱.毛套餐五选一,188,1548
远洋宾馆沐足堂,越秀区,环市东路/区庄,4.9,单人沐足或推拿加精油开背2选1套餐,138,1379
养元足道,越秀区,瑶台,5.0,单人沐足  免预约,59,1313
启悦沐足,越秀区,北京路商业区,5.0,单人60分钟贵宾沐足套餐,69,1104
骑士养生馆,越秀区,建设六马路,5.0,单人精油按摩（新疆伊帕尔汗精油）,88,1028
韩国Gmsimir 皮肤身体管理（品牌分店）,越秀区,北京路商业区,5.0,面部黑头、痘肌护理三次,39,1012
痘博士专业祛痘连锁机构（越秀店）,越秀区,五羊新城,4.5,单人祛黑头套餐（请电话预约）,98,727
康派沐足中心,越秀区,东山口/农林下路,5.0,单人艾草草本沐足/中式推拿套餐,88,704
小朱沐足馆（小朱推拿馆）,越秀区,北京路商业区,5.0,保健推拿1次(单人),48,666
小朱沐足馆,越秀区,北京路商业区,5.0,保健推拿1次(单人),48,666
香港修身堂（华乐店）,越秀区,建设六马路,4.7,单人皇牌纤润减压5选2套餐,98,618
