商家,区域,商圈,星级,服务,价格,销量
天泽足道（栖山路店）,浦东新区,源深体育中心,4.9,单人木桶浴精油油压按摩,178,42565
世龙世家手足健康护理连锁（浦东新区崂山路店）,浦东新区,陆家嘴,4.0,泡脚足浴+修脚护理单人套餐,9.9,26731
世龙世家灰指甲手足健康连锁,浦东新区,浦东新区,4.0,泡脚足浴+修脚护理单人套餐,9.9,26731
香港乐肤皮肤修复中心（八佰伴店）,浦东新区,陆家嘴,5.0,单人皮肤检测套餐,12,16831
美丽田园（金茂店）,浦东新区,陆家嘴,5.0,单人美白/保养/紧致/保湿SPA套餐四选一,268,13511
美丽田园（96广场店）,浦东新区,八佰伴,4.9,单人美白/保养/紧致/保湿SPA套餐四选一,268,13511
美丽田园（花木店）,浦东新区,世纪公园,5.0,单人美白/保养/紧致/保湿SPA套餐四选一,268,13511
美丽田园（丁香店）,浦东新区,世纪公园,4.5,单人美白/保养/紧致/保湿SPA套餐四选一,268,13511
美丽田园（联洋广场店）,浦东新区,世纪公园,4.9,单人美白/保养/紧致/保湿SPA套餐四选一,268,13511
康轩会馆（八佰伴店）,浦东新区,陆家嘴,4.2,单人全身精油按摩足疗套餐,169,11901
大桶大足浴（金高路店）,浦东新区,金桥,5.0,单人六经足道1次,98,11546
华夏良子（上海东方路店）,浦东新区,陆家嘴,5.0,代金券,75,10993
重庆君悦富侨（潍坊店）,浦东新区,陆家嘴,5.0,单人90分钟泰式足浴+中式按摩套餐,148,10507
重庆富侨足浴养生殿,浦东新区,陆家嘴,5.0,单人90分钟泰式足浴+中式按摩套餐,148,10507
大桶大足浴（上南路店）,浦东新区,世博园,5.0,单人六经扶元,138,9649
大桶大足浴（拱极路店）,浦东新区,野生动物园外围,5.0,单人六经扶元,138,9649
大桶大足浴（灵岩南路店）,浦东新区,世博园,5.0,单人六经扶元,138,9649
大桶大足浴（康桥店）,浦东新区,迪士尼,5.0,单人六经扶元,138,9649
大桶大足浴（三林店）,浦东新区,世博园,5.0,单人六经扶元,138,9649
大桶大足浴（外高桥店）,浦东新区,外高桥,5.0,单人六经扶元,138,9649
乾汤国际SPA温泉馆,浦东新区,金桥,5.0,单人限时秒杀浴资券,69,7677
重庆家富富侨（三林店）,浦东新区,浦东新区,5.0,单人泰式足浴+中式推拿套餐90分钟,128,7445
重庆家富富侨（成山路店）,浦东新区,世博园,5.0,单人泰式足浴+中式推拿套餐90分钟,128,7445
秀域科技美容（东方店）,浦东新区,陆家嘴,3.5,单人夏日冰点净脱,88,7228
秀域科技美容（八佰伴店）,浦东新区,陆家嘴,3.5,单人夏日冰点净脱,88,7228
秀域科技美容（博览汇广场店）,浦东新区,世纪公园,4.0,单人夏日冰点净脱,88,7228
秀域科技美容（浦东南路店）,浦东新区,世博园,4.1,单人夏日冰点净脱,88,7228
秀域科技美容（昌里东路店）,浦东新区,浦东新区,3.5,单人夏日冰点净脱,88,7228
秀域科技美容（德平店）,浦东新区,金桥,4.0,单人夏日冰点净脱,88,7228
秀域科技美容（上南路店）,浦东新区,浦东新区,4.0,单人夏日冰点净脱,88,7228
秀域科技美容（三林店）,浦东新区,世博园,3.6,单人夏日冰点净脱,88,7228
