商家,区域,商圈,星级,服务,价格,销量
奈瑞儿塑身美颜（侨香店）,福田区,竹子林,5.0,面部保湿+肩颈放松双宠套餐,128,50138
奈瑞儿塑身美颜（景田店）,福田区,景田,5.0,面部保湿+肩颈放松双宠套餐,128,50138
奈瑞儿塑身美颜（大中华店）,福田区,华强南,5.0,面部保湿+肩颈放松双宠套餐,128,50138
奈瑞儿塑身美颜（梅林店）,福田区,梅林,5.0,面部保湿+肩颈放松双宠套餐,128,50138
晶奕空间专业脱毛连锁机构（深圳购物公园店）,福田区,CBD中心区,5.0,单人晶奕空间专业绝毛连锁机构双腋下无限次绝毛,68,26820
世龙世家手足健康护理连锁（福田区福民路店）,福田区,新洲/石厦,3.0,泡脚足浴+修脚护理单人套餐,9.9,26731
高科德美食水疗俱乐部,福田区,新洲/石厦,4.8,单人穴位推拿双钟+大堂1项按摩套餐,159,16687
毛丢丢永久无痛脱毛嫩肤连锁机构（深圳车公庙店）,福田区,福田区,5.0,单人双腋下或上唇2选1冰爽体验1次,1,14124
美丽田园（九方店）,福田区,华强北,5.0,单人美白/保养/紧致/保湿SPA套餐四选一,268,13511
任医生（任医生中医馆）,福田区,车公庙,5.0,单人推拿套餐,188,10515
水景云天国际健康水会,福田区,皇岗/水围,4.7,单人按摩休闲套餐,139,9632
咪咪专业脱毛连锁机构（车公庙店）,福田区,车公庙,5.0,单人双腋下脱毛年卡+赠送比基尼上/侧/造型脱毛单次体验,99,8914
古功夫肩颈（香妃子店）,福田区,梅林,5.0,单人古功夫肩颈90分钟套餐,111,6364
古功夫肩颈（福田新洲店）,福田区,新洲/石厦,4.6,单人古功夫肩颈90分钟套餐,111,6364
古功夫肩颈（皇岗店）,福田区,皇岗/水围,4.8,单人古功夫肩颈90分钟套餐,111,6364
古功夫肩颈（香水女人店）,福田区,景田,4.0,单人古功夫肩颈90分钟套餐,111,6364
古功夫肩颈（伊丽斯店）,福田区,CBD中心区,4.6,单人古功夫肩颈90分钟套餐,111,6364
古功夫肩颈（御锦公馆店）,福田区,梅林,5.0,单人古功夫肩颈90分钟套餐,111,6364
古功夫肩颈（兰贵人店）,福田区,新城市广场,5.0,单人古功夫肩颈90分钟套餐,111,6364
古功夫肩颈（合美荟店）,福田区,竹子林,4.6,单人古功夫肩颈90分钟套餐,111,6364
古功夫肩颈（福田莲花路店）,福田区,市民中心,3.5,单人古功夫肩颈90分钟套餐,111,6364
古功夫肩颈（金佰丽）,福田区,上沙/下沙,4.9,单人古功夫肩颈90分钟套餐,111,6364
古功夫肩颈（彩虹大厦店）,福田区,岗厦,4.7,单人古功夫肩颈90分钟套餐,111,6364
古功夫肩颈（天健花园店）,福田区,景田,4.9,单人古功夫肩颈90分钟套餐,111,6364
古功夫肩颈（天佳丽美容店）,福田区,华强北,5.0,单人古功夫肩颈90分钟套餐,111,6364
古功夫肩颈（克丽缇娜店）,福田区,皇岗/水围,4.0,单人古功夫肩颈90分钟套餐,111,6364
古功夫肩颈（百草康店）,福田区,新城市广场,5.0,单人古功夫肩颈90分钟套餐,111,6364
古功夫肩颈（唯美时光店）,福田区,八卦岭/园岭,5.0,单人古功夫肩颈90分钟套餐,111,6364
古功夫肩颈（花枝秀店）,福田区,岗厦,4.9,单人古功夫肩颈90分钟套餐,111,6364
古功夫肩颈（荷花经典店）,福田区,竹子林,4.0,单人古功夫肩颈90分钟套餐,111,6364
古功夫肩颈（碧斯店）,福田区,华强北,3.5,单人古功夫肩颈90分钟套餐,111,6364
古功夫肩颈（雪姬美素店）,福田区,景田,4.0,单人古功夫肩颈90分钟套餐,111,6364
古功夫肩颈（曼妙美肤馆店）,福田区,景田,4.9,单人古功夫肩颈90分钟套餐,111,6364
玉妍国际美容连锁（皇御苑店）,福田区,皇岗/水围,3.6,单人夏季补水美白疏通套餐,19.9,2897
玉妍国际美容连锁（翰岭花园店）,福田区,梅林,3.8,单人夏季补水美白疏通套餐,19.9,2897
玉妍国际美容连锁（梅林天虹店）,福田区,梅林,3.7,单人夏季补水美白疏通套餐,19.9,2897
克丽缇娜（竹子林店）,福田区,竹子林,4.0,克丽缇娜水妍润泽单人焕美套餐,158,2839
克丽缇娜（白玉店）,福田区,市民中心,4.0,克丽缇娜水妍润泽单人焕美套餐,158,2839
克丽缇娜（新洲北路店）,福田区,梅林,4.0,克丽缇娜水妍润泽单人焕美套餐,158,2839
克丽缇娜（水颜店）,福田区,八卦岭/园岭,4.0,克丽缇娜水妍润泽单人焕美套餐,158,2839
克丽缇娜（梦里妍店）,福田区,八卦岭/园岭,4.0,克丽缇娜水妍润泽单人焕美套餐,158,2839
