商家,区域,商圈,星级,服务,价格,销量
佑米造型（传媒大学店）,朝阳区,传媒大学,4.9,丽人狂欢节-单人洗剪吹1份,29.8,319722
佑米造型（酒仙桥店）,朝阳区,酒仙桥,4.7,丽人狂欢节-单人洗剪吹1份,29.8,319722
佑米造型（百子湾大郊亭店）,朝阳区,百子湾,5.0,丽人狂欢节-单人洗剪吹1份,29.8,319722
佑米造型（长楹天街店）,朝阳区,常营,5.0,丽人狂欢节-单人洗剪吹1份,29.8,319722
佑米造型（望京店）,朝阳区,望京,5.0,丽人狂欢节-单人洗剪吹1份,29.8,319722
佑米造型（朝阳区三间房店）,朝阳区,朝阳区,4.9,丽人狂欢节-单人洗剪吹1份,29.8,319722
佑米造型（惠新西街店）,朝阳区,小营,5.0,丽人狂欢节-单人洗剪吹1份,29.8,319722
佑米造型（国贸店）,朝阳区,国贸/建外,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,319242
佑米造型（十里堡店）,朝阳区,十里堡,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,319242
佑米造型（三元桥时间国际店）,朝阳区,三元桥,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,319242
佑米造型（金台路总店）,朝阳区,团结湖/朝阳公园,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,319242
佑米造型（芍药居店）,朝阳区,对外经贸,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,319242
佛伦斯私人订制烫染国际连锁（首城国际店）,朝阳区,双井,5.0,单人首席洗剪吹套餐,39,309211
佛伦斯私人定制烫染名店（青年路店）,朝阳区,朝阳大悦城,5.0,单人首席洗剪吹套餐,39,309211
佛伦斯私人订制烫染国际连锁（永安里店）,朝阳区,国贸/建外,5.0,单人首席洗剪吹套餐,39,309211
佛伦斯私人定制烫染名店（亚运村华堂店）,朝阳区,对外经贸,5.0,单人首席洗剪吹套餐,39,309211
佛伦斯私人定制烫染名店（双井店）,朝阳区,双井,4.9,单人首席洗剪吹套餐,39,309211
佛伦斯私人定制烫染国际连锁（太阳宫店）,朝阳区,太阳宫,5.0,单人首席洗剪吹套餐,39,309211
紫尚造型（北京国贸店）,朝阳区,国贸/建外,5.0,【人气】单人烫染直三选一美发套餐,159,125792
瑞豪专业烫染连锁（朝阳大悦城总店）,朝阳区,朝阳大悦城,5.0,【资深设计师】提案+精致裁剪+造型,28.8,110856
瑞豪专业烫染连锁（垡头店）,朝阳区,朝阳区,5.0,【资深设计师】提案+精致裁剪+造型,28.8,110856
瑞豪专业烫染连锁（亚运村旗舰店）,朝阳区,大屯,5.0,【资深设计师】提案+精致裁剪+造型,28.8,110856
瑞豪专业烫染连锁（潘家园南里店）,朝阳区,潘家园,5.0,【资深设计师】提案+精致裁剪+造型,28.8,110856
瑞豪专业烫染连锁（东三环形象店）,朝阳区,劲松,5.0,【资深设计师】提案+精致裁剪+造型,28.8,110856
瑞豪专业烫染连锁（亚运村店）,朝阳区,小营,5.0,【资深设计师】提案+精致裁剪+造型,28.8,110856
瑞豪专业烫染连锁（对外经贸大学店）,朝阳区,对外经贸,5.0,【资深设计师】提案+精致裁剪+造型,28.8,110856
瑞豪专业烫染连锁（草房像素店）,朝阳区,朝阳区,5.0,【资深设计师】提案+精致裁剪+造型,28.8,110856
瑞豪专业烫染连锁（亚运村总店）,朝阳区,亚运村,5.0,【资深设计师】提案+精致裁剪+造型,28.8,110856
瑞豪专业烫染连锁（平乐园店）,朝阳区,大望路,5.0,【资深设计师】提案+精致裁剪+造型,28.8,110856
瑞豪专业烫染连锁（万象新天店）,朝阳区,朝阳区,5.0,【资深设计师】提案+精致裁剪+造型,28.8,110856
瑞豪专业烫染连锁店（百子湾店）,朝阳区,北京东站,5.0,【资深设计师】提案+精致裁剪+造型,28.8,110856
美联社（青年路店）,朝阳区,朝阳大悦城,5.0,菲灵剪护造型送烫发染发二选一,178,105127
美天淘日系沙龙（国贸店）,朝阳区,国贸/建外,5.0,欧莱雅烫发染发直发护理单人套餐,159,58842
瑞豪专业烫染连锁（十里堡南区店）,朝阳区,十里堡,5.0,【时尚白领】玩转色彩／定制造型+首席设计师,188,55503
瑞豪专业烫染连锁（金台路店）,朝阳区,朝阳区,5.0,【时尚白领】玩转色彩／定制造型+首席设计师,188,55503
瑞豪专业烫染连锁（望京西园店）,朝阳区,望京,5.0,【时尚白领】玩转色彩／定制造型+首席设计师,188,55503
瑞豪专业烫染连锁（团结湖店）,朝阳区,团结湖/朝阳公园,5.0,【时尚白领】玩转色彩／定制造型+首席设计师,188,55503
瑞豪专业烫染无痕接发连锁（南新园店）,朝阳区,朝阳区,5.0,【品质特惠】玩转色彩／定制烫发+资深设计师体验,148,45126
佑美乐（园东路店）,朝阳区,潘家园,4.4,单人剪发套餐1份,39.8,43554
米娜造型（望京店）,朝阳区,望京,5.0,单人美发套餐5选1,128,42934
巴罗国际烫染连锁（TA TA造型沙龙店）,朝阳区,安贞,4.7,单人超值烫发/染发套餐5选2,378.8,39960
米娜造型（十里堡地铁口晨光店）,朝阳区,十里堡,4.1,单人欧莱雅高端五选一套餐,198,34988
朋克龙辉（维吉奥广场店）,朝阳区,北京欢乐谷,4.9,单人欧莱雅高端五选一套餐,198,34988
米娜造型（欢乐谷翠城馨园店）,朝阳区,北京欢乐谷,4.6,单人欧莱雅高端五选一套餐,198,34988
米娜造型（富顿中心店）,朝阳区,劲松,4.4,单人欧莱雅高端五选一套餐,198,34988
米娜造型（团结湖店）,朝阳区,团结湖/朝阳公园,5.0,单人欧莱雅高端五选一套餐,198,34988
米娜造型（常营店）,朝阳区,常营,4.8,单人欧莱雅高端五选一套餐,198,34988
米娜造型（长楹天街店）,朝阳区,常营,4.0,单人欧莱雅高端五选一套餐,198,34988
米娜造型（【北京像素店】）,朝阳区,朝阳区,5.0,单人欧莱雅高端五选一套餐,198,34988
米娜造型（定福庄店）,朝阳区,传媒大学,4.6,单人欧莱雅高端五选一套餐,198,34988
可唻咿造型（望京中心店）,朝阳区,望京,5.0,单人高品质烫染套餐,268,30784
可唻咿造型（劲松桥店）,朝阳区,劲松,5.0,单人高品质烫染套餐,268,30784
可唻咿造型（富力城可唻咿店）,朝阳区,双井,4.5,单人高品质烫染套餐,268,30784
迪美造型（望京店）,朝阳区,望京,5.0,【品质特惠】单人欧莱雅烫/染5选1+护理,128,27824
米娜造型【高家园店】（大屯北路店】）,朝阳区,亚运村,4.9,单人欧莱雅美奇丝超值烫发/染发二选一美发套餐,168,27779
米娜造型（兴隆店）,朝阳区,高碑店,4.3,单人欧莱雅美奇丝超值烫发/染发二选一美发套餐,168,27779
吉米造型（安贞店）,朝阳区,安贞,5.0,单人烫染套餐2选1,258,21792
吉米造型（飘亮店）,朝阳区,亚运村,5.0,单人烫染套餐2选1,258,21792
吉米造型（燕莎店）,朝阳区,三元桥,5.0,单人烫染套餐2选1,258,21792
绚诺soho（大望路店）,朝阳区,大望路,5.0,单人资深造型师洗剪吹套餐,29.8,21518
绚诺soho（民族园店）,朝阳区,亚运村,5.0,单人资深造型师洗剪吹套餐,29.8,21518
