商家,区域,商圈,星级,服务,价格,销量
佛伦斯私人订制烫染国际连锁（北京路店）,越秀区,北京路商业区,5.0,单人首席洗剪吹套餐,39,309211
瑞豪专业烫染连锁（新富雄店）,越秀区,中山二三路/东山口,5.0,【资深设计师】提案+精致裁剪+造型,28.8,110856
欧莱雅私人定制美发连锁（广州淘金正佳店）,越秀区,淘金,5.0,单人洗剪吹/护理套餐2选1,39,101901
欧莱雅私人定制美发连锁（广州北京路店）,越秀区,北京路商业区,5.0,单人洗剪吹/护理套餐2选1,39,101901
欧莱雅私人定制（广州动物园店）,越秀区,东风东/杨箕,5.0,单人洗剪吹/护理套餐2选1,39,101901
施华蔻美发连锁（广州东山口西玛店）,越秀区,中山二三路/东山口,4.7,单人施华蔻烫染套餐3选1,208,85549
施华蔻美发连锁（广州淘金正佳店）,越秀区,淘金,5.0,单人施华蔻烫染套餐3选1,208,85549
施华蔻美发连锁（广州天河城百货店）,越秀区,北京路商业区,5.0,单人施华蔻烫染套餐3选1,208,85549
美宝莲美发直营连锁（广州北京路店）,越秀区,北京路商业区,5.0,高级欧莱雅套餐3选1,388,65451
瑞豪专业烫染连锁（环市东路技术店）,越秀区,动物园南门,5.0,【时尚白领】玩转色彩／定制造型+首席设计师,188,55503
米娜造型（北京路店）,越秀区,沿江路沿线/二沙岛,5.0,单人美发套餐5选1,128,42934
欧莱雅私人定制（东山口店）,越秀区,中山二三路/东山口,4.2,欧莱雅烫/染/拉3选1套餐,299,36518
摩登时尚（北京路店）,越秀区,北京路商业区,5.0,摩登时尚威娜超值三选一套餐,198,27407
摩登时尚（东山口店）,越秀区,中山二三路/东山口,5.0,摩登时尚威娜超值三选一套餐,198,27407
绚诺soho造型（北京路店）,越秀区,北京路商业区,4.8,单人资深造型师洗剪吹套餐,29.8,21518
绚诺soho造型（东山口店）,越秀区,中山二三路/东山口,5.0,单人资深造型师洗剪吹套餐,29.8,21518
绚诺soho造型（环市东路店）,越秀区,淘金,5.0,单人资深造型师洗剪吹套餐,29.8,21518
沙宣烫染连锁（北京路网红店）,越秀区,北京路商业区,5.0,单人欧莱雅美奇丝套餐,160,15027
纤艺造型（越秀动物园南门店）,越秀区,动物园南门,3.7,单人欧莱雅染烫5选1套餐,298,13692
苹果造型 AP HAIR SALON（挹翠路店）,越秀区,越秀区,4.2,单人欧莱雅染烫5选1套餐,298,13692
cozy美发世家全国连锁（北京路店）,越秀区,越秀区,5.0,单人时尚烫发染发4选1套餐,158,10896
丝域养发馆（淘金东店）,越秀区,黄花岗,3.6,玫瑰香薰spa+水润头皮护理,88,10623
丝域养发馆（西门口店）,越秀区,中山六路,5.0,玫瑰香薰spa+水润头皮护理,88,10623
丝域养发馆（仓边路店）,越秀区,北京路商业区,4.3,玫瑰香薰spa+水润头皮护理,88,10623
丝域养发馆（东风广场店）,越秀区,东风东/杨箕,4.0,玫瑰香薰spa+水润头皮护理,88,10623
丝域养发馆（三育路店）,越秀区,东风东/杨箕,4.5,玫瑰香薰spa+水润头皮护理,88,10623
丝域养发馆（淘金花园店）,越秀区,麓湖公园周边,3.5,玫瑰香薰spa+水润头皮护理,88,10623
丝域养发馆（东湖西店）,越秀区,越秀区,5.0,玫瑰香薰spa+水润头皮护理,88,10623
丝域养发馆（嘉和苑店）,越秀区,中山六路,4.8,玫瑰香薰spa+水润头皮护理,88,10623
韩妆潮人（北京路前卫店）,越秀区,北京路商业区,4.7,B:单人首席/设计师烫/染2选1套餐,288,9004
时代·俪人（北京路店）,越秀区,北京路商业区,5.0,【特级微分子】单人全头无痕纳米接发,1580,7477
时代·俪人（杨箕店）,越秀区,东风东/杨箕,4.2,【特级微分子】单人全头无痕纳米接发,1580,7477
