商家,区域,商圈,星级,服务,价格,销量
佑米造型（绿地缤纷广场旗舰店）,浦东新区,张江,5.0,丽人狂欢节-单人洗剪吹1份,29.8,319722
佑米造型（周浦万达店）,浦东新区,迪士尼,5.0,丽人狂欢节-单人洗剪吹1份,29.8,319722
佑米造型（三角街店）,浦东新区,野生动物园外围,4.8,丽人狂欢节-单人洗剪吹1份,29.8,319722
佑米造型（张桥佳林路店）,浦东新区,金桥,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,319242
佑米造型（博兴路地铁站店）,浦东新区,金桥商业广场,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,319242
佛伦斯私人定制烫染名店（王港公园店）,浦东新区,迪士尼,4.7,单人首席洗剪吹套餐,39,309211
佛伦斯私人订制烫染国际连锁（高桥镇慈善街店）,浦东新区,外高桥,5.0,单人首席洗剪吹套餐,39,309211
佛伦斯私人定制烫染国际连锁（浩轩杨园店）,浦东新区,浦东新区,5.0,美芝品系列单人美发套餐,168,184270
紫尚造型（金桥超人气金牌潮店）,浦东新区,金桥,4.7,【人气】单人烫染直三选一美发套餐,159,125792
紫尚造型（上海德平路地铁站店）,浦东新区,金桥,5.0,【人气】单人烫染直三选一美发套餐,159,125792
紫尚造型（上海张江高科店）,浦东新区,张江,4.8,【人气】单人烫染直三选一美发套餐,159,125792
瑞豪专业烫染连锁（广兰路店）,浦东新区,张江,4.6,【资深设计师】提案+精致裁剪+造型,28.8,110856
瑞豪专业烫染连锁（临港Times店）,浦东新区,临港新城/泥城,5.0,【资深设计师】提案+精致裁剪+造型,28.8,110856
美联社（八佰伴人气潮店）,浦东新区,陆家嘴,5.0,菲灵剪护造型送烫发染发二选一,178,105127
美联社（人气冠军金桥店）,浦东新区,金桥商业广场,5.0,菲灵剪护造型送烫发染发二选一,178,105127
欧莱雅私人定制美发连锁（上海浪波湾店）,浦东新区,野生动物园外围,5.0,单人洗剪吹/护理套餐2选1,39,101901
欧莱雅私人定制（航梅路店）,浦东新区,航头,5.0,单人洗剪吹/护理套餐2选1,39,101901
欧莱雅私人定制（上海金桥新金桥路店）,浦东新区,金桥,5.0,单人洗剪吹/护理套餐2选1,39,101901
欧莱雅私人定制美发连锁（上海三林店）,浦东新区,世博园,5.0,单人洗剪吹/护理套餐2选1,39,101901
欧莱雅私人定制美发连锁（周浦绿地乐和城店）,浦东新区,迪士尼,5.0,单人洗剪吹/护理套餐2选1,39,101901
欧莱雅私人定制美发连锁（上海周浦万达店）,浦东新区,迪士尼,5.0,单人洗剪吹/护理套餐2选1,39,101901
施华蔻美发连锁（上海俪轩店）,浦东新区,陆家嘴,5.0,单人施华蔻烫染套餐3选1,208,85549
施华蔻美发连锁（上海新金桥路店）,浦东新区,金桥,5.0,单人施华蔻烫染套餐3选1,208,85549
施华蔻美发连锁（上海周浦万达店）,浦东新区,迪士尼,5.0,单人施华蔻烫染套餐3选1,208,85549
施华蔻美发连锁（上海星发客店）,浦东新区,世博园,5.0,单人施华蔻烫染套餐3选1,208,85549
美宝莲美发直营连锁（上海新金桥路店）,浦东新区,金桥,5.0,高级欧莱雅套餐3选1,388,65451
格调日系造型沙龙（世纪大道店）,浦东新区,八佰伴,4.8,欧莱雅烫发染发直发护理单人套餐,159,58842
瑞豪潮牌沙龙（东门步行街店）,浦东新区,野生动物园外围,5.0,【时尚白领】玩转色彩／定制造型+首席设计师,188,55503
瑞豪潮牌沙龙（拱极路地铁口店）,浦东新区,野生动物园外围,5.0,【时尚白领】玩转色彩／定制造型+首席设计师,188,55503
迪美造型（周浦万达店）,浦东新区,迪士尼,5.0,【品质特惠】单人欧莱雅烫/染5选1+护理,128,27824
迪美造型（飞剪城西路店）,浦东新区,迪士尼,5.0,【品质特惠】单人欧莱雅烫/染5选1+护理,128,27824
迪美造型（南泉北路店）,浦东新区,浦东新区,4.6,【品质特惠】单人欧莱雅烫/染5选1+护理,128,27824
迪美造型（绣川路店）,浦东新区,迪士尼,5.0,【品质特惠】单人欧莱雅烫/染5选1+护理,128,27824
迪美造型（昌里路店店）,浦东新区,浦东新区,4.8,【品质特惠】单人欧莱雅烫/染5选1+护理,128,27824
摩登时尚（千丝shou造型）,浦东新区,迪士尼,5.0,摩登时尚威娜超值三选一套餐,198,27407
摩登时尚,浦东新区,迪士尼,4.1,摩登时尚威娜超值三选一套餐,198,27407
摩登时尚（唐镇虹星路店）,浦东新区,曹路,5.0,摩登时尚威娜超值三选一套餐,198,27407
启明星·时尚（川沙店）,浦东新区,迪士尼,5.0,美发套餐,128,24667
郡主国际（周浦万达店）,浦东新区,迪士尼,5.0,单人欧莱雅烫染套餐+专业护理,158,22309
绚诺soho造型（芳华路店）,浦东新区,北蔡,4.2,单人资深造型师洗剪吹套餐,29.8,21518
绚诺soho造型（城西路店）,浦东新区,迪士尼,5.0,单人资深造型师洗剪吹套餐,29.8,21518
绚诺soho造型（惠南地铁站店）,浦东新区,野生动物园外围,5.0,单人资深造型师洗剪吹套餐,29.8,21518
绚诺soho造型（绣川路店）,浦东新区,迪士尼,5.0,单人资深造型师洗剪吹套餐,29.8,21518
艺境造型（王港店）,浦东新区,迪士尼,5.0,单人施华蔻烫/染/直C套餐,208,20695
思密达（陆家嘴店）,浦东新区,陆家嘴,5.0,单人欧莱雅美奇丝烫/染+洗剪吹护理套餐,168,15907
沙宣烫染连锁（惠南禹州广场店）,浦东新区,野生动物园外围,5.0,单人欧莱雅美奇丝套餐,160,15027
蔓莎造型全国连锁（靖海时代店）,浦东新区,野生动物园外围,5.0,单人高级理发师单人洗剪吹,24.8,14380
蔓莎造型全国连锁（拱极路店）,浦东新区,野生动物园外围,5.0,单人高级理发师单人洗剪吹,24.8,14380
丽人淘造型（周浦万达广场店）,浦东新区,迪士尼,5.0,单人首席设计师洗剪吹,68,13359
丽人淘造型（打浦路店）,浦东新区,世博园,5.0,单人首席设计师洗剪吹,68,13359
丽人淘造型（陆家嘴店）,浦东新区,陆家嘴,3.5,单人首席设计师洗剪吹,68,13359
Beautiful space 发型定制（八佰伴店）,浦东新区,八佰伴,5.0,单人技术总监洗剪吹+日本玫丽盼spa烫发/染发2选1套餐,880,13307
伊时代护肤造型（三彩路店）,浦东新区,浦东新区,4.6,琉璃光泽烫染4选1单人套餐,498,10789
丝域养发馆（联洋广场店）,浦东新区,世纪公园,4.0,玫瑰香薰spa+水润头皮护理,88,10623
丝域养发馆（中融国际）,浦东新区,陆家嘴,4.9,玫瑰香薰spa+水润头皮护理,88,10623
丝域养发馆（张江广兰店）,浦东新区,张江,4.9,玫瑰香薰spa+水润头皮护理,88,10623
曼妮斯专业无痕接发潮牌（张杨路店）,浦东新区,陆家嘴,5.0,单人MATRIX美奇丝烫/染/拉直3选1套餐,198,10510
南瓜车造型（银亿滨江店）,浦东新区,世博园,4.6,资深精剪造型优享体验A,58,10015
南瓜车造型（打浦店）,浦东新区,世博园,5.0,资深精剪造型优享体验A,58,10015
南瓜车造型（八佰伴店）,浦东新区,陆家嘴,5.0,资深精剪造型优享体验A,58,10015
南瓜车造型（龙阳路店）,浦东新区,新国际博览中心,5.0,资深精剪造型优享体验A,58,10015
格调日系造型沙龙（潮牌店）,浦东新区,八佰伴,3.2,首席精剪洗剪吹,58,9578
蔓沙造型全国连锁（人民东路店）,浦东新区,野生动物园外围,5.0,单人蔓莎+白领美发套餐,148,9186
威娜私人订制烫染国际连锁（上海店）,浦东新区,迪士尼,5.0,单人VIP制订烫染套餐,498,9009
Mimu潮色馆（无痕接发浦东店）,浦东新区,浦东新区,4.7,新无痕接发加染色（全头到腰以上）单人套餐,999,8982
东瀛国际造型（陆家嘴店）,浦东新区,陆家嘴,5.0,单人资深设计师洗剪吹,98,7992
1号连锁美发专家（唐镇店）,浦东新区,曹路,4.2,乔薇尔（JOVIAL)单选,339,7499
芸熙美人（丝语造型店）,浦东新区,高行,4.9,隐形无痕接发2选1套餐可升级,19,7173
玛莎国际专业接发潮牌（绣川路总店）,浦东新区,迪士尼,4.7,单人全真无痕隐形接发（55cm）拆卸无残留,780,4812
玛莎国际专业接发潮牌（城西路店）,浦东新区,迪士尼,4.3,单人全真无痕隐形接发（55cm）拆卸无残留,780,4812
玛莎国际专业接发潮牌（八佰伴店）,浦东新区,八佰伴,5.0,单人全真无痕隐形接发（55cm）拆卸无残留,780,4812
绚诺soho造型（周浦万达店）,浦东新区,迪士尼,5.0,单人小资美发 染/烫/柔顺/直发/定位5选1+护理 套餐,148,3299
心悦日式造型,浦东新区,八佰伴,4.6,单人施华蔻烫染护理套餐,368,2938
心悦日式造型（心悦日式美发）,浦东新区,源深体育中心,5.0,单人施华蔻烫染护理套餐,368,2938
心悦形象&烫染工作室（五莲路2店）,浦东新区,金桥商业广场,3.6,单人施华蔻烫染护理套餐,368,2938
A1725发型工作室（曹路镇民耀路店）,浦东新区,曹路,5.0,单人欧莱雅美奇丝热烫/直发/染发三选一,169,2559
A1725发型工作室（秀川店）,浦东新区,迪士尼,5.0,单人欧莱雅美奇丝热烫/直发/染发三选一,169,2559
A1725发型工作室（康桥万达店）,浦东新区,迪士尼,5.0,单人欧莱雅美奇丝热烫/直发/染发三选一,169,2559
A1725发型工作室（人民东路店）,浦东新区,野生动物园外围,4.8,单人欧莱雅美奇丝热烫/直发/染发三选一,169,2559
永琪护肤造型（张杨店）,浦东新区,八佰伴,5.0,单人首席设计师水洗＋裁剪＋造型,68,2331
永琪护肤造型（益江店）,浦东新区,张江,4.8,单人首席设计师水洗＋裁剪＋造型,68,2331
