商家,区域,商圈,星级,服务,价格,销量
佑米造型（南园佳兆业店）,福田区,新城市广场,5.0,丽人狂欢节-单人洗剪吹1份,29.8,319722
佑米造型（华强北总店）,福田区,华强北,5.0,丽人狂欢节-单人洗剪吹1份,29.8,319722
佑米造型（福田总店）,福田区,新洲/石厦,5.0,丽人狂欢节-单人洗剪吹1份,29.8,319722
佑米造型（上梅林地铁站店）,福田区,梅林,5.0,丽人狂欢节-单人洗剪吹1份,29.8,319722
佑米造型（下沙地铁kkone店）,福田区,上沙/下沙,5.0,丽人狂欢节-单人洗剪吹1份,29.8,319722
佑米造型（下梅林地铁站店）,福田区,梅林,5.0,丽人狂欢节-单人洗剪吹1份,29.8,319722
佑米造型（南园佳兆店）,福田区,新城市广场,4.8,丽人狂欢节-欧莱雅烫/染二选一,228,319242
佑米造型（景田店）,福田区,景田,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,319242
佑米造型（新洲店）,福田区,新洲/石厦,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,319242
佛伦斯私人定制烫染国际连锁（下梅林梅景店）,福田区,梅林,5.0,单人首席洗剪吹套餐,39,309211
佛伦斯私人定制烫染国际连锁（景田店）,福田区,景田,5.0,单人首席洗剪吹套餐,39,309211
佛伦斯私人订制烫染国际连锁（上梅林卓悦汇店）,福田区,梅林,5.0,单人首席洗剪吹套餐,39,309211
佛伦斯私人订制烫染国际连锁（群星广场店）,福田区,华强北,5.0,单人首席洗剪吹套餐,39,309211
佛伦斯私人订制烫染国际连锁（岗厦店）,福田区,岗厦,5.0,单人首席洗剪吹套餐,39,309211
佛伦斯私人订制烫染国际连锁（福田石厦天虹店）,福田区,新洲/石厦,5.0,单人首席洗剪吹套餐,39,309211
瑞豪专业烫染连锁（福田华强北店）,福田区,华强北,4.2,【资深设计师】提案+精致裁剪+造型,28.8,110856
瑞豪专业烫染连锁（福田下梅林店）,福田区,梅林,5.0,【资深设计师】提案+精致裁剪+造型,28.8,110856
美联社（岗厦店）,福田区,岗厦,5.0,菲灵剪护造型送烫发染发二选一,178,105127
欧莱雅私人定制（深圳莲花北店）,福田区,市民中心,5.0,单人洗剪吹/护理套餐2选1,39,101902
施华蔻美发连锁（深圳潮牌梅林店）,福田区,梅林,5.0,单人施华蔻烫染套餐3选1,208,85550
丝域养发馆（新世界百货店）,福田区,梅林,3.8,玫瑰香薰spa+水润头皮护理,88,10623
丝域养发馆（卓悦汇店）,福田区,梅林,4.0,玫瑰香薰spa+水润头皮护理,88,10623
丝域养发馆（百花店）,福田区,华强北,4.0,玫瑰香薰spa+水润头皮护理,88,10623
米咔造型（下梅林地铁站店）,福田区,梅林,4.5,单人欧莱雅超人气金典烫染套餐3选1,198,9345
米咔造型（上沙地铁站店）,福田区,福田区,5.0,单人欧莱雅超人气金典烫染套餐3选1,198,9345
米咔造型（石厦店）,福田区,新洲/石厦,4.7,单人欧莱雅超人气金典烫染套餐3选1,198,9345
米咔接发造型（华强北总店）,福田区,华强北,5.0,单人欧莱雅超人气金典烫染套餐3选1,198,9345
奥奇美容美发连锁（金众店）,福田区,竹子林,4.9,单人时尚造型设计洗剪吹1次,39.9,5553
奥奇美容美发连锁（新洲店）,福田区,新洲/石厦,4.2,单人时尚造型设计洗剪吹1次,39.9,5553
千潮无痕接发福田总店（下沙地铁kkone店）,福田区,景田,4.9,单人施经典超人气烫染套餐私人订制,288,5352
玛莎国际专业接发潮牌（车公庙店）,福田区,车公庙,4.6,单人全真无痕隐形接发（55cm）拆卸无残留,780,4812
魔发之家烫染定制（车公庙分店）,福田区,车公庙,5.0,【资深设计师】精剪造型,68,4359
华美造形（皇岗店）,福田区,皇岗/水围,4.7,单人施华蔻烫染人气套餐,258,4249
华美造形（景田丝尚定制店）,福田区,景田,4.3,单人施华蔻烫染人气套餐,258,4249
巴黎妞妞私人定制发型工作室（大剧院店）,福田区,新城市广场,4.6,单人跨年烫染优惠套餐,10,3405
美学·星工坊（岗厦店）,福田区,岗厦,4.2,单人欧莱雅探索系列烫染套餐/欧莱雅探索系列烫染套餐2选1套餐,198,3059
