商家,区域,商圈,星级,服务,价格,销量
鸿喜族养生会所（姚家园店）,朝阳区,石佛营,5.0,养生足疗经络90分钟单人套餐,149,23477
鸿喜族养生会所（潘家园店）,朝阳区,潘家园,5.0,养生足疗经络90分钟单人套餐,149,23477
鸿喜族养生会所（春秀路店）,朝阳区,三里屯/工体,5.0,养生足疗经络90分钟单人套餐,149,23477
鸿喜族养生会所（行者店）,朝阳区,亚运村,5.0,养生足疗经络90分钟单人套餐,149,23477
鸿喜族养生会所（劲松店）,朝阳区,劲松,5.0,养生足疗经络90分钟单人套餐,149,23477
静逸堂功夫肩颈（翌芙莱国际店）,朝阳区,常营,3.0,单人功夫肩颈一次,88,16973
静逸堂功夫肩颈（天姿天鹅湾商务特区店）,朝阳区,朝阳大悦城,3.5,单人功夫肩颈一次,88,16973
静逸堂功夫肩颈（远洋公馆店）,朝阳区,霄云路,3.0,单人功夫肩颈一次,88,16973
静逸堂功夫肩颈（茗芳格建国路店）,朝阳区,大望路,4.0,单人功夫肩颈一次,88,16973
君兰坊（东直门店）,朝阳区,三里屯/工体,3.5,单人功夫肩颈一次,88,16973
朋朋修脚（管庄店）,朝阳区,双桥,4.4,单人足部护理套餐,33.9,15530
朋朋修脚（常青藤店）,朝阳区,东坝,3.5,单人足部护理套餐,33.9,15530
北派修脚（朝阳路店）,朝阳区,朝阳区,4.3,单人北派足部套餐,28,12506
北派修脚（红庙店）,朝阳区,朝阳区,4.2,单人北派足部套餐,28,12506
北派修脚（西大望路店）,朝阳区,朝阳区,4.4,单人北派足部套餐,28,12506
北派修脚（传媒大学店）,朝阳区,朝阳区,4.2,单人北派足部套餐,28,12506
北派修脚（松榆南路店）,朝阳区,潘家园,4.0,单人北派足部套餐,28,12506
大桶大足浴（朝阳店）,朝阳区,团结湖/朝阳公园,5.0,单人六经足道1次,98,11546
华夏良子（北京东直门店）,朝阳区,三里屯/工体,5.0,代金券,75,10993
华夏良子（北京广顺北大街店）,朝阳区,望京,5.0,代金券,75,10993
华夏良子（北京国贸店）,朝阳区,国贸/建外,5.0,代金券,75,10993
华夏良子（北京朝阳公园店）,朝阳区,朝阳公园,5.0,代金券,75,10993
华夏良子（北京工体店）,朝阳区,朝外大街/世贸天阶,5.0,代金券,75,10993
华夏良子（西大望路店）,朝阳区,朝阳区,5.0,代金券,75,10993
华夏良子（北京鸟巢店）,朝阳区,亚运村,5.0,代金券,75,10993
华夏良子（北京双井店）,朝阳区,双井,5.0,代金券,75,10993
华夏良子（北京三里屯店）,朝阳区,三里屯/工体,5.0,代金券,75,10993
