商家,区域,商圈,星级,服务,价格,销量
知足常乐·粤新沐足,越秀区,越秀区,4.9,知足常乐沐足休闲中心推拿/沐足套餐2选1,88,14619
足采堂,越秀区,中山六路,5.0,单人实力沐足1次,49,5755
健足养生馆,越秀区,北京路商业区,5.0,单人经典足疗,68,5447
风吕足道休闲中心,越秀区,北京路商业区,5.0,单人休闲沐足套餐,78,5144
华宴足道（中旅商业城店）,越秀区,北京路商业区,5.0,单人按摩沐足2选1,78,3601
聚脚点（光塔路店）,越秀区,中山六路,5.0,单人黄金时段套餐,80,3531
远洋宾馆沐足堂,越秀区,环市东路/区庄,4.9,单人实力足疗/中式推拿套餐,88,2489
健康人休闲会所（中山一路店）,越秀区,东风东/杨箕,4.2,沐足单人体验套餐,68,2258
富源休闲会所,越秀区,麓湖公园周边,4.9,单人皇式沐足套餐,98,1997
养元足道,越秀区,瑶台,5.0,单人沐足  免预约,59,1313
小朱沐足馆,越秀区,北京路商业区,5.0,单人老姜足疗1次,29.9,1203
启悦沐足,越秀区,北京路商业区,5.0,单人60分钟贵宾沐足套餐,69,1104
足满堂（广联店）,越秀区,东风东/杨箕,3.8,豪华周天通推油/泰式沐足二选一套餐,128,886
康派沐足中心,越秀区,东山口/农林下路,5.0,单人艾草草本沐足/中式推拿套餐,88,704
健足养生馆（锦源店）,越秀区,北京路商业区,5.0,单人经典足疗,68,672
小朱沐足馆（小朱推拿馆）,越秀区,北京路商业区,5.0,保健推拿1次(单人),48,666
为馆,越秀区,淘金,4.7,中式沐足套餐,58,586
足之轩,越秀区,沿江路沿线/二沙岛,5.0,单人经典足浴60分钟,78,585
越秀宾馆足疗按摩馆,越秀区,东风中路/越秀公园,4.0,单人普足浴,89,574
云水缘健康养生会馆,越秀区,建设六马路,5.0,单人经典足疗1次,68,346
中正堂  健康护脊馆,越秀区,中华广场,5.0,单人颈肩推拿护脊套餐,88,299
健一推拿,越秀区,越秀区,5.0,单人全身保健推拿+火罐/盒子艾灸,90,256
广怡大厦沐足堂,越秀区,建设六马路,4.8,单人实力足疗/推拿套餐,88,189
国一盲人按摩,越秀区,东风东/杨箕,5.0,拔火罐优惠单人价格,38,124
金足城休闲会所,越秀区,北京路商业区,3.5,单人全身精油推拿保养,127.99,108
范长伟灸草堂（天胜店）,越秀区,淘金,4.5,单人一级灸师加强型B套餐调养1次,218,106
雅悦沐足阁,越秀区,黄花岗,5.0,单人中式肩颈腰椎疗,19.9,102
经络养生馆,越秀区,淘金,5.0,单人背部刮痧1次或者火罐一次,38,97
爱夫人美容美体养生馆（水荫直街店）,越秀区,动物园南门,4.2,爱夫人美容美体养生馆,58,95
养真堂盲人按摩院,越秀区,越秀区,5.0,单人十四经络精油推拿1次,78,92
天润养生堂,越秀区,淘金,5.0,单人养生足疗套餐,85,82
宽窄采耳 · 采耳文化体验馆,越秀区,北京路商业区,5.0,“舒康”篇：宽窄采耳+耳穴伏豆,68,70
华彩脊柱康复中心,越秀区,东风中路/越秀公园,5.0,单人90分钟经络精油套餐,198,57
固生堂（东湖分院）,越秀区,越秀区,4.0,单人调理：推拿+艾灸/热敷包/拔罐/照灯（四选一）套餐,150,56
宋氏专业修脚,越秀区,中山六路,4.3,中式泡脚,19.9,53
骑士养生馆,越秀区,建设六马路,5.0,单人肩颈护理1次,58,48
古法足道,越秀区,沿江路沿线/二沙岛,4.0,单人古法推拿,108,42
盲人中医推拿,越秀区,中山二三路/东山口,4.3,单人中式推拿1小时＋拔罐／刮痧,60,38
源芝堂养生会所,越秀区,北京路商业区,4.4,单人排湿排寒套餐,98,22
常善道养生馆,越秀区,中山二三路/东山口,5.0,单人宫寒调理艾灸,58,21
伟泓养生连锁（越秀分店）,越秀区,淘金,3.5,单人全身经络疏通120分钟,398,17
伟泓养生连锁（五羊新城店）,越秀区,五羊新城,3.0,单人全身经络疏通120分钟,398,17
手功王养生会所（杨箕店）,越秀区,五羊新城,4.7,单人养生足疗套餐,118,14
华足泰沐足休闲中心,越秀区,海珠广场,5.0,单人高级草本/香薰沐足/推拿三选一,128,11
陈李济国医馆,越秀区,北京路商业区,3.5,单人面部拨筋套餐,68,5
永逸古法沐足推拿（恒福路店）,越秀区,麓湖公园周边,3.0,单人沐足,58,5
铃静木清芯堂经络调理艾灸馆,越秀区,东风东/杨箕,4.6,单人肩颈或背部经络调理,168,6
标榜养生馆,越秀区,五羊新城,3.5,单人颈椎调理套餐/腰椎调理套餐1次,98,4
东新massage,越秀区,五羊新城,4.0,单人香薰精油开背套餐,100,2
美好时光中式推拿按摩工作室,越秀区,环市东路/区庄,4.0,单人中式推拿调理60分钟,98,2
活络堂中医养生调理中心,越秀区,五羊新城,4.0,单人体验调理推拿,48,1
日得美容,越秀区,东风中路/越秀公园,5.0,单人草本泥灸,68,1
固生堂（淘金分院）,越秀区,麓湖公园周边,4.0,单人女性调理套餐,120,0
神艾坊,越秀区,东风东/杨箕,3.0,单人三焦雷火灸,268,0
康馨专业推拿,越秀区,五羊新城,3.7,单人推拿+艾盐包,58,0
固生堂中医（东山分院）,越秀区,东风东/杨箕,3.5,单人推拿调理套餐,150,0
丽柏国际酒店柏悦棋牌足浴会所,天河区,岗顶/龙口,5.0,单人养生足浴套餐,99,1382
手功王养生会所（体育西路店）,天河区,天河城/体育西,5.0,单人手功王沐足（60分钟）,78,1303
聚贤城沐足休闲中心,天河区,车陂,3.7,花式推拿,108,1267
中国风·亚健康调理中心总店,天河区,天河公园/上社,4.9,单人肩颈调理1次,99,1240
圣贤堂沐足（诚安店）,天河区,梅花园/天平架,5.0,单人古法足疗1次,68,1235
润满多沐足养生会所（黄村brt站店）,天河区,东圃,4.9,单人经典沐足,60.99,1210
源缘棋牌沐足休闲中心,天河区,石牌/百脑汇,4.9,单人推拿套餐,69,1186
一品足道,天河区,车陂,4.2,单人原品沐足套餐,79.99,1185
汤泉良子（非凡足迹）,天河区,珠江新城,5.0,单人非凡足道套餐,158,1176
粤榕汇高端spa会所（正佳店）,天河区,正佳广场,5.0,单人驱寒排湿体验套餐,88.8,1142
芙蓉盲人推拿,天河区,正佳广场,3.5,单人全身推拿1次,63.99,1100
芙蓉盲人推拿,天河区,正佳广场,5.0,单人全身推拿1次,63.99,1100
扶元堂（中山大道西店）,天河区,华景新城,5.0,男性单人调理套餐,199,1091
扶元堂（天河北路店）,天河区,体育中心,4.6,男性单人调理套餐,199,1091
千里行休闲中心,天河区,天河城/体育西,5.0,单人沐足推拿,68,1060
金典美容足疗,天河区,小新塘,4.7,拔火罐和刮痧2选1,18,1057
汇贤城沐足休闲中心,天河区,棠下,4.7,单人休闲沐足,58,1050
银池休闲中心,天河区,天河公园/上社,3.8,单人香薰沐足套餐,68,1034
盛友汇足艺,天河区,岗顶/龙口,4.7,单人保健养生沐足/推拿2选1,78,956
廣缘堂国术养生馆,天河区,岗顶/龙口,5.0,单人拔火罐一次,19.9,916
第一健康理疗中心,天河区,天河北/广州东站,5.0,推拿颈肩调理单人套餐,168,909
中式经络推拿馆康汇堂（东圃店）,天河区,东圃,5.0,单人经络推拿拔罐［40分钟］,58,895
嘉福利晶酒店,天河区,天河客运站,3.5,24小时净桑套餐,100,875
尚御天使休闲中心,天河区,棠下,4.6,单人古法沐足,69,772
鸿燕堂,天河区,天河城/体育西,5.0,单人若石足疗1次,89,741
手功王养生会所（天河南旗舰店）,天河区,正佳广场,5.0,单人沐足套餐,98,658
广缘堂中医养生会所（正佳广场）,天河区,正佳广场,5.0,全身推拿按摩/足疗60分钟,78,647
盈泰健康休闲会所,天河区,岗顶/龙口,5.0,单人沐足套餐,88,636
康丽百年美容美体盐蒸,天河区,东圃,5.0,单人背部拨火罐,26,572
轩轩沐足休闲会所（凌塘村店）,天河区,岑村/火炉山,5.0,单人休闲沐足,59,557
康怡沐足棋牌休闲会所,天河区,天河北/广州东站,3.8,单人沐足套餐,78,531
骏景社区中式推拿康复理疗室（骏景花园店）,天河区,棠下,4.5,单人拔火罐套餐,9.8,526
培元堂理疗馆,天河区,棠下,5.0,单人培元堂全身推拿套餐,68,525
御都spa休闲会所,天河区,体育中心,5.0,单人净桑套餐1次,218,506
康泰理疗馆,天河区,东圃,3.7,单人专业火罐,25,486
天元健康服务站,天河区,天河公园/上社,5.0,单人火罐、调理、艾绒灸三选一,29.9,431
百家康养生馆（龙口西店）,天河区,岗顶/龙口,5.0,单人拔罐/艾灸二选一,25.8,398
福馨阁沐足休闲会所,天河区,岑村/火炉山,4.4,单人老姜沐足1次,90,390
强手推拿养生馆（太古汇店）,天河区,体育中心,5.0,单人中式推拿+拔罐/刮痧60分钟,98,339
资元堂,天河区,天河北/广州东站,4.1,夏季养生推拿单人套餐,98,321
碧澄养生馆,天河区,天河客运站,5.0,单人推油+拔罐+刮痧1次,60,298
顺时中医养生（颈.肩.腰专门店）,天河区,天河城/体育西,5.0,全身推拿特惠套餐90分钟,139,277
惜康中式养生,天河区,正佳广场,5.0,单人拔罐,38,268
嘉韵足道养生会馆,天河区,五山,5.0,单人嘉韵足疗1次,168,266
唐氏生活荟,天河区,燕岭,5.0,秋天泡脚 肺润肠濡，熏蒸足疗，新鲜体验,19.9,248
凤凰国际酒店沐足棋牌（珠吉路店）,天河区,东圃,3.6,单人贵妃油压养生套餐,158.99,248
Thai SPA·蓮 泰式按摩（天河店）,天河区,天河北/广州东站,5.0,单人招牌四季SPA,328,243
