商家,区域,商圈,星级,服务,价格,销量
世龙世家手足健康护理连锁（浦东新区崂山路店）,浦东新区,陆家嘴,4.0,泡脚足浴+修脚护理单人套餐,9.9,26732
世龙世家灰指甲手足健康连锁,浦东新区,浦东新区,4.0,泡脚足浴+修脚护理单人套餐,9.9,26732
康轩会馆（八佰伴店）,浦东新区,陆家嘴,4.2,单人全身精油按摩足疗套餐,169,11901
大桶大足浴（惠南店）,浦东新区,野生动物园外围,5.0,单人六经足道1次,98,11546
大桶大足浴（金高路店）,浦东新区,金桥,5.0,单人六经足道1次,98,11546
华夏良子（上海东方路店）,浦东新区,陆家嘴,5.0,代金券,75,10993
重庆君悦富侨（潍坊店）,浦东新区,陆家嘴,5.0,单人90分钟泰式足浴+中式按摩套餐,148,10507
重庆富侨足浴养生殿,浦东新区,陆家嘴,5.0,单人90分钟泰式足浴+中式按摩套餐,148,10507
大桶大足浴（灵岩南路店）,浦东新区,世博园,5.0,单人六经足道1次,108,9953
大桶大足浴（成山店）,浦东新区,世博园,4.9,单人六经足道1次,108,9953
大桶大足浴（三林店）,浦东新区,世博园,5.0,单人六经足道1次,108,9953
大桶大足浴（巨峰路店）,浦东新区,金桥,5.0,单人六经足道1次,108,9953
天泽足道（栖山路店）,浦东新区,源深体育中心,4.9,单人声波水疗spa,208,9820
大桶大足浴（上南路店）,浦东新区,世博园,5.0,单人六经扶元,138,9649
大桶大足浴（外高桥店）,浦东新区,外高桥,5.0,单人六经扶元,138,9649
大桶大足浴（拱极路店）,浦东新区,野生动物园外围,5.0,单人六经扶元,138,9649
大桶大足浴（康桥店）,浦东新区,迪士尼,5.0,单人六经扶元,138,9649
御梧桐会馆（中科路店）,浦东新区,张江,5.0,“经典篇”精油足道＋背部经络spa100分钟,159,7852
御梧桐会馆（浦东大道）,浦东新区,金桥,5.0,“经典篇”精油足道＋背部经络spa100分钟,159,7852
重庆家富富侨（成山路店）,浦东新区,世博园,5.0,单人泰式足浴+中式推拿套餐90分钟,128,7446
重庆家富富侨（三林店）,浦东新区,浦东新区,5.0,单人泰式足浴+中式推拿套餐90分钟,128,7446
玛尔大夫（拉菲国际美容会所）,浦东新区,迪士尼,5.0,美容护肤/经络养生/纤体（三选一）,98,6293
玛尔大夫（克丽缇娜世纪公园店）,浦东新区,世纪公园,4.6,美容护肤/经络养生/纤体（三选一）,98,6293
玛尔大夫（兰诗庭店）,浦东新区,源深体育中心,5.0,美容护肤/经络养生/纤体（三选一）,98,6293
玛尔大夫（晶莹锦绣东路店）,浦东新区,金桥,3.5,美容护肤/经络养生/纤体（三选一）,98,6293
玛尔大夫（妍芝源万邦都市花园店）,浦东新区,浦东新区,4.5,美容护肤/经络养生/纤体（三选一）,98,6293
玛尔大夫（纤美养生养颜店）,浦东新区,世博园,3.5,美容护肤/经络养生/纤体（三选一）,98,6293
玛尔大夫（超超名媛会所）,浦东新区,世纪公园,4.5,美容护肤/经络养生/纤体（三选一）,98,6293
玛尔大夫养生养颜（香蔓东建路店）,浦东新区,陆家嘴,4.0,美容护肤/经络养生/纤体（三选一）,98,6293
