商家,区域,商圈,星级,服务,价格,销量
世龙世家手足健康护理连锁（福田区福民路店）,福田区,新洲/石厦,3.0,泡脚足浴+修脚护理单人套餐,9.9,26732
高科德美食水疗俱乐部,福田区,新洲/石厦,4.8,单人穴位推拿双钟+大堂1项按摩套餐,159,16687
任医生（任医生中医馆）,福田区,车公庙,5.0,单人推拿套餐,188,10516
古功夫肩颈（香妃子店）,福田区,梅林,5.0,单人古功夫肩颈90分钟套餐,111,6367
古功夫肩颈（木子婷店）,福田区,新洲/石厦,5.0,单人古功夫肩颈90分钟套餐,111,6367
古功夫肩颈（香水女人店）,福田区,景田,4.0,单人古功夫肩颈90分钟套餐,111,6367
古功夫肩颈（思妍经络店）,福田区,梅林,4.7,单人古功夫肩颈90分钟套餐,111,6367
古功夫肩颈（御锦公馆店）,福田区,梅林,5.0,单人古功夫肩颈90分钟套餐,111,6367
古功夫肩颈（荷花经典店）,福田区,竹子林,4.0,单人古功夫肩颈90分钟套餐,111,6367
古功夫肩颈（雪姬美素店）,福田区,景田,4.0,单人古功夫肩颈90分钟套餐,111,6367
古功夫肩颈（花枝秀店）,福田区,岗厦,4.9,单人古功夫肩颈90分钟套餐,111,6367
古功夫肩颈（兰贵人店）,福田区,新城市广场,5.0,单人古功夫肩颈90分钟套餐,111,6367
古功夫肩颈（年轻贵族店）,福田区,新城市广场,5.0,单人古功夫肩颈90分钟套餐,111,6367
古功夫肩颈（天佳丽美容店）,福田区,华强北,5.0,单人古功夫肩颈90分钟套餐,111,6367
古功夫肩颈（鼎美店）,福田区,梅林,5.0,单人古功夫肩颈90分钟套餐,111,6367
古功夫肩颈（碧斯店）,福田区,华强北,3.5,单人古功夫肩颈90分钟套餐,111,6367
古功夫肩颈（彩虹大厦店）,福田区,岗厦,4.7,单人古功夫肩颈90分钟套餐,111,6367
古功夫肩颈（曼妙美肤馆店）,福田区,景田,4.9,单人古功夫肩颈90分钟套餐,111,6367
古功夫肩颈（福田莲花路店）,福田区,市民中心,3.5,单人古功夫肩颈90分钟套餐,111,6367
古功夫肩颈（福田新洲店）,福田区,新洲/石厦,4.6,单人古功夫肩颈90分钟套餐,111,6367
古功夫肩颈（百草康店）,福田区,新城市广场,5.0,单人古功夫肩颈90分钟套餐,111,6367
古功夫肩颈（唯美时光店）,福田区,八卦岭/园岭,5.0,单人古功夫肩颈90分钟套餐,111,6367
古功夫肩颈（淑妍丽店）,福田区,华强南,5.0,单人古功夫肩颈90分钟套餐,111,6367
古功夫肩颈（金佰丽）,福田区,上沙/下沙,4.9,单人古功夫肩颈90分钟套餐,111,6367
古功夫肩颈（天健花园店）,福田区,景田,4.9,单人古功夫肩颈90分钟套餐,111,6367
古功夫肩颈（合美荟店）,福田区,竹子林,4.6,单人古功夫肩颈90分钟套餐,111,6367
古功夫肩颈（克丽缇娜店）,福田区,皇岗/水围,4.0,单人古功夫肩颈90分钟套餐,111,6367
古功夫肩颈（伊丽斯店）,福田区,CBD中心区,4.6,单人古功夫肩颈90分钟套餐,111,6367
古功夫肩颈（会展中心店）,福田区,CBD中心区,4.6,单人古功夫肩颈90分钟套餐,111,6367
古功夫肩颈（皇岗店）,福田区,皇岗/水围,4.8,单人古功夫肩颈90分钟套餐,111,6367
汉宫养生坊（新洲店）,福田区,新洲/石厦,5.0,单人汉宫传统足疗1次,88,3522
新紫霞养生会所（八卦岭店）,福田区,八卦岭/园岭,5.0,超值养生足浴单人套餐,89,3460
新紫霞养生会所（中航店）,福田区,华强北,5.0,超值养生足浴单人套餐,89,3460
汉宫养生坊（梅林店）,福田区,梅林,5.0,单人汉宫足疗1次,88,2006
静舍足道养生馆,福田区,CBD中心区,5.0,单人午休静舍汉方养足或者单人通络舒缓套餐,120,1741
御和堂养生馆,福田区,华强北,5.0,单人全身推拿+火罐/刮痧/姜膜,158,1631
名门养生坊,福田区,梅林,5.0,单人名门足疗套餐,89,1562
位元堂中医馆（景田店）,福田区,景田,5.0,单人中式拔罐,38,1412
修善肩颈（新洲分店）,福田区,新洲/石厦,4.6,单人修善肩颈60分钟套餐,96,1298
祥悦阁男士养生SPA按摩中心（星河国际店）,福田区,福田区,5.0,【招牌项目】专享护体套餐,268,1214
强身盲人推拿连锁（盲兴盲人按摩）,福田区,皇岗/水围,4.7,单人专业推拿调理（120分钟）,188,1121
强身盲人推拿连锁（下梅林二店）,福田区,梅林,4.7,单人专业推拿调理（120分钟）,188,1121
强身盲人推拿连锁（莲花北店）,福田区,市民中心,4.5,单人专业推拿调理（120分钟）,188,1121
强身盲人推拿连锁（梅林一店）,福田区,梅林,3.5,单人专业推拿调理（120分钟）,188,1121
圣心殿中医理疗保健按摩中心,福田区,岗厦,4.8,圣心殿 经络穴位推拿单人套餐,98,794
相约茱丽美容SPA会所（福田岗厦店）,福田区,岗厦,5.0,单人芳香全身十二经络疏通套餐,98,732
东生堂中医推拿理疗馆（下沙店）,福田区,上沙/下沙,4.8,单人拔火罐/刮痧 2选1 套餐,9.9,589
德仕堡健康运动中心,福田区,香蜜湖,5.0,单人A款超值水疗大堂项目（包含技师服务费）,259,553
通透堂中医馆,福田区,竹子林,5.0,《颈椎或腰椎精准痛点推拿套餐》 （特惠体验价）,88,526
金怡雅源健康水会,福田区,皇岗/水围,4.2,单人养生套餐,118,497
乐魔方·私家足疗推拿音乐养生馆（财富广场店）,福田区,车公庙,5.0,【足疗+颈肩按摩】60分钟单人套餐,108,493
神掌通推拿理疗馆,福田区,新洲/石厦,5.0,单人循穴拔罐/刮痧2选1套餐,9.9,446
辰天五行养生馆,福田区,市民中心,5.0,单人（超优惠体验) 拔罐/刮痧/艾灸3选1套餐,19.9,413
舒松堂推拿,福田区,新洲/石厦,4.9,单人经络推拿,80,403
泰适足浴美容Spa,福田区,CBD中心区,5.0,单人中式调理+泰国进口热敷袋/泰适足疗+经络疏通 2选1,288,386
