商家,区域,商圈,星级,服务,价格,销量
新K（东方广场店）,禅城区,东方广场,4.6,周一至周日单人11:30~19:30欢唱4小时+自助餐,35,33456
金矿KTV（佛山店）,禅城区,文华里,5.0,单人3小时欢唱套餐+小食套餐,21.8,25107
活力无限（人民西路店）,禅城区,祖庙,4.5,下午档特惠欢唱+单人美食套餐,23,20885
醉心频道ktv（恒福店）,禅城区,恒福GO GO PARK,5.0,周一至周日11:00-19:00欢唱1小时,19,10006
好乐迪KTV（张槎店）,禅城区,张槎,4.6,（张槎店）单人主食欢唱4小时套餐2015.11.25,33,4444
帕丽斯KTV,禅城区,碧桂园,5.0,周一至周日20:00~02:00欢唱6小时酒水套餐,406,1714
好乐迪KTV（同济店）,禅城区,同济,5.0,周一至周日11:00-20:00任选4小时单人欢唱+精美套餐,35,906
全城热点ktv,禅城区,张槎,5.0,白天单人4小时欢唱套餐,29,703
爵士派对主题KTV（爵士PTV）,禅城区,季华六路/湖景路,4.2,周一至周日20:00-次日02:00欢唱6小时+酒水套餐,148,672
好乐迪KTV（文华店）,禅城区,禅城区,4.4,周一至周日下午场/午夜场欢唱套餐,18,639
好歌手KTV（禅城店）,禅城区,澜石,4.7,11:30~02:00周一至周日欢唱5小时+酒水套餐,298,523
K-PARTY（创意产业园时尚店）,禅城区,创意产业园,5.0,周一至周五13:30~17:30任选3小时单人欢唱+自助餐,34,541
活力无限（岭南明珠旗舰店）,禅城区,岭南明珠,5.0,周一至周日晚间/夜猫档欢唱3小时欢唱+酒水套餐,198,329
银濠KTV,禅城区,季华六路/湖景路,5.0,周一至周日19:30~02:00超值欢唱5小时酒水套餐,158,190
维也纳KTV,禅城区,同济,4.2,周一至周日20:00~次日2:00欢唱6小时+一打哈啤套餐,168,132
加州红量贩式KTV（卫国路店）,禅城区,同济,4.7,黄金场6小时欢唱＋酒水套餐,178,81
旋宫KTV,禅城区,东方广场,3.4,周一至周日19:00-次日02:00欢唱7小时酒水套餐,288,74
金夜潮音乐时尚KTV,禅城区,张槎,5.0,周一至周日欢唱6小时+酒水套餐,249,72
银座量贩式KTV,南海区,嘉洲广场,5.0,周一至周日单人4小时欢唱+饮料套餐,16,21963
银座K-Patry量贩KTV,南海区,嘉洲广场,4.7,周一至周日单人4小时欢唱+饮料套餐,16,21963
Party Go量贩KTV（派对派KTV）,南海区,狮山,5.0,白天档欢唱6小时,9.9,9221
名歌KTV（里水信和店）,南海区,里水,5.0,下午场单人欢唱5小时+饮料套餐,19.9,8575
久歌量贩KTV,南海区,狮山,5.0,周六周日下午档任选3小时欢唱+酒水套餐,18,6617
纯K量贩KTV,南海区,官窑,5.0,周一至周日12:00-19:00欢唱3小时酒水套餐,39,5249
欢唱KTV（怡丰城店）,南海区,怡丰城,5.0,下午场3小时欢唱套餐,15,5012
名歌KTV（松岗店）,南海区,松岗,5.0,单人13:00~18:00欢唱3小时,9,4367
钱柜KTV（民润生活广场店）,南海区,鸿大广场,4.7,周日至周五19:00-02:00欢唱7小时1打酒套餐,168,3769
活力无限（保利水城店）,南海区,千灯湖/保利水城,5.0,周一至周日11:00~19:00单人欢唱3小时+美食套餐,28,3727
新阳光大酒店NEW歌KTV,南海区,广佛智城,4.6,新阳光NEW歌KTV欢唱套餐,193,3349
伊歌Party KTV（伊歌KTV）,南海区,里水,5.0,欢唱3小时单人券+饮料套餐,9.9,3281
皇钻KTV(鸿大广场店),南海区,鸿大广场,5.0,周一至周日20:00-24:00包段4小时欢唱套餐,228,3063
谷歌ktv,南海区,沙头,5.0,周一至周日欢唱6小时+酒水套餐 小房可用,168,2756
好歌手KTV（桂谰店）,南海区,南海万科广场,4.9,周一至周日11:30~20:00单人欢唱4小时+消费券,27.8,2486
想唱就唱量贩式KTV（黄岐店）,南海区,嘉洲广场,4.9,单人下午档欢唱,9,2217
歌汇KTV,南海区,南海广场,4.2,白天场单人欢唱3小时,9,1606
非凡绽放KTV,南海区,南海区,5.0,周一至周日19:30-02:00欢唱5小时+酒水套餐,458,1533
好乐迪KTV（平洲店）,南海区,平洲,4.7,2打啤酒豪饮套餐,348,1473
欢唱量贩KTV（狮山小塘店）,南海区,狮山,4.9,白天场欢唱5小时+美食套餐,40,1426
银柜量贩ktv（罗村长盈广场店）,南海区,罗村,5.0,晚间档欢唱7小时+酒水套餐,268,131
银柜量贩KTV（丹灶横江店）,南海区,丹灶,4.9,黄金档欢唱4小时+饮料套餐,68,102
畅响量贩KTV（松岗店）,南海区,松岗,5.0,小房夜场欢唱6小时+酒水套餐,238,91
喜悦酒店双马皇冠堡俱乐部,南海区,鹏瑞利季华广场,3.9,贵宾房、大房酒水套餐+周一至周日欢唱6小时,298,84
时代歌会KTV,南海区,狮山,4.5,小房欢唱7小时+6罐啤酒套餐,139,77
豪庭汇氧吧主题ktv,南海区,平洲,4.7,周一至周日19:00~2:00欢唱3小时+饮料套餐,128,68
锦绣明珠ktv,南海区,丹灶,5.0,周一至周日欢唱6小时+酒水套餐,298,66
丹歌盛舞KTV,南海区,丹灶,4.3,欢唱8小时+酒水美食套餐,88,59
名歌ktv（官窑店）,南海区,官窑,4.4,周日至周五欢唱6小时+酒水套餐,208,54
月半弯量贩式KTV,南海区,丹灶,3.9,大房欢唱8小时+酒水套餐,468,52
银柜量贩KTV（平洲店）,南海区,平洲,4.9,银柜KTV平洲店欢唱4小时+美食套餐,68,41
星河汇量贩式ktv,南海区,里水,3.7,周一至周日欢唱7小时+酒水套餐,368,31
麦霸KTV（里水店）,南海区,里水,4.7,麦霸KTV白天场13:00-18:00欢唱6小时,98,4
太空城ktv,顺德区,容桂,4.5,周一至周日13:00~18:00欢唱5小时+饮料套餐,38,1260
星天地量贩式KTV（容桂店）,顺德区,容桂,4.9,周一至周日12:00-19:00欢唱7小时+酒水套餐,46,1211
唛乐量贩式KTV,顺德区,容桂,4.9,周一至周日12:00-18:00欢唱6小时+酒水套餐,29,1006
欢唱量贩式ktv（北滘店）,顺德区,北滘,4.7,周一至周日12:00至18:00欢唱6小时+饮料套餐,68,941
