商家,区域,商圈,星级,服务,价格,销量
in象汇量贩式ktv,江宁区,江宁大学城,5.0,多时段开业欢乐唱响券1份,9.9,166306
富华自助式卡拉OK（景祥佳园店）,江宁区,东山镇,5.0,任意时段欢唱券,16.9,93656
富华自助式卡拉OK（胜太店）,江宁区,东山镇,4.6,任意时段欢唱券,16.9,93656
富华自助式卡拉OK（金箔路店）,江宁区,东山镇,4.7,任意时段欢唱券,16.9,93656
神话量贩式KTV,江宁区,东山镇,5.0,神话量贩式KTV欢唱券,29.8,23097
舞所味量贩KTV,江宁区,铜山镇,4.9,ktv欢唱套餐,11.9,16675
梦之声主题KTV,江宁区,东山镇,5.0,梦之声KTV欢唱4小时/6小时,39.9,11708
麦迪KTV,江宁区,开发区,5.0,欢唱时段3选1,23,5550
皮卡丘主题KTV,江宁区,东山镇,4.9,周一至周日欢唱7小时,19.8,4468
翠屏娱乐城,江宁区,托乐嘉,4.9,翠屏娱乐城欢唱券一张,19.6,981
星聚会KTV（景枫店）,江宁区,江宁金鹰/1912,5.0,学生专属周一－周五下午场欢唱套餐,68,709
台北乐趴KTV（江宁店）,江宁区,江宁金鹰/1912,5.0,欢唱券套餐,22,517
欧巴主题音乐KTV,江宁区,胜太路沿线,5.0,阳光场/夜猫场欢唱券,29.9,492
欢乐时光ktv,江宁区,江宁区,5.0,欢唱时段3选1,16,292
米乐星世界KTV（江宁瑞都店）,江宁区,瑞都购物广场,5.0,江宁店平日学生专属欢唱券,78,174
翠屏百乐汇,江宁区,托乐嘉,4.7,阳光档欢唱券,59.9,110
艳后ktv,江宁区,江宁区,3.5,下午场连续欢唱5小时,39,92
纯K好声音,江宁区,开发区,3.8,好声音KTV下午场,68,23
晶鑫汇量贩式ktv,江宁区,江宁区,4.4,周一至周日全天档酒水小吃3小时欢唱套餐（小包）,118,18
三原色录音棚,江宁区,江宁区,4.0,单人出版级录音套餐,199,4
温莎KTV量贩（山西路店）,鼓楼区,山西路/湖南路,5.0,欢乐时光欢唱套餐,46,35656
优歌美地（龙江店）,鼓楼区,新城市广场,4.8,下午档4小时／黄金档7小时／午夜档6小时欢唱券,19,16819
光阳·凯旋门量贩式ktv,鼓楼区,山西路/湖南路,5.0,单人体验套餐,29,8808
凯迪飚歌城,鼓楼区,环宇城,5.0,下午档／黄金档欢唱任选＋酒水小吃套餐,19.9,4660
麦地带KTV（中央门店）,鼓楼区,鼓楼区,5.0,欢唱套餐,11.6,4446
南京纯K,鼓楼区,大桥南路,5.0,南京纯K全天档欢唱券,16.8,3125
唯爱主题KTV（龙江店）,鼓楼区,草场门/龙江,5.0,下午档7小时欢唱券,9.9,751
台北唛田量贩式KTV,鼓楼区,大观/阅江楼,5.0,台北唛田量贩式KTV晚场欢唱券,88,700
台北纯K（南京店）,鼓楼区,鼓楼区,5.0,欢唱酒水A/B套餐,158,509
麦地带KTV（汉中门店）,鼓楼区,环宇城,5.0,周一至周日黄金档3小时欢唱券＋美食套餐,226,488
V-MAX量贩式KTV（云南北路店）,鼓楼区,山西路/湖南路,5.0,欢唱券1张,9.9,214
米乐星世界KTV（云南北路店）,鼓楼区,山西路/湖南路,5.0,云南北路店平日学生专属欢唱券,78,170
唯爱k歌聚会餐厅（龙江店）,鼓楼区,草场门/龙江,5.0,火锅2选1，包间免费,498,100
金灿量贩式KTV,鼓楼区,金陵小区,4.3,小包下午欢唱券,39,17
温莎KTV量贩（珠江路店）,玄武区,总统府/1912商圈,5.0,欢乐时光欢唱套餐,46,35656
阿波罗主题KTV,玄武区,火车站/玄武湖,5.0,欢唱券1张,16,14539
棒棒堂娱乐中心,玄武区,总统府/1912商圈,4.9,下午档／午夜档欢唱＋酒水小吃套餐,8.8,4752
崇文门k9量贩式KTV,玄武区,孝陵卫/森林摩尔,5.0,欢唱时段三选一欢唱券,12.9,4121
陀飞轮KTV（荔枝广场店）,玄武区,丹凤街,5.0,陀飞轮KTV欢唱券一张,40,1638
星聚会KTV（常发店）,玄武区,红山路,5.0,周一至周五11:30-18:00欢唱6小时,68,568
米乐星世界KTV（太平北路店）,玄武区,总统府/1912商圈,5.0,1912店平日学生专属欢唱券,78,106
InTO录音棚,玄武区,曼度嘉年华/长江路,5.0,出版级专业录音,169,14
音秀量贩ktv,建邺区,建邺万达,5.0,音秀量贩ktv欢唱券一张,19.9,5854
音浪时代量贩KTV（天迈广场油坊桥店）,建邺区,油坊桥/天迈广场,4.8,欢唱券,18.8,1945
金桂KTV,建邺区,莫愁湖/水西门,4.6,黄金档中包欢唱8小时,159,47
乐潮汇时尚量贩式KTV（乐潮汇）,建邺区,中央商场/嘉业国际,5.0,周一－周五小包下午场欢唱,68,45
欢乐迪量贩式KTV,秦淮区,夫子庙/水游城,5.0,欢唱券1张,17.8,37509
时代量贩KTV,秦淮区,常府街/长白街,4.9,全天时段4选1欢唱,19.9,32509
大名乐府量贩式ktv,秦淮区,秦虹/大明路,4.9,时段3选1欢唱券,10,11530
台北乐趴KTV（光华路店）,秦淮区,苜蓿园,5.0,欢唱券套餐,16.8,5430
台北乐趴KTV（新街口店）,秦淮区,新街口地区,5.0,欢唱券套餐,16.8,5430
乐豪KTV,秦淮区,新街口地区,4.9,欢唱券,15.8,894
麦乐迪（新街口店）,秦淮区,新街口地区,5.0,全天档欢唱套餐,10,232
K聚时尚KTV,秦淮区,新街口地区,5.0,19:00-次日06:00欢唱任6小时＋豪华酒水套餐,398,128
金源棋牌娱乐中心,秦淮区,新街口地区,5.0,【白天特惠价】小包间,48,21
优力锋KTV（迈皋桥店）,栖霞区,栖霞区,4.7,周一至周日多时段欢唱,16.8,16692
佳笛乐量贩式Ktv（晓庄广场店）,栖霞区,晓庄广场,5.0,欢唱券,18.8,10225
台北乐趴KTV（马群店）,栖霞区,马群街道,5.0,欢唱券套餐,16.8,5430
艾沃诗主题KTV,栖霞区,亚东商业广场,5.0,下午场欢唱券,10,5142
唯爱K歌聚会餐厅,栖霞区,东城汇,5.0,4人套餐（含火锅套餐及送小包欢唱3小时）1份,228,1369
唯爱主题ktv（东城汇店）,栖霞区,东城汇,5.0,下午档整包欢唱券,9.9,724
俏佳人自助式ktv,栖霞区,万兴路,3.0,俏佳人黄金档3小时欢唱套餐,15.8,31
秀咔KTV,栖霞区,大成名店,4.9,周一至周四欢唱酒水小吃套餐,288,11
优力锋KTV（大厂店）,六合区,六合区,4.9,欢唱5.5小时＋补嘴空套餐,8.8,3577
