商家,区域,商圈,星级,服务,价格,销量
歌迷时代量贩KTV（埌西店）,青秀区,琅西,5.0,周一至周日欢唱时段2选1,59,22908
歌迷时代量贩KTV（金湖店）,青秀区,金湖,5.0,周一至周日欢唱时段2选1,59,22908
歌迷时代量贩KTV（星湖店）,青秀区,星湖路,4.9,周一至周日欢唱时段2选1,59,22908
奥斯汀KTV（金湖店）,青秀区,金湖,5.0,周一至周五12:00-18:30欢唱3小时 小/中房适用,36,17699
佰迪乐KTV（南宁东葛店）,青秀区,青秀区,5.0,周六至周日白天档欢唱4小时套餐,48,17615
佰迪乐KTV（南宁七星店）,青秀区,七星新民,5.0,周六至周日白天档欢唱4小时套餐,48,17615
佰迪乐KTV（南宁银宇店）,青秀区,东葛古城,5.0,周六至周日白天档欢唱4小时套餐,48,17615
百分百欢唱ktv（欢唱金湖店）,青秀区,金湖,5.0,白天欢唱7小时+茶水套餐,39,8167
巴洛克音乐派对,青秀区,长湖路,5.0,周日至周四23:00-4:00欢唱5小时+2打酒+果盘,198,3381
沃美主题式KTV,青秀区,青秀万达,5.0,周一至周日下午场/午夜场5小时欢唱,48,3174
欧迪娱乐世界（南宁东葛店）,青秀区,东葛望园,5.0,周一至周日20:00-4:00欢唱8小时+酒水（大厅适用）,398,2819
好声音厢竹大道1号店,青秀区,长湖路,5.0,周一至周日欢唱时段2选1,89,2427
好声音商务量贩ktv（旗舰店）,青秀区,长湖路,5.0,南宁好声音商务量贩KTV欢唱6小时,98,1700
佰迪乐KTV（万象城店）,青秀区,万象城,5.0,周一至周五白天档欢唱4小时,58,1336
恋歌房ktv,青秀区,仙葫,5.0,白天场13:00-19:00 3小时欢唱,39.9,876
星际娱乐,青秀区,仙葫,4.2,12:00-19:00任选3小时下午茶鸡尾酒套餐,68,872
五星派对PARTY KTV,青秀区,青秀区,5.0,阳光场/午夜场欢唱6小时 适用小/中厢,29.9,881
8090partyk量贩式ktv（太阳广场店）,青秀区,七星新民,5.0,白天或午夜档欢唱6小时,58,801
好歌城量贩式KTV（东葛店）,青秀区,青秀区,5.0,周一至周日欢唱5小时,38,366
奥斯汀KTV（盛天地店）,青秀区,东盟商务区,5.0,周日至周四18:00-06:00欢唱3小时 迷你包适用,128,325
麦霸主题量贩式KTV,青秀区,青秀区,5.0,周一至周日（11:30-18:30）欢唱7小时 +茶水/果汁,29.9,310
好歌城量贩式KTV（五矿店）,青秀区,园湖路,5.0,周一至周日欢唱5小时（欢唱时段二选一）,49,277
歌迷时代量贩KTV（南宁环球店）,青秀区,丽原天际,5.0,周一至周日（日场或午夜场欢唱）,68,235
红色经典KTV,青秀区,仙葫,4.0,19：00-3:00任选5小时欢唱套餐,258,168
吉航飞友音乐汇,青秀区,国贸中心,5.0,欢唱6小时+12听酒套餐,98,112
骚年趴桌游休闲吧（国贸中心店）,青秀区,国贸中心,5.0,ktv包厢包场,298,0
好歌城量贩式KTV（朝阳店）,兴宁区,朝阳广场,5.0,白天场7小时欢唱/午夜场6小时欢唱套餐 时段二选一,68,28013
好歌城量贩式KTV（邕江店）,兴宁区,兴宁区,5.0,白天场7小时欢唱/午夜场6小时欢唱套餐 时段二选一,68,28013
歌迷时代量贩KTV（钻石店）,兴宁区,朝阳广场,4.8,周一至周日欢唱时段2选1,59,22908
