商家,区域,商圈,星级,服务,价格,销量
迪卡乐KTV（象山路店）,东湖区,叠山路,5.0,下午场欢唱券,49,4715
方糖KTV（民德路店）,东湖区,中山路,5.0,下午场/午夜时段2选1欢唱,59,4627
蓝精灵KTV,东湖区,叠山路,4.9,下午场欢唱套餐,26,171
音乐派量贩式KTV（苏圃店）,东湖区,中山路,5.0,下午场欢唱套餐6小时,49,92
天圆唛k量贩式ktv,东湖区,八一广场/省府,5.0,黄金晚场欢唱7小时,69,87
米乐星欢乐KTV,东湖区,八一广场/省府,5.0,白天场//夜猫场欢唱＋爆米花小食,58,43
恰丝偷懒量贩式KTVmusicBar,东湖区,叠山路,3.7,特惠套餐A,88,34
虾咪智能ktv,青山湖区,联泰香域,5.0,周一至周日下午场6小时欢唱,28,159
曼奇星量版式KTV,青山湖区,京东大道,5.0,周一至周日晚场酒水欢唱套餐,108,139
好声音量贩式ktv（麦园店）,青山湖区,下罗,5.0,下午场小包欢唱套餐,43,112
欢唱100量贩式KTV,青山湖区,京东大道,4.4,周一到周五下午场6小时欢唱券,29,88
好运城k歌足浴spa养生,青山湖区,青山湖区,4.3,单人K歌足浴,118,70
小虎队KTV,青山湖区,下罗,4.6,下午场黄金场欢唱5小时空调免费,35,56
畅虹主题连锁ktv（财大店）,青山湖区,下罗,4.5,下午场小包欢唱,38,23
糖果量贩式KTV（上海路店）,青山湖区,上海路,4.8,下午场欢唱套餐,158,17
天空之城主题KTV,青山湖区,下罗,4.6,下午场欢唱6小时+美食套餐,49,12
玖月奇迹量贩KTV（南昌1店）,青山湖区,上海路,5.0,中包黄金晚档酒水欢唱7小时,298,4
3G量贩式ktv,青山湖区,青山湖区,3.8,下午场小包套餐,28,1
乐派量贩KTV,青山湖区,青山湖区,4.0,下午场小包超值欢唱,28,0
