商家,区域,商圈,星级,服务,价格,销量
V-MUSE 威美斯KTV,思明区,思明区,5.0,白场欢唱套餐,39,14645
欢唱量贩式KTV（帝豪店）,思明区,思明区,5.0,12:00~18:00时段6小时欢唱套餐,32,11850
欢唱量贩式KTV（莲花店）,思明区,莲花,5.0,黄金场+夜猫场欢唱11小时+美食酒水套餐,259,9603
欢唱量贩式KTV（瑞景店）,思明区,瑞景商业广场,5.0,下午档欢唱6小时,38,7838
M1-KTV,思明区,南湖公园,5.0,单人自助餐券+欢唱,69,7636
纯K（厦门店）,思明区,体育中心,5.0,白天场3小时欢唱券1张,39,5794
欢唱量贩式KTV（汇成店）,思明区,文灶/火车站,5.0,下午场6小时欢唱券,32,5214
酷麦氧吧KTV,思明区,莲坂国贸,5.0,K歌超值套餐,268,4137
欢乐时光KTV,思明区,思明区,5.0,8.5小时欢唱券+啤酒套餐,318,3984
哈乐氧吧KTV（莲花店）,思明区,卧龙晓城,5.0,下午场6小时欢唱+饮料美食套餐,29.9,3239
欢唱量贩式KTV（欢唱H2宝福店）,思明区,新景中心,5.0,白场7小时欢唱,38,1630
大麦量贩式氧吧KTV（松柏店）,思明区,松柏,5.0,白天档1欢唱6小时券＋小食套餐,25.9,1188
欢唱量贩式KTV（新馆店）,思明区,松柏,5.0,6小时欢唱时段3选1+美食套餐,108,1087
天籁欢歌自助KTV,思明区,七星乐都汇,4.2,黄金档畅饮美食+欢唱7小时套餐,398,782
欢乐迪氧吧ktv（宝龙店）,思明区,思明区,5.0,黄金档欢唱＋酒水套餐,298,656
欢乐笛音乐氧生馆（莲花店）,思明区,莲花,5.0,黄金档欢唱＋酒水套餐,298,656
星光娱乐氧吧ktv,思明区,文园路,4.6,周一至周日晚场欢唱+美食酒水套餐,99,196
红馆KTV,思明区,白鹭洲公园,3.9,白场欢唱5小时+饮料美食套餐,88,110
威兔KTV,思明区,滨北,4.8,黄金档欢唱+啤酒套餐,298,59
雅都自助式KTV,思明区,文灶/火车站,3.9,周日至周四黄金场欢唱7小时券＋酒水套餐,228,56
宝乐迪量贩式ktv（嘉庚体育馆店）,集美区,嘉庚体育馆/凤林,5.0,白天档6小时欢唱券+美食套餐,59,7610
润悦丰酒店ktv,集美区,霞梧/北区,4.6,阳光场欢唱7小时券,19.9,2116
爱唱主题量贩式KTV,集美区,集美,5.0,白天档欢唱6.5小时+饮料美食套餐,39,1769
凯乐迪量贩式ktv（杏林店）,集美区,宁宝/杏东,5.0,周一至周日阳光场欢唱3小时+小吃,29.9,1438
炫场娱乐,集美区,华大/理工,5.0,周一至周日阳光场欢唱+饮料套餐,100,901
小样娱乐会员店,集美区,集美万达广场,5.0,下午场欢唱3个半小时＋饮料美食套餐,49,790
2012KTV,集美区,集美,4.0,周一至周日白天档欢唱6小时,38,582
520量贩式KTV（永丰店）,集美区,消防/日东,4.2,黄金档欢唱7小时＋酒水套餐,198,493
520量贩式KTV（旗舰店）,集美区,消防/日东,4.4,黄金档欢唱7小时＋酒水套餐,198,493
886商务自助式ktv,集美区,石鼓路/集美学村,3.8,尾牙欢聚/黄金场4小时欢唱+美食酒水套餐,358,342
酒点伴KTV,集美区,霞梧/北区,3.9,欢畅啤酒套餐,68,176
快乐时光ktv,集美区,集美万达广场,4.9,周一至周五时段2选1/周末晚场欢唱＋饮品套餐,48,51
