商家,区域,商圈,星级,服务,价格,销量
银乐迪量贩KTV（华润五彩城店）,蜀山区,华润五彩城,5.0,周一到周日阳光场/黄金场/午夜场时段3选1欢唱,49.9,15748
好声音时尚量贩KTV（之心城店）,蜀山区,之心城,5.0,黄金场3小时／下午场全段／午夜场全段欢唱套餐3选1,65,10432
大溪地量贩KTV,蜀山区,1912街区,5.0,纯欢唱 黄金场任选2小时欢唱,68,7507
唛田KTV,蜀山区,1912街区,4.8,周一至周日黄金场任选3小时欢唱,78,6258
甜橙量贩式KTV,蜀山区,蜀山区,5.0,下午场欢唱6小时/午夜场欢唱7小时（适用1~6人）,59,4935
维唛量贩式KTV（港汇店）,蜀山区,望潜交口,4.7,纯欢唱 黄金场任选3小时／下午场包段／午夜场包段 3选1,38,4121
蓝帆之声主题量贩ktv,蜀山区,国购广场,5.0,下午场/午夜场包段欢唱套餐,208,1888
艾●麦可风尚视听歌城（国购店）,蜀山区,三里庵,4.9,爆米花+下午场包段/午夜场包段欢唱2选1,59,1815
恭贺新禧KTV（迪斯迪店）,蜀山区,长江西路华联,5.0,黄金场3小时/下午场全段/午夜场全段欢唱套餐3选1,69,1060
糖果KTV,蜀山区,蜀山区,4.9,纯欢唱 下午场/午夜场包段（适用1~8人）,59,564
出气筒量贩KTV（贵池路店）,蜀山区,贵池路美食街,5.0,下午场/午夜场/黄金场欢唱+酒水套餐,158,296
金芒果潮派量贩KTV,蜀山区,蜀山区,5.0,酒水套餐+黄金场任选3小时（适用1~8人）,168,267
绿芒果视听歌城港汇店（百大望江西路店）,蜀山区,蜀山区,5.0,下午场/午夜场欢唱6小时,36,197
欢乐坊量贩KTV（史河路店）,蜀山区,凤凰城,4.7,酒水套餐+黄金场任选2小时/下午场包段欢唱2选1,149,166
梦之蓝KTV量贩,蜀山区,蜀山区,5.0,纯欢唱 下午场小包包段,49,78
合肥一页量贩KTV,蜀山区,蜀山区,5.0,酒水套餐+黄金场任选3小时欢唱,298,61
苹果KTV,蜀山区,大铺头,4.7,黄金档任意3小时欢唱,78,57
LOOK（路客）量贩KTV,蜀山区,蜀山区,5.0,下午场包段（适用1~4人）,49,51
佳满莉量贩KTV,蜀山区,清溪路大润发,5.0,啤酒套餐+黄金场任选2小时/下午场包段/午夜场包段欢唱,138,33
芒果视听歌城（大唐国际店）,蜀山区,大唐国际乐购,4.5,下午场3小时欢唱,58,22
奥斯卡轰趴馆,蜀山区,望潜交口,4.5,豪华商务KTV中包  无限欢唱6小时+酒水小吃套餐,288,0
台北原唱量贩KTV,庐阳区,市府广场,4.9,周一至周日欢唱套餐3选1+小吃套餐,49.8,26190
芒果KTV（逍遥津店）,庐阳区,步行街,4.2,小食套餐+黄金场任选2小时/下午场包段/午夜场包段,68,5674
艾●麦可风尚视听歌城（鼓楼店）,庐阳区,宿州路,4.9,爆米花+下午场包段/午夜场包段欢唱2选1,59,1815
苹果KTV（明发店）,庐阳区,明发商业广场,4.8,晚场欢唱3小时超值套餐,118,1804
阿波罗视听歌城（步行街店）,庐阳区,步行街,5.0,纯欢唱 黄金场任选2小时/下午场包段/午夜场包段+爆米花,68,1738
