商家,区域,商圈,星级,服务,价格,销量
花都纯K,回民区,中山西路,5.0,下午档/黄金档欢唱2选1+美食饮品套餐,108,10215
麦莎ktv,回民区,海亮,5.0,欢唱时段2选1+酒水小食套餐,109,9753
海迪（公园西门）,回民区,中山西路,4.8,下午档欢唱+美食套餐,58,4777
金域妩媚国际娱乐会所,回民区,海亮,5.0,下午晚场二选一套餐,128,4234
欢乐时光KTV（明泽钻石店）,回民区,牛街,5.0,周一至周日欢唱6小时+小吃饮品,178,3285
快乐依呀呀量贩式KTV（中山西路店）,回民区,旧城北门,5.0,欢唱时段2选1、套餐3选1+小吃饮品套餐,108,3214
花都无限音乐KTV（大北街店）,回民区,旧城北门,4.5,周一至周日时段2选1+酒水小吃,175,2719
牵手KTV（西货场店）,回民区,回民区,4.6,下午场/晚场欢唱时段2选1+美食套餐,108,1248
牵手ktv,回民区,牛街,4.8,实惠场、套餐/时段2选1+酒水小吃,98,1096
麦缘KTV,回民区,财经大学新校区,5.0,精品套 套餐/时段2选1+酒水小吃,118,659
金色麦浪KTV,回民区,回民区,5.0,下午场+百威冰晶小吃套餐,138,59
星语私人影院,回民区,海亮,5.0,星语双人观影套餐+饮品,49.8,45
《时光•记》 哆啦a梦主题聚会屋,回民区,海亮,4.7,下午场畅玩,278,42
雅情KTV,回民区,牛街,3.8,套餐2选1+酒水美食,58,28
