商家,区域,商圈,星级,服务,价格,销量
GAGA主题量贩式KTV（工大店）,南岗区,教化广场,5.0,阳光场/午夜场2选1欢唱套餐,29.8,51948
上和好声音KTV,南岗区,花园街,5.0,阳光场/午夜场欢唱2选1,29.8,30153
乐天虫量贩式KTV,南岗区,芦家街/宣化街,5.0,欢唱套餐时段2选1,59,27384
依呀呀量贩式KTV（国展店）,南岗区,博物馆,5.0,阳光场3小时欢唱/午夜场6小时欢唱+酒水小食套餐,29.8,9870
绝对唱响量贩式KTV,南岗区,征仪路/保健路,4.6,午夜场6小时欢唱,29.8,8955
阿萨帝量贩式KTV（文昌店）,南岗区,李范五花园,5.0,全天3小时欢唱+小食套餐,138,7933
美丽汇ktv,南岗区,凯德广场,4.4,午夜场6小时欢唱+美食套餐,29.8,7306
阿萨帝量贩式KTV（果戈里店）,南岗区,果戈里/革新街,5.0,黄金场2小时欢唱券+酒水小食套餐,118,5541
唐会棒棒糖量贩式KTV（哈西店）,南岗区,哈尔滨西站,5.0,周一至周日黄金场欢唱2小时,59.8,5175
糖果华庭KTV,南岗区,服装城/学府路,5.0,周日至周四 黄金场2小时欢唱+套餐B,72.8,3555
阿萨帝量贩式KTV（学府店）,南岗区,凯德广场,5.0,全天3小时欢唱+小食套餐,138,3298
麦克风量贩式KTV（哈西店）,南岗区,哈尔滨西站,5.0,全天多时段可选3小时欢唱+酒水小食套餐,138,3137
喜洋洋量贩KTV（哈西万达店）,南岗区,哈尔滨西站,4.9,周日至周四 阳光场2小时欢唱/午夜场6小时欢唱,29.9,3093
棒棒糖量贩式KTV（学府店）,南岗区,凯德广场,5.0,阳光场周一至周四3小时/周五至周日2小时欢唱+小吃套餐,29.8,2927
纯k（哈尔滨店）,南岗区,国际会展中心,5.0,下午档 3小时欢唱套餐B,68,2456
麦克风量贩式KTV（赣水路店）,南岗区,省政府/龙塔,5.0,小包 全天任选3小时欢唱+酒水小食套餐A,168,2182
