商家,区域,商圈,星级,服务,价格,销量
空间8度量贩KTV（马栏广场逸彩城店）,沙河口区,马栏子,5.0,周一至周日白天档/黄金档/午夜档欢唱3小时+套餐,29,36815
合声量贩KTV（西安路店）,沙河口区,沙河口区,5.0,欢唱套餐,29,23951
麦迪量贩KTV,沙河口区,马栏子,4.9,白天档/黄金档/午夜档欢唱套餐3选1,29,8378
金钱柜量贩KTV（星海店）,沙河口区,会展中心,5.0,欢唱时段3选1套餐,59,6019
蓝尊量贩火吧KTV（黄河路店）,沙河口区,黄河路沿线,4.8,周一至周日白天档/黄金档/午夜档3选1欢唱套餐,28,1653
津酷量贩KTV（西南路店）,沙河口区,沙河口区,4.3,12:00-次日06:00欢唱时段3选1欢唱券,49,1303
空间八度量贩KTV（星海广场高端店）,沙河口区,星海公园,5.0,时段3选1 欢唱美食套餐,69,1319
空间8度量贩KTV（新开路店）,沙河口区,黄河路沿线,5.0,周一至周日白天档/黄金档/午夜档3选1欢唱3小时+酒水套餐,158,781
金佰丽ktv,沙河口区,沙河口区,4.6,周一至周日全天欢唱时段3选1,40,326
新华纯k量贩ktv,沙河口区,白山路,5.0,周一至周日12:00-18:00欢唱3小时,29.9,246
金钱柜量贩KTV（罗斯福天兴店）,沙河口区,罗斯福购物中心,5.0,欢唱套餐,59.9,259
大连和平录音棚,沙河口区,和平广场,4.8,录音棚单人录音套餐,199,30
华都量贩KTV,金州区,金州,5.0,黄金档18:00~23:00欢唱3小时套餐,39,20950
空间8度量贩KTV（金州店）,金州区,金州,5.0,周一至周白天档/午夜档2选1欢唱3小时,39,13747
金麦纯k互动式量贩ktv,金州区,金州,5.0,周一至周日黄金档3小时/午夜7小时档欢唱,38,206
星辰练歌场,金州区,金州,4.1,套餐A,48,56
MOMO量贩KTV（旅顺口区大学城店）,旅顺口区,旅顺口区,5.0,周一至周日13:00-19:00欢唱3小时套餐,79,344
泓祥量贩KTV,旅顺口区,旅顺口区,5.0,超值欢唱时段3选1+小食饮品自选套餐,39,107
8090主题式KTV（旅顺口区店）,旅顺口区,旅顺口区,4.3,周一至周日12:00-17:00欢唱3小时+套餐,49,67
MOMO酒吧KTV,旅顺口区,旅顺口区,4.6,酒水套餐,128,62
甲壳虫量贩KTV,旅顺口区,旅顺口区,4.0,周一至周日10:00至19:00欢唱3小时,39,52
悦音城音乐广场（大外旅顺口区店）,旅顺口区,旅顺口区,4.7,迷你包6小时欢唱+小吃饮品套餐,49,41
乐酷量贩KTV（旅顺口区店）,旅顺口区,旅顺口区,5.0,周一至周日欢唱时段3选1+啤酒果盘套餐,199,36
