商家,区域,商圈,星级,服务,价格,销量
米克斯量贩式KTV,南开区,王顶堤/华苑,5.0,欢唱券1张,69,17818
欢乐迪音乐氧吧KTV（西南角轻纺城店）,南开区,天佑城/西南角,5.0,周一至周日全时段欢唱券+饮料小吃套餐,58,11011
好声音量贩式KTV（天佑城店）,南开区,天佑城/西南角,5.0,白天档/黄金档/夜猫档欢唱券+小吃套餐,28,10152
e乐迪量贩式连锁KTV,南开区,水上/天塔,5.0,欢唱时段3选1+小吃套餐,68,4526
钱柜PARTY欢乐派对KTV(熙悦汇店),南开区,南开区,5.0,欢唱时段3选1,69,1495
乐K派对清吧式量贩KTV（南开店）,南开区,南开公园/中学/医院,5.0,白天档/黄金档/夜猫档三选一欢唱＋小吃套餐,49,942
钱柜PARTY欢乐派对KTV（白堤路店）,南开区,白堤路/风荷园,5.0,钱柜PARTY KTV欢唱时段2选1,59,941
好乐迪量贩KTV（东马路七向街店）,南开区,老城厢/鼓楼,5.0,周一至周日全天超值欢唱套餐,55,773
宝乐迪量贩式ktv,南开区,长虹公园,5.0,下午档欢唱3小时+小吃套餐,38,557
金沙会量贩式KTV,南开区,时代奥城,5.0,周一至周日日场欢唱+小吃饮料套餐,68,240
东方之珠连锁KTV（南开店）,南开区,王顶堤/华苑,5.0,周一至周日日场欢唱+小吃饮料,68,106
金龙湾量贩式ktv,南开区,水上/天塔,4.2,白天场/黄金场2选1欢唱+饮品套餐,58,61
夜色倾城KTV,南开区,南开区,5.0,早场欢唱5小时+小吃套餐,58,18
星光灿烂KTV（水木天成店）,红桥区,水木天成,4.8,周一至周日多时段欢唱+小吃套餐,48,743
星光大道KTV,红桥区,芥园道/复兴路,5.0,白天档5.5小时欢唱券[复制],38,625
麦霸量贩式KTV（红桥欧亚达店）,红桥区,天津西站/欧亚达,5.0,早班场／夜猫场欢唱＋小吃套餐,58,435
东方之珠连锁KTV（红桥店）,红桥区,大胡同/天津之眼,5.0,周一至周五日场+小吃饮料,55,174
畅想时空量贩式KTV,红桥区,丁字沽,5.0,3时段欢唱+小吃套餐,58,175
麦乐星KTV（万达店）,河东区,河东万达广场,5.0,12:00~18:00/18:00~00:00时段2选1套餐,59,7882
好乐迪量贩KTV（爱琴海店）,河东区,河东万达广场,4.9,周一至周日白天档3小时欢唱券,55,708
东方之珠连锁KTV（河东店）,河东区,大王庄,5.0,周一至周日日场欢唱+小吃饮料,55,216
白羊座量贩式ktv,河东区,中山门,5.0,全时段超值欢唱1小时,36,135
爱尚宝峰KTV,河东区,万新村,5.0,白天档4小时欢唱+美食套餐,45,83
一顺音乐娱乐会所,河东区,大直沽,3.7,中包欢唱券,98,9
财富KTV,河东区,大直沽,3.6,8小时欢唱,200,2
范儿音乐酒吧K歌,河东区,万新村,4.0,个人体验套餐，提供免费WiFi,58,1
超级派对时尚歌城,河北区,王串场/民权门,4.6,多时段3选1欢唱套餐,25,2774
星月童话娱乐城,河北区,天泰路/榆关道,5.0,超值白天档欢唱6小时,88,233
东方之珠连锁KTV（河北店）,河北区,狮子林大街,5.0,周一至周日日场+小吃饮料套餐,79,153
天蟾KTV,河北区,王串场/民权门,4.1,中包下午场4小时欢唱+酒水套餐,198,1
跃逍遥娱乐城,河北区,中山路,4.3,周一至周日黄金档中包欢唱+酒水套餐,198,0
9号公馆量贩KTV,北辰区,北辰区,5.0,白天档欢唱券,60,1180
铮铭时尚派对ktv,北辰区,北辰区,5.0,超值阳光/夜猫欢唱3小时+饮品套餐,58,688
爱尚纯k,北辰区,北辰区,4.8,周一至周日下午档4小时欢唱+美食套餐,58,641
赢禧一族KTV娱乐城,北辰区,北辰区,4.9,下午场5小时/晚场3小时2选1欢唱套餐,48,325
麦迪主题KTV,北辰区,北辰区,5.0,下午场欢唱+小吃套餐,50,210
东方之珠连锁KTV（北辰店）,北辰区,北辰区,5.0,时段2选1欢唱,39,115
鑫美歌量贩式KTV,北辰区,北辰区,4.2,周一至周五白天档3小时欢唱+小吃套餐,46,54
首座娱乐公馆,北辰区,北辰区,3.5,下午档小包欢唱3小时+酒水套餐,128,12
鸣乐氧吧量贩ktv,东丽区,东丽区,5.0,欢唱2小时+小吃套餐,58,842
麦乐星KTV,东丽区,区政府,4.9,周一到周日时段2选1欢唱3小时券,59,730
好声音ktv,东丽区,东丽开发区,3.9,任选欢唱4小时,39,669
恒森量贩ktv,东丽区,东丽开发区,4.8,白天档小包4小时欢唱+饮品套餐,66,50
恰恰恰量贩式KTV,东丽区,区政府,5.0,阳光场、夜猫欢唱3小时,75,23
恰恰恰量贩式KTV（军粮城店）,东丽区,东丽区,5.0,阳光场、夜猫欢唱3小时,75,23
炫舞KTV,东丽区,东丽区,3.9,白天档大包任选4小时欢唱＋酒水套餐,218,0
逸海天一ktv,东丽区,东丽开发区,4.6,中包8小时欢唱套餐,280,0
名爵ktv,东丽区,区政府,4.3,下午场豪华包3小时欢唱+酒水套餐,288,0
夜明珠ktv,武清区,徐官屯/小东庄,5.0,夜明珠KTV欢唱3小时套餐,46,429
尚都酒吧KTV,武清区,北郑/泉州北路,5.0,尚都酒吧小包欢唱+酒水套餐,68,243
唱吧麦颂量贩式KTV（万博广场店）,武清区,泉州南路/广厦道,5.0,周一至周五多时段欢唱券+酒水套餐,198,229
东方之珠连锁KTV（武清店）,武清区,中信广场,5.0,周一至周日日场欢唱券+小吃饮料,79,108
煌林美悦量贩KTV,武清区,中信广场,5.0,白天档／夜猫档中包3小时欢唱+小吃套餐,88,85
天鹅湖KTV,武清区,北郑/泉州北路,3.9,欢唱券,148,49
导航party KTV（六城旗舰店）,武清区,六城/金汇广场,5.0,周一至周日白天档+小吃饮品套餐,68,29
导航氧吧KTV公馆（龙湾城氧吧店）,武清区,龙湾城/华北城,4.6,黄金档欢唱套餐+小吃套餐,188,2
格莱美音乐氧吧（东方商业街店）,静海区,静海区,5.0,周一至周日白天档/黄金档3小时欢唱券,29.9,21473
乐乐迪音乐氧吧（开发区店）,静海区,静海县城,5.0,3小时欢唱券,49,15241
MIDI（咪邸）酒吧主题KTV,静海区,静海区,5.0,白天档3小时欢唱券,19,10431
乐乐迪KTV娱乐超市（西城店）,静海区,静海区,5.0,3小时欢唱券,29.9,7173
莎啦啦KTV娱乐超市,静海区,静海区,4.5,下午档黄金档3小时欢唱券,19.9,1913
金座会馆,静海区,静海区,5.0,3小时欢唱套餐+小食套餐,99.9,1637
格莱美量贩式KTV（华苑小区店）,静海区,静海区,5.0,白天档/黄金档3小时欢唱,29.9,1555
大唐盛世娱乐会所,静海区,静海区,4.8,3小时欢唱券+酒水小吃套餐,99.9,372
雷帝GAGA KTV,静海区,静海区,3.4,黄金档欢唱套餐,109.9,167
乐吧KTV,静海区,静海区,4.5,下午档/黄金档2选1欢唱券,19.9,78
泊客清吧歌厅,静海区,静海区,4.1,周日－周四 2小时欢唱套餐,49,3
