商家,区域,商圈,星级,服务,价格,销量
BINGO KTV,小店区,亲贤街,5.0,白天场3小时欢唱+茶水套餐,49,831
阳光ktv,小店区,小店区,3.4,10:00~17:00时段3小时欢唱券,29,711
迪加迪量贩式KTV（平阳路店）,小店区,平阳路,4.0,白天场欢唱3小时+小吃套餐,38,550
麦疯量贩式ktv（钱柜店）,小店区,人民路,5.0,全天欢唱3小时,21.8,498
隆盛快乐纯k,小店区,昌盛西街,4.8,下午场2小时欢唱+小吃套餐,38,442
月亮湾KTV（许西村店）,小店区,太原南站,3.3,周一至周日14:00-19:00任选2小时欢唱套餐,18,341
k歌之王,小店区,太原南站,5.0,周一至周日14:00-19:00任选2小时欢唱套餐,18,341
鑫光大道KTV,小店区,真武路,3.6,黄金场2小时欢唱套餐,45,318
美特好唱k量贩式KTV（平阳店）,小店区,平阳路,4.5,周一到周日黄金档欢唱套餐+小食套餐,58,303
嘉乐迪KTV,小店区,平阳路,3.8,周一至周日KTV下午1小时,28,210
第七感觉ktv,小店区,小店区,4.6,白天档1小时欢唱,16.8,133
美高美主题量贩KTV,小店区,长风街,5.0,周一至周日黄金档欢唱3小时券+酒水套餐,238,102
高歌KTV,小店区,太原南站,4.9,3小时欢唱,39,56
纯k（茂业天地店）,小店区,亲贤街,5.0,平日下午场3小时欢唱+美食套餐,98,56
欢乐迪KTV（亲贤街店）,小店区,长治路,4.7,全天特价2小时欢唱,30,51
爱奇艺k影,小店区,学府街,5.0,全天场欢唱3小时+酒水套餐,258,19
荣鑫KTV,晋源区,晋源区,5.0,13:00-19:00任选3小时欢唱套餐,48,136
新鑫量贩式KTV,晋源区,晋源区,4.0,欢唱2小时,48,34
