商家,区域,商圈,星级,服务,价格,销量
城隍庙·极度沸点KTV,海曙区,城隍庙,5.0,周一至周日时段3选1生日欢唱券,1,2679
天一·极度沸点KTV,海曙区,天一广场,5.0,周一至周日时段3选1生日欢唱券,1,2417
宁波一页量贩KTV,海曙区,天一广场,5.0,午夜档5小时欢唱券+美食套餐,278,1528
超乐迪量贩式KTV,海曙区,环城西路南段,4.4,周一至周日12:00-23:00任选5小时欢唱套餐,199,1354
歌库（鼓楼店）,海曙区,鼓楼,4.7,周一至周日下午档欢唱6小时套餐,15,1016
欢乐颂主题量贩KTV（天一店）,海曙区,天一广场,4.7,白天档欢唱6小时+饮品套餐,68,665
K8量贩Ktv（高鑫广场店）,海曙区,高鑫广场,5.0,周一至周日12：00—02：00欢唱3小时+套餐3选1,338,455
南都娱乐中心,海曙区,海曙区,3.0,周一至周日18:00-24:00欢唱6小时+酒水美食套餐,148,21
美歌会KTV,海曙区,西门口,3.4,周一至周日18:30 至01:30欢唱5小时+美食套餐,160,7
酷歌量贩KTV（培罗成广场店）,鄞州区,培罗城广场,4.8,周一至周日时段2选1欢唱5小时+美食套餐,21,10791
琴潮主题量贩KTV（鄞州店）,鄞州区,联盛广场,5.0,周一至周日时段3选1欢唱+酒水美食套餐,118,10390
好声音ktv,鄞州区,环球城,5.0,周一至周日时段2选1最高欢唱7小时,38,5877
海乐星量贩式KTV,鄞州区,利时百货,5.0,周一至周日欢唱时段2选1+美食套餐,39,3615
普乐迪（钱湖天地店）,鄞州区,印象城,5.0,周一至周日时段二选一最高欢唱6.5小时+美食套餐,38,1297
普乐迪量贩式KTV（四明广场）,鄞州区,鄞州区,4.7,周一至周日欢唱时段3选1+酒水美食套餐,88,764
超乐迪量贩式KTV（姜山店）,鄞州区,姜山,4.4,周一至周日12:00-18:00欢唱3小时+爆米花1份,19,407
唱吧量贩ktv,鄞州区,联丰路沿线,4.6,周一至周日时段二选一欢唱3小时,45,280
蓝精灵量贩KTV,鄞州区,鄞州区,5.0,周一至周日时段二选一最高欢唱6小时,88,278
普乐迪量贩KTV（藕缆桥店）,鄞州区,联丰路沿线,3.8,周一至周日12:00~18:00欢唱6小时券+爆米花,29,275
喜洋洋量贩式KTV（贸城东路店）,鄞州区,鄞州区,4.4,周一至周日欢唱时段3选1+酒水美食套餐,158,187
麦田量贩KTV,鄞州区,创新128广场,4.9,周一至周日时段二选一最高欢唱6小时,28,108
好声音量贩KTV（邱隘店）,鄞州区,鄞州区,4.1,周一至周日11：00-03：00欢唱4小时+酒水美食套餐,188,97
豪顺量贩KTV,鄞州区,东钱湖,5.0,黄金档6小时欢唱+美食套餐,108,54
脉迪纯KTV,鄞州区,轻纺城,4.3,平日白天档小包欢唱6小时套餐,43,29
豪龙纯k量贩ktv,鄞州区,鄞州区,4.2,休闲档欢唱套餐,19.8,18
唛哆哆量贩KTV,鄞州区,姜山,5.0,黄金档欢唱套餐,88,23
伯豪娱乐会所·KTV,鄞州区,集士港,4.3,周一至周日12:00-次日02:00欢唱4小时,628,12
琴潮ktv（万达江北店）,江北区,江北万达广场,5.0,周一至周日欢唱时段2选1欢唱7小时,30,12238
金泰狼KTV,江北区,洪塘,4.3,周一至周日12:00至18:00欢唱6小时,21.8,3454
卡秀纯k,江北区,恒一广场,5.0,12:00-18:00欢唱6小时,21.8,544
酷歌KTV（新城）,北仑区,绍成小学商圈,5.0,周一至周五18：00-23：00欢唱5小时+酒水美食套餐,128,2625
酷歌KTV（凤洋一路店）,北仑区,大港工业城,5.0,周一至周五18：00-23：00欢唱5小时+酒水美食套餐,128,2625
凤凰钱柜,北仑区,凤凰山游乐园,5.0,周一至周日时段二选一最高欢唱6小时+美食套餐,21,2234
乐酷量贩KTV（银泰城店）,北仑区,银泰城,5.0,周一至周日11:30-17:30欢唱6小时+美食套餐,58,1481
糖果KTV,北仑区,曼哈顿广场,5.0,周一至周日12：00-17：:00欢唱5小时+茶水套餐,39,841
麦霸,北仑区,凤洋二路,4.5,周一至周日时段二选一欢唱5小时+酒水美食套餐,198,757
凯歌量贩式ktv,北仑区,北仑区,5.0,周日至周五时段三选一最高欢唱6小时+酒水美食套餐,238,526
好声音量贩式ktv（北仑店）,北仑区,富邦广场,4.9,周一至周日11：00-03：00欢唱5小时半+美食套餐,128,321
铭汇好声音量贩ktv,北仑区,中青文化广场,5.0,周一至周日时段三选一欢唱6小时+酒水美食套餐,298,231
歌立方量贩式KTV,北仑区,北仑区,4.5,周一至周日12:00-18:00欢唱6小时+茶水美食套餐,58,96
靓乐迪主题量贩KTV,镇海区,骆驼街道,5.0,周一至周日12:00-18:00欢唱6小时+茶水美食套餐,78,402
潮唛自助KTV,镇海区,骆驼街道,4.9,12:00-18:00周一至周日欢唱,68,242
卡迪量贩KTV（兆龙路店）,镇海区,宁波大学北区,5.0,周一至周日13：00-次日05：00欢唱4小时+酒水美食套餐,199,163
酷歌量贩式KTV,镇海区,城关,5.0,周日至周四12：00-次日01:00欢唱5小时+酒水美食套餐,228,128
银乐迪KTV,余姚市,华润五彩城,5.0,周一至周日欢唱时段3选1,29,38898
欢歌纯k（余姚欢歌纯K）,余姚市,万达广场,5.0,周一至周日欢唱时段3选1,16.8,9844
蓝色沸点量贩KTV（舜水南路店）,余姚市,银亿四明广场,5.0,周一至周日18:00~02:00任选欢唱3小时+酒水美食套餐,99.9,4753
普乐迪量贩式KTV（富巷店）,余姚市,阳明西路,4.9,周一至周日11:00~02:00任选欢唱3小时+美食套餐,99.8,3806
罗玛量贩KTV,余姚市,胜山路,5.0,周一至周日18:00~23:00欢唱5小时+酒水美食套餐,298,2526
唛客风KTV·时尚宴,余姚市,余姚,4.8,周一至周日欢唱时段2选1+美食套餐,98,1236
讴歌草沐堂k歌沐足,余姚市,余姚,5.0,黄金档4小时欢唱+酒水美食套餐,168,162
琴潮主题量贩KTV（慈溪保利MALL店）,慈溪市,保利MALL,5.0,周一至周日欢唱时段2选1+美食套餐,38,7975
众乐汇量贩KTV,慈溪市,观海卫,5.0,众乐汇量贩KTV欢唱套餐2选1,18.8,5482
金太狼量贩式KTV,慈溪市,慈溪,5.0,周一至周日12:00~18:00任欢唱6小时,28.8,3451
金歌量贩式ktv,慈溪市,浒山街道,5.0,周一至周日12:00~24:00任选4小时+酒水美食套餐,188,3285
K乐汇●量贩式KTV,慈溪市,慈溪银泰城,5.0,周一至周日12:00~18:00任选欢唱4小时+美食套餐,58,1433
欧歌量贩式ktv,慈溪市,慈溪,4.9,周一至周日18:00~02:00任选欢唱4小时+美食套餐,98,1089
欢乐时光（原普乐迪）（观海卫店）,慈溪市,观海卫,5.0,周一至周日欢唱7小时,38,618
