商家,区域,商圈,星级,服务,价格,销量
学府主题K馆,武侯区,红瓦寺,5.0,下午档6小时欢唱套餐,39,34812
黄金唛KTV,武侯区,红瓦寺,5.0,下午档5小时欢唱+茶水小吃套餐,39.9,9604
月亮村KTV（清水河畔店）,武侯区,大石路,5.0,下午档/深夜档欢唱2选1+小吃套餐,69,4777
维歌量贩KTV,武侯区,科华路王府井,5.0,黄金档10小时欢唱+啤酒小吃套餐,298,4615
吸引力ATT KTV（双楠店）,武侯区,鹭岛国际,5.0,单人下午场4小时欢唱+美食套餐,38,4570
吸引力ATT KTV（棕北店）,武侯区,科华北路,5.0,单人下午场4小时欢唱+美食套餐,38,4570
纯K Boss（世豪店）,武侯区,伊藤/世豪广场,5.0,下午档6小时欢唱+茶水小吃套餐,68,4508
向日葵KTV（双楠店）,武侯区,双楠,5.0,黄金档任选8小时欢唱+酒水小吃套餐,299,4342
港都歌城,武侯区,石羊场,4.5,黄金档欢唱7小时+酒水小吃套餐,298,2726
五角星KTV,武侯区,伊藤/世豪广场,4.7,下午档6小时欢唱＋茶水小吃套餐,45,2569
酷必乐KTV（红牌楼店）,武侯区,红牌楼,5.0,下午场任选6小时欢唱+茶水小吃套餐,49.9,2473
音乐派ktv（银泰店）,武侯区,银泰城,5.0,阳光场5小时欢唱套餐,48,1477
盛世皇廷（晋吉店）,武侯区,龙湖金楠天街,4.7,黄金档欢唱7小时+酒水小吃套餐,178,1349
乐够量贩式ktv（世纪百合店）,武侯区,簇桥,5.0,下午场／深夜场2选1欢唱＋果汁小吃套餐,58,1285
悦派对量贩ktv,武侯区,红牌楼,5.0,下午场5小时欢唱＋茶水小吃套餐,88,1079
快乐星新概念KTV,武侯区,红牌楼,5.0,下午场5小时欢唱+饮料小吃套餐2选1,48,870
零点DISCO,武侯区,红瓦寺,4.2,雪花啤酒套餐,99,794
歌酷时尚量贩ktv,武侯区,高升桥,4.2,下午场5小时欢唱＋饮料小吃套餐,68,751
花儿纯K量贩式KTV（人民南路店）,武侯区,玉林/芳草街,4.9,下午档和黄金档2选1欢唱+酒水小吃套餐,308,721
好享来KTV,武侯区,机投,4.9,黄金档任选7小时欢唱+酒水小吃套餐,188,710
米兰达欧罗巴主题量贩式KTV,武侯区,玉林/芳草街,5.0,下午档5小时欢唱+茶水小吃套餐,53,683
唛田KTV（苏宁城市奥莱店）,武侯区,火车南站,4.9,下午档欢5小时唱+小吃套餐,48,673
阿啵啵聚会量贩式KTV,武侯区,簇桥,4.7,下午档/深夜档欢唱2选1+饮料爆米花套餐,38,671
好乐星KTV,武侯区,武侯区,5.0,下午档5小时欢唱＋饮料小吃套餐,58,582
星光欢乐迪富氧KTV（红牌楼旗舰店）,武侯区,红牌楼,5.0,黄金档欢唱8小时+小吃套餐,98,565
99汇富氧量贩KTV,武侯区,机投,4.2,黄金档欢唱7小时+酒水小吃套餐,178,547
K+时尚量贩KTV,武侯区,火车南站,5.0,黄金场任选8小时欢唱＋啤酒小吃套餐,268,481
豪麦ktv,武侯区,五大花园,4.2,黄金场7小时欢唱＋酒水小吃套餐,168,390
【老地方】量贩KTV（新装店）,武侯区,机投,4.2,黄金档/下午档欢唱时段2选1+酒水小吃套餐,198,386
鑫歌汇量贩KTV,武侯区,簇桥,4.5,下午档欢唱5小时+果汁小吃套餐,63,338
美美会KTV歌城,武侯区,金花,4.7,黄金场7小时欢唱+酒水小吃套餐,188,331
Magic麦咭客量K－科华锦绣旗舰店,武侯区,科华北路,5.0,下午场5小时欢唱+茶水小吃套餐,38,331
缤纷量贩式KTV（奥克斯店）,武侯区,武侯区,4.3,黄金档舒适包7小时欢唱+美食套餐,218,306
龙度OK,武侯区,鹭岛国际,5.0,下午档6小时欢唱+茶水套餐,48,295
米乐星KTV（南门店）,武侯区,火车南站,5.0,黄金场10小时欢唱+酒水小吃套餐,298,281
e时代量贩式KTV,武侯区,石羊场,4.5,黄金档8小时欢唱＋酒水小吃套餐,208,275
808新空间KTV（郭家桥西街店）,武侯区,科华路王府井,5.0,周一至周日黄金档八个半小时包段欢唱+酒水小吃套餐,128,205
Magic麦咭客量K—红牌楼品牌店（Magic麦咭客量K）,武侯区,红牌楼,5.0,下午场5小时欢唱＋饮料套餐,38,202
唱吧麦颂量贩ktv（少陵路店）,武侯区,双楠,5.0,黄金场3小时欢唱套餐,30,208
音悦之声ktv,武侯区,武侯区,5.0,下午场五个半小时欢唱+饮料小吃套餐,38,192
景立量贩KTV（太平南新街店）,武侯区,红瓦寺,5.0,黄金场7小时欢唱＋酒水2选1套餐,198,175
华益（橄榄树）KTV,武侯区,伊藤/世豪广场,4.6,周一至周日黄金档7小时欢唱＋酒水小吃套餐,199,167
三天两夜,武侯区,红瓦寺,3.3,黄金档9小时欢唱+酒水小吃套餐,145,157
金楠量贩 ktv,武侯区,机投,4.4,小包黄金档5小时欢唱＋酒水小吃套餐,128,141
瀚洋歌府ktv,武侯区,簇桥,4.3,中包黄金档七个半小时包段欢唱+酒水小吃套餐,258,134
