商家,区域,商圈,星级,服务,价格,销量
大明星KTV（欢乐园店）,五华区,丰宁小区,4.9,周一至周日阳光档/夜猫档2选1欢唱5小时,29,27802
大明星KTV（霖雨店）,五华区,月牙潭,5.0,周一至周日阳光档/夜猫档2选1欢唱5小时,29,27802
铭鼎时尚量贩KTV,五华区,黄土坡,5.0,白天场欢唱6小时套餐,29,8091
欢歌KTV（人民中路店）,五华区,南屏片区,4.9,周日至周四20:00-次日02:00欢唱6小时,98,3683
时光沙量贩KTV,五华区,黄土坡,4.9,黄金场/白天场欢唱7小时小吃套餐,99,2197
歌友会KTV量贩（和谐世纪店）,五华区,和谐世纪,5.0,周日至周四夜猫团购套餐,59,2191
尚尚KTV,五华区,小西门,5.0,夜猫场小包/中包套餐,29,1800
星势力量贩KTV,五华区,翠湖公园,4.6,周一至周日黄金场欢唱7小时酒水小吃套餐,88,1304
国汇量贩KTV（昆都店）,五华区,小西门,4.9,黄金场欢唱7小时+酒水小吃套餐,178,785
领迪量贩KTV,五华区,翠湖公园,5.0,周一-周日19:00~02:00欢唱7小时+小吃套餐,168,732
后街KTV南屏店（现庆云店）,五华区,南屏片区,4.9,白天场欢唱5小时小吃套餐,38,716
仟禧量贩KTV（高新店）,五华区,高新区,4.9,周一至周日白天场欢唱5.5小时,38,669
温莎KTV量贩（金鹰店）,五华区,南屏片区,5.0,周一至周日19:00-02:00小/中包黄金场,268,431
左岸量贩KTV,五华区,五华区,5.0,白天场/夜猫场欢唱饮品套餐,38,384
乐汇主题量贩ktv,五华区,五华区,5.0,周日至周四19:00-02:00欢唱7小时+啤酒套餐,108,381
金麦迪KTV量贩食尚火锅,五华区,五华区,5.0,周一至周日12:30-18:00欢唱5个半小时,29,326
后街KTV（大观店）,五华区,小西门,4.5,黄金场欢唱7小时小吃套餐2选1,105,179
大明星【达令港食尚纯K】,五华区,丰宁小区,5.0,周一至周日黄金档欢唱5小时+啤酒火锅2选1,199,178
后街KTV（高新店）,五华区,高新区,4.0,黄金场欢唱6小时酒水小吃套餐,90,118
星夜时空量贩KTV时尚火锅,五华区,五华区,5.0,周一至周日12:00-18:00欢唱6小时+软饮套餐,58,109
歌友会KTV量贩(爱琴海购物公园店),西山区,红星爱琴海购物公园,5.0,歌友会KTV白天夜猫场二选一,66,5136
欢歌KTV（滇池路店）,西山区,南亚第一城,5.0,周日至周四20:00-次日02:00欢唱6小时,128,4941
恋客KTV,西山区,云纺,5.0,周一至周日19:00-02:00欢唱7小时+听装百威套餐,238,4267
尚K量贩KTV（海埂路店）,西山区,西山区,5.0,周一至周日19:00-02:00小中包欢唱7小时黄金场套餐,299,3811
大明星KTV（金牛店）,西山区,西山区,4.9,周一至周日阳光档/夜猫档2选1欢唱7小时,29,1746
天华量贩KTV（云南妇产科医院对面）,西山区,西山区,4.2,天华ktv7小时欢唱酒水套餐,78,1325
好麦迪KTV量贩（前兴店）,西山区,大商汇,5.0,周一至周日白天场/夜猫场欢唱7小时酒水小吃套餐,58,999
中成量贩KTV,西山区,西山区,5.0,黄金场欢唱7小时啤酒小吃套餐,248,900
秀纯K量贩式KTV（南亚店）,西山区,南亚第一城,5.0,白天场/夜猫场欢唱,38,791
恋在春城情景主题KTV量贩,西山区,金马碧鸡坊片区,4.9,周日至周四黄金场/夜猫场欢唱7小时中包/小包+美食套餐,88,670
温莎KTV量贩（海埂路店）,西山区,云纺,5.0,周一至周日23:00-06:00夜猫场,68,99
仟禧量贩KTV（西坝店）,西山区,西山区,4.7,黄金场中包欢唱7小时＋套餐,288,64
一代天娇KTV,西山区,南亚第一城,4.1,黄金场包房（小包）,138,55
后街KTV（东路桥店）,西山区,大观楼,4.2,黄金场/夜猫场欢唱+酒水小吃套餐,88,2
唱客·美食KTV（日新路店）,官渡区,官南大道,5.0,白天场/夜猫场欢唱+果汁/酒水/烤串套餐,59,20043
好麦迪KTV量贩（云大西路店）,官渡区,经开区,5.0,白天场/夜猫场欢唱套餐2选1,59,12192
爱唱主题量贩ktv,官渡区,新亚洲体育城,5.0,5小时白天场欢唱套餐,29,9489
mk量贩式ktv（世纪金源店）,官渡区,世纪城,5.0,时段2选1欢唱7小时+小食套餐,39,5093
盛世乐坛量贩ktv,官渡区,官渡古镇,5.0,白天场套餐,39,4368
亚乐高主题ktv量贩,官渡区,海伦城市广场,5.0,麦香啤酒黄金场套餐,228,3851
尚K量贩KTV（东风路店）,官渡区,汇都国际,5.0,周一至周日19:00-02:00小中包欢唱7小时黄金场套餐,299,3811
汇点主题量贩KTV,官渡区,关上,5.0,黄金场7小时欢唱+酒水套餐,199,3397
乐酷量贩KTV,官渡区,官渡古镇,4.7,19:00~02:00欢唱7小时+酒水小食套餐,158,3281
k无限量贩ktv,官渡区,世纪城,4.5,黄金场欢唱6小时+酒水小吃套餐,168,3124
k9量版式ktv,官渡区,吴井路,5.0,周六周日夜猫、白天场欢唱套餐,29.9,2180
聚点KTV,官渡区,官南大道,5.0,阳光场欢唱6小时小吃套餐,49,1876
光辉岁月时尚主题KTV,官渡区,官渡区,4.9,周一至周日全天时段3选1欢唱券+酒水套餐,248,1773
红柜都市量贩KTV,官渡区,经开区,5.0,周一至周日黄金场欢唱7小时+酒水套餐,198,1665
大明星KTV量贩（大拇指店）,官渡区,官渡区,4.9,周一至周日阳光档/夜猫档2选1,29,1615
唱响好声音量贩KTV,官渡区,高原明珠,4.7,黄金时段欢唱7小时+酒水小食套餐,198,1343
麦莎KTV（板桥店）,官渡区,长水机场,4.6,黄金时段中包套餐,108,1057
喜临门量贩式ktv（昆明店）,官渡区,关上,5.0,黄金场欢唱7小时酒水小吃套餐2选1,198,984
泊安量贩式ktv,官渡区,关上,4.8,周一至周日欢唱7小时+酒水套餐,168,909
后街量贩式KTV（新亚洲店）,官渡区,新亚洲体育城,4.1,黄金场唱6小时酒水小吃套餐,88,819
斯黎轩量贩ktv,官渡区,官渡区,4.6,周日至周四欢唱7小时+24瓶酒水小吃套餐,228,607
333量贩KTV,官渡区,官南大道,5.0,黄金场酒水小吃欢唱8小时套餐,199,602
