商家,区域,商圈,星级,服务,价格,销量
爱尚国际量贩式ktv,萧山区,瓜沥镇,4.8,多时段可选欢唱套餐,10,14003
魔悦水晶Ktv,萧山区,义蓬,5.0,白天档/凌晨档时段2选1欢唱+小吃套餐,59,9781
INK（樱开）量贩KTV,萧山区,瓜沥镇,5.0,6小时欢唱+小食套餐,38,4299
星韵时尚KTV（原银乐迪萧山店）,萧山区,市心南路,5.0,周一至周日黄金档6小时欢唱套餐,49,677
金柜ktv,萧山区,瓜沥镇,5.0,周一至周日黄金场欢唱6小时,88,614
金音汇ktv,萧山区,义蓬,5.0,白天档7小时欢唱+美食酒水套餐,59,436
爱尚国际量贩式ktv（党山店）,萧山区,瓜沥镇,3.6,爱尚量贩KTV欢唱时段2选1,38,141
莱歌畅量贩KTV,萧山区,临浦,5.0,周一到周日中包欢唱时段2选1+酒水小食套餐,288,57
想唱就唱量贩KTV,江干区,下沙,5.0,白天档4小时欢唱,8,11417
唛歌KTV（下沙天街店）,江干区,下沙,4.9,白天档/黄金档欢唱时段2选1套餐,39,6607
奥凯时尚ktv,江干区,下沙,4.9,白天档5小时欢唱/黄金档1小时欢唱,35,4045
唛歌KTV（银泰百货店）,江干区,江干区,5.0,周一至周日白天档/黄金档欢唱时段2选1套餐,39,3762
宝乐迪量贩ktv（天城路店）,江干区,天城路沿线,4.9,白天档12:00~18:00欢唱3小时+酒水套餐,49,3704
酷迪量贩KTV,江干区,丁桥,5.0,白天档6小时欢唱套餐,35,1565
银乐迪INLOVE KTV（天虹店）,江干区,凤起东路,5.0,周一至周日白天档/黄金档/晚上档欢唱套餐,58,1369
格莱美MusicParty（新美店）,江干区,下沙,5.0,白天档4小时/黄金档3小时/通宵场7小时欢唱套餐,25,1283
玛莱仕ktv（笕桥店）,江干区,笕桥,5.0,全天时段任选3小时欢唱+酒水套餐,168,1229
金曲KTV（天城路店）,江干区,澳门广场,5.0,周一至周日黄金档3小时欢唱+酒水套餐,98,1184
格莱美MusicParty（高沙店）,江干区,下沙,4.9,下午场/黄金档/通宵场三选一,30,784
乐欧时尚KTV,江干区,江干区,5.0,下午档6小时欢唱+小食套餐,40,735
豆啦啦量贩KTV（东东城店）,江干区,下沙,5.0,白天档/午夜档二选一6小时欢唱+美食酒水套餐,88,669
讴K拉量贩KTV（新塘店）,江干区,钱江新城,4.6,黄金场4小时啤酒特惠套餐,208,654
